word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
un,0.723592,-0.123878,0.242719,-0.01568,-0.424166,-0.045124,0.53904,-0.805977,0.04638,0.313445,0.070121,0.183208,-0.72788,0.041824,0.187704,0.248272,-0.369199,2.726235,-0.170161,0.274789,-0.122711,0.14679,-0.470405,0.389911,0.61072,0.457067,0.30369,-0.057123
nombre,-0.352901,-0.209548,-0.340876,0.790882,-0.051971,-0.135014,0.59213,-0.346613,-0.383594,0.708556,0.765824,0.393288,-1.210123,-0.906527,0.345816,0.166726,-0.037405,2.425744,-0.332865,0.55463,-0.048973,0.236354,-0.774853,-0.426518,0.686019,0.015017,-0.362792,-0.273995
$\mathbb{N}$,0.531462,0.004634,0.077607,0.05112,-0.081551,0.151586,0.250104,-0.068639,0.39624,0.831426,0.446805,0.456105,-0.214391,-0.409429,0.286491,-0.163104,-0.060729,2.451214,-0.010918,0.601893,-0.22651,0.235369,-0.70171,-0.259601,0.165681,0.61225,0.087035,-0.386734
deux,0.839362,0.474894,0.749158,0.41352,-0.249052,0.054443,0.230077,-0.626269,0.066895,0.558189,-0.111135,0.129254,-0.358128,0.325412,0.28829,0.035307,-0.069445,2.563382,-0.214377,0.579702,0.399079,0.457063,-0.723638,0.111997,0.500338,0.013869,-0.354803,0.237554
fonction,0.970321,0.001819,-1.091646,-0.405307,0.941644,-0.957043,0.920437,-0.419585,0.426983,0.11439,0.22492,-0.809534,-0.181385,-0.566788,0.136024,-0.017761,-0.191299,2.404015,-0.423809,0.042266,0.305855,0.635858,-0.170111,-0.128083,0.826731,-0.225775,0.151165,-0.691262
premier,0.508729,1.042593,0.506802,0.111789,-0.090376,-0.066719,0.25796,-0.023892,0.613279,-0.20319,0.3184,0.149706,-0.535662,0.597595,0.249496,0.41369,-0.089796,2.097478,0.252878,0.47921,0.108917,0.129684,-0.800426,0.014521,0.281352,0.181302,-0.699726,0.684183
ensemble,0.344984,0.276227,-0.133939,-0.142514,-0.360055,-0.193038,0.600405,-0.461449,-0.035465,0.215108,-0.551412,0.017477,-0.330014,-0.149357,0.157788,0.529352,0.602167,2.147475,0.379468,0.425665,0.14603,0.431116,-0.055581,0.597164,1.119713,-0.136672,0.467886,-0.062596
point,-0.020547,-0.225449,0.170977,1.528457,-0.012448,0.466347,0.395664,-0.222671,-0.023502,0.639525,-0.638876,0.007741,-0.562331,-0.352818,0.214956,-0.501663,0.192122,1.983727,0.620316,0.504503,-0.131285,0.76912,-0.813884,-0.874214,0.451228,-0.147229,-0.376187,0.395541
théorie,0.216771,0.250195,-2.030522,-0.557251,0.99709,0.819487,-0.771581,0.245029,0.999111,0.0156,-0.364415,0.359991,-0.624671,-1.75338,0.394458,-0.128315,-0.747192,1.961703,0.906459,-1.097124,-0.658535,1.112575,0.292651,-0.012734,-0.057408,0.172951,1.073354,0.217893
exemple,0.733806,-0.457669,-0.828472,-0.610896,0.089974,0.090753,0.513946,-0.44991,0.009792,0.491794,0.023461,0.290702,-1.129388,-0.727489,0.090553,0.06092,0.090666,1.950316,-0.225451,0.342944,-0.385184,0.168076,-0.687572,0.409362,0.267737,0.131501,0.764442,-0.594935
espace,0.451545,-0.908698,-0.296626,0.194003,-0.607762,0.406328,0.386856,-0.597667,-0.417296,-0.696157,-1.371574,0.055938,-0.545887,-0.493971,-0.075748,0.540316,0.566044,2.238961,-0.097129,0.032325,-0.629799,0.428205,0.798573,0.278373,1.273227,-0.08324,0.822678,-0.106212
théorème,0.810116,-0.234002,-1.526614,-0.322271,1.163999,0.568324,-0.597565,0.884464,1.306923,0.842533,-0.956379,0.165014,0.046197,-2.153059,0.642308,-0.373298,-1.076173,-0.442718,0.357722,-0.480873,0.001993,1.002345,0.502134,-0.549376,1.054768,-1.227959,0.2066,-1.062637
problème,0.047132,-0.595717,-0.893999,0.410681,0.180728,0.325839,0.767761,0.115688,0.908487,-0.025523,0.409787,0.034028,-0.349703,-0.642971,0.473876,-0.487979,-0.628635,2.315931,0.400653,-0.295107,-0.923245,0.338559,-0.118453,-0.257364,-0.234852,0.592826,0.856209,-0.420394
valeur,-0.504049,-0.462556,-1.041757,-0.071722,0.886315,-0.210941,0.6609,-0.501589,0.266,0.632896,-0.164556,0.767297,-0.992025,-1.535884,-0.306311,-0.062304,-0.14233,2.344703,-0.220744,0.513501,-0.304621,-0.004124,-0.036514,-0.292718,0.888876,-0.276641,0.407794,-0.27534
groupe,0.362721,-0.023274,-0.194108,-0.109566,-0.271691,-0.216121,0.208957,-0.413815,0.776814,0.048511,-0.021611,0.152206,-0.301328,0.532139,0.064639,1.148118,1.118038,1.488788,0.854971,-0.063332,-0.46972,0.301969,-1.680312,0.358531,0.191163,0.745668,-0.574401,0.245335
graphe,0.737996,-0.870269,-1.028627,0.301685,0.007516,-0.087287,-0.3669,-0.409841,-0.391219,0.487937,-0.888477,-0.353129,-0.879814,-2.000792,-0.527686,0.129605,0.185047,-0.63456,0.241089,0.245443,-0.295673,0.724731,0.474614,-0.517827,0.896787,-1.168067,0.935133,-0.848416
forme,0.846879,0.052507,-0.343705,-0.594379,0.101874,-0.043735,0.067797,-1.056684,-0.203288,0.929406,-0.688835,0.449582,-1.392385,-0.152723,0.380798,-0.228578,0.194203,2.031503,-0.222374,0.170436,-0.29515,0.202281,-0.876333,0.51811,0.623221,-0.431429,1.020666,-0.024137
entier,0.145972,0.065516,-0.154587,-0.156377,0.008,-0.104062,-0.033393,-0.363462,-0.228954,0.440383,0.077713,0.384097,-0.733797,-0.371185,-0.252336,0.268815,0.316942,1.797766,-0.586326,0.506555,-0.433351,0.143495,-0.514037,0.333989,0.50708,0.115874,0.077211,-0.26344
système,1.792853,-1.127975,-1.563192,0.150554,0.406807,-0.553973,0.994902,-0.611266,0.661717,0.039763,0.195178,-0.232157,-1.070083,-0.471232,0.015801,0.108977,-0.112739,2.269396,0.293986,-0.250618,-0.983816,0.443101,-0.240289,0.134843,0.331173,-0.570005,0.32647,0.11554
équation,1.447635,-0.441968,-1.672087,-0.069292,1.311944,0.897824,-0.257519,0.673229,1.927272,1.002832,-0.536568,0.509124,-0.237393,-2.017165,0.744398,-0.512836,-1.008961,0.212355,-0.082385,-0.541133,0.403525,1.623015,0.197827,-0.07817,1.389684,-1.131752,0.520475,-0.49625
suite,0.396573,0.845942,0.34552,0.156023,0.160607,0.105291,0.499173,0.07682,0.807759,-0.202161,0.858637,0.201348,0.01102,0.856772,0.491065,0.022737,-0.158132,1.97155,0.29984,0.244211,-0.490527,-0.111289,-0.499207,-0.194517,0.02347,0.30475,-0.197217,-0.16398
algorithme,1.108832,-1.030655,-1.173518,-0.421367,0.332146,0.266331,0.77569,0.288882,0.458408,0.592326,-0.281222,-0.994461,-1.012431,-1.161626,0.400505,-0.381432,-0.847999,-0.216561,0.690288,0.517731,-1.422293,1.163243,0.241494,-0.265561,-0.198892,-0.870825,0.8957,-0.355103
calcul,0.652227,-0.659025,-1.652326,0.19634,0.793948,0.211421,1.00916,0.203295,0.656456,0.279998,-0.028565,-0.230005,-1.348323,-1.613678,0.781706,-0.151409,-1.162177,1.12148,-0.269743,0.495227,-0.703596,0.990473,0.232385,-0.600037,0.817835,-0.861897,0.483167,0.150039
application,1.315252,-0.638717,-2.225835,-0.388135,0.98477,-0.605813,1.632864,0.154625,0.391778,-0.102771,0.030253,-0.385143,-0.72725,-0.161063,0.092203,0.045276,0.319469,1.704725,-0.108553,0.441463,-1.338973,0.504443,0.111586,0.192267,-0.054266,-0.314334,0.132851,-0.264649
élément,0.340032,-0.269535,-1.082724,-1.052779,-0.103688,0.576677,0.023694,-0.922409,-0.196105,0.891277,-0.340107,0.224806,-1.192828,-0.362243,0.607789,0.283432,0.016186,2.317019,0.169678,0.063502,-0.418804,0.174155,-0.497351,0.219197,0.552336,-0.886624,0.788593,-0.206955
grand,0.351367,0.312172,0.694834,0.034797,-0.572031,-0.120756,-0.098069,-0.639286,-0.027925,-0.383211,-0.39604,0.522851,-0.319527,0.237738,-0.355977,-0.081218,-0.12837,2.409839,-0.215842,0.093589,0.516252,-0.417792,-0.08344,0.088915,0.832732,0.289715,0.211793,0.741713
propriété,1.021132,0.135687,-1.558315,-0.489032,0.040491,-0.984901,0.408637,0.133987,0.006745,0.617375,-0.841313,0.618104,-0.248401,-0.118247,0.261664,-0.013447,-0.781228,1.738463,-0.715447,-0.284446,0.46622,-0.756397,0.18949,0.098011,0.840671,0.157493,0.377016,-0.654284
ordre,0.878314,0.567293,-0.266497,-0.587879,1.014673,0.010274,-0.548627,-0.396333,-0.254515,-0.116092,1.038349,-0.042806,0.326461,-0.052031,-0.493634,-0.591322,-0.291223,2.423317,-0.451989,-0.079953,0.809014,-0.329256,-0.1636,-0.133886,0.39734,-0.426317,-0.550823,-0.235721
variable,0.566969,-1.417049,-1.125834,0.562828,1.032323,0.033473,1.061539,-0.618829,0.226288,0.474529,-0.17789,0.336566,-1.504293,-0.853458,0.035234,-0.741448,-0.444349,0.913859,-0.604075,0.303812,0.035156,0.745921,-0.592772,0.426737,1.506151,-0.756149,0.713719,-0.599094
base,0.853105,-0.564859,-0.986665,-0.133558,-0.168633,-0.391851,0.508985,-0.317694,-0.700615,0.782593,0.266343,-0.163405,-1.162482,0.130315,-0.054417,-0.081358,0.3797,1.925339,0.060166,-0.155913,-0.629167,0.346225,-0.386669,0.543344,0.369985,-0.592583,-0.177474,0.268386
géométrie,0.586912,-0.184821,-1.421734,-0.478194,0.748882,0.259073,-0.515531,-0.596464,0.395924,0.17308,-1.306222,-0.560347,-0.47547,-1.622048,1.036321,-0.230837,-0.154979,0.61422,-0.343611,-0.3123,-0.200178,1.561445,0.376088,0.121357,0.199935,-1.687564,1.124096,0.423973
analyse,-0.107799,0.149743,-1.657482,-0.657158,0.75436,1.168457,0.648364,0.321857,0.114032,-0.19887,-0.069241,-0.49284,-1.197277,-1.062763,0.115887,0.10093,-0.182032,1.700789,0.566985,-0.371293,-0.765682,1.086787,0.347034,0.173273,0.637236,0.577442,1.091749,0.063773
loi,-0.256846,0.023561,-0.622523,-0.495772,1.476131,-0.526816,0.890288,0.817122,0.304599,0.480334,0.804157,0.609363,0.091629,-0.603654,-0.136773,-0.331252,0.129949,2.335069,0.595543,-0.475809,-0.041721,0.018576,0.539398,-0.176436,0.465599,0.279693,-0.897818,-1.649396
