word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
un,-0.010256,0.068046,0.235065,0.288914,0.404175,0.65968,0.123501,0.077292,-0.913676,-0.397792,-0.263846,0.307486,0.160104,0.391668,0.73262,0.021674,0.091643,0.126822,0.463827,-0.15444,1.481419,-0.296604,0.671686,1.164181,-1.031451,0.654232,0.02824,-1.288471,-0.304753
nombre,-0.521774,0.144997,0.127291,0.912515,0.922881,0.836726,0.615603,0.39705,-0.245574,-0.201927,-0.110068,0.312415,0.148299,0.016321,1.160968,0.573121,0.163995,0.251751,0.169091,0.005691,2.189506,0.394361,-0.281142,0.960595,0.466627,0.051884,0.456727,-0.888896,-1.135713
$\mathbb{N}$,-0.716667,0.38499,-0.126283,-0.1277,0.685312,0.615617,0.350113,-0.013287,-0.661677,-0.891185,-0.241785,0.398125,-0.310354,0.189703,1.104804,0.515192,0.102613,0.047711,0.031868,0.024094,1.012805,0.18398,0.474219,0.804153,-0.473142,0.061676,-0.005771,-1.251906,-0.834401
deux,-0.457758,0.124646,-0.272126,0.513107,-0.214767,0.647851,-0.220808,0.29025,-0.863059,-0.387239,-0.277758,-0.153022,0.25234,0.326295,0.675518,0.292971,0.587126,-0.07077,-0.088186,-0.258176,1.253506,-0.272432,0.099017,1.177235,-1.171842,0.413067,-0.184224,-1.347639,-0.833834
fonction,0.389761,1.146152,-0.163493,-0.003203,1.618204,0.864631,0.424903,0.422685,-0.336302,-1.067838,-0.631499,-0.025499,0.310575,0.382157,1.296049,-0.52245,0.722816,-0.652868,-1.189607,-0.349199,1.199372,0.289564,0.241903,0.46014,-0.240173,1.357267,0.55616,-0.432744,-0.424463
premier,-0.781083,0.258038,-0.357156,0.503978,-0.466573,0.62541,0.604885,0.741397,-0.408288,0.154593,0.579845,-0.114526,0.21364,0.327522,0.687842,0.297148,0.569368,0.290428,-0.040773,-0.603336,0.931575,-0.776783,0.632847,0.742292,-1.007092,0.510763,-0.224084,-0.807432,-0.719843
ensemble,0.252712,0.667264,-0.63325,0.507657,0.702293,0.266637,-0.11772,0.249958,-0.64835,-0.275269,-0.535607,0.733125,0.105816,0.361816,0.337978,-0.50779,0.244204,-0.161362,0.496032,-0.092312,0.800987,0.04785,-0.008398,0.722106,-0.943838,0.761894,0.378126,-1.164164,-0.985471
point,-0.862324,0.726936,-0.427664,0.718055,0.148002,0.000664,0.589224,-0.41473,-0.029559,0.129699,0.017203,-0.570676,-0.401141,0.042206,0.911656,0.08299,-0.048642,-0.462413,-0.100293,0.222967,1.193345,0.940891,-0.497512,1.717868,-0.324324,-0.322848,0.297622,-1.386297,-1.122388
théorie,0.397667,1.373534,-0.339771,0.347548,1.604671,0.956901,2.227353,-0.244705,-0.214947,-1.133988,-0.170772,-0.716513,-0.63349,-1.0084,0.305719,-0.316294,0.173014,-0.257234,1.291873,0.536439,0.060157,0.583484,0.683116,0.208825,0.229166,1.414275,1.422271,-0.423732,-0.378518
exemple,0.465267,0.595749,0.17265,0.171983,1.563923,0.70232,0.305115,-0.437206,-0.948851,-0.529027,-0.312578,0.458006,-0.48804,0.568316,0.642316,-0.12542,0.004854,0.484127,0.024682,-0.034808,1.032573,0.59073,0.28451,0.459213,-0.274504,0.762235,0.334886,-1.215557,-0.580052
espace,1.198998,0.134064,-0.604036,0.418725,1.162254,-0.12475,0.332564,0.166329,-0.301769,-0.168075,-0.678187,0.305019,0.011764,0.681863,-0.127916,-0.26079,-0.518148,-0.874551,0.441115,0.898035,0.760905,0.73789,-0.086069,1.148384,-1.416364,0.832611,0.687285,-1.475171,-0.455787
théorème,1.220848,2.413725,-0.262797,1.029112,1.53677,1.433681,1.360105,-0.045681,0.143324,-0.033163,-1.503374,-0.634331,-0.083396,-0.805409,-0.22215,0.646942,0.908713,-1.385555,0.143114,0.227929,-1.116401,2.232075,0.051873,0.174309,0.192869,0.5898,1.149326,0.00568,-1.337287
problème,-0.252758,0.994062,0.201192,0.00873,1.802863,0.410707,1.082385,-0.331615,-0.192871,-0.505719,0.183436,-0.208901,-0.068644,-0.286704,0.862233,0.156913,-0.136249,-0.42877,0.12534,0.424756,0.504465,0.139202,1.073278,0.813658,0.076113,0.431689,0.491989,-1.276463,-0.006437
valeur,0.271598,0.65465,0.220695,0.442413,1.771453,-0.104344,1.128484,0.4307,-0.730981,-0.653404,-0.224945,0.516167,-0.242229,0.737043,1.004142,-0.063883,-0.0935,-0.348141,0.369269,-0.139008,1.638135,1.43431,-0.102103,0.941054,0.36407,0.290963,0.436522,-0.741026,-0.762385
