word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
un,-0.923277,-0.090809,0.188124,0.325411,2.692292,0.857085,-0.718494,-1.309627,2.524874,0.634143,1.010737,-0.044505,-0.145086,-0.021987,0.183768,-0.221327,1.36055,-0.815692,-0.372834,0.943117,-0.595665,-0.982675,-0.059878,0.057447,1.4602,1.942609,-1.194096,-0.133755,-0.264822
nombre,0.049144,0.283642,0.064657,0.313989,1.696897,1.997426,-1.727922,0.008758,2.3654,-0.457982,-1.462667,-0.385911,-1.66297,1.178109,1.268482,0.314263,1.464722,-0.045714,-0.874575,1.376965,-0.489076,-0.937506,-0.708945,0.014045,2.029238,1.853544,-0.824783,-0.875713,0.636981
$\mathbb{N}$,-0.672466,-0.279846,-0.535474,0.8881,1.753105,1.083514,-1.001135,-1.164986,2.909667,-0.093589,-0.982525,-0.309935,-0.692345,0.423179,0.589046,-0.04229,0.140637,0.126848,-0.74268,0.290133,-1.265145,-0.593902,0.284981,-0.065744,1.349227,1.52011,-0.171787,0.133316,-1.187286
deux,-0.618421,0.049365,-0.082133,0.39764,1.787653,0.454534,-0.864309,-1.156645,3.379575,-0.569074,0.468337,-0.458533,-0.188647,0.021878,0.643894,-0.133955,1.293585,-0.797177,-0.70763,1.000486,-0.497514,-0.115839,-0.246395,0.438577,0.223112,2.118294,-0.483971,0.193254,-0.056048
fonction,0.691797,0.579426,-0.295476,-0.841262,1.977733,0.460409,0.080238,-0.316169,3.221062,0.230744,-0.582508,1.190185,-0.300258,-0.24452,0.287562,-0.806435,0.837386,0.304521,-0.680571,0.724358,1.163661,-0.802138,0.969446,1.57939,1.969824,2.156803,-0.055693,-0.093909,-1.206102
premier,-0.2292,0.591149,0.171522,0.135001,2.331955,1.452994,-1.05163,0.114095,2.185512,-0.181133,-1.133233,-0.499393,-0.818872,0.189441,0.223024,-0.111612,1.181123,-0.174372,-0.586732,1.78978,-0.389229,-0.549212,-0.898438,-0.272668,1.0469,1.62472,-1.018413,-0.921484,0.45607
ensemble,-0.395528,0.166936,-0.104001,1.185145,1.642831,-0.548903,-1.158518,-1.145279,3.249127,-0.572692,0.548538,0.173977,-0.036968,0.964177,-0.142378,-0.660754,1.039979,0.527321,-1.352381,0.672945,-0.136429,-0.62391,0.266988,-0.1729,2.15033,0.909694,-0.883911,-0.398239,-1.017507
point,-0.036713,-0.65936,0.281707,1.215227,1.671083,-0.279394,-1.660829,-0.537434,3.285934,-1.155562,0.286998,0.881343,-0.00821,-0.639672,0.729777,0.175203,0.58909,-1.146636,-0.236458,-0.106008,-0.231839,0.397382,0.342789,1.090793,0.872549,1.68711,0.210435,0.220204,-1.019856
théorie,0.097995,0.779155,-0.326407,1.013643,2.55291,-0.898158,-0.093761,-0.51508,1.009156,0.056492,0.177227,-0.288584,-1.17327,0.915952,-0.913972,-0.540767,0.8577,-0.273369,1.161593,0.859864,-0.09922,-0.751417,-0.376128,0.386421,2.745959,1.356926,-1.018464,-0.681946,-0.280699
exemple,-0.333598,-0.349362,-0.075711,1.074708,1.542607,0.791263,-0.342362,-1.537634,2.328753,0.045725,-0.352564,-0.356005,-0.523121,0.038915,0.270404,-0.018895,1.072472,-0.529814,-0.250418,0.677005,-0.088641,-1.04281,0.515096,0.240289,1.241514,1.516479,-0.619602,-0.782255,-0.422905
espace,-0.84717,-0.237973,-0.837776,1.643967,1.366336,-1.761211,-0.119045,-1.080356,2.489254,0.175091,1.837884,0.539346,-0.852535,-0.030137,0.679725,-0.038735,0.456522,-0.133519,-0.941169,0.992439,-0.312245,-0.854805,1.696325,1.607115,1.232943,1.533082,-1.587087,-0.583705,-1.136315
théorème,-1.016111,0.745596,-0.216333,1.037001,2.333225,-0.659114,0.418767,0.012222,1.715144,-0.763032,-0.376542,-0.479748,-1.985615,-0.873644,0.262567,-0.594249,-0.216068,-0.622288,-0.727951,-0.320578,1.059035,-0.529952,-0.672516,0.604941,2.54548,1.684991,-1.650385,0.039165,-0.688479
problème,-0.144396,0.319741,0.668054,1.312835,1.414046,0.299954,0.667968,-0.992198,2.398328,-0.269369,0.775324,0.679891,-0.995873,-0.167153,0.912081,0.361718,1.039262,-1.440279,0.713545,0.373568,-0.777337,-0.803852,-1.029328,-0.6594,2.617392,0.486871,-0.89482,-0.059797,0.209418
valeur,0.11322,-0.201939,0.539681,0.12075,1.202845,1.164325,-0.813763,-1.085943,3.668411,0.51869,-0.715616,0.107502,0.33507,-0.067176,0.764371,0.495904,0.688144,-0.424394,0.016078,0.157191,0.020923,-1.229614,1.261881,0.618863,1.16587,1.081629,-0.899421,-0.09514,-0.398122
groupe,-1.186157,-1.138562,-0.204408,0.589005,1.278981,-0.770543,-1.006779,-0.611287,1.641428,-0.350115,0.804282,-0.598717,-1.972972,1.001396,-0.347117,-0.960707,0.375424,1.016732,-0.106732,1.576531,-1.476224,-0.740686,-0.090626,1.173437,0.768657,2.234248,-1.245269,0.06635,-0.211714
graphe,-0.12753,-0.753098,0.385066,0.917084,1.100962,-0.243776,-0.519376,-0.800063,1.504122,0.060424,1.920691,-2.03528,-2.184701,-0.074486,0.324918,1.291883,1.684409,0.956345,-1.608583,-0.117532,-0.259632,0.275302,-0.3245,-0.701947,2.451164,1.900255,-0.505998,0.493919,0.491661
forme,0.207415,-0.419824,0.382302,0.888139,1.459175,0.268671,0.434741,-1.081781,2.548559,0.271087,-0.04979,0.492891,-1.005366,0.042138,0.89728,-0.724845,1.001726,-0.069245,-0.408536,1.232624,-0.197979,-0.512933,0.365161,0.519643,0.586509,1.7082,-0.545336,-0.515695,-0.418912
entier,-0.113251,-0.195943,0.525843,0.312336,1.129644,1.146081,-1.087204,0.050742,2.986488,-0.629845,-1.746645,0.55172,-1.040714,0.486928,0.750771,-0.490528,0.147663,0.474167,-1.335163,1.286778,-0.424281,-1.145039,-0.036068,0.264903,1.218209,1.571408,-1.113667,-0.859585,-0.334285
système,0.256665,-0.662335,-0.263865,0.978155,2.119808,0.913667,-0.511137,-2.046468,1.296937,0.779557,0.186043,0.697425,-0.052678,-0.185984,-0.267569,-0.90093,1.274425,0.035025,0.656906,1.42292,-0.675309,-0.53516,-0.076139,0.461803,1.820448,0.570863,-0.293219,-0.975145,0.100886
équation,0.293481,0.426595,0.05717,1.140483,1.514451,-0.282083,0.433206,-0.530178,2.925385,0.183559,-0.364424,2.06902,-1.063252,-0.764906,1.535753,-0.554164,0.429481,-0.090014,1.223971,1.383781,-0.059876,0.213075,-1.05408,1.566621,1.68928,1.402747,0.236437,0.002032,0.093615
suite,-0.67546,0.619662,0.253608,-0.404327,1.32735,0.49277,-0.391857,0.058568,2.565024,0.661696,-0.929947,0.03259,-0.223895,0.561994,0.262682,0.053798,0.312456,0.23307,-1.766174,0.884267,0.23957,-0.663992,0.315766,0.35886,1.62967,1.762574,-0.783878,-1.036475,-1.035274
algorithme,-0.753235,-1.004748,1.448786,-0.253326,0.55405,0.738784,0.56339,-1.251443,1.458559,0.223273,-0.170528,-0.178844,0.06426,-0.958735,0.307751,0.788789,1.36798,-0.726023,-0.324783,0.223367,0.141498,-1.28443,-1.003205,-0.543354,3.374413,1.383768,0.349226,-0.266917,-0.740905
calcul,-0.092841,0.299746,0.498881,0.130777,1.172862,1.174876,0.621582,-0.896846,1.799972,0.571773,-0.612542,0.635462,-0.497388,-0.550173,0.261649,-0.883968,1.116703,-1.025125,1.337892,1.142973,-0.069893,-1.066781,-0.144995,-0.358602,1.638338,1.783228,-0.363984,-0.677409,-0.464762
application,-0.623064,-0.406762,0.016914,0.267632,1.598516,-0.310758,0.504913,-0.16351,2.148785,-0.450317,0.765279,1.199601,-1.032921,-0.229929,-1.055196,-0.084092,0.668435,-0.171686,0.491719,1.165346,-0.213218,-1.203475,0.871789,1.099334,1.154817,1.326851,0.410147,-0.77025,-1.405466
élément,-1.217109,-0.420235,1.139239,1.492652,0.756318,0.157063,-0.780411,-0.693515,2.709808,0.022066,0.101808,-0.47712,-0.054073,0.843101,0.580755,-0.396142,0.099487,0.27244,-0.810556,0.791922,-0.515536,-0.619769,-0.065675,0.019163,0.884768,1.655892,-0.521905,-0.629041,-0.811698
grand,-0.418428,0.29297,-0.108395,-0.056635,2.30623,1.149042,-1.132121,-0.877157,1.47402,0.199515,-0.082404,0.506849,-0.170268,0.440974,0.125664,1.061722,-0.048228,-0.440334,0.046969,0.551303,-0.130028,-0.464207,-0.545977,-0.824423,0.968922,2.418504,-1.151827,0.59962,-0.151886
propriété,-0.111083,-0.032383,0.194597,0.994042,1.77232,0.011787,0.113258,-1.376279,2.384662,-0.481264,0.367783,-0.335247,-1.22552,-0.149535,0.228477,-0.276354,0.212239,0.476836,-0.630003,-0.281776,0.219068,-0.438214,0.277114,0.580636,1.293578,1.841333,-1.04515,-0.299011,-0.491106
ordre,-0.751115,0.858038,0.451277,0.767012,1.824127,1.073996,-0.774624,-1.053761,2.685182,-0.155273,0.056094,0.010956,-1.192679,-0.050758,0.007709,0.21618,0.385755,2.095142,-0.207498,0.394333,0.073097,0.63518,-0.08423,0.090652,1.054909,1.427532,-0.57319,0.020433,-0.296892
variable,-0.051763,0.22795,0.670293,-0.220409,1.009147,0.304706,0.499773,-1.525276,3.576802,-0.109239,-0.660367,-0.035109,0.468108,1.444587,0.234955,0.356458,1.360008,-0.210148,0.466439,0.318011,0.206989,-0.175048,0.474341,2.640244,1.24994,0.534158,0.096994,0.024973,-0.566951
base,-0.577707,-1.076149,0.091354,0.733681,1.437527,0.755018,-0.716104,-1.819219,1.555802,0.029255,0.039653,0.29319,-0.840544,-0.553999,0.602014,-0.369369,1.407322,-0.275859,-0.899721,1.734407,-0.032279,-0.660775,0.764014,0.448514,0.29708,1.210018,-0.784134,-0.781254,-0.572659
géométrie,0.213683,0.564495,0.016912,1.381991,2.26481,-1.261984,0.403637,-0.09236,0.242158,-0.876618,0.850833,0.47726,-1.486813,-0.015526,0.672452,-0.368692,1.133916,-0.939949,0.808341,1.729625,-0.10688,0.128353,-0.205226,0.45841,0.887705,2.391035,-0.681722,-0.209709,-1.038253
analyse,-0.069142,0.229365,1.084398,-0.059176,1.970286,0.225457,1.009895,-0.775739,0.772891,-0.120496,0.420998,0.767277,-0.193518,0.236655,-0.612096,0.189374,0.618495,-0.682082,1.12574,1.650956,0.497171,-0.924381,0.034565,1.284172,2.035971,1.591134,-0.797612,-0.557127,-0.909556
loi,-0.421835,-0.054955,-0.417872,-0.5401,1.768414,0.133983,-0.294784,-1.172546,2.093095,1.408115,-1.164426,-0.832667,-0.50971,0.896644,-0.321199,-0.135399,0.091857,-0.966045,-0.021974,-0.118242,1.215773,0.635386,0.379365,2.165795,0.939586,1.162253,-1.33049,-0.026724,-0.314499
définition,0.285843,0.193437,0.011445,0.918475,1.538516,-0.630599,0.456474,-1.264108,2.510286,-0.071985,-0.081592,0.024299,-0.55295,-0.026717,0.177793,-0.631519,0.601344,0.087364,-0.399049,0.405469,0.257431,-0.605833,0.477152,0.130449,1.287087,1.491146,-1.002994,-0.608119,-0.622642
réel,0.451372,-0.332675,0.245232,0.411621,1.653691,-0.126959,-0.161312,-0.455908,2.592851,0.134384,-0.387051,0.572043,-0.450142,0.778901,0.973502,-0.435628,-0.18398,-0.039416,-0.593778,0.767988,-0.11958,-0.87248,0.943413,1.17183,1.233438,1.849342,-0.667067,-0.30303,-1.20047
dimension,-0.2447,-0.848223,-0.096129,1.440699,1.266427,-0.571118,-0.634137,-0.592602,2.007376,-0.249037,0.774662,0.117924,-1.656267,-0.131209,1.001883,0.456119,0.537355,-0.335287,-0.116936,0.767106,-0.810707,-0.43144,1.105886,0.85745,0.906593,1.19409,-0.818596,-0.639389,-0.527312
statistique,-0.031346,-0.152709,0.710035,-0.690414,2.435596,0.983729,-0.294601,-1.166053,0.472155,0.097483,-0.261644,-0.142468,0.629255,0.017145,-1.783713,0.721046,0.687831,-0.507495,1.163714,1.667978,0.78986,0.071907,0.667863,1.624529,1.45936,0.45445,-1.341577,0.454249,-0.936045
sommet,-0.431644,-0.685251,0.277079,1.294861,0.429941,0.496761,-1.375766,-1.007101,2.927249,-0.817191,1.413767,-1.708274,-1.014227,0.134209,0.963795,1.370985,1.509967,-0.313971,-1.396866,-0.132162,-0.949546,0.778765,-0.10161,-0.994389,0.615228,2.070078,0.501482,0.784267,0.182932
logique,0.802979,0.543196,0.347568,1.703717,2.643307,0.586156,1.593659,-1.587914,1.122253,0.224844,-0.445844,-1.355082,-0.261149,0.869261,-0.952659,-1.253399,0.459348,-0.20288,0.789247,1.076392,-0.0794,0.123065,0.148843,-0.742405,1.471406,0.285443,0.389758,-0.747293,-1.111241
terme,0.420088,0.202617,0.640376,0.153179,1.281971,0.430415,0.273459,-1.427392,2.758785,0.276652,-0.872481,0.030735,-0.227414,0.632259,0.507551,-0.149648,0.886656,0.141272,0.097876,0.429741,-0.208222,-0.401926,0.118268,-0.151105,0.42136,1.405212,-0.498053,-0.529293,-0.542527
trois,-0.631794,0.225631,0.023821,0.70268,1.503567,0.588596,-1.013466,-0.80156,2.466452,-0.909789,0.417799,-0.26093,-0.155357,-0.203992,0.758653,-0.194825,1.191345,-0.904991,-0.446412,1.257973,-0.600939,0.083084,-0.944654,0.192285,-0.290429,1.440251,-0.484123,0.20254,0.372453
plan,0.112088,-0.989893,0.117589,1.165228,1.727222,-0.744033,-1.341487,-0.775391,1.591804,-0.874014,0.845069,0.108106,-0.340493,-0.830283,0.569042,-0.680672,0.660133,-1.270112,-0.38223,0.66384,-0.190425,0.784364,0.725742,1.077696,0.079641,2.269386,-0.283019,-0.08543,-1.255286
formule,-0.602571,0.38365,0.105987,1.00009,1.435521,0.303102,1.121071,-1.095153,2.753196,0.263224,-1.430672,-0.392509,-0.775779,-0.692299,1.120303,-1.284331,0.758513,-0.303648,0.22013,0.124641,1.097202,-0.310299,0.131721,0.311456,0.719686,1.090612,-0.517213,-0.028917,-0.703938
droite,0.205466,-0.618536,0.351332,0.916636,0.743759,-0.450773,-1.130016,-0.382219,2.587866,-0.947103,0.013488,0.011299,0.580169,-1.356188,0.226788,-0.387792,0.399832,-0.707081,-0.966181,0.623868,0.079205,0.91886,0.63014,0.392058,-0.395056,2.78989,0.252222,0.212452,-1.481718
$\mathbb{C}$,-0.580544,-1.2458,-0.277918,1.380684,0.442248,0.51464,-0.741322,-0.682305,2.545704,-0.959572,-0.621024,0.229953,-0.454376,-0.214585,-0.157556,0.010817,0.30333,-0.019763,-0.451246,0.738099,-0.329432,-0.516145,0.696258,-0.298028,0.489192,1.472703,0.492298,0.77253,-1.353899
solution,0.051511,-0.304455,0.357575,0.424119,1.535805,-0.076419,0.060114,-0.617266,2.970468,-0.591558,-0.46737,1.203915,-0.646497,-0.58922,0.944952,0.27594,0.497217,-0.820167,0.226973,-0.117159,-0.968553,-0.678667,-0.856994,0.368353,1.841126,0.230107,0.194613,-0.435432,-0.404545
