word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
un,0.453762,-0.550195,0.050582,-0.481612,0.083218,-0.034397,-0.091493,-0.717389,-0.207064,0.078167,-0.319572,-0.15101,-0.389128,0.360256,0.309089,0.21567,-0.036176,0.235688,-0.810266,-0.800201,0.266926,0.176545,0.530693,0.206014,-0.589095,-0.256233,1.474709,0.100869,2.134109,0.264281
nombre,-0.306642,-1.474039,0.144801,0.221083,0.068297,0.411822,0.831476,-0.97083,-0.310632,1.125471,0.277077,0.111477,0.583729,0.635303,-0.243253,0.288463,-0.988691,0.180064,-0.314496,-0.746818,0.08814,0.515797,0.078465,-0.244711,-0.651301,-0.335091,1.339676,0.211575,2.027301,0.153597
$\mathbb{N}$,0.217906,-0.849751,0.56987,-0.366722,-0.103467,0.165456,0.327441,-0.586453,-0.277912,0.557663,0.003894,0.036438,-0.889227,0.225602,-0.613508,0.350938,0.100106,-0.015872,-0.781266,-0.670366,0.091264,0.284928,0.040347,-0.710555,-0.765607,-0.019596,1.140448,0.199034,1.730304,0.024964
deux,0.392847,-0.279761,0.189633,0.028094,0.360367,-0.062972,-0.608558,-1.117513,-0.097313,0.10364,-0.069269,0.212521,-0.204279,0.280258,0.048946,0.434624,-0.029181,0.28644,-0.728341,-0.880344,0.277477,0.190074,0.363379,-0.218344,-0.096649,0.596111,1.155341,-0.027128,2.345536,0.256826
fonction,0.184925,0.181935,0.555703,-0.128899,0.322698,1.637766,0.54308,-0.292053,-1.064125,1.034254,0.527653,0.110879,-0.992464,0.524038,-0.196453,-0.299493,-0.942424,0.304207,-0.233388,-1.081784,0.609698,-1.011218,0.664934,-0.199384,-0.792251,0.02207,1.183605,0.096748,1.38752,1.225821
premier,-0.2169,-0.256705,-0.060079,-0.026419,0.305778,0.160172,-0.487976,-0.484989,0.047706,-0.697413,0.098349,-0.127965,0.184033,-0.343112,-0.110251,-0.083891,-0.305682,0.429565,-0.686719,-0.508796,-0.098575,0.488451,0.239849,-0.878397,0.348444,0.341347,0.737374,0.247102,2.54045,0.326692
ensemble,0.0521,0.425442,0.31286,-0.812235,0.185494,-0.049692,-0.09825,-0.867038,-0.524479,0.713173,0.206429,0.462075,-0.534233,-0.09542,0.034542,0.289573,-0.161381,0.606484,-0.319561,-0.080812,0.932387,0.198168,0.348304,0.366243,-0.423197,-0.341928,1.014174,0.044056,1.924901,0.427333
point,-0.221315,-0.365806,-0.437523,0.457768,0.041293,0.124018,0.298444,-1.575371,0.436883,1.198783,0.868977,-0.399504,-0.066801,0.334522,-0.433908,1.094424,-0.101182,-0.139707,-0.591985,-0.279187,0.017281,-0.012583,-0.299396,-0.538674,0.427175,0.207618,1.611218,0.141369,1.636677,-0.125589
théorie,-0.576569,0.083163,0.911832,-0.11502,-1.166248,0.925223,1.229242,0.125123,0.243498,0.800775,1.293461,-0.222888,-1.256274,0.102567,0.703035,0.67849,-0.707736,0.448982,-1.676736,-0.460676,-0.13773,-0.249306,-0.116278,-0.365839,-0.029273,-2.021911,0.804661,-0.536815,0.556931,1.505754
exemple,0.52817,-0.502706,0.650107,-0.66253,-0.285586,0.201348,0.861394,-0.585384,-0.599569,0.798432,-0.270068,-0.367367,-0.56786,0.253802,-0.404576,0.351097,-0.299491,0.849882,-0.497811,-0.579861,0.207914,-0.130251,0.485134,-0.132441,-0.652734,-0.819889,1.487419,-0.049136,0.956916,0.631946
espace,0.896257,0.927722,0.240132,-0.431241,0.133441,-0.103611,0.768676,-1.043017,-0.258643,1.253737,0.777969,0.511614,-0.464184,0.002145,0.829735,0.373906,0.475989,0.430201,-0.042908,-0.558808,0.733382,-0.369099,0.170563,0.900038,-0.26975,-1.108088,1.378708,-0.3748,1.56256,0.035238
théorème,-0.331428,0.377077,1.100249,0.536258,0.218368,0.264966,1.449448,-1.10994,-0.215736,1.246262,2.613333,0.465016,-1.577153,0.49089,0.521611,1.135129,-0.616888,1.201365,-0.273813,-0.546515,1.025175,-0.618765,-0.739468,-1.230485,0.190806,-1.100946,-0.006845,0.798795,-0.975409,2.166722
problème,0.348768,-0.525207,0.042461,-0.597142,-0.722069,1.017508,0.921612,0.095873,0.161016,1.02579,0.386027,-0.613188,-1.059562,-0.019897,0.633918,0.567493,-0.08371,-0.093655,-0.994262,-0.911452,-0.213685,0.138953,-0.104044,-0.442866,-0.570794,-0.37335,1.383907,0.44378,0.859867,0.560996
valeur,0.502496,-0.583119,0.315924,-0.066911,0.279691,0.945381,1.53272,-0.94686,-0.131031,0.995873,0.528548,-0.319919,-0.598889,0.245756,-0.791943,0.104748,-1.002958,0.112583,-0.274616,0.181408,0.491115,0.126814,0.005537,0.138111,-0.856855,-1.055779,1.919739,-0.221244,1.14647,0.622009
groupe,-0.352057,0.345745,0.702042,-0.287701,0.494138,-0.78469,-0.560175,0.322502,-0.248964,0.626075,-0.435517,-0.553081,0.137113,-0.323507,-0.34977,-0.312563,0.132501,0.154202,-1.034641,-0.037698,-0.383203,-0.178992,0.274588,-0.336603,0.215,-0.26687,0.804301,0.909309,2.321174,0.570263
graphe,-0.053135,-0.613816,1.264557,0.562711,0.115364,0.158971,0.877779,-1.521781,0.065906,1.874314,1.164393,1.573928,0.283953,1.891648,0.939742,0.602647,-0.40555,0.258832,-0.062277,-0.572009,0.850407,-0.761191,0.162236,-0.175653,0.633855,-1.060782,0.398159,1.003561,-1.299668,1.221859
