word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
un,-0.739933,0.209298,-0.622542,-0.258609,-0.51412,0.734688,2.51282,-2.511089,0.48009,-0.084221,0.016711,-0.238841,0.083991,0.532274,0.260023,-0.171563,-0.066986,0.475465,0.439215,-0.689942,0.266381,0.66273,-1.226026,0.362361,1.229292,2.517669,-0.756929,2.098758,1.27262,0.340842
nombre,-0.726488,0.307046,-1.100014,-1.920241,-1.07679,0.870527,2.168032,-1.347581,-0.095528,0.316683,-0.247636,0.668439,-0.31851,0.727934,0.971329,-0.956538,0.353526,-1.540762,-1.489881,0.190048,0.993784,1.497424,-1.83639,-0.056479,0.927428,1.732495,0.31552,0.825353,2.814809,0.393296
$\mathbb{N}$,-0.296917,0.186247,-0.697275,-1.443127,-1.020258,1.322587,1.994931,-2.196424,-0.248497,-0.005396,-0.675497,0.405845,-0.089768,1.477451,-0.337449,-0.145597,0.727182,7.7e-05,-0.061074,-0.230943,0.12617,-0.17347,-1.695671,0.732601,0.727705,1.861905,0.403332,0.542006,0.818795,0.901776
deux,-1.246336,0.015284,-0.339637,-0.279113,-0.292269,0.539088,2.338785,-1.608279,-0.576099,0.335569,0.27201,0.593536,0.049513,1.174019,-0.296186,-0.344996,0.436166,0.007061,-0.496086,-0.840865,0.650639,-0.113868,-1.158041,0.49686,0.985356,1.654143,-0.543329,2.073218,1.405469,0.918168
fonction,0.93925,0.323221,0.346671,-0.6864,-0.823222,0.066603,1.764724,-1.19713,0.38352,1.540238,0.345251,1.101022,0.897556,1.078266,0.663712,-0.459964,0.14135,-0.819058,0.493549,-0.903982,-0.478686,0.262426,-2.221335,-0.691358,1.041616,2.930546,-0.366882,1.184967,0.373509,0.925894
premier,-0.789113,0.565061,-1.249903,-1.698422,-1.012314,0.078166,1.572767,-1.958243,0.271234,0.306344,0.264953,0.894095,-0.520972,0.186426,-0.025114,-0.012595,-0.005648,-0.64171,-0.656758,-0.085601,0.154509,1.122895,-1.614285,0.320094,1.074821,1.200735,-0.105233,1.663805,2.174154,0.212321
ensemble,0.489186,0.418746,-0.874195,-1.048279,-0.334451,1.224834,2.353915,-0.732938,-1.670133,0.380705,-0.439583,-0.078585,-0.447546,0.617477,0.362061,-0.597277,0.865486,0.90998,0.526859,-0.146337,0.378235,-0.342727,-1.574908,-0.328698,0.220801,2.722291,0.018321,1.843659,0.973875,0.899106
point,-0.569325,0.069699,0.501659,-0.763419,1.215693,1.163547,1.674532,-1.054377,-0.171524,0.223009,-0.893267,0.54652,0.821684,1.873379,-0.396437,-0.782153,1.354637,0.488424,-0.270837,-1.898961,0.16763,-0.106855,-1.033288,-0.506322,1.241502,1.411909,-0.226424,2.731645,0.863056,0.957643
théorie,0.744404,0.544645,-0.980753,-1.389904,-0.179097,0.691139,1.871909,-0.725592,-0.661708,0.02112,-0.324746,0.678029,-0.769396,0.244993,-0.175724,-0.493171,-1.661695,0.115111,0.420916,-1.164441,-0.354022,0.898713,-0.335892,-0.016398,0.13387,3.153642,-0.29861,1.395707,1.074131,-1.276862
exemple,-0.236841,0.529268,-0.591408,-0.968136,-0.884767,0.850316,2.418586,-1.51779,0.300629,-0.098827,0.056706,0.416927,-0.061917,0.829879,0.382903,-0.688016,0.510549,0.127982,0.089846,-1.216473,0.078863,-0.352018,-0.702131,0.403465,0.718651,2.046311,-0.020921,0.73055,0.878866,0.393086
