word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
un,-1.585265,-0.625979,-0.401206,-0.897796,0.123838,0.416247,-0.438281,-0.249641,0.682523,0.218855,0.475669,-0.114641,0.248885,0.351506,1.116569,-0.506534,0.855959,-0.184548,0.276518,-0.144267,-0.395009,0.478943,0.605321,-0.178673,0.055757,-0.154306,-0.400463,0.386585,-0.000411,-0.929093
nombre,-0.913839,-0.771474,0.055628,-0.472315,-0.010702,0.545727,-0.485701,-0.452469,-0.355763,0.525416,1.213318,0.276894,0.411162,0.113821,1.57338,-0.564937,0.50454,-0.452537,0.610007,0.06858,-0.242458,1.005022,0.702921,-0.836659,0.325855,0.291427,0.356617,1.293794,0.387004,-0.539287
$\mathbb{N}$,-1.154075,-0.260691,-0.162045,-0.61946,-0.184193,0.62496,-0.596521,-0.980777,0.776466,0.145817,0.966818,0.291927,0.075577,0.093539,1.001271,-0.163837,0.601033,-0.115148,0.273943,-0.211263,0.143845,0.185405,0.196346,-0.778045,0.255339,0.371659,-0.246619,0.783304,-0.044876,-0.719026
deux,-0.950122,-0.143903,0.090483,-0.630496,-0.328938,0.293605,-0.987867,-0.667223,0.143226,0.023082,0.588471,-0.161601,0.204513,0.561079,1.396697,-0.573046,0.666409,-0.470122,-0.136517,-0.12474,-0.130773,0.397741,0.696959,0.272405,0.250667,-0.485311,-1.014498,0.696814,-0.312936,-0.947223
fonction,-0.960249,-1.399111,-0.741346,-0.416194,-0.30893,0.176776,0.179695,-0.742215,0.267262,0.520888,0.562647,0.215928,0.627415,0.243528,0.817273,0.65742,-0.182819,-0.509284,-0.269784,-0.146549,0.132763,0.499527,0.156826,0.230607,-0.658038,0.471261,-0.086877,1.399644,0.436788,-1.913163
premier,-0.118544,0.040837,0.530593,-0.749748,-0.137792,-0.042083,-0.638899,-0.525,-0.071665,0.095383,0.420122,0.346556,0.031267,0.593327,1.362767,-0.085978,1.324772,0.158913,-0.398213,-0.355347,-0.10638,0.489984,0.496203,-0.087677,0.113434,-0.369932,-0.369863,0.424408,-0.724078,-1.193666
ensemble,-0.895023,-0.956214,-0.627179,-0.478639,0.273834,0.464373,-0.347025,-0.662187,0.45015,0.316337,-0.057586,-0.410974,0.449715,0.089948,1.232746,-0.8905,0.406252,0.10561,-0.38507,-0.527896,-0.323669,-0.000676,-0.015645,0.278139,-0.06623,-0.780597,-0.297925,1.017567,-0.053452,-0.562691
point,-0.253704,0.132509,0.760331,-0.34124,-0.554092,0.521345,-0.696605,-0.90786,0.198495,0.438521,0.540728,0.240474,1.134517,0.166238,1.379241,-1.247158,0.617749,-0.375744,0.638396,0.917587,0.549055,0.397228,0.078423,-0.377492,0.148232,-0.124575,-0.444082,0.733359,0.402307,-0.499466
théorie,-0.854063,-1.313576,-0.223657,-1.459595,0.702956,0.058001,0.687315,-0.130363,0.649848,1.47136,0.282685,0.989551,-0.169884,0.169064,-0.75303,-0.819496,0.909335,0.620822,-0.502905,1.074874,0.791982,-0.23264,-1.35249,-0.676885,-0.596887,1.085756,0.043981,1.567926,0.053559,-0.720379
exemple,-1.499167,-1.251169,-0.533765,-0.412273,0.076526,0.719368,-0.277132,-0.002347,0.638578,0.793653,0.233111,-0.079723,-0.115646,0.210626,0.964587,-0.051015,0.498994,-0.093609,0.758114,-0.204834,-0.307649,-0.180761,-0.002835,-0.360166,-0.160159,0.803089,-0.144071,0.821562,0.212597,-0.552439
espace,-1.333333,-0.488104,-1.216299,-0.833474,0.734323,0.08493,-0.172601,0.343732,0.274597,0.591682,-0.476216,-0.449318,0.856801,-0.213078,1.084183,-1.581676,0.063041,-0.277734,-0.00688,-0.316526,0.41741,-0.568699,-0.303986,0.204719,-0.08001,-0.649205,-0.110164,0.727796,0.420386,-0.755558
théorème,-0.058735,-1.255693,0.85524,0.116404,0.738989,0.135185,-0.010217,-0.34211,0.009446,1.098735,-0.91943,0.407446,0.264775,-0.623052,-1.347727,0.000292,-1.028152,-0.450924,-0.394533,0.627126,1.628737,0.063589,-1.422761,-0.25111,-0.310983,1.795284,-0.69711,1.120801,0.317526,-0.64884
problème,-1.136296,-0.387631,-0.208776,-1.289068,-0.083173,0.089913,0.360722,-0.351515,1.097258,0.198665,0.71458,0.314445,0.337543,-0.004672,0.334205,-0.29663,0.586189,0.563295,0.840419,0.331507,0.443769,0.390356,-0.857665,-0.7731,-0.16166,0.599855,0.354971,0.790854,0.33049,-1.373991
valeur,-0.78028,-1.192688,-0.386723,-0.664097,0.499475,1.227476,-0.408678,-0.274447,0.708469,1.192153,-0.097751,0.937868,0.526486,0.157042,0.956396,-0.404119,-0.197873,-0.463932,0.072053,0.183158,-0.148249,0.685108,-0.1079,-1.072128,-0.007802,0.648223,0.425053,1.070782,1.268207,-0.693822
groupe,-0.045738,0.029293,-0.40787,0.063087,0.52692,-0.132674,-0.803392,-0.60754,0.219,-0.066775,0.17228,0.000442,0.56487,0.646409,0.878529,0.040224,2.354841,0.176719,0.354336,-0.348023,-0.526937,-0.409023,0.234501,-0.432899,-0.427561,-0.584888,-0.37624,0.926078,-0.287666,-0.634056
graphe,-0.086507,-1.281055,-0.532565,0.103519,0.667106,0.683864,0.135149,0.504037,-0.393842,1.456862,-0.744319,-0.249915,0.456511,-0.503452,-0.562123,-0.233755,-0.989836,-0.892537,0.991609,0.257254,1.40329,-0.482602,-0.521911,0.136542,-0.02969,0.503716,-0.377904,1.536276,0.587213,0.42509
forme,-1.351402,-1.175393,-0.444737,-0.760498,0.302022,0.268482,-0.424264,0.111314,0.728413,0.930723,0.006913,-0.046018,-0.2906,0.445151,1.201319,-0.517729,0.429255,-0.540962,0.455453,-0.066985,-0.671724,-0.159043,-0.051639,-0.144931,-0.29274,0.336539,-1.426022,1.044837,-0.058998,-0.292117
entier,-0.959437,-0.580629,-0.458613,-0.318391,0.180956,0.578315,-0.691688,-0.153634,0.031914,0.722497,0.573907,0.273773,-0.29922,0.254159,0.859478,-0.326982,0.092105,-0.035859,0.435965,-0.568211,-0.59949,0.086006,0.485532,-0.629049,0.356871,-0.420129,-0.197451,1.003581,0.103593,-0.376496
système,-0.939989,-1.223992,-1.313865,-0.916375,-0.255204,-0.443856,-0.03682,0.476878,0.71216,0.822588,-0.437576,0.466737,0.643968,0.066585,1.02691,0.078592,0.777193,-0.220888,1.19369,0.147714,0.604887,0.208758,0.050402,0.33799,-0.173985,0.825685,-0.057289,1.687446,0.113115,-1.430148
équation,-0.935115,-1.401268,0.898304,-0.089855,0.45279,0.057157,-0.929071,0.026822,0.374065,1.373545,-0.664673,0.625251,0.283895,-0.902216,-1.160744,-0.082177,-0.572062,-0.123426,-0.290227,0.858836,1.794308,0.608841,-1.140021,-0.130933,-0.810998,2.127142,-0.95168,1.916294,-0.000999,-1.324969
suite,-0.122715,0.03829,0.054165,-0.761861,-0.383869,-0.629302,-0.215389,-0.73268,0.528946,-0.44724,0.709408,0.134102,-0.332143,0.297521,0.872804,-0.292256,1.034016,0.219892,-0.00557,-0.669877,-0.171637,0.23263,0.085666,-0.61269,0.345318,-0.138589,-0.059305,0.24454,-0.617542,-1.446485
algorithme,-0.660923,-1.351466,0.526374,-0.184717,-0.074393,0.195267,0.441393,0.024255,0.675433,1.188642,-1.085699,-0.436365,0.435794,0.004303,-0.318239,0.336471,-0.503551,-0.226928,1.994498,1.102471,1.052086,-0.310513,-0.756744,0.065591,-0.03221,1.136254,0.341139,0.871948,-0.596716,-0.616289
calcul,-0.816486,-1.274235,0.760505,-0.83661,-0.191023,0.58059,-0.078945,0.073678,0.175701,1.342428,-0.655224,0.649841,0.66716,-0.300023,0.40723,-0.031227,-0.632869,-0.342468,0.887394,0.75933,0.834149,0.740611,-0.528855,-0.397634,-0.270659,1.086077,0.568571,1.461787,0.213626,-1.390365
application,-1.047448,-1.4723,-1.052277,-0.028621,-0.546333,-0.126241,0.438955,0.082063,0.643412,0.74495,-0.869011,0.862512,0.607353,0.447703,1.195515,0.662572,0.213132,0.164243,1.180109,0.041189,0.200526,-0.337342,-0.595833,-0.091994,0.003943,0.788445,0.816813,1.400334,-0.155755,-1.675546
élément,-1.096987,-1.860081,-0.292474,-0.847904,0.379282,0.426987,-0.450636,0.185345,1.068743,0.792973,0.024323,-0.080146,0.060123,0.398728,0.885858,-1.102957,0.474927,-0.500304,0.229742,0.282708,-0.656221,-0.452347,0.061777,0.201177,-0.114915,1.059441,-0.115359,1.101154,0.067425,-0.375639
grand,-0.702634,0.280243,-0.292505,-1.068621,0.008865,0.61375,-0.18067,-0.004951,0.437254,0.209805,0.443347,0.048075,0.439113,-0.075431,1.31529,-0.875588,0.645002,0.042686,-0.849419,-0.382346,-0.498315,0.486226,0.699438,0.084028,-0.118081,-0.497783,-0.835871,-0.233437,0.123901,-0.641433
propriété,-1.382278,-1.092774,-0.854296,-0.499838,0.349094,0.163809,0.697878,-0.12779,0.177275,0.037877,-0.279181,0.90226,0.842726,-0.266793,0.495486,-0.036714,-0.465688,-0.344017,-0.400789,-0.752749,-0.671058,0.577771,0.010087,-0.42734,0.028284,1.058982,-1.095048,0.426686,-0.078884,-0.917472
ordre,-0.351084,-0.589093,-0.690427,-0.222241,-0.723761,0.207851,-0.078206,-0.443268,0.371122,0.63124,1.400468,0.861205,-0.57608,0.437975,0.774811,0.140321,0.165015,-0.137426,-1.383344,-0.117627,-0.051034,0.280619,0.948103,0.727179,0.30655,0.866168,-0.442817,0.296563,0.542869,-1.149718
variable,-1.564513,-1.448615,-0.169034,-0.148105,-0.431645,0.050097,-1.001893,0.421195,0.094907,1.545752,-0.408583,0.233597,0.414491,-0.679911,0.727109,0.039358,-0.385121,-0.202261,1.148765,0.243996,-0.031815,0.726345,-0.295696,-0.249007,-0.322533,0.682475,-0.393709,1.421502,1.592915,-0.750357
base,-1.012442,-1.174682,-0.615865,0.15538,-0.159592,0.060356,-0.130655,0.408509,0.444228,0.853196,0.114773,0.3756,0.63038,0.357897,1.554003,-0.386526,0.471097,0.09358,0.645004,0.483364,-0.455829,0.14842,0.681435,0.339749,0.172927,0.45514,-0.220435,1.06142,-0.259606,-0.407771
géométrie,-0.620655,-1.221927,0.365372,-0.758097,0.658547,0.090541,0.082439,0.615778,0.15765,1.421475,-0.903849,-0.039216,-0.154725,0.481294,-0.381971,-0.531121,-1.0078,-0.563602,-0.117104,1.258876,0.792674,-0.363099,-1.100151,1.144358,-1.347707,0.783993,-0.324666,1.743696,0.010861,-0.428248
analyse,-0.987294,-1.662286,-0.042116,-0.718223,0.148959,0.218223,0.415871,-0.144184,0.544532,1.571337,0.181915,0.330566,0.286153,-0.404968,0.201248,-0.474157,0.733783,0.709361,-0.072553,0.698239,0.277627,-0.611663,-1.100691,-0.401607,-0.324847,0.054509,0.815245,0.971743,0.078534,-0.918614
loi,-0.455648,-1.040717,-1.335799,0.290481,0.143,-0.81961,0.315362,-1.829202,0.412007,0.429906,0.760126,0.711247,0.034575,0.118426,0.708408,0.048853,-0.120073,0.181765,-0.866075,-0.012847,0.186851,0.730357,-0.230148,-1.416019,0.475666,0.929041,0.607314,0.787897,0.428444,-1.273929
définition,-0.773261,-1.560942,-0.704023,-0.596269,0.341911,0.33652,0.286855,-0.330996,0.468942,1.725069,-0.202054,0.109919,0.111314,0.006326,0.71434,-0.048037,0.301342,-0.207517,0.522493,0.502191,0.803619,-0.071499,-0.503888,-0.864334,-0.199456,0.851821,0.37398,1.246565,0.859291,-0.549562
