word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
un,-0.211697,-0.333366,-1.133887,-1.926875,-0.464625,-0.403415,-0.392356,-0.253579,-0.528556,-0.588316,-0.681306,-0.382658,0.265962,-0.267957,-0.015858,-0.653931,0.203802,0.313797,0.441303,-0.426978,0.412957,0.143507,-0.356771,-0.75723,-0.336293,-0.090888,-0.0919,-0.764911,0.433229,0.131764,-0.092508
nombre,0.488213,-0.035505,-1.214436,-1.403835,0.553918,-0.654455,0.568706,0.051919,-0.250728,-0.93319,-0.472441,-0.53175,0.523807,0.33434,-0.445466,0.476665,0.678683,0.577294,0.084537,-0.362322,0.785149,0.620236,-0.121474,-1.899776,-0.322645,0.23457,0.196649,-0.997883,-0.094626,0.320206,0.465847
$\mathbb{N}$,0.031399,0.053261,-0.537069,-1.35918,-0.438015,-0.786329,0.233794,-0.194516,-0.552309,-0.836752,-0.763204,-0.149857,-0.258525,0.306205,-0.13599,-0.433154,0.405504,-0.138654,0.332978,-0.699134,0.638981,0.726603,-0.189935,-1.178144,-0.841468,0.194245,0.099671,-0.700643,0.119542,-0.042375,0.25163
deux,-0.305532,-0.752539,-1.165643,-1.202628,-0.113535,-0.895038,-0.366756,-0.398441,-0.523054,-0.396178,-0.991328,-0.437859,0.136467,-0.848236,-0.270946,-0.637729,0.144833,0.003684,0.321228,-0.706864,0.484726,0.578983,-0.612412,-0.923073,-0.259094,0.04594,-0.31876,-0.297063,0.429677,0.379261,0.443396
fonction,0.147864,0.587673,-0.076972,-1.506804,-0.061223,0.294411,0.484955,0.147434,-0.493896,-0.421441,-0.881178,-1.208335,0.252688,-0.203331,-0.68554,-1.110623,-0.24388,-0.680123,-0.373821,0.693547,0.343262,0.158283,-1.361748,-1.462734,-0.597481,0.823485,0.611566,-1.328497,-0.063383,0.036427,0.300189
premier,-0.218627,-0.427725,-1.248654,-0.437435,0.185218,-0.911056,-0.606116,0.2021,-0.424027,-0.054363,-1.146773,-0.434817,-0.153096,-0.207472,-0.996095,-0.651339,0.709326,0.2037,-0.070139,-1.000695,0.126828,0.160608,-0.269699,-0.607757,-0.161462,-0.022111,-0.358891,-0.433822,0.66947,0.202761,-0.174165
ensemble,-0.571401,-0.305842,-0.31722,-1.591546,0.261328,-0.15723,0.004629,-0.421209,-0.637867,-0.57109,-0.528393,-0.619315,0.546636,-0.483818,-0.410956,-0.371893,0.651082,-0.349388,0.674875,-0.481717,0.677484,0.428399,-1.194796,-0.376194,0.260759,0.247823,0.096503,-0.850216,-0.205684,-0.177888,-0.085571
point,0.746126,-0.187415,-0.792896,-0.960167,0.541382,-1.13115,0.420121,-0.721927,0.310556,-1.068863,-0.089184,-0.827194,0.660007,-0.741604,-0.320542,0.07202,1.098077,-0.489487,0.118232,-0.600215,0.330011,0.802674,-0.002853,-1.275156,-0.790868,-0.476099,0.360723,-0.015577,0.530589,-0.244212,0.543348
théorie,0.494469,1.228464,0.046308,-0.820012,-0.626638,0.502331,0.292082,0.948167,-0.053654,-1.797276,0.139887,0.230632,0.52006,0.303035,-0.040608,-0.997584,2.36722,-0.245037,-0.513272,0.073728,0.589498,-0.869023,-1.437558,-0.357856,-0.575325,0.151344,0.877304,-1.070864,0.270046,-0.81862,0.437688
exemple,0.145073,0.459213,-0.834756,-1.852934,-0.485726,0.466308,0.463666,-0.181713,-0.459633,-0.44653,0.124114,0.036553,0.009484,0.25643,0.010723,-0.323155,0.369946,-0.046283,0.120937,-0.251427,0.927245,0.596557,-0.982079,-1.030982,-0.527409,0.08677,0.158141,-1.035703,0.199484,-0.558397,-0.401595
