word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
un,0.320693,0.080054,0.280866,0.191642,-0.076795,0.156943,-0.282387,-0.603614,-0.138748,-0.226762,-0.007777,-0.140712,-0.218594,-0.560376,-0.031942,-0.784111,0.215144,-0.111102,0.581918,0.509665,0.546225,-0.150513,-0.022061,-0.161916,0.259494,-2.742166,-0.070273,0.074754,0.163399,-0.074296,-0.127316
nombre,0.115165,0.325248,0.052578,1.195885,-0.7224,-0.358642,-0.563326,-0.222276,0.111725,-0.558489,0.387197,-0.208734,-0.15953,-0.914446,0.192055,-0.010406,-0.215762,-0.376633,0.144531,-0.505455,0.749528,-0.218872,-0.009041,0.6346,0.143741,-2.581922,0.22374,0.3501,-0.161721,0.398046,-0.652779
$\mathbb{N}$,0.158519,-0.037624,0.768652,0.151678,-0.423514,0.249471,-0.199698,-0.220683,-0.108942,0.186221,0.003996,0.016234,-0.360537,-0.688848,0.107448,-0.299633,-0.096094,-0.222941,-0.264634,0.130803,0.363987,-0.475169,0.222739,0.599667,0.348505,-2.519194,-0.436474,0.011359,-0.151586,0.457107,0.084628
deux,0.155894,0.217413,0.249068,0.247904,0.282505,0.350843,-0.317571,-0.552239,-0.491658,0.152028,0.011412,0.007888,-0.059274,-1.034797,-0.080108,-0.783128,-0.098006,-0.934201,0.331998,0.847722,0.454046,-0.107794,0.132226,0.185161,0.54759,-2.250788,0.38152,-0.262745,0.362045,0.308901,-0.190711
fonction,0.842582,0.031223,-0.339611,-0.049437,0.863516,-0.205111,-0.647377,-0.509878,0.476821,-0.662853,-0.4596,-1.114143,-0.333505,-0.570529,-0.555942,-0.389943,0.0355,-0.24762,-0.477775,-0.231586,0.442633,0.048224,-1.151065,1.097645,0.490968,-2.334131,-0.004398,-0.030947,-0.215913,-0.196066,0.639203
premier,0.952988,-0.342898,0.17271,0.64011,0.081565,0.707186,0.234272,-0.433915,-0.182835,-0.184047,0.170882,0.39378,-0.426401,-1.129143,-0.11248,-0.560172,-0.037454,-0.609003,-0.020724,1.051113,0.137754,-0.219255,0.021914,0.241614,0.018618,-1.51333,0.746281,0.083807,0.243194,0.64049,0.044447
ensemble,0.525633,0.350446,-0.326015,0.143863,0.440937,-0.200917,-0.883834,-0.19299,-0.138065,-0.266612,0.164278,0.223802,0.559128,-0.490978,-0.487326,-0.481527,0.30381,-0.213445,0.3336,0.542229,0.171047,-0.061647,-0.278021,0.028495,-0.132202,-2.081526,-0.504116,0.334862,0.621098,0.39437,0.089574
point,-0.215585,0.394296,0.486236,0.844746,-0.731987,-0.395897,-0.357549,0.059387,-0.177484,-0.299194,-0.153262,0.563012,0.193532,-0.597326,0.174823,-0.045432,-0.772839,-0.671302,0.42385,0.066048,-0.56151,-0.38442,1.005969,1.373722,-0.085987,-2.068929,0.438367,-0.595835,0.824604,0.078634,-0.294075
théorie,1.220922,-1.052024,0.424908,0.593194,-1.916125,0.664999,-1.645111,-0.543861,0.048528,-0.339061,-0.337279,-1.233328,-0.090459,0.94861,-0.113996,-0.528424,-0.441565,0.572146,-0.463828,-0.385788,-0.658757,0.390186,-0.059784,0.861415,-0.743455,-1.579928,-0.784331,0.204321,0.370332,-0.233202,1.458418
exemple,0.065538,0.475397,0.597768,0.414356,-0.227928,-0.118061,-0.459835,-0.37211,0.247191,-0.293713,-0.098802,-0.582988,-0.162215,-0.451715,0.182516,-0.716539,0.173668,0.398712,0.074556,-0.195554,0.605545,0.128857,-0.135863,0.120931,-0.342065,-2.394985,-0.66971,0.386118,0.034088,-0.144855,0.889156
espace,0.479039,0.590237,-0.310203,-0.173178,-0.217509,-0.973193,-1.091956,-0.449893,-0.511389,-0.163318,0.012022,-0.105027,0.17488,0.028851,-1.015426,-0.530427,0.306384,0.724628,0.746002,0.283029,-0.268869,0.226701,-0.142492,-0.330275,-0.014999,-2.106792,-0.451095,-0.110916,1.528167,0.213696,0.210968
théorème,-0.115521,-0.849274,0.148652,-0.005383,-0.753744,-0.322695,-1.645873,-0.571237,0.097934,-0.475785,0.111114,-0.823197,-0.719888,0.041255,0.159198,0.365077,-1.149534,-0.216805,-0.226329,-1.257606,-0.661392,1.099998,0.162444,1.783152,0.468933,0.495985,-1.611561,0.372264,0.93941,-0.997016,2.150414
problème,0.99119,-0.379163,0.778409,0.038066,-1.073881,-0.013316,-0.121404,-0.340378,0.196791,-0.283791,-0.481872,-0.565161,-0.412086,-0.018823,0.245267,-0.381478,-0.694576,0.922224,0.108763,-0.403434,-0.580912,-0.603906,0.001749,0.503931,0.238091,-2.218741,-0.398105,-0.051958,-0.460199,-0.360986,0.326291
valeur,0.182049,0.010975,0.083792,0.839226,-0.553227,-0.312097,-1.304223,-0.076044,0.703447,-0.085325,-0.480216,0.053927,-0.298009,-0.627212,-0.303417,-0.151072,0.348583,0.429096,0.382791,-1.195803,0.365751,0.231244,0.051796,1.294318,-0.262438,-2.40846,-0.609661,0.538241,0.302223,-0.336524,0.283362
groupe,0.650853,0.038079,-0.203321,0.624457,0.223821,0.568436,0.642661,-0.093511,0.791168,-0.544881,0.152812,0.623693,0.168511,-0.01561,0.107602,0.001638,-0.265549,-0.162772,0.146856,1.574904,0.278977,0.010999,-0.162094,-0.322456,-0.309084,-1.931264,-0.325293,-0.646825,0.028109,1.554119,0.577069
graphe,-0.661178,0.293327,0.139705,0.175379,-0.217892,-1.673147,-1.58295,0.080056,-0.006234,-0.484959,0.258253,-0.690936,0.07578,0.724936,-0.424515,0.389489,-0.652757,-0.333319,0.715709,-1.250505,0.216678,0.403511,-0.631858,0.52558,-0.399829,-0.011417,-0.762461,0.02259,0.730141,0.073748,1.240212
