word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
un,0.329511,-0.336207,0.125517,0.201337,0.671715,-0.559293,-0.638509,-0.625966,0.978548,0.325957,-0.35548,1.030125,-0.181917,-1.320314,0.188263,0.099691,0.607427,0.569534,-0.12594,-0.137964,0.17834,1.309359,0.277525,0.521673,0.309953,-0.191629,0.11695,-0.229057,0.068964,0.7861,0.113217,-0.418029
nombre,-0.150728,-0.678086,-0.520998,0.412721,1.397589,-1.030363,-0.289959,-0.198999,0.109874,0.823118,-0.331705,1.262096,-0.349016,-1.178168,0.092144,-0.833203,-0.432111,0.628627,-0.10066,0.47886,-0.004601,0.65654,0.927185,0.498982,1.128443,0.086047,-0.111553,0.538779,-0.328531,1.202924,0.192705,-0.092577
$\mathbb{N}$,-0.032576,-0.222806,0.126437,0.048193,0.544113,-0.767558,-0.501451,-0.060631,0.131089,0.318384,-0.029741,1.117222,-0.372418,-0.878403,0.239897,-0.235206,0.32307,0.805594,-0.123916,0.410766,-0.260109,1.518158,0.072567,-0.334374,0.85846,0.203632,0.219193,0.218933,-0.017506,1.305128,0.008765,-0.525182
deux,0.451158,-0.22473,0.273248,0.498396,1.045436,-0.553121,-0.387692,-1.086975,0.121217,0.916956,-0.240499,0.841361,-0.190575,-0.729139,-0.368304,0.214837,0.626535,0.30102,-0.151269,-0.117725,0.141411,1.633727,-0.071908,0.553452,0.636857,0.086343,0.26313,-0.306245,0.319666,0.8724,-0.097101,-0.246322
fonction,-0.075355,-0.292598,0.467221,-0.688096,-0.380208,-0.35389,0.745849,-0.954454,-0.777637,-0.014765,-0.192143,1.347092,-0.289356,-1.757235,0.229209,-0.748269,0.103618,1.453246,0.331264,0.279922,0.25235,1.063735,0.275327,0.406912,1.034778,-0.975086,-0.238609,-0.126571,0.229199,0.869615,0.732967,0.048704
premier,0.56273,-0.189154,0.145671,0.200685,1.229152,-0.216492,-0.172687,-0.719621,0.475258,0.500034,-0.424144,0.614509,-0.276599,0.280401,-0.441375,0.336486,0.604665,0.232066,-0.876673,0.24825,0.244652,1.674832,0.200014,0.478873,0.401543,-0.432859,0.109782,0.341926,0.149419,0.687106,0.436581,0.247166
ensemble,0.534707,-0.163772,0.579164,-0.130012,0.866201,-0.320412,-0.349331,-0.630123,0.140183,0.087905,-0.832367,0.997733,0.01235,-1.046481,0.482449,-0.507675,0.613738,0.786018,0.330714,0.396788,0.641882,0.904373,-0.35677,0.548242,0.749641,-0.003661,-0.072755,-0.749422,-0.270618,0.090527,0.054826,-0.017294
point,-0.546816,-0.714275,-0.065204,0.618994,1.318799,-0.785779,0.113157,0.027541,-0.322307,-0.086183,-0.530903,0.677793,-0.835251,-0.328372,-0.381283,-0.737734,-0.459395,0.774989,-0.301332,-0.384521,0.611248,1.242585,0.018438,0.574583,0.944452,0.490108,0.436934,-0.010088,-0.164278,1.154442,-1.265127,-0.013706
théorie,-0.479934,0.642453,0.315796,-0.320775,0.665293,0.005636,-0.428379,0.789841,0.229704,-1.84901,-0.255935,0.297055,-0.183988,-1.245761,0.922476,-1.139951,-0.64025,0.660817,0.690025,0.502198,0.458491,0.820944,-0.110671,0.0291,1.519018,-2.433635,-0.203648,0.057691,-0.401104,1.163248,0.402732,-0.239187
exemple,0.179127,-0.574802,-0.061346,-0.461042,0.56028,-0.548112,-0.539434,0.077277,0.765099,0.062219,0.005455,1.011609,-0.091652,-1.541275,0.643809,-0.525854,-0.158277,1.323774,0.312144,-0.23752,0.225416,0.704123,-0.164495,-0.129523,0.875239,-0.317328,-0.286988,-0.13443,0.293218,0.65227,0.261784,-0.426849
espace,-0.058141,0.425557,0.057605,-0.786977,0.467129,-0.618427,-0.600846,-0.393257,0.060337,-0.358728,-1.72049,1.005193,0.099895,-1.615724,1.079244,-0.660512,-0.152765,0.413798,0.573129,-0.454487,0.448332,0.87429,-0.793607,1.055587,0.560428,0.100896,0.081237,-0.587713,-0.147815,0.08534,-0.625198,-0.427977
théorème,-0.49777,0.897405,-0.395028,-0.130262,0.698838,0.052894,0.599551,0.831055,-1.381808,-1.06913,-0.066212,0.3677,-0.405134,-0.571426,0.836897,-1.91067,-0.117726,0.896235,2.133891,0.915569,0.478985,0.301542,-0.58799,0.465053,2.21522,-1.660954,0.414684,-0.563802,1.592753,0.223282,-0.432848,0.857302
problème,-0.565209,-0.482501,0.03191,-0.547168,0.267233,-0.384629,-0.001269,0.296631,0.895784,-1.113362,-0.35741,0.909379,-0.405326,-1.100894,-0.028782,-0.558901,-0.482423,0.836942,0.520348,0.159031,-0.211154,1.479516,0.158626,-0.286177,0.476623,-0.636596,0.254747,0.664664,-0.058191,1.168744,-0.15654,-0.098575
valeur,-0.800882,-0.038054,0.208776,0.215586,0.406363,-0.840429,-0.250713,0.162237,0.417807,-0.088802,-0.636321,1.402893,-0.166683,-1.795584,0.742577,-0.907494,-0.6373,1.66988,-0.177158,0.32025,0.418376,0.145962,0.172943,0.151844,1.26567,-0.088219,-0.259346,-0.144617,0.147143,1.289457,0.373635,0.686482
groupe,1.446017,-0.143466,0.613218,-0.195071,0.67506,-0.578581,-0.481334,-0.886522,0.577267,0.374827,-0.264753,0.287021,-0.583229,0.19237,0.439462,0.266041,0.881096,1.100512,-0.680375,0.372201,0.022323,0.784199,-0.133534,0.206121,0.456326,-0.687781,-0.680745,0.373595,-0.762824,0.454757,-1.027005,0.094526
graphe,-0.609646,0.264202,-1.13153,0.018311,0.874479,-0.697886,0.830116,0.423915,-1.320696,0.261617,0.788028,-0.002566,-0.094474,-1.281493,1.48222,-1.996242,-0.601896,0.455829,2.488312,0.401537,-0.435561,-0.006833,-0.27403,1.436557,0.411197,-0.86443,-0.097498,-0.857009,0.4599,-0.116262,-0.943684,0.250808
forme,0.625597,-0.422693,-0.065204,-0.102527,1.090763,-0.597553,-1.144905,-0.453424,0.310371,0.048595,0.163635,0.839725,0.031751,-1.733921,0.274811,0.078728,0.104471,1.195224,0.528638,-0.628114,0.12709,0.685976,-0.657978,0.066109,0.960464,-0.322598,-0.611451,-0.679913,0.064883,0.43824,0.32975,-0.004173
