word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
un,-2.157096,-0.254337,0.018489,-1.186027,1.37283,0.47067,-0.93077,1.992717,-0.804611,-0.338792,-0.475044,0.505953,-1.440853,-0.877254,2.708369,-1.235852,-0.398943,0.667405,-0.324968,-0.462126,0.418873,0.640631,0.294551,-0.683247,0.78363,-1.223077,-0.683531,-0.589633,-0.220521,-1.137074,-0.061063,0.823127
nombre,-1.55035,0.362596,-0.778785,-1.084765,1.462112,0.371878,-1.725697,0.378206,-0.929677,-0.710504,1.001241,-0.480095,0.289873,-1.608658,3.936059,-0.263965,-0.568145,-0.004615,-0.522021,-0.346466,-0.504836,0.015767,-0.423339,-1.127857,1.869384,0.717999,-0.753327,-0.748457,0.172663,-0.342027,-0.38771,-0.486104
$\mathbb{N}$,-2.531706,-0.924666,-0.001482,-0.87963,1.299187,0.681175,-0.682445,0.815699,-0.162629,-1.313597,-0.346385,-0.524376,-0.055628,-1.564711,2.102503,-0.403668,0.012523,-0.588316,-0.23586,-0.852807,1.095014,0.10174,-0.184013,-0.646407,1.079252,0.07658,-0.035294,-0.411744,-0.466775,-1.571797,0.22759,-0.291884
deux,-1.831239,0.222978,0.298528,-0.274308,1.380452,0.400531,-1.099393,0.774668,-0.174755,-0.998194,-0.310713,0.603668,-0.877002,-0.421698,3.147481,-0.931334,0.032908,0.488668,-0.538806,-0.838856,0.272422,-0.45824,0.907969,-0.814087,0.525629,-0.471966,-1.383864,-0.338777,0.008312,-1.539839,-0.067251,0.357657
fonction,-2.287266,-0.449902,-0.679883,-0.882212,1.886527,1.339591,-0.302633,0.263724,-0.976864,-0.737902,-0.128267,0.206622,0.401936,0.151972,2.723006,1.017573,0.07609,-0.120961,-1.124874,-0.223649,0.339461,1.127996,-0.784291,0.213629,0.113642,-1.620779,-0.728741,-1.357762,-0.126704,-1.859909,0.552947,-0.232074
premier,-1.431277,-0.369345,-0.416398,-0.739332,0.665631,0.16986,-1.244415,1.111376,-0.223953,-0.382565,-0.212319,0.262387,0.095604,-1.230042,4.021248,0.009132,-0.475851,0.932607,-0.633424,-0.296551,-0.231592,-0.104865,-0.007835,-1.065857,0.873308,0.140579,-0.23089,-0.40321,0.432402,-0.249124,-0.705706,0.056082
ensemble,-2.207628,-0.09556,-0.153525,-0.559987,2.007376,-0.048381,-1.129989,1.957219,-0.813881,-0.738093,-0.084242,0.021329,-0.530286,-1.218754,1.34059,-0.783638,0.43156,-0.054556,-1.383394,-0.93943,0.69783,1.338405,-0.664654,-0.639388,0.337196,-0.427548,-1.825246,0.46366,-0.224382,-1.652946,0.045679,-0.475123
point,-2.194179,-0.205473,0.773223,-0.167491,1.746553,0.92627,0.070277,-0.486498,0.002644,-1.13359,-0.748934,0.627867,-0.459814,-1.567494,1.878211,-1.459505,0.915031,0.48863,-0.857645,-0.922575,0.147859,0.949308,1.483672,-0.119067,0.863514,-0.937126,-1.592912,-0.739438,0.508128,-1.556484,0.345453,-0.579809
théorie,-1.77909,-0.486004,-0.685026,-0.496598,1.017732,0.414276,-1.4673,0.979166,1.11394,0.03796,-0.033028,-0.116005,-1.825894,-1.661144,1.650575,-0.235031,-0.709143,0.676264,-1.119897,-0.379746,0.175235,1.499227,-1.735441,0.031081,-0.400658,-1.016627,-0.798696,-1.524904,-0.257498,0.189546,-0.535919,-0.202337
exemple,-1.620573,-0.90911,-0.408662,-0.820982,1.76897,0.203851,-0.517425,0.537656,-0.159153,-0.53251,-0.358546,0.156649,-1.131341,-0.907464,2.277315,-0.459712,0.119015,-0.023131,-0.262253,-0.17357,0.775238,0.25361,-0.354872,-0.821558,1.069948,-0.183079,-0.49272,-0.880724,-0.25979,-1.266764,0.22655,0.011415
