word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
un,-0.301064,0.047894,-0.350212,-2.167862,0.288343,0.368314,0.479299,0.347779,0.124032,-0.269614,0.306339,0.282362,0.021463,-0.098587,0.699478,0.639777,-0.338946,0.330288,-1.032174,-0.219427,0.17468,0.286709,-0.452634,-0.458823,0.589299,-0.72176,-0.078764,0.276429,0.264083,-0.138181,-0.106745,-0.273993
nombre,-0.452146,0.062449,-1.210207,-1.737178,-0.288419,0.682375,-0.694958,0.911514,-0.46168,-0.369322,-0.107768,0.535024,-0.149598,0.20801,0.156655,0.777557,-0.155276,0.187445,-1.154765,-0.28315,-0.083812,0.014689,-1.135284,0.244541,0.387902,-0.491125,0.128124,-0.07477,0.402007,-0.909388,-0.337243,-0.54095
$\mathbb{N}$,-0.811876,-0.20066,-0.407376,-1.630818,0.328826,0.54946,-0.357749,0.004874,-0.333616,-0.067493,0.182454,1.133361,-0.244264,-0.167667,0.619887,0.349963,-0.586595,0.245199,-0.918614,0.043666,0.282372,0.090932,-0.600416,-0.013942,0.883823,-0.257166,0.284794,0.005968,0.244271,-0.405658,-0.080841,-0.109856
deux,-0.165081,0.041003,-0.886491,-1.661029,0.14103,0.672151,0.076586,-0.150181,-0.018526,0.133975,0.406329,0.572108,0.369934,-0.196667,1.202203,0.801102,-0.051577,0.453274,-0.75934,-0.204334,-0.201399,-0.047162,-0.271376,-1.139288,0.641129,-0.372198,-0.080267,0.362395,0.348808,-0.414932,0.106414,-0.58284
fonction,-1.207236,-0.133803,-0.478709,-1.387803,1.205334,-0.765577,0.074482,0.069082,-0.481716,0.019844,0.245264,0.512948,0.742382,-0.399301,0.348794,1.221805,0.805454,-0.068188,-1.292368,0.020938,0.31107,-0.111485,-0.769398,0.555061,-0.114128,-0.414942,-0.000523,0.219722,0.661191,0.226907,-0.177776,-1.031867
premier,-0.564594,-0.649076,-0.40862,-1.236233,-0.365989,0.613325,-0.068967,-0.116777,-0.396551,-0.039012,0.396746,0.051341,-0.103409,0.547959,1.685682,0.549309,0.128246,0.336473,-0.637898,-0.338768,-0.090639,0.198316,0.016,-0.650198,0.209894,-0.713574,0.008512,0.166671,0.555076,-0.059959,0.608881,-0.337615
ensemble,-0.130896,0.102922,-0.573701,-1.623478,0.072183,-0.321572,0.599866,-0.39031,0.276724,-0.653911,0.382058,-0.177186,0.670111,0.014085,0.219834,0.857085,-0.513363,0.351343,-0.765171,-0.266398,-0.020625,0.368697,-0.728022,-0.380978,0.496959,-0.130648,0.267849,-0.252615,0.520497,0.00023,0.41686,-0.880352
point,-0.811182,0.216745,-1.623739,-0.557266,-0.4627,0.395132,-0.560199,0.665867,0.06676,0.001184,0.53684,0.813145,-0.142127,0.462054,0.493583,0.347275,-0.291735,0.925977,-0.584792,0.067232,0.782944,0.51526,-1.203866,-1.006597,0.442603,0.239943,0.13266,0.559994,-0.146726,-0.922743,0.273857,-0.294477
théorie,-2.593708,-0.577333,0.53272,-0.829209,-0.07891,-0.723169,0.675412,0.272627,-1.298957,-1.421999,0.329767,0.032426,-0.34333,-0.485948,-0.899057,0.262777,-0.157916,-0.508721,-0.985273,0.247483,0.879329,0.215755,-1.246832,-0.614862,0.517852,0.25002,0.004855,0.06884,-0.802,0.753615,-0.426016,-0.326581
exemple,-0.627467,0.107622,-0.3065,-1.88605,0.420105,-0.061689,0.465175,0.21645,-0.119085,-0.940247,0.2924,0.721624,0.055675,-0.428322,-0.529818,0.529876,0.071413,0.364954,-0.694816,0.266471,0.3121,-0.064192,-0.671658,0.490757,0.775097,-0.868287,0.676305,0.274665,-0.065142,-0.205548,-0.000758,-0.546331
espace,0.038015,0.536477,-0.388868,-1.39644,0.316909,-0.328688,0.935693,0.617992,0.572114,-0.430161,0.496502,-0.684981,0.330655,0.030351,-0.298092,1.224279,-0.63375,0.556269,-0.393915,0.480834,0.293949,1.086596,-1.012113,-0.657743,0.787338,0.67984,0.312947,-0.024782,0.21525,0.312346,-0.428042,-0.937444
théorème,-1.615751,-0.566136,-0.871305,0.729011,0.127647,-1.441287,0.497268,-0.330009,-0.952447,-0.7664,0.458079,1.048189,-0.13356,-0.868805,-1.531885,0.459335,0.838029,0.100446,0.93154,0.548731,1.020955,-0.955089,-0.973995,-0.234644,0.074228,0.725032,-0.23246,-0.564598,-0.627958,0.695612,-0.998457,-0.354716
problème,-1.681139,-0.107302,-0.100099,-1.588358,0.271551,-0.130793,0.34003,0.629747,-0.19661,-0.30179,-0.221526,0.278874,-0.68082,0.035619,-0.026009,0.120897,-0.251998,0.093291,-0.957933,-0.145,1.281935,-0.053293,-0.745196,0.491643,0.646974,0.285857,-0.109656,0.772309,0.183684,0.074925,-0.139481,0.264407
valeur,-1.022978,-0.173964,-1.369359,-1.41753,0.238371,-0.14505,0.398118,0.641086,-0.467901,-0.211639,0.414653,0.477971,-0.164382,-0.05351,-0.882646,0.331296,-0.551414,0.021738,-0.946818,0.500375,0.273143,0.385014,-1.83957,0.908367,0.325228,-0.713199,-0.089108,-0.326928,-0.351324,-0.389137,-0.401038,-1.234776
groupe,-0.643491,0.164374,-0.322017,-0.730565,0.180699,1.079014,0.416398,-0.780333,-0.416938,-0.610564,0.79881,-0.155157,0.065085,0.683269,0.677496,0.268709,-0.19349,0.47835,-0.977883,-0.99932,0.020763,1.005055,-0.302094,-0.514687,0.111409,-0.700551,1.231604,-0.220083,1.227956,-0.036724,0.20795,0.287138
graphe,-0.060511,0.09779,-0.57169,-0.149115,0.393088,-0.902304,-0.008099,0.301173,-0.304408,-0.883117,-0.071067,0.117036,0.221273,-0.591684,-2.076172,0.380003,0.873188,0.686206,0.634707,0.318259,-0.232619,0.282894,-1.229164,-0.095279,-0.005065,1.165338,0.660825,-0.609002,-0.867424,0.479089,-0.59889,-0.371966
forme,-0.129944,-0.108609,-0.307227,-1.612998,0.547396,0.106103,0.856336,-0.049748,0.062849,-1.167126,0.484312,0.195596,0.349059,-0.415975,-0.359979,0.528926,0.055947,0.836776,-1.296125,-0.156524,-0.490927,-0.419008,-0.483416,-0.38177,1.319403,-0.719115,0.415784,0.362166,-0.357036,-0.254536,-0.02033,-0.694709
entier,-0.277467,-0.093869,-0.719046,-1.411217,0.207315,0.512264,0.087091,-0.050611,-0.14248,-0.337328,0.3146,0.229578,0.02411,-0.314188,-0.274618,1.023498,-0.463621,-0.069428,-0.547517,-0.446014,-0.590995,0.296703,-0.572891,0.261777,0.832708,-0.543975,0.364241,-0.006328,0.038729,-0.152944,-0.088648,-0.211975
système,-1.74455,-0.604176,-0.191716,-2.016176,0.869525,0.077707,0.796492,0.638279,0.252367,-0.620076,-0.044982,0.22791,0.345211,0.355022,-0.565781,0.670944,1.19508,0.786814,-0.934817,0.138635,0.355074,0.434616,-0.869409,0.340871,0.051597,0.323463,0.863536,0.697203,0.338057,-0.016357,-0.610737,-0.647387
