word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
un,-0.090852,0.127709,0.067722,0.278825,-0.329816,0.267427,-0.067641,-0.164537,-0.568036,0.164315,0.499621,-1.191037,0.075692,0.157494,-0.674719,-0.689599,-0.021344,-0.562387,-0.319975,0.244229,-0.778866,-0.564013,-0.134654,-0.39083,0.844399,0.228166,0.499042,0.874496,-0.365972,-0.431302,-0.535161,0.816273,1.3423
nombre,-0.407594,0.676345,-0.117308,0.709365,-0.097413,0.261047,-0.133301,0.452181,0.150566,-1.246889,-0.651366,-0.956643,0.115276,0.937395,-0.302607,-0.676597,-0.775753,-0.405611,-0.132704,-0.03457,-1.195825,-0.753044,-0.368704,-0.761372,1.06211,0.36732,0.228272,0.943317,-0.621929,-0.832513,0.169628,1.225075,0.383357
$\mathbb{N}$,-0.106269,-0.042156,0.387775,0.458278,-0.072628,0.12664,-0.236624,0.438179,-0.371201,-0.335256,0.08893,-0.928817,0.512529,0.644395,0.340897,-0.563058,0.078743,-0.669367,-0.022423,-0.103773,-0.734025,-0.325359,0.068524,-0.713693,0.706849,0.741046,0.32593,0.70504,-0.829107,-0.624785,-0.563284,0.744492,1.096136
deux,-0.104715,-0.130563,0.462934,0.065052,0.049727,0.036008,0.071242,0.138285,-0.542002,-0.212263,0.022715,-1.607474,-0.208244,0.180008,-0.384015,-0.681049,0.060661,-0.723852,-0.526709,0.713951,-0.423966,-0.172153,-0.586572,-0.749762,0.787091,0.249371,0.735624,0.307973,-0.118907,-0.907513,-0.675053,0.743213,0.866801
fonction,0.13203,0.141088,0.311416,0.652342,-0.779847,-0.047069,0.41874,0.427039,-0.489703,-0.837893,-0.6515,-0.495343,-0.51656,0.211035,-0.457683,-0.848612,0.796324,-0.016454,0.925978,-0.058557,-0.733602,0.544603,-0.619348,-0.506416,0.448814,0.92446,1.06726,2.056372,-0.455957,-0.106194,-0.016381,0.189344,1.422608
premier,-0.318477,0.284484,1.079939,-0.060614,-0.231887,0.006432,-0.429575,0.23562,-0.743819,-0.745282,-0.059878,-1.121515,-0.409081,-0.42731,-0.506668,-0.641116,0.009236,-0.680332,-0.360441,0.177216,-0.247366,-0.173243,0.281932,-0.713097,0.520122,-0.110889,0.678321,0.020951,0.485154,-0.966735,-0.443829,0.724689,0.620427
ensemble,0.332532,0.245136,0.126718,0.092724,-0.099701,-0.287587,-0.212641,0.065735,-0.140234,-0.523062,0.443396,-1.239645,-0.39802,-0.043917,-0.429617,0.058398,0.075397,-0.513986,-0.669182,-0.056795,-0.519252,-0.140437,-1.087124,-0.537489,-0.246036,0.489959,0.484124,1.376244,-0.247827,0.107013,-0.554085,0.746209,0.892464
point,-0.055826,0.530232,-0.192112,0.452873,0.528285,0.951201,-0.273563,0.913691,0.257127,-0.198446,-0.882976,-0.892508,0.27026,0.53517,-0.217726,-0.579031,-0.298709,-0.569483,-0.84036,0.296467,0.178861,-0.496717,-0.687698,-1.813277,0.347473,0.09473,0.433827,0.036374,-0.500971,-0.356528,-0.459802,0.843916,0.746512
théorie,-0.025164,0.532247,1.593178,0.646296,0.072541,0.513506,-0.686814,1.024752,-0.072019,-0.365717,-0.141323,0.767859,0.171032,0.48446,0.102721,-0.713665,1.005582,0.377951,0.428243,-0.992863,-0.728785,-0.734877,-1.095835,-0.581165,0.27563,-0.333888,-0.173678,1.2942,-0.536583,1.742432,0.416143,1.130121,1.827399
exemple,-0.353721,-0.390659,0.15592,0.722308,0.158129,0.207006,-0.362669,0.013555,-0.155068,-0.105327,-0.101115,-0.807623,0.187125,0.723731,-0.549069,-0.067811,-0.087796,-0.255633,0.15415,-0.262015,-0.822655,-0.54812,-0.125857,-0.138726,0.300719,0.441904,0.258448,1.744038,-0.762881,0.061322,0.067587,0.536086,1.547834
espace,-0.327792,0.223121,-0.623251,0.013929,-0.181769,-0.02518,0.123526,-0.211393,0.08097,-0.380027,0.52547,-0.337389,-0.432013,0.128124,-0.445488,0.07567,0.005576,-0.68798,-0.412389,0.106987,-0.674338,-1.052236,-1.892372,-1.100837,-0.140378,0.011649,0.406146,1.42712,-0.849554,0.97645,-1.052191,0.206772,1.053245
théorème,0.382453,-0.394157,1.213362,-0.573941,1.498025,0.155732,0.361156,1.207144,0.774232,-1.296841,-0.919281,-0.255146,0.586032,0.441222,-0.338184,-0.244985,0.401826,0.935297,1.123645,-1.580393,-0.659784,0.677346,-2.339587,-1.51343,0.362399,0.176085,-0.151365,0.815431,-0.876217,1.993494,1.070058,-0.64352,1.224268
problème,-0.102728,0.898203,0.217216,0.731236,-0.064204,0.351516,-0.60357,0.429082,0.124138,-0.075274,-0.009767,0.135162,0.832802,0.798695,-0.362529,-0.695166,0.698611,0.175116,0.267273,-0.473515,-0.742319,-0.165759,0.205797,-0.884823,0.650955,-0.272357,0.713335,0.676012,-0.764274,0.523498,-0.566424,0.388794,1.762106
valeur,-0.385592,0.438219,-0.324282,0.148469,-0.381577,0.855155,0.137121,0.633268,-0.048512,-0.807987,-0.842297,-0.300199,0.08996,1.037934,-0.410716,-0.931723,-0.335418,-0.339019,-0.111971,-1.037998,-0.491779,-0.226518,-0.563425,-0.634792,0.233206,0.473095,-0.177207,2.188027,-1.070814,-0.079168,0.037987,1.273317,1.310902
groupe,-0.059732,0.2149,0.072463,0.404685,0.515475,0.04964,-0.673998,0.242203,-0.237081,-0.969835,0.539541,-0.90028,-1.109996,-0.727281,-0.056985,-0.154997,0.25476,-1.004663,-0.302502,-0.166879,-0.220154,-0.998997,0.60501,-0.407442,-0.221856,1.382744,0.751411,0.182001,0.367265,-0.168329,-0.17885,0.97108,1.067939
graphe,0.373618,-0.494221,0.081556,0.303108,0.514529,0.500565,0.294768,-0.031717,1.643352,-0.981993,-0.897389,-1.037076,-0.514038,1.178467,0.425276,-0.24625,-0.280856,1.439108,-0.198514,-0.082605,-0.684657,-0.293575,-2.503689,-0.845883,1.291268,0.364501,0.216427,0.257772,-1.351771,2.138754,1.717153,-0.803953,0.960463
forme,-0.238533,-0.790293,0.321941,0.578468,0.505881,-0.67039,-0.250552,-0.366646,-0.430356,0.28244,0.240832,-1.006816,-0.444307,0.791104,-0.754445,-0.388807,-0.049103,-0.666098,-0.430419,0.097517,-0.349229,-0.570518,-0.570519,-0.389845,0.69657,0.247138,0.299309,1.633528,-0.328739,0.211391,0.284139,0.992709,1.393554
entier,-0.26055,-0.062683,0.018471,0.044697,0.132768,-0.111678,-0.357358,0.151024,0.008162,-1.029995,0.114111,-0.881141,-0.296566,0.939855,-0.018635,0.075884,-0.574879,-0.286755,0.329122,-0.159503,-0.457931,-0.349635,-0.614526,-0.430399,0.645076,0.625495,0.082011,1.114393,-0.665877,-0.234304,-0.192455,0.993753,0.857124
système,-0.855699,-0.16574,-0.068556,1.639475,-0.604824,0.192243,-0.503063,-0.834598,-0.115948,0.10489,-1.086491,-0.683084,-0.510748,0.228434,-0.609103,-0.859184,0.990968,0.391153,0.149277,-0.38448,-1.204017,-0.897111,-0.303946,-0.690064,0.142543,0.074038,0.749438,1.364195,-0.201129,0.501419,-0.751062,0.358057,1.57
équation,0.120635,-0.573387,1.025399,0.5799,1.619084,0.537002,0.266301,0.85339,0.288093,-0.960942,-1.391189,0.343471,-0.020496,0.426673,0.24747,-0.749734,0.824975,0.996675,1.743515,-1.724448,-0.337521,0.364997,-2.343094,-0.633704,0.364353,-0.361107,0.754656,1.228732,-0.621065,0.709847,0.438604,-0.005783,2.143847
suite,-0.490155,0.200499,0.860022,0.351317,-0.370189,-0.489605,-0.563423,0.181858,-0.515682,-0.642122,0.561578,-0.412941,0.118437,-0.143503,-0.314456,-0.681746,0.48569,-0.423768,-0.130948,-0.036175,-0.458185,0.283537,0.46336,-0.861214,0.364495,0.296218,0.800943,-0.036114,-0.130613,-0.836468,-0.585214,0.416017,0.85667
algorithme,0.340947,-0.501773,0.442929,0.453805,0.999752,0.264995,-0.65797,0.157094,1.380578,0.080233,-1.581189,-0.371137,0.481472,0.447585,-0.747584,0.052991,-0.114771,1.392404,1.416712,-0.792488,-1.077385,-0.414699,-0.566917,-1.335266,0.271836,-0.464156,0.459726,0.610354,-0.646878,1.452501,0.026716,-0.395411,1.85994
calcul,-0.297999,0.2834,0.660433,0.537589,0.125331,0.301903,-0.265244,0.588617,0.680503,-0.455072,-1.808621,0.176647,0.319419,0.77773,-0.802218,-0.639127,-0.241716,0.809769,1.08006,-1.206976,-0.93061,-0.440558,-1.020396,-0.820481,0.131739,-0.519694,0.560744,1.937584,-0.548328,0.13846,-0.162251,0.429952,1.338252
application,-1.117158,-0.036119,0.122867,1.511739,-0.915463,-0.289984,0.040029,0.39499,0.10609,-0.295384,-1.113489,-0.414259,-0.206585,-0.11107,-0.920126,-0.110174,0.525566,0.888989,0.86538,-0.732285,-0.282606,-0.420989,0.1837,-0.598631,-0.591252,0.490642,0.991823,1.844493,-0.761351,0.976698,-0.74918,0.172385,1.429592
élément,-0.429556,-0.692097,0.273627,0.669661,0.3057,-0.288765,-0.244483,0.488983,0.002708,0.051046,-0.019021,-0.590336,0.143364,0.606951,-0.960565,-0.604911,0.315745,-0.423482,-0.812758,0.212318,-1.145815,-0.871056,-0.728388,0.011961,-0.144235,0.136233,0.175193,1.750422,-0.501125,0.096381,0.351606,1.21328,1.297965
grand,-0.039012,0.491292,0.04273,-0.467964,-0.090842,0.300999,0.126262,-0.20521,-1.484813,0.061831,0.541919,-0.796137,-0.014745,0.018841,-0.397212,-0.684628,-0.05684,-0.784483,-0.736979,0.395566,-0.032742,-0.474056,-0.35524,-0.65703,0.525177,-0.187316,-0.155579,0.764453,0.119512,-0.670728,-0.74369,0.546414,0.582609
propriété,-0.293955,0.104974,0.15161,0.175145,0.115152,-0.067845,0.171769,0.1401,-1.289043,-0.281409,0.056343,-0.607432,-0.15157,0.107491,-0.72761,-1.098747,0.422801,0.637782,0.341132,-0.699245,-0.753295,-0.235284,-0.993144,-0.472928,0.57547,0.80835,-0.169371,1.657921,-1.704012,0.320925,0.139958,-0.074086,0.469942
ordre,-0.338435,-0.368452,0.710646,0.251838,-0.919163,0.496748,0.607043,0.496072,-1.330043,-0.79699,0.039138,-0.508044,-0.114995,0.398894,0.406557,-0.940596,1.011412,-0.233104,0.31364,0.902304,-0.350571,0.383483,-0.307593,-0.045817,0.264702,0.293213,-0.160205,1.148397,-0.130189,-0.898301,0.132732,0.477093,0.664669
variable,-0.572164,-0.159856,-0.811013,1.038718,0.555707,0.259464,0.221888,-0.291612,0.263039,-1.041903,-1.243795,-0.275889,0.389223,0.978571,-0.713901,-0.108194,-0.182165,0.738092,0.196795,-0.605163,0.072096,-0.281274,-1.291973,-0.389922,0.692418,0.541545,0.289357,1.600432,-0.827477,0.043695,0.382621,0.643863,1.942337
base,-0.469906,-0.64084,-0.388445,1.160369,-0.069306,0.102169,-0.157634,0.134392,-0.505938,-0.104333,-0.537145,-1.251196,-0.256497,0.264375,-0.772152,-0.444575,-0.046623,0.224606,-0.017655,0.396734,-0.861143,-0.914663,-0.209965,-0.255497,0.097996,0.012801,0.229615,1.149545,-0.260764,0.110346,-0.079864,1.043886,0.722806
géométrie,0.324286,-0.163336,1.408317,0.276735,0.350137,-0.244689,0.308706,0.994571,0.394102,-0.023026,-1.301245,0.2986,-0.560347,0.685566,-0.632929,-0.350219,0.299503,0.423309,0.676704,-0.642868,-0.142882,-0.560354,-2.472818,-0.286835,-0.139329,-1.221986,0.537374,1.302333,-0.335933,1.747035,0.514603,0.07549,1.374509
