word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
un,1.375251,-1.505727,0.22098,0.629303,-0.133669,-1.121693,0.476306,0.53389,0.416768,1.75565,1.846645,0.9929,-0.530788,0.756469,0.46819,0.0599,-0.25234,0.274045,0.813573,-1.463794,0.796672,-2.080525,-0.614528,2.061342,-0.129151,0.094578,1.032188,-0.265981,0.168819,-0.197221,0.502797,-1.32743,-0.812861
nombre,0.302865,-1.531513,-0.645969,0.123348,0.336015,-2.129362,-0.464259,-0.157226,-0.132971,1.541235,0.88609,-0.120159,-0.388845,0.710979,0.600166,0.762784,-1.301335,1.15573,-1.10722,-2.367325,0.814067,-2.476039,-0.110232,0.630535,-1.163426,0.093719,1.87448,0.858316,1.710317,0.371964,1.421781,0.170266,-0.37776
$\mathbb{N}$,0.16373,-1.072124,0.855725,0.350246,0.129857,-2.248854,0.609295,0.537969,0.781704,1.042219,0.710301,0.065525,0.381216,0.437562,0.479966,0.670167,-0.011866,0.886827,0.830203,-2.399892,0.946708,-2.028496,-0.930823,1.168828,-0.852143,0.47203,0.066273,0.208855,0.279572,-0.348659,1.121071,0.055545,-0.04402
deux,1.28435,-1.50335,0.216938,0.319192,0.565385,-1.165734,-0.086708,0.987049,0.474361,1.918568,0.692475,0.182287,-0.650296,0.526721,-0.282361,0.763178,-0.671715,0.629155,0.4411,-0.937527,0.640758,-2.056129,-0.843836,2.383709,-0.42894,0.510349,0.715672,-0.149105,0.132082,0.108628,0.654982,-0.987788,-0.190915
fonction,0.578368,-1.206341,-0.039667,-1.426687,0.017598,-2.428598,1.665227,1.154536,0.310789,1.111411,1.2349,0.786068,-0.253588,0.374403,0.603042,1.216252,1.206493,1.390168,-0.430014,-0.338622,0.000322,-2.7207,-0.761229,1.005442,0.528111,-0.123574,0.242818,0.515265,0.911293,0.033485,0.746026,-0.886662,-0.748142
premier,0.563935,-1.555535,0.521722,0.101556,0.171099,-1.276831,0.489744,0.536829,-0.529744,1.916807,0.896018,0.250042,-0.83589,0.739457,-0.441739,0.610144,-1.289339,0.372242,-0.264715,-2.115621,0.40494,-1.843902,-0.143588,0.65319,-0.48233,-0.26122,1.456279,0.397766,1.334349,0.467891,1.525214,-0.296698,-0.855344
ensemble,0.115356,-1.641849,-0.056096,0.104337,0.003335,-1.750644,-0.23384,0.593731,0.810735,1.13545,1.829048,1.143999,-0.152888,0.064458,0.377213,1.978395,-0.11484,1.484224,1.652941,-0.568477,0.842009,-1.842134,-0.510352,1.190204,-1.420301,0.628413,-0.060531,0.421253,0.009488,-0.231784,0.58347,-0.723225,-0.496665
point,1.09185,-2.026254,-0.255358,-0.00618,-0.563061,-1.384009,0.466492,0.931666,0.664361,1.932198,-0.383749,0.740363,0.090175,0.528693,-0.062188,1.335308,-0.237582,-0.045703,0.774939,-0.983202,0.228976,-2.471685,-0.567055,2.066565,-0.233812,1.365885,-0.452286,-0.086704,-0.04225,-0.143463,-0.318478,-1.140733,1.256261
théorie,0.469158,-1.379957,-0.069621,-0.301024,-1.073066,-1.198408,0.697776,0.819864,0.098711,1.135399,1.665368,2.162613,-0.637095,1.553954,1.815322,0.40763,-0.31189,0.04128,0.858016,-0.48831,0.698128,-1.205021,0.738101,0.107337,-0.51809,-0.656849,1.355738,-0.153491,0.155934,-0.678733,1.119096,-0.246388,-0.338031
exemple,0.557557,-1.574239,0.445786,0.772901,-0.059183,-1.706316,0.673303,0.485986,0.966089,0.97958,1.313042,0.292596,0.00339,0.309437,0.471453,0.528852,-0.13258,0.72321,-0.190289,-1.166826,0.413433,-2.149334,-0.579179,1.20506,-0.540171,-0.31536,0.798372,-0.134842,-0.124383,-0.563631,0.774874,-0.519788,0.096157
espace,0.195788,-2.038111,0.568636,0.676582,-0.844037,-1.251016,-0.212854,1.788259,1.336098,1.40716,1.075368,1.780309,0.754507,-0.090462,1.463042,1.155699,1.397073,0.404699,0.039111,0.605967,0.996499,-2.200608,-1.204171,0.798276,-1.16668,0.432933,-0.705038,-1.112307,-0.745459,0.278283,0.774679,-0.927696,-0.625291
théorème,-0.482955,-1.063927,0.0441,-0.2825,-0.939404,-2.294346,0.598243,0.4069,0.703358,1.81934,1.07069,1.470151,-1.650301,0.68227,0.950834,1.008451,0.652374,-0.691039,0.153833,-0.28405,-0.363496,-2.235184,0.103621,0.029709,-0.650575,0.468155,0.536248,-1.408062,1.147158,-0.439534,1.782684,0.497603,0.012672
problème,-0.807982,-1.269289,0.692843,-0.57937,0.178306,-1.13416,0.607934,0.66483,0.185176,1.904049,1.36884,1.223951,-0.291999,0.68446,1.575372,-0.304329,-1.78994,-0.415813,0.363838,-1.417983,-0.212365,-2.204015,0.394364,0.971544,-0.512665,-0.275759,0.433018,-0.700982,-0.259066,-0.983784,-0.114472,-0.877055,0.210969
