word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
un,2.498606,-0.203954,-0.194758,-0.314547,0.099395,0.327243,-0.36582,0.257417,-0.208311,-0.375438,-0.365463,-0.072319,0.168098,-0.067636,0.639723,-0.105451,-0.35196,0.087956,0.428825,-0.092652,1.203086,0.187815,-0.1305,0.006359,0.051155,-0.240259,-0.62669,0.127765,-0.193286,0.02503,0.270639,-0.089002,0.374797
nombre,2.343287,-0.717363,-1.027917,-0.245902,0.01016,-0.523666,-0.07214,-0.249107,0.512567,0.040161,-0.623262,-0.240349,0.524059,-0.429759,0.285512,0.046664,-0.085258,-0.555956,0.223716,-0.64851,1.17973,0.786126,0.193267,0.085785,-0.748164,-0.143854,-0.800528,-0.461748,-0.206021,-0.358016,-0.122141,0.239388,0.10571
$\mathbb{N}$,2.115523,-0.049578,-0.494449,-0.390408,-0.160192,-0.517127,-0.360889,-0.678576,-0.069371,-0.38399,0.192849,-0.235012,0.663749,0.053403,0.499303,-0.036179,-0.4627,-0.090957,0.279787,-0.03311,1.115983,0.517691,-0.328601,-0.376475,-0.442655,-0.091912,-0.413386,-0.004957,0.058539,0.211802,0.431282,-0.29402,-0.361129
deux,2.352651,-0.595954,0.259567,-0.443297,0.190226,-0.157932,-0.434127,0.288485,-0.389878,-0.380757,0.31457,-0.376259,0.493322,0.222885,0.527099,-0.139803,-0.528251,-0.272498,0.530932,-0.209726,1.136099,0.515884,0.218393,0.263763,0.565904,-0.35882,-0.35834,0.118944,-0.211756,-0.415629,-0.155928,-0.192842,-0.115843
fonction,2.12775,0.80642,-0.891073,-0.685765,-0.303637,-0.31747,0.65341,0.359775,-0.232347,-0.895416,-0.218401,0.311283,0.653699,-0.977256,-0.18722,-0.14331,-0.174998,0.209649,0.045982,-0.123203,0.859189,0.917809,0.479669,0.698215,0.211399,-0.416652,-0.286975,-0.018352,1.17674,-0.464871,0.55259,-0.728531,-0.00924
premier,1.578631,-0.070993,0.483897,-0.86553,0.055165,-0.076622,-0.520718,-0.076732,-0.483406,-0.457177,-0.140175,0.201712,0.116715,0.814449,0.454158,-0.257045,-0.406478,-0.850215,0.175886,-0.03991,1.191408,0.303631,0.302097,0.013915,0.164023,0.091576,-0.135304,-0.521131,-0.416753,-0.822268,0.062773,-0.655199,0.059128
ensemble,1.98744,-0.193131,0.084932,-0.258757,0.658191,0.259675,0.196635,0.531832,-0.74844,-0.215342,-0.578326,-0.022028,0.348366,-0.084847,0.016094,0.444221,-0.562187,0.154248,0.348382,-0.710997,0.528115,-0.280452,0.174664,-0.224459,-0.200024,-0.368677,-0.526149,0.2351,0.337481,-0.615053,-0.08981,-0.196791,-0.065393
point,1.76416,-1.137064,0.428108,0.024846,-0.094535,-0.47555,-0.29759,-0.095283,0.160517,-0.442964,0.218292,-0.181932,0.858312,0.512302,-0.53928,0.060771,-0.623837,-0.23897,0.074956,-0.114189,1.113965,0.98232,-0.331386,0.27274,-1.127632,0.090704,-0.86206,-0.023633,-0.200994,0.166119,-1.133457,-0.058779,-0.02891
théorie,1.48797,2.094811,0.237889,-0.90064,-0.099193,0.191938,-0.136128,-0.151685,0.50557,-1.539251,-0.454966,0.296303,1.03409,-0.457468,-0.03332,0.827621,-0.880438,0.241905,0.052031,0.216896,-0.08772,-0.212917,0.52489,-0.261319,-2.056571,0.059131,-0.220378,-0.628439,0.824614,1.19339,0.140273,0.45763,0.354391
exemple,2.018745,0.142951,-0.459625,-0.134182,-0.09877,0.284539,-0.238715,-0.171932,-0.305886,-0.798645,-0.369385,0.010831,0.601659,-1.147765,0.330627,-0.059319,-0.437089,0.238455,-0.018726,-0.578532,0.794313,-0.182503,-0.50009,0.118812,-0.601843,-0.333047,-0.35111,0.001604,0.121213,0.2574,0.647395,0.383007,0.067489
espace,2.650088,-0.406954,0.239856,-0.143442,0.349444,0.520931,0.581652,0.717151,-0.191093,0.129095,-0.346268,-0.243293,0.065241,-0.637757,-0.551056,0.342445,-0.651279,0.545302,-0.047181,-0.146563,0.160601,-1.140777,-0.002998,-0.3814,-0.470527,-0.217726,-0.318964,0.43994,0.548606,0.206386,-0.822953,-0.318,0.757857
théorème,-0.426974,1.030079,0.20298,-0.315926,0.119885,-0.36931,0.896987,0.221098,0.930839,-2.022153,0.566341,-0.717626,2.127857,-1.181596,-1.339817,0.674656,-0.969287,0.247946,0.0045,0.356336,-1.084043,0.477837,-0.112214,-0.488649,-0.804877,0.11363,0.214313,-0.184726,0.320766,0.416017,0.578304,0.67529,0.547409
problème,1.593677,0.977588,-0.318144,-0.242234,-0.339095,0.013344,-0.393801,-0.476355,0.441821,-0.760089,-0.453247,0.162317,-0.063309,-0.487082,0.231348,-0.160932,-0.5628,0.30706,-0.109989,0.865829,1.159245,0.407422,-0.172924,-0.37776,-1.514408,-0.024908,-0.613734,0.50316,0.502754,0.341054,0.178197,-0.187986,0.227004
valeur,2.375761,-0.2734,-0.609663,0.392025,-0.079014,-0.242763,0.82237,-0.302975,0.28362,-0.826557,-0.720847,0.477139,1.019134,-0.85917,-0.426572,0.814978,-0.488259,-0.577982,0.031132,-0.510902,0.240549,0.616772,-0.416821,-0.128521,-1.253481,-0.392136,-0.566405,-0.401657,0.140343,0.488831,0.801135,0.281049,0.384829
groupe,1.202719,0.713391,-0.339875,-0.384601,0.103521,0.034321,-0.371865,0.13737,-0.609238,-0.303093,0.103396,0.558646,0.267009,1.09073,0.260673,-0.391823,0.223432,-0.303173,0.943789,-1.285329,1.450601,-0.709119,-0.540663,-0.5011,-0.309313,-0.588096,-0.289498,-0.561718,-0.071057,-0.624779,-0.589573,-0.689914,0.15022
graphe,0.41048,-0.06508,-0.73005,0.394343,0.150724,0.239053,0.34871,0.672006,0.066657,-0.936832,0.57359,-0.855134,1.044829,-1.89462,-1.617414,1.062051,0.309335,0.995229,-0.276258,-0.651482,-0.806502,-0.59637,0.371211,0.098941,-0.95381,0.012922,-0.179368,0.137478,-0.141447,0.194048,-0.616866,0.574046,0.21786
forme,2.320028,0.143871,0.142009,0.072891,0.179652,0.204653,-0.411397,0.44423,-0.384325,-1.156467,-0.184196,-0.246816,-0.104343,-1.15831,0.648881,0.094942,-0.745054,0.501222,0.790599,-0.821504,0.652135,-0.403703,-0.003292,0.319715,-0.159766,-0.653463,-0.183012,-0.383303,-0.413591,0.028561,0.266345,0.471304,-0.445045
entier,1.904525,-0.347473,-0.627917,0.055857,0.137716,-0.040873,-0.302955,0.163544,-0.218036,-0.066653,-0.269854,-0.24505,0.645148,-0.519297,0.413489,-0.052531,-0.106884,-0.311153,0.092185,-0.462525,0.471196,-0.337487,0.074726,-0.360406,-0.489456,-0.566822,-0.036147,-0.41513,-0.174394,-0.158584,0.391642,-0.051913,-0.216468
système,2.357493,0.926355,-0.443142,0.009816,-0.201799,0.057979,0.199197,0.568681,-0.217905,-1.005134,-0.029324,0.366347,0.154439,-1.487378,-0.623022,0.226431,-0.226821,0.649249,0.110176,0.011857,1.94536,-0.210946,-0.338982,0.339804,-0.960668,0.645856,0.120066,-0.483856,0.466312,-0.238656,0.079949,0.029444,0.809156
équation,0.418467,1.542385,0.804658,-0.410918,-0.364111,-0.452538,1.303689,0.242628,0.716404,-2.481409,0.619266,-1.262836,2.41228,-1.834127,-0.902671,0.30411,-0.886755,0.445639,0.010044,0.518721,0.083974,0.944903,0.180924,-0.8108,-0.923764,-0.228464,0.201425,-0.510286,0.72116,0.414858,0.540094,1.307118,0.652542
suite,1.319119,0.403298,0.14171,-0.537513,0.05493,0.117475,-0.523395,-0.547638,0.087835,-0.155585,-0.379298,-0.235617,-0.442576,0.365668,0.493107,-0.46694,-0.544639,-0.686208,0.405423,0.358315,1.41256,0.398921,0.254612,-0.486339,0.211727,-0.024094,-0.242804,-0.351687,0.25817,-0.672953,0.189389,-0.991313,-0.342981
algorithme,-0.095608,-0.058259,0.029831,0.023131,-0.417016,0.094653,-0.349312,-0.100934,0.131719,-1.619316,0.752994,-0.088538,0.913279,-2.277465,-1.081518,0.185836,-0.139987,1.011535,-0.267727,0.73799,0.503054,-0.433211,-0.504477,0.51249,-1.416868,0.158388,-0.780645,-0.381595,0.468376,-0.161063,0.337384,0.127272,0.886511
calcul,1.193485,-0.132102,0.154626,-0.525592,-0.622828,-0.339033,0.716223,-0.253253,0.731444,-1.478369,-0.197173,0.233216,1.084945,-2.215432,-0.882197,0.559601,-0.547407,0.278987,-0.334723,0.373396,0.773744,0.480328,0.404882,0.225146,-1.478789,0.151757,-0.62953,-0.541365,0.337058,-0.080309,0.535983,0.245188,1.016576
