word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
un,0.337036,-0.169026,-0.144691,-0.482255,-0.597355,-0.348323,-0.731312,0.107951,-0.359579,0.056804,0.334512,-0.580123,-0.205199,-0.184106,0.239053,1.264408,-0.199456,-0.045134,0.143763,-0.591037,-0.200965,1.592721,0.228253,0.758777,-0.209621,0.545938,0.33571,-0.297291,-0.140704,0.527051,1.016133,0.409298,0.598355,-0.166263
nombre,0.63162,0.47343,-0.090636,-0.548822,-0.04956,0.264127,-0.891458,0.597574,0.26757,0.234735,0.683247,-0.54882,-0.22137,-0.879185,0.085258,1.515653,0.417983,-0.756696,-0.122371,-0.037908,0.63061,2.016593,0.124982,-0.429593,-0.154245,0.49277,0.416999,0.502381,-0.297421,1.095385,-0.093442,0.779498,0.469466,-0.431516
$\mathbb{N}$,0.305576,0.196385,-0.049706,-0.337345,-0.019524,-0.270543,-0.095122,0.257564,-0.199406,0.65495,0.507877,-0.661419,-0.44854,-0.059105,-0.309442,0.90332,-0.286051,-0.414694,0.091511,-0.914068,0.616454,1.798871,-0.05897,0.078359,0.168836,0.867831,0.100815,-0.021187,-0.218431,0.796206,0.577244,0.115991,0.501263,-0.215833
deux,0.584115,0.131071,0.30131,-0.626882,-0.664995,-0.205883,-0.446089,0.510161,-0.578744,0.527032,0.296439,-0.386049,0.232107,-0.668457,0.246695,1.066221,-0.429737,0.11465,0.072242,-0.863237,-0.138565,1.613613,-0.318822,0.968447,-0.154507,0.340844,0.401566,-0.46068,0.141173,0.480904,0.268635,0.401636,0.225891,-0.239839
fonction,0.518427,-0.861411,0.381671,-0.251528,-0.713613,-1.211774,-0.739216,-0.286546,-0.306488,0.361181,0.600159,-1.360764,-0.508648,-0.708017,0.71876,0.132293,-0.401286,-0.125626,0.024703,-0.914099,0.52419,1.661404,0.241131,-0.830995,0.623098,-0.191444,0.004596,0.245663,0.225274,0.582083,0.220416,1.303599,0.87654,-0.762772
premier,0.10924,-0.048858,-0.461949,-0.838638,-0.581756,0.293578,-0.333695,0.789118,0.037377,0.747863,0.123852,-0.643334,0.311104,-0.733163,0.100534,1.409218,-0.454402,0.648039,0.085141,-0.708187,-0.151248,1.328787,-0.41055,0.517018,-0.148982,-0.167977,-0.503499,-0.212318,-0.143447,0.205603,0.166316,0.080299,0.05484,0.169681
ensemble,0.742922,-0.426946,0.401327,-0.116125,-0.328601,-0.7998,-1.193657,0.444604,-0.142185,-0.048218,-0.252054,-0.150293,-0.140499,-0.058113,0.524483,0.694258,-0.491115,-0.046007,0.402926,-0.278459,-0.296901,1.861676,-0.218679,-0.102214,0.150046,0.535316,0.106917,-0.70532,0.098243,0.274573,0.417521,0.600462,0.098091,-0.02527
point,0.396909,0.189465,0.750517,-0.482767,0.076344,-0.470504,0.912901,0.482168,0.201756,0.27795,0.550769,0.678981,0.624662,-0.986386,0.07668,1.79819,0.474592,-0.164284,-0.412963,-0.556655,-0.003599,1.722946,-0.176264,-0.355629,0.362408,1.116071,0.503812,0.139874,-0.13169,0.583323,0.079328,0.313269,-0.008118,-0.320947
théorie,-0.451259,-0.746068,0.331049,0.563255,0.835633,-1.515142,-0.502729,0.310724,0.163677,0.795052,0.438032,-0.736345,0.971502,-0.035766,0.019595,0.963799,-0.64569,-0.737338,-0.31933,-0.030515,0.111006,1.324976,2.224325,-1.518318,0.299136,-0.079301,-0.313196,0.639907,-0.270669,0.339792,1.419028,0.472942,0.470295,0.159981
exemple,0.581442,-0.079018,-0.239946,0.087467,0.183291,-0.894471,-0.640085,-0.299521,-0.3065,0.088748,0.661212,-0.719589,-0.694332,0.037177,0.388527,1.038765,-0.526434,-0.367927,0.468819,-0.17741,0.008243,1.422009,0.640293,-0.249329,0.225135,0.983054,0.311748,0.305607,0.121419,0.971649,0.631767,0.608877,0.35919,0.238929
