word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
un,-0.157042,0.020046,-0.77362,-0.887984,0.214675,-0.431191,1.105364,-0.099583,-2.103188,1.166914,0.603439,0.821555,-0.406427,-0.488388,-0.46556,0.730386,0.185241,-0.510615,-0.118578,1.035951,-0.041152,1.033578,-0.100907,-0.805028,1.788625,2.44201,-0.06924,-0.704899,0.842162,0.446791,0.975904,1.064942,-0.110903,2.230562
nombre,1.776452,0.723245,-0.529911,-1.157526,0.211865,0.276109,1.695132,-1.385524,-3.334251,0.012833,0.12817,-0.830953,0.816385,0.852642,-1.29675,0.744861,0.104836,-0.810923,0.175027,0.809282,0.588867,-0.411831,0.200041,-0.159993,1.20061,2.820879,0.013366,-0.995386,-0.168078,-1.169472,-0.046302,1.581845,-0.862778,1.331891
$\mathbb{N}$,-0.09771,0.137618,-0.610063,-1.048152,0.29644,-0.181959,0.088583,0.449922,-2.741716,1.439811,-0.299181,-1.174686,0.203754,0.512778,-0.593672,0.977004,0.143206,-0.16894,-0.474096,0.712636,0.911391,0.769961,0.016419,-0.0471,1.218429,1.998052,-0.500796,-0.91934,-0.240551,0.26042,-0.387145,0.629028,-0.075269,1.788055
deux,-0.194636,0.584732,-0.665416,-0.805624,0.699084,-1.179149,0.745184,-0.202469,-2.865055,0.877123,0.62893,-0.025287,-1.155257,-0.455039,-0.795901,0.693925,0.051345,-0.389869,-0.111625,1.079999,-0.873851,0.721925,-0.151426,-0.640253,1.081639,2.12811,-0.754034,-0.651036,-0.050496,-0.248318,0.510829,1.194095,0.708702,1.406271
fonction,0.309106,0.993788,-2.367422,-2.115367,-0.296828,0.657369,0.247113,-1.446088,-2.396977,1.485449,-0.025593,-0.029924,0.483779,-0.394595,-0.019869,2.238884,0.30807,0.237202,0.283912,1.167445,0.062192,0.724427,1.327582,0.255467,0.869065,1.052609,-0.13012,-0.23112,0.646829,0.34054,0.828729,0.571239,0.572995,1.252432
premier,1.113471,0.062591,-0.366464,-0.622371,-0.018015,0.615954,1.313657,-0.194097,-2.888524,-0.367438,0.907902,-0.682027,0.746619,0.312937,-0.614023,1.124996,-0.366428,-0.527794,0.012811,1.539766,-0.296958,0.511762,-0.096346,-0.466882,1.002968,2.260269,-0.133758,-0.46892,0.34503,-0.452466,0.015637,1.230806,-0.141922,1.101577
ensemble,-0.640249,0.467166,-1.070758,-0.223293,0.805818,-0.050706,1.13012,-0.648062,-2.993628,1.864312,-0.459557,0.751462,0.068256,0.247911,-0.346528,0.559676,0.672471,-0.807683,0.029641,-0.468997,0.188087,0.717558,0.768053,-0.769821,1.397668,1.651113,-0.486432,-0.428218,-0.1922,0.822979,0.120226,0.811751,0.789568,1.634822
point,-1.072453,-0.084539,-1.612913,-0.415965,-0.101944,-0.954846,0.227163,-0.279501,-3.137186,2.008993,-0.317239,0.624636,-0.728093,-0.993542,-1.246009,1.310804,0.860943,0.244392,0.078983,0.624979,-1.037568,0.196629,-1.086178,0.631704,0.270855,1.157323,-1.347802,-0.446741,-0.181043,-0.027147,0.225031,0.644361,0.096479,1.415661
théorie,0.522051,-0.398286,0.552634,-0.047623,0.098976,0.395722,0.816918,-0.952284,-2.08153,0.646351,-0.355794,0.958877,0.91545,-0.370991,-0.683405,2.311953,-0.164098,0.072919,0.337136,-0.39055,0.541595,0.928049,0.537816,-0.884634,1.786123,1.927084,-0.49528,0.626022,0.956886,1.142341,1.323684,1.067433,-0.690956,0.855222
exemple,-0.002823,0.472354,-0.639492,-0.920795,0.35543,-0.404792,0.113821,-0.261045,-2.060098,1.60798,0.040186,-0.175334,0.682706,0.018577,-0.220909,1.180415,0.281994,-0.382314,-0.29281,1.046591,0.34187,0.135478,-0.094981,-1.063111,0.897311,1.891256,-0.606403,-0.629721,0.288426,0.178932,0.510863,0.425815,-0.266657,1.645728
espace,-1.078154,1.30653,0.361107,-1.402314,0.705567,-0.861511,-0.169678,-0.10587,-2.242968,2.261621,-0.459212,0.469265,0.315897,-0.161496,-0.482526,1.131351,1.879799,0.505586,0.920072,-0.650411,-0.750746,-6.5e-05,0.666974,-0.533347,1.386196,1.266586,-0.008266,0.060734,0.823279,1.492194,0.316325,0.186483,0.713903,2.268316
théorème,-0.493239,0.634685,-0.202857,-0.975623,-0.648601,-0.24538,0.844215,-0.482253,-2.273021,1.261179,1.063007,0.001745,1.585257,0.179864,-1.072809,2.422596,0.565316,0.699388,-0.217355,-0.603334,-0.510327,0.874992,-0.017938,-0.757624,0.985364,2.299476,-0.052005,0.126962,-0.025779,1.490046,0.576662,0.621347,-0.664056,-0.537876
problème,0.477148,-0.727427,0.488769,-0.603458,0.62592,-0.690481,1.237748,0.22955,-1.683348,1.278237,-0.32502,0.747435,1.2811,0.380855,-0.748616,1.527837,-0.729513,0.750022,-0.952096,-0.546338,-0.422561,1.322372,-0.274572,0.226583,0.097766,1.979735,-0.789644,-0.866631,0.866175,0.336336,0.971267,0.165956,-1.357888,1.637803
