word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
un,-0.504067,0.726582,-0.642075,-0.182324,-0.460502,-1.213422,0.00281,0.254725,0.09853,0.727279,-0.338652,0.085137,-0.635901,0.15886,-0.72943,-0.449201,1.287998,-0.267475,-0.072666,-0.61192,0.337818,0.027313,-0.073587,-0.241543,1.167659,-0.55127,-0.456519,-0.20445,0.127493,-0.352296,-0.183758,-0.210015,-0.242412,0.237906
nombre,-0.555221,-0.286283,-0.887769,-0.073942,0.395532,-1.196619,-0.667162,-0.397221,0.141642,-0.017039,0.059851,-0.043502,-1.191654,0.386527,-1.164229,0.005561,1.444468,-0.285272,-0.552474,-0.459867,0.399546,-0.272993,0.553731,0.396777,1.292212,-0.577752,0.236371,0.380416,0.551047,-0.673593,-0.302591,-0.478752,-0.497076,0.918719
$\mathbb{N}$,-0.527554,-0.119041,-0.517998,0.193396,-0.539831,-0.819427,0.039053,0.167964,-0.001288,0.279221,-0.542801,-0.164574,-0.95084,-0.103471,-0.587224,0.267503,1.67497,-0.445914,-0.457398,-0.245634,0.424887,0.41221,0.168471,-0.036213,1.205596,-0.128307,0.131493,0.108471,0.216099,-0.144516,-0.24644,0.336919,-0.068771,0.34367
deux,-0.416713,0.506168,-0.74997,-0.275811,-0.351317,-1.289618,0.142067,0.52247,-0.125706,0.720491,-0.398132,0.192231,-1.002173,0.435145,-0.488586,-0.208687,0.546641,-0.340339,-0.241292,-0.973992,0.375741,0.567143,0.438998,-0.010851,0.922736,-0.469682,-0.137961,-0.242532,1.01724,-0.466796,0.079508,0.400123,0.005716,0.29643
fonction,-0.119552,1.095463,-0.507958,0.476543,-1.017158,-0.178251,-0.517829,0.192135,-0.465455,-0.367988,0.103644,-0.284609,-0.453072,0.365259,-1.033411,0.066334,1.068477,0.314903,-0.514526,-0.031886,0.767383,0.981979,-0.367184,0.826943,1.305591,-0.954236,-0.054772,-0.137061,0.189867,-0.597688,0.788601,-0.712788,-0.137025,0.525912
premier,-0.452361,0.729666,-0.44422,-0.211678,0.077421,-0.50972,0.06102,0.584292,-0.332915,0.788083,-0.60664,0.335481,-1.52925,0.243618,-0.382937,-0.192924,0.378104,-0.022113,-0.221468,-0.873935,1.105814,-0.178928,0.297577,0.164939,0.476211,0.118984,-0.015041,-0.016865,0.517277,0.127175,0.36776,0.526607,0.015226,0.441511
ensemble,0.414343,0.874828,-0.882526,0.168196,-0.080504,-0.688211,-0.064746,0.141364,0.335785,0.476678,-0.295493,-0.570321,-0.420444,0.047332,-0.43505,-0.168304,0.795225,-0.219918,-0.008495,-0.521528,0.25796,0.15155,0.159361,-0.36828,0.761356,-0.794683,-0.692097,-0.272614,0.759492,-0.513107,0.652979,0.022813,-0.497688,0.286217
point,-0.337871,-1.082189,0.113314,0.277988,0.846799,-1.665579,-0.038382,0.137535,0.113198,0.262628,-0.689054,-0.011696,-1.184616,-0.133269,-0.814552,0.62056,0.616817,0.163057,-0.260284,-0.01619,0.796013,0.050919,0.377991,-0.082579,1.149291,-0.097313,0.037186,-0.181817,1.176646,-0.974521,0.102496,0.067278,0.148648,-0.3122
théorie,-1.592102,0.813493,0.265551,1.065033,0.127235,-0.283358,-0.812345,0.207634,0.120664,-0.451322,-0.143507,-0.995826,0.121085,-0.08795,-0.516062,1.043661,1.391795,-0.132021,-0.410623,0.540869,2.197237,0.224705,-0.289274,-1.109499,0.108851,-0.979024,-0.327553,0.08057,-1.114954,-0.335682,0.367102,-0.254398,-1.040047,-0.422228
exemple,-0.594773,0.290952,-0.299851,0.233358,-0.558713,-1.098746,-0.10711,-0.249156,-0.108429,0.199132,-0.149851,-0.339801,0.07968,0.027357,-0.681654,0.059195,1.852943,-0.82362,-0.282448,-0.032075,0.325749,0.168078,-0.116313,0.133915,0.981691,-0.420919,-0.474443,-0.269517,0.025581,0.120441,0.607986,-0.87255,-0.257982,0.28677
