word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
un,-0.011188,0.161982,0.222322,0.063295,-0.519162,-0.307275,0.614181,0.561916,1.492496,-0.396999,-0.265665,-0.227335,-0.066434,0.145593,0.278366,0.017767,-0.22861,0.685773,-0.173726,0.027539,0.592032,0.457603,0.333813,0.4572,-0.342507,-0.439768,1.058642,-0.00113,-0.232787,-0.762591,0.465777,0.85119,-0.996163,0.556634,0.358401
nombre,-0.011321,0.64014,1.145996,0.352162,-0.846283,0.311168,0.725207,-0.529524,1.523132,-1.054145,-0.160628,0.808081,-0.073958,-0.788959,0.418743,-0.28828,-0.447914,0.139176,-0.369779,-0.583995,0.077102,-0.112201,0.764387,0.332571,-0.782444,0.314537,0.647719,0.228999,-0.456735,-1.189368,0.635518,0.410594,-1.044111,0.044418,0.823766
$\mathbb{N}$,0.137869,0.324294,0.614453,0.108071,-0.769518,-0.279213,0.937135,0.960758,1.076709,-1.172488,0.086559,0.350582,0.15264,-0.391094,0.184255,0.209947,-0.441663,0.687007,0.08728,-0.316808,0.073163,0.21147,0.401206,-0.094005,-0.024495,-0.157228,0.264,-0.082881,-0.376135,-0.907458,0.18799,0.655118,-0.801989,0.10581,0.854679
deux,-0.083215,0.358738,0.171006,-0.058125,-0.705295,-0.01443,0.423581,1.129094,1.259027,-0.957661,0.123844,0.254341,-0.409361,0.065462,0.216487,-0.157818,-0.069764,0.625435,-0.609973,0.218941,0.772255,-0.251749,0.075369,0.680086,-0.406577,-0.264269,1.098994,-0.206344,-0.716705,-0.612744,0.259537,0.412903,-0.832003,0.436383,0.121444
fonction,-0.927126,1.381222,0.948832,0.614558,-0.317925,0.141749,-0.042925,0.697892,1.008991,-0.655931,-0.299052,-0.137336,0.498639,-0.140887,0.831688,0.402031,-0.419529,0.781847,-0.724722,-0.011929,0.603014,1.161661,0.83566,0.360976,0.109858,1.1118,0.890686,-0.712399,-0.584562,-0.548586,-0.083305,0.498334,-0.261105,-0.054273,1.26299
premier,0.237638,0.252771,0.418774,0.496497,-0.022285,-0.342574,0.02831,1.069429,0.984103,-0.894298,0.056441,0.103889,0.140094,-0.245931,0.196189,-0.255994,0.685744,0.210182,-0.232882,-0.280672,1.162176,-0.476878,-0.047137,0.615605,-0.39372,-0.176928,0.478676,-0.191023,-0.808298,-0.514683,0.913008,0.675598,-0.216105,0.360618,-0.33104
ensemble,0.239409,-0.098026,0.502919,-0.018092,0.311502,-0.161332,0.441824,1.083406,1.156179,0.036507,-0.794558,0.427494,-0.008311,-0.206491,0.843573,-0.393388,-0.416251,0.42498,-0.834803,0.138891,0.542538,0.448127,0.181417,0.180295,-0.276957,0.403433,1.168456,-0.52655,-0.279641,-0.357741,0.204307,0.200944,-0.970188,-0.027459,0.699479
point,0.185944,0.17057,0.63115,-0.572434,-0.478274,0.112042,1.21641,-0.167636,1.400288,-0.953909,-0.201265,0.761014,-0.797141,-0.954485,-0.531929,-0.012723,-0.217029,1.177347,0.017169,-0.021213,-0.098165,-0.755363,0.285079,0.552271,0.477539,0.902204,0.575053,-0.227718,-1.079474,-0.357009,0.308072,0.379278,-0.658477,-0.027537,-0.168087
théorie,-0.396502,1.043346,1.030908,0.231585,0.547341,-0.346447,0.767422,0.16251,-0.024955,0.081591,-1.74855,0.644048,0.443447,-0.863213,-0.284069,0.736026,-0.558827,0.772847,0.268543,-0.736559,-0.255131,2.471122,0.935552,-0.341245,0.812916,0.433286,0.151937,-0.135227,-1.048872,-0.569394,0.945574,0.016988,-0.892189,0.920749,-0.170023
exemple,-0.254691,0.346638,0.580626,-0.093882,-0.404616,-0.008518,0.373705,0.548732,1.415468,-0.240917,-0.692027,-0.254079,0.071609,-0.718775,0.18716,0.253763,-0.956745,0.810516,0.081804,0.013051,-0.178224,1.160167,0.371521,-0.406103,-0.5865,0.098198,0.725419,0.297281,-0.102915,-0.762032,0.347401,0.594765,-0.523185,0.021094,0.968821
espace,0.211295,0.578823,0.597881,-0.547033,0.923433,-0.255534,1.312412,0.264019,1.509817,0.626816,-1.044752,0.527812,0.083036,0.068299,0.488461,0.321721,-1.087089,0.330867,-0.787064,0.763998,-0.365893,0.593199,0.596914,0.489819,-0.456257,0.063714,1.36639,-0.401704,-0.727872,-0.129153,-0.444685,0.055612,-0.747285,-0.365759,0.486478
théorème,-0.761954,1.787081,0.432618,-0.811922,0.469645,0.346307,-0.289963,0.488972,-0.510978,-0.361039,-1.801326,0.412768,0.996447,-0.74136,-1.112409,0.463661,-0.828231,0.820761,-0.930401,-0.262428,-2.040383,1.079038,0.829438,-0.737332,1.198493,2.223911,0.886397,-0.302646,-1.079938,-1.508006,-0.098168,-0.581617,-0.687904,-0.010223,-0.403557
problème,-0.624327,0.372178,0.725699,0.20062,0.13108,-0.683507,0.661224,-0.225812,0.815222,-0.574621,-0.358059,-0.091796,0.365482,-0.915792,0.171712,0.600052,-0.371552,0.839058,0.162496,-0.473976,-0.460638,1.20129,0.399474,0.353602,0.559008,-0.094338,0.02781,0.013893,-1.263948,-0.457645,-0.014005,0.960514,-0.633242,0.302958,0.647017
valeur,0.028988,1.041119,1.007108,-0.200575,0.091732,0.359447,0.942531,-0.400958,1.515967,-0.482507,-0.889141,0.058752,-0.171428,-0.635446,0.07647,0.284935,-1.098776,0.429857,0.026738,-0.553946,0.15225,0.790311,0.636098,-0.185354,0.069043,0.890743,0.721712,-0.042986,-0.213077,-1.141471,0.763485,0.289635,-0.590517,-0.230862,1.748624
