word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
un,-0.698658,-0.168626,0.214067,0.837661,0.563704,-0.105873,0.568903,-0.317726,1.753915,0.242633,0.348749,1.000534,0.463823,1.770341,1.277683,-0.62018,0.110408,0.351615,-1.019809,0.221296,0.637845,0.428739,1.652695,-0.064247,-1.007259,-2.021252,-0.080554,-0.445476,-0.649971,-0.908947,-2.0898,0.510634,-1.933338,0.814776,0.925489
nombre,1.057681,-0.885527,0.984446,-0.271681,1.077497,0.773782,-0.562452,-2.142518,0.757354,-0.37276,-0.380105,1.40329,0.84546,1.66875,2.156283,-0.752862,-0.739712,-0.7192,-2.009479,0.349112,0.010261,0.905737,0.289928,0.022533,-0.283285,-2.643541,-0.88162,0.456956,-1.230333,-1.169364,-1.081466,-0.911139,-1.286223,0.327235,-0.099497
$\mathbb{N}$,0.413882,-1.164683,0.60338,0.620153,-0.379434,0.287697,-0.377116,-0.722292,0.951023,0.440589,0.000695,0.865553,-0.386104,0.401249,1.188258,-0.768253,0.311231,-0.094501,-2.036535,0.414354,0.320006,0.623393,1.637923,-0.312619,0.086208,-2.094635,-0.310024,-0.767052,-0.354131,-0.195304,-1.612167,-0.286294,-1.664366,0.793028,-0.943214
deux,0.013425,-0.147286,0.671162,0.700651,-0.121322,-0.15195,-0.394728,-0.351349,0.903785,-0.105058,-0.67633,1.117667,0.575251,1.750874,1.052212,-0.027174,-0.09118,0.297506,-1.249213,-0.187541,0.278931,0.720286,1.86382,0.396522,-0.755697,-2.012736,-0.688877,-0.498353,-0.916164,-0.842318,-1.317211,1.371593,-1.843343,-0.13476,0.776966
fonction,0.220651,-0.487949,0.206684,1.499446,0.178299,0.725369,0.506159,-0.441011,0.794922,0.212331,1.313278,0.855132,0.357238,1.019886,1.100022,-1.358137,-1.740649,-0.658986,-1.726532,-0.186417,0.821285,1.587983,1.377474,1.194872,-0.40754,-0.915579,0.534944,0.36958,-0.288904,-0.692868,-1.488265,1.409618,-1.927975,0.085732,-1.194712
premier,-0.263107,-0.465897,0.639031,0.01542,0.235418,1.191692,-0.166738,-0.97694,1.110648,-0.377903,-0.411957,1.300079,0.811151,0.986335,1.790961,0.239628,-0.399339,-0.615604,-1.118715,0.424241,0.656351,1.084994,0.730961,0.608556,-0.875004,-2.490402,-0.682416,0.156242,-0.346445,-1.144047,-1.434958,-0.830649,-1.303069,0.068178,0.628362
ensemble,-0.114122,-0.884608,0.406127,0.899643,0.211391,-0.390857,1.092928,-0.60634,-0.575141,-0.686723,0.022725,0.343397,0.636941,1.780155,1.172414,0.149779,-0.523395,0.065623,-2.239057,0.245188,0.064266,0.436327,0.87924,-0.877776,-0.497984,-2.557112,0.003318,-1.238253,-0.631227,-0.07606,-2.11142,1.492061,-1.104509,0.698552,-0.483857
point,0.630821,0.482337,0.676449,-0.124269,-0.480301,-1.113444,0.002284,0.53963,0.343349,-0.355813,0.778969,0.667149,0.007093,1.58337,0.976884,-0.025782,0.435975,0.056092,-2.365675,-0.456831,0.212921,0.250602,2.076368,0.91913,-0.104027,-1.055147,-0.445848,-1.581608,-1.113343,-1.81456,-1.503628,1.318305,-1.591659,-0.178057,-0.699358
théorie,-0.466819,-0.378369,0.74085,0.405192,0.396355,0.640045,1.956723,-0.186258,2.010335,0.407806,-0.040702,1.704362,1.578597,1.731613,0.612421,0.545865,-0.261017,-0.482493,-1.693466,0.253336,-0.341601,0.399537,-0.46909,0.219335,0.411391,-1.304904,0.232832,-0.589835,0.533226,0.23232,-2.13981,0.579925,-0.473771,0.772842,-0.330754
exemple,-0.175017,-0.359006,0.648579,0.133246,0.159449,-0.142433,0.147308,-0.874101,1.147764,0.208626,0.191079,1.191501,-0.003421,1.092929,1.061657,-0.853403,0.33204,-0.099026,-1.608428,-0.436025,0.141546,0.348322,1.428112,0.069281,-0.105098,-1.697604,0.165726,-0.0678,-0.055347,-0.341807,-1.700114,0.732719,-1.269849,0.744256,-0.114172
