word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
un,-0.082192,-0.711444,0.690999,-0.133491,0.893813,-0.284418,-0.078964,-0.855098,0.038505,0.615264,-0.251221,0.155823,0.35891,-0.425204,-0.330869,0.291727,-0.443443,1.612436,-0.155821,0.262257,1.198482,0.594359,-0.022718,0.19502,0.379049,-0.427708,-0.042006,-0.05256,0.579182,0.070663,0.396756,-0.466555,-0.172674,-0.234948,-0.228522
nombre,0.262615,0.225101,0.123233,0.853979,0.741875,0.2735,-0.002385,-0.547922,0.534602,0.821027,-0.069618,0.622493,0.405501,-0.436685,-0.070213,-0.182766,0.092357,1.419855,0.010374,0.577957,1.906361,0.419673,-0.621357,-0.17736,0.587404,-0.685099,-0.302597,0.579878,0.097877,0.662669,0.392701,-0.920719,0.135592,-0.176766,-0.065586
$\mathbb{N}$,-0.162515,-0.226774,0.113016,0.107547,0.599697,-0.069224,-0.658585,-0.970633,0.004783,0.569586,-0.362513,0.074317,0.81169,-0.325507,-0.161197,0.070523,-0.017614,1.166567,-0.026566,0.684747,1.298419,0.583605,0.075915,-0.203132,1.274742,-0.004009,0.032717,0.457707,0.408253,0.121803,0.253502,-0.499867,-0.423686,0.177748,0.212689
deux,-0.490095,-0.873468,0.429458,0.380632,0.805836,-0.512447,0.036216,-0.583526,0.018141,0.656863,0.057897,0.407952,0.319469,-0.428577,-0.47774,0.325832,0.199944,1.627065,-0.033203,-0.313053,0.696604,0.543286,-0.408615,-0.488912,1.042341,-0.178226,-0.132524,-0.354082,0.725062,0.160854,0.182313,-0.501246,-0.244637,-0.074632,-0.171519
fonction,1.052468,-0.990496,-0.023911,0.229032,0.620224,-1.398205,-0.13187,-0.660877,-0.12547,1.335129,0.322034,0.541326,1.120983,-0.578984,0.163558,0.130508,-0.382406,0.154097,-0.385242,0.808541,1.12222,1.03019,-0.026389,-0.059584,-0.097345,-0.006017,-0.166203,0.408797,0.453593,0.332489,-0.038969,-1.011974,-0.227571,0.072738,-0.145036
premier,0.037868,-0.923228,0.09598,0.916725,0.047615,-0.113793,-0.729012,-0.554336,0.451355,0.352141,-0.100335,0.391052,0.621956,-0.197116,-0.285087,0.60753,0.057547,1.554745,-0.568214,-0.330608,0.30848,0.23888,-0.635605,-0.085993,0.787081,-0.077472,-0.18481,-0.67646,0.21315,-0.042023,0.333093,-0.462423,-0.280053,-0.367076,0.149655
ensemble,-0.002474,-0.488006,-0.037248,-0.49162,0.115379,-0.460864,0.370243,-0.709306,0.142796,0.949848,-0.077209,0.733034,0.310044,-0.505329,-0.466289,0.062512,0.030781,0.913804,0.21759,0.084058,1.044247,0.82992,-0.064783,0.153713,0.144291,-0.469561,-0.705253,-0.961215,0.418902,0.114664,0.184201,-0.27438,-0.529136,-0.266061,-0.00898
point,-0.766674,-0.572067,0.142252,1.264058,0.28428,0.12772,-0.478912,-0.386225,-0.085677,0.778612,-0.604635,0.282703,0.124065,-0.467091,-0.533992,-0.51572,0.999086,1.24328,0.451432,0.173373,1.119813,-0.017647,-0.404579,-0.667417,0.357759,-0.486378,-0.591636,0.783601,0.413021,0.699265,0.290239,0.19917,-0.83747,0.289873,-0.250792
théorie,2.045372,-0.628652,-0.323884,0.283154,-0.015836,0.162641,-0.898577,-1.436904,-0.7687,0.806698,-1.03994,-0.269572,-0.51533,-0.526228,-0.517492,0.051022,-0.755814,-0.383357,-0.33607,1.328349,1.032774,-0.137269,1.275411,-0.194641,-0.526375,-0.550262,0.167415,-0.173249,0.259879,1.24593,0.767255,-0.0231,-1.328971,0.407521,0.312313
exemple,0.104696,0.018748,0.572291,-0.113474,0.851379,-0.005241,-0.271756,-1.050954,-0.03719,0.806766,-0.257569,0.440933,0.481273,-0.333402,-0.338525,-0.183504,-0.134655,0.585123,-0.024681,0.83453,1.249351,0.725287,0.878542,0.475258,0.004428,-0.284292,0.192579,0.297511,0.790963,0.288404,0.341174,-0.605737,-0.63796,-0.720105,0.223731
espace,0.220705,-0.038745,0.567696,-0.992952,0.455912,-0.601905,0.573712,-0.900387,-0.552068,0.952656,-0.379479,0.923611,0.237421,-0.943096,-0.527999,0.175332,-0.243816,0.951364,0.619734,0.20527,0.523181,0.710742,-0.005573,0.264647,-0.451243,-0.807494,-1.390034,0.048783,0.276782,0.752062,0.507258,0.724055,-0.710318,0.117147,0.003462
théorème,1.200667,0.78836,-0.161205,0.721812,0.441617,-0.748419,-1.132481,-0.541231,-1.195747,0.801517,-1.004789,0.215646,-0.611269,0.668948,0.175043,0.03217,0.18712,-2.201272,1.429703,0.846596,0.136531,0.238265,0.415314,-0.894255,-1.092122,-0.070501,-0.104799,0.056151,0.911886,1.058335,-0.013387,-0.567275,-1.100463,0.16678,0.011896
problème,0.419061,-0.814082,0.144117,0.327353,0.323612,0.3479,-0.512317,-0.801062,-0.382118,0.644564,-0.345602,-0.332788,0.421192,-0.075133,0.063285,0.073473,-0.67442,0.309464,-0.61486,1.249393,1.149698,0.404716,0.194025,0.05644,0.479848,-0.505518,-0.022769,0.970767,-0.009888,0.398403,1.101715,0.322083,-0.959256,0.027366,-0.440808
valeur,0.887423,0.418987,0.38792,0.304909,0.705706,-0.214873,-0.289449,-1.070757,0.087448,1.132779,-1.130123,-0.170461,1.111644,-0.957525,0.003056,-0.602477,0.282996,0.241899,0.323316,1.006866,1.786055,0.236294,0.270539,-0.205589,-0.365575,-0.088743,-0.765695,0.484684,0.546164,1.046024,0.335123,-0.548691,-0.115018,-0.710048,-0.139408
groupe,-0.390414,-0.904236,0.354508,-0.444366,-1.323943,0.236226,-0.485109,0.023031,0.41439,0.480497,0.105608,0.921602,0.508426,-0.308915,-0.186053,0.71319,0.294328,1.663065,-0.1644,0.688028,0.705474,0.059163,0.028552,0.476302,0.944792,0.233958,0.209486,-0.741248,0.526252,0.810259,-0.1544,-0.427997,-0.571681,-0.61256,0.386699
graphe,-0.003143,0.871666,0.517366,-0.114311,0.539552,-0.359008,0.369802,-0.274996,-0.470124,1.210584,-0.275505,0.420669,-1.558324,-0.831144,0.136691,0.170844,0.182532,-1.65223,1.029949,1.210211,0.46298,0.46856,0.172401,0.191625,-1.190477,-0.155861,-0.263195,0.227405,0.165541,0.640043,-0.499715,-0.270776,-0.906593,0.763175,0.711345
forme,-0.104067,-0.179658,0.60405,-0.195138,1.060713,0.015528,0.107068,-1.134099,-0.221546,1.248575,0.436074,0.01455,-0.095415,-0.865236,-0.543194,0.337052,0.081545,0.702032,-0.267045,0.074411,1.36994,0.558213,0.9119,0.417147,0.356722,-0.350566,-0.009743,-0.513092,1.055747,0.404288,-0.038902,-0.646694,-0.691309,-0.832906,0.072106
entier,0.390087,0.431477,0.543701,0.024012,0.449269,-0.154466,0.403302,-0.638105,0.086813,0.337306,-0.222435,0.389061,0.067627,-0.696962,-0.37651,0.33294,0.299742,0.959343,-0.229023,0.648697,1.198717,0.516181,0.151958,0.22937,0.708924,-0.191837,-0.206421,-0.250752,0.327967,0.115325,-0.003582,-0.489371,0.184401,-0.416065,0.071071
système,0.203384,-0.713194,0.710725,-0.164075,0.673283,-0.615733,-0.582867,-0.6219,-0.565609,1.931557,-0.282158,0.671232,0.506336,-1.125927,0.209918,0.797448,-0.353929,-0.075749,-0.932207,1.023742,0.905101,0.405591,-0.330102,0.489433,-0.773094,-1.02687,0.406121,0.935607,0.286975,0.667524,0.62419,-0.943518,-1.24985,-0.205964,0.6495
équation,1.063055,0.635546,-0.200535,1.24195,0.686091,-0.89721,-0.898888,-0.822828,-1.920531,1.394552,-1.137586,-0.11352,-0.459189,0.279668,-0.407185,0.114886,-0.38393,-1.798772,0.836781,1.018811,0.547163,0.574465,-0.124718,-0.513477,-0.795484,0.292482,0.748596,0.292225,0.978981,1.673572,-0.280609,-0.770312,-1.821662,-0.031811,-0.144013
suite,0.385655,-0.882492,-0.23661,0.361721,0.153314,0.440143,-0.723493,-0.410659,0.133069,0.39695,0.041966,0.274638,0.842543,-0.089136,-0.039902,0.994497,-0.474184,1.068704,-0.759971,0.151713,0.117752,0.597213,-0.540092,0.007759,1.344294,-0.293792,0.02465,-0.227395,-0.005012,-0.193794,0.186841,-0.098797,-0.198603,-0.232211,-0.515051
algorithme,-0.946554,0.082119,0.648881,1.221537,0.330216,-0.108598,-0.37909,-0.620906,-0.50291,1.206027,-0.496985,0.254072,-0.491718,-0.273972,0.38975,0.054319,-0.601804,-1.759991,-0.162861,1.415953,0.473083,0.464863,0.39367,0.747176,-1.443953,-0.311057,0.440289,0.485886,0.771336,0.414126,0.170241,-0.016063,-0.969918,0.755136,0.241344
calcul,0.26997,0.425541,0.268266,1.725347,0.863158,-0.568356,-0.484467,-1.084397,-0.59046,1.446014,-0.790921,0.219526,-0.031144,-0.413427,0.241513,-0.245279,-0.879643,-0.899059,-0.472629,1.13105,1.138917,0.613353,-0.13063,0.392173,-0.948558,-0.445816,-0.206572,0.77499,-0.126248,1.065483,0.297591,-0.735523,-0.796921,0.047636,-0.139595
application,0.228973,-0.333458,0.148166,0.116239,-0.152501,-0.301675,-0.447502,-0.69828,-0.494666,1.297978,-0.297423,1.240439,1.145305,-1.374127,0.408438,0.050173,-0.444709,-0.606743,-1.429229,1.055388,0.584157,1.028365,0.388668,0.795446,-0.778068,-0.730467,0.054514,1.103179,0.592225,0.29491,0.684412,-1.022171,-0.672936,-0.476253,0.28379
élément,0.331211,-0.200159,0.349364,-0.34591,1.227593,0.385208,-0.059892,-0.841951,0.042309,1.394559,-0.465986,0.56472,0.530981,-0.410007,-0.338172,-0.386763,-0.377491,0.742569,-0.079815,0.357755,1.176399,0.388702,1.004688,0.356064,-0.11373,-0.807706,-0.259589,-0.663099,1.017826,1.048897,-0.159137,-0.645491,-0.856246,-0.31721,0.069805
grand,0.333867,-0.759618,0.389617,-0.314401,0.603844,-0.377839,0.033968,-0.84751,-0.081166,0.430243,-0.498728,-0.382032,0.370246,-0.38782,-0.386957,0.054626,0.250707,2.045424,0.056499,-0.716591,0.631683,0.083646,-0.308152,-0.06912,0.366195,0.015801,-0.740203,-0.385672,-0.122821,-0.263853,0.155091,-0.094649,-0.195255,-0.314866,0.081318
propriété,0.928419,0.170459,0.097327,-0.887287,0.503292,-0.401907,-0.306478,-1.10196,-0.974297,1.002304,-0.507665,0.110896,0.600785,-0.01529,1.025899,0.293174,-0.23744,1.072697,0.115038,0.185972,0.638533,0.900644,0.619303,-0.422838,-0.731211,0.141627,-0.519213,0.418129,0.560621,0.227914,-0.050526,-1.321844,-0.198145,-0.577635,-0.433061
ordre,1.763322,-0.826493,-0.149385,0.095319,1.441782,-0.657291,-0.354391,-0.292198,0.295245,0.453866,0.13152,0.073502,1.249519,-0.613379,-0.127379,-0.141414,0.165247,0.764929,-0.236584,-0.510447,0.570028,0.128608,0.078761,-0.357342,0.604416,-0.19519,0.554813,0.042426,0.047335,-0.304335,-0.404718,-0.857794,0.156957,0.338732,0.251512
variable,-0.127868,0.917264,0.473579,0.323485,1.073604,-0.852875,-0.064608,-0.559518,-0.857254,1.170148,0.028497,0.212497,-0.065466,-0.998145,-0.43918,-0.594078,0.323944,-0.251502,-0.36808,0.633816,1.752567,1.007472,-0.202933,0.382683,-0.515058,-0.152926,0.451279,0.530566,0.175885,1.208987,-0.076567,-0.456859,-0.666737,-1.044426,-0.128499
base,-0.16413,-0.355231,0.456374,0.134065,0.71389,0.277387,0.553001,-0.423085,-0.342069,1.042776,0.084057,0.950095,0.638535,-0.630624,-0.153215,0.160789,0.07547,0.827878,-0.570231,-0.025229,1.316847,0.062785,0.280243,0.546119,-0.557163,-0.582448,0.327253,0.356878,1.007081,0.263073,0.154685,-0.777964,-0.24489,-0.192179,0.183489
géométrie,0.532212,0.444091,0.021394,0.754118,0.799622,-1.010878,0.623467,-0.606327,-0.533223,1.810785,-0.221946,-0.009952,-0.56406,-0.814017,-0.433246,0.024319,-0.668686,-1.270195,0.176401,0.39409,-0.004935,-0.023738,0.989819,0.122854,-1.298215,0.081036,-0.465771,-0.624604,0.775755,1.623442,0.22989,-0.360209,-1.349315,0.42069,-0.01314
analyse,1.085487,-0.612667,-0.446445,0.671518,-0.027337,0.363168,-0.026636,-1.535819,-0.449922,0.342179,-0.232702,0.838047,0.097466,-0.766719,-0.635771,-0.804769,-0.957193,-0.171509,-0.450128,1.270282,1.115356,0.55925,0.767737,0.53047,-0.604009,-0.578979,0.020468,-0.200358,0.121378,1.014743,0.194229,0.400301,-0.706542,-0.091554,-0.104665
loi,1.551455,-0.381697,-0.637537,-0.186183,0.128826,-0.295095,-1.625004,-0.135013,-0.273051,0.330219,0.067267,0.351539,1.57754,-0.600965,-0.21135,0.827727,-0.339606,-0.405794,-0.115022,0.933392,1.777826,0.179508,-0.173857,-0.903457,0.395848,-1.135288,-0.35807,0.725894,0.485883,-0.421673,0.442363,-0.770461,0.459393,0.029976,-0.156479
