word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
un,-0.25433,-0.587629,-0.436886,0.123194,1.34538,0.279062,0.072242,-0.85273,0.00144,0.201485,0.479424,-0.132079,-0.426284,0.405877,-0.322774,0.089944,-0.085798,-0.849472,0.678608,0.030299,-0.022749,0.507818,-0.087292,0.61389,0.56711,-0.25624,-0.553876,0.56873,-0.194133,-0.268848,0.260063,0.055528,0.727718,-0.894823,-1.181032,0.106063
nombre,-0.399757,-1.505955,-0.583554,0.458294,1.377908,-0.052516,-0.545681,-0.700595,-0.648944,-0.355405,-0.278564,0.158298,-0.258404,0.126085,0.659096,0.103666,-0.125218,-1.082396,0.614149,0.193913,0.646962,1.354931,0.313959,0.657601,0.900463,-0.54612,-0.334688,-0.025101,-0.407319,0.219724,0.022135,-1.498817,0.62092,-0.481701,-0.719286,-0.215141
$\mathbb{N}$,0.056818,-0.791648,-0.466512,0.049315,1.402124,0.314437,0.302851,-0.423994,-0.265924,-0.179326,-0.129416,-0.424779,0.196994,0.136294,0.01298,0.312514,0.216302,-1.243126,0.716504,-0.271953,0.065918,0.905815,0.386977,0.717647,-0.076534,-0.232386,0.163664,0.732032,-0.153123,-0.096205,-0.482178,-0.41533,0.718154,-0.469352,-0.64741,-0.075107
deux,-0.106402,-0.039895,-0.624918,0.630639,1.122205,0.283202,-0.337199,-1.240371,-0.754549,0.006177,0.080325,0.209028,0.173669,0.201104,-0.170281,0.362836,0.144566,-0.716799,1.051322,-0.429546,0.08363,0.516186,0.194052,0.850334,0.471915,-0.564897,-0.169901,0.878689,0.023339,-0.437294,0.360824,0.220195,0.28485,-0.762793,-1.023066,0.15216
fonction,0.538348,-0.834136,-0.319703,0.471875,1.227943,0.47444,-0.592039,-0.845215,-0.361824,1.189488,0.961609,-0.376331,-0.289051,-0.140173,1.053292,0.41474,0.464994,-0.725918,0.560005,-0.174078,0.25467,0.963687,0.456254,0.54927,0.015882,1.130273,-0.450075,0.221208,-0.432099,0.563648,0.012938,-0.135911,0.601207,-1.232576,-0.207501,-0.544187
premier,-0.858647,0.491407,-0.49119,0.761272,1.33978,0.390076,0.273489,-0.986205,-0.654283,-0.283771,-0.260358,-0.091411,0.399287,-0.344649,0.182795,0.441111,-0.007309,-0.386818,0.579295,0.00129,0.285678,0.284571,-0.413096,0.795638,0.168534,-0.750486,-0.501183,0.435136,0.255507,-0.115097,-0.100889,0.264059,0.342978,-0.926576,-0.348419,-0.266263
ensemble,-0.003947,-0.523366,-0.915883,-0.194333,0.833515,-0.50586,-0.552449,-0.804187,-0.204234,0.31897,0.030355,0.196588,-0.051099,0.210688,0.31143,0.429606,-0.715232,-0.625918,0.46513,-0.145907,-0.087276,0.510189,0.39059,0.691931,0.380139,0.321902,-0.523436,1.127499,-0.39012,-0.13614,0.375362,0.262526,0.536156,-1.202361,-0.462211,0.147624
point,0.10293,-1.080496,-0.911856,0.293,0.986773,0.479683,-0.038035,-0.922634,-0.502728,-0.865695,-0.045259,0.670188,-0.346376,0.25298,0.126446,1.117641,-0.609081,-0.141689,1.029213,-0.753756,0.345053,1.334202,0.041019,0.063377,-0.291224,-0.696821,0.140414,0.801175,-0.280689,-0.029422,0.150482,-0.64108,0.437052,0.499846,-0.463364,-0.36073
théorie,0.408553,-1.266465,0.026476,-0.339596,1.384365,0.71661,0.417788,0.500497,-0.338542,0.739425,-0.657949,-0.477155,-0.612514,1.062083,1.817716,0.678711,-0.467523,0.086795,-0.107467,-0.014945,-0.324233,1.115565,-0.827849,-0.371468,0.546618,1.014772,-0.244311,0.715721,-0.836908,1.154305,-0.385626,0.303223,2.270251,-0.296168,0.399691,0.352955
exemple,0.086768,-1.123407,-0.786844,-0.294782,1.227087,0.16958,-0.097333,-0.060644,0.144509,0.369285,0.431183,-0.039832,-0.688956,0.422684,-0.278828,-0.015767,0.297755,-0.871736,-0.235114,-0.08944,0.189569,1.030303,0.324912,0.333565,0.153921,0.208647,-0.154467,0.969462,-0.409383,0.426152,-0.110996,-0.314911,1.110888,-0.983487,-0.632918,0.154463
