word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
un,0.036033,-0.22157,-0.227674,-0.84395,1.218825,-0.015469,-0.05744,0.20289,-0.961861,-0.693915,0.070872,0.605142,1.627106,0.767341,-1.610842,-0.654462,1.353612,0.093325,-0.140285,0.609615,2.235699,-0.434427,-1.075537,-0.73712,-0.069771,-0.072702,0.328818,1.106909,-0.176646,-0.029743,1.158672,-1.660723,0.424899,-0.480501,-1.765648,-1.56849
nombre,-0.339049,-0.50215,-0.363403,-0.884969,2.668387,-0.366763,-0.532559,-0.060246,-0.504695,-0.309468,-0.906262,-0.325954,1.356014,-0.358044,-1.075855,-0.623556,1.94141,1.689974,1.340859,0.041436,1.34974,-0.604383,0.090614,-1.996623,-0.685269,-0.482087,-1.565114,0.706697,0.34834,0.345452,0.527633,-1.601442,0.655442,-0.972743,-1.564028,-0.637393
$\mathbb{N}$,-0.637876,0.307164,-0.458194,-1.125358,1.939292,0.802449,-0.494794,0.147634,-0.151187,-0.568728,0.172508,-0.300718,0.994813,0.554714,-0.566916,-0.354928,0.646153,0.573519,0.684993,0.463364,1.313577,-0.455305,-0.157774,-0.558794,-0.830549,0.145355,-1.264967,1.102823,-0.308089,0.106481,1.683663,-2.171046,-0.207153,-0.347339,-0.771666,-1.98516
deux,-0.567724,-0.287266,-0.011962,-0.347735,1.491363,0.049876,-0.835576,-0.11497,-0.12944,-0.738592,-0.743667,0.156317,1.815372,0.136401,-1.40096,-0.350127,1.782472,0.246049,0.008653,0.222916,1.494199,-0.030618,-0.439366,-0.298873,-0.183737,-0.431577,0.654018,1.72655,-0.975132,0.320146,1.002754,-1.784236,0.694247,-0.248314,-1.183764,-1.787476
fonction,0.386857,0.311424,-1.179389,-0.335885,1.813643,0.381484,-0.124085,0.5279,0.316878,-1.117195,-1.209718,1.367197,0.882379,1.375505,-1.180903,0.105301,1.6801,-0.578836,-0.326002,-1.021304,1.803278,0.338532,-0.562663,-0.700721,-0.85149,-0.050929,-0.998593,-0.102777,0.681195,0.488115,0.072104,-2.879632,-0.818701,-0.636881,-0.600851,-1.57828
premier,-0.230867,-0.411435,-0.477674,-0.80611,1.49073,0.027443,-0.996564,0.379986,-0.344063,0.005311,-0.741156,-0.178917,1.725322,0.55936,-1.231911,-0.850912,1.345565,1.352205,0.906914,-0.182871,0.693787,-0.604816,0.251241,-1.101134,0.191676,-0.308231,-0.734409,1.066877,0.366711,0.369928,0.263231,-1.972187,0.671447,-1.147593,-2.162255,-1.032935
ensemble,0.343217,0.394258,0.326813,-0.361409,1.886654,0.600911,0.551626,-0.970291,-0.890494,-1.380602,-0.538281,-0.506484,1.09778,0.472458,-1.063115,0.176921,1.391729,0.010564,0.064148,1.331993,1.593694,-0.437531,-0.441571,-0.327625,0.114055,-0.938804,-0.402838,-0.173563,-0.295221,0.989303,0.790927,-1.818481,0.748647,0.015719,-0.598475,-2.758539
point,-0.347297,0.120347,-0.485106,-0.552413,0.644649,-0.728606,-0.227453,-0.094825,-0.588973,0.046777,-0.534694,-0.30939,1.532227,-0.060194,-0.747449,0.192294,1.516229,-0.993536,0.675346,-0.154582,1.971755,-0.80279,0.425294,-0.767161,-0.271342,-0.74485,0.82179,1.730905,-0.322372,0.020101,1.062444,-2.348802,-0.576756,0.573339,-0.076272,-2.578676
théorie,1.05143,0.316122,-0.956199,-0.731504,0.898531,-0.632225,0.802251,0.619615,-0.167522,-0.844419,0.289404,0.651062,0.975954,1.563535,-1.040299,0.000999,0.627336,2.00639,0.332871,0.003608,2.002601,-0.860093,-0.439005,-0.254997,0.909598,-0.027606,0.012656,-0.078922,0.929656,-0.324089,0.238037,-1.671851,1.424479,-0.345283,-0.175825,-1.815583
exemple,0.091452,-0.085081,-0.133858,-1.145036,1.115096,0.341901,-0.750063,0.177301,-0.214626,-1.090467,-0.126403,0.620742,1.450898,0.195349,-0.979178,-0.511392,1.017913,0.601476,-0.276821,0.728611,1.554174,-0.446399,-0.266617,-0.749947,-0.748439,0.08733,-0.323323,0.974148,0.240857,0.328531,0.839325,-1.389874,-0.076678,-0.208041,-0.360737,-1.776329
espace,-0.405041,0.809615,0.575267,0.600003,0.294052,0.054075,1.072948,0.761605,-0.166213,-1.084757,-0.304233,0.370548,1.256099,1.105178,-1.500836,0.82494,1.715768,0.127097,-0.195743,0.918486,1.768542,-0.98611,-1.381029,-0.045516,-0.460005,0.818397,0.241172,0.281801,0.061069,1.142007,1.753225,-1.377673,-0.300215,0.397599,0.426194,-3.19152
théorème,0.720535,0.564542,-0.382808,0.025258,1.062532,-0.331141,0.431536,0.223426,-0.253742,-0.613405,-2.166576,-0.075113,0.720954,1.059122,-1.541791,-0.438618,-0.532784,2.190629,0.429893,-0.462551,1.696901,-0.144808,-0.443404,-0.564452,-0.726828,0.548499,0.501947,0.889043,1.251833,-0.044167,0.13279,-1.830398,0.515741,0.056327,-0.204123,-2.799077
problème,0.924707,-0.480348,0.072812,-0.128954,0.609935,-0.804537,-0.561657,-1.050027,-0.352762,-0.378905,0.391234,-0.055006,1.26726,1.187691,-1.621725,-0.111808,-0.023941,1.362119,-0.314563,-0.161766,2.951293,-1.280433,0.637491,-0.540649,-0.452738,-0.384738,-0.115755,1.068858,0.479188,-0.365937,1.188672,-1.741651,1.087075,-0.634203,0.444144,-0.853989
valeur,-0.393394,-0.381088,-0.956459,-0.550876,1.945726,0.389535,-0.676245,0.478029,-0.070345,-1.062542,0.10747,-0.738567,1.254536,0.319903,-0.560064,-0.567792,1.601993,-0.358818,-0.316479,-0.024567,1.88162,-0.312401,-0.461433,-0.850288,-1.532806,-0.712927,-0.695138,0.626818,0.108073,0.756657,0.59974,-2.192395,-0.62488,0.342924,0.043062,-0.855549
groupe,-0.981592,-0.037911,-1.017083,-1.146455,-0.392965,0.215969,1.109054,0.23116,0.161748,-0.549768,-0.262058,1.009303,1.390221,0.260788,-1.814563,0.95444,1.012319,0.989963,0.38279,0.369384,1.007784,-0.310037,-0.901767,-0.463933,0.608297,-0.005498,-1.356547,0.879786,-0.760427,0.876954,0.595228,-0.735745,1.389393,-0.305364,-0.830813,-2.712676
graphe,0.67673,0.954032,-0.156918,-1.212889,0.975931,-1.32463,1.688757,-1.997977,-0.098427,-1.076316,-0.97282,0.728575,1.695745,0.209434,-1.730089,-0.887053,0.583738,1.763439,0.577233,-0.404169,1.911165,0.376968,-0.61433,-0.837933,-0.991462,0.155106,-0.803995,1.206107,-0.737708,0.714916,2.265049,-0.123198,1.884124,1.501652,0.06262,-0.697768
