word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
un,0.441999,0.188955,-0.21353,-0.071967,0.686438,0.40393,-0.247515,-0.7167,0.089445,0.186988,-0.015285,0.274324,0.159106,0.113587,0.005142,0.017665,1.132428,-0.537796,0.829984,-0.253586,-0.02841,0.823807,0.485787,0.080904,-0.192553,0.113789,-0.11882,-0.176578,-0.571924,0.306956,0.148232,0.492551,0.202309,0.381677,-1.946385,0.317021
nombre,1.082068,0.621552,-0.521089,-0.273825,0.148533,0.140337,0.326448,-1.107411,-0.02696,-0.136699,-0.099862,0.866378,-0.072707,0.885075,0.627964,1.055512,1.322443,-0.002816,1.140064,-0.548835,-0.093003,0.461147,0.599546,0.772238,-0.009982,-0.278534,0.165145,-0.200051,0.015387,-0.144426,0.396526,0.155465,-0.511041,0.125703,-1.565014,0.163844
$\mathbb{N}$,0.814933,0.104709,-0.545167,-0.678742,0.059094,0.014128,0.019502,-0.806943,0.206731,-0.002621,0.386734,0.116626,-0.222407,0.401383,0.219801,0.613011,0.974952,-0.026274,0.712548,-0.135828,0.434991,0.401453,0.7361,-0.377737,-0.440171,0.189171,-0.409793,-0.05198,0.044597,0.498897,0.008938,0.263949,0.172673,0.075365,-1.748542,0.395865
deux,0.286199,-0.384734,-0.883433,-0.236566,0.716582,0.360688,0.148895,-1.042173,0.169498,0.527994,0.153349,0.011145,-0.092393,-0.111148,0.069489,0.1154,0.625449,-0.462511,0.869448,-0.245271,-0.097318,0.694148,0.614741,0.11415,0.1782,0.035429,0.469167,-0.124203,-0.653103,0.339715,0.265691,0.677469,-0.101941,-0.504721,-1.656233,0.516813
fonction,0.531226,0.040825,-0.226328,-0.787901,0.637082,0.646199,-0.801592,-0.003595,0.229707,0.184507,-0.159279,0.12898,0.140359,0.739528,-0.05598,-0.04094,1.105647,-0.329208,1.572519,-1.064353,-0.108744,1.552719,0.642848,-0.256864,0.178235,0.823954,0.327155,0.74059,0.872268,0.041765,0.449044,-0.286093,-0.015269,-0.155931,-0.886113,0.190194
premier,1.08318,-0.574157,-0.808485,-0.054785,0.167957,0.657513,0.31372,-0.44258,0.10291,0.531453,0.15512,-0.254846,-0.127894,0.191941,0.013956,0.062024,0.261544,-0.441483,0.909731,-0.455615,0.067071,0.634528,0.235813,0.07446,0.414684,0.221002,-0.065382,-0.422182,-1.375978,0.316464,0.00107,-0.153958,-0.113932,-0.286503,-1.060124,0.749412
ensemble,0.519042,0.646884,-0.723834,0.061665,1.126344,0.433807,-0.6968,-0.369851,0.053183,-0.177727,0.241609,-0.085456,0.002097,-0.149424,0.092132,-0.019809,0.460011,-0.591078,0.248285,-0.358772,-0.203846,0.591134,0.334715,0.180475,0.077109,0.111714,0.436119,0.288348,-0.342591,0.643381,0.389965,-0.136075,-0.148398,-0.391164,-1.627444,-0.230886
point,-0.15473,0.517485,-0.430499,-0.939197,0.555569,-0.259321,0.743817,-1.505904,0.195486,0.302497,0.167754,0.136924,0.527203,0.123859,0.603012,1.183615,0.192357,0.283037,1.61591,-0.008496,0.420013,0.152025,0.219488,0.459018,0.246402,-0.100468,-0.15796,-0.699013,-0.447936,0.547156,0.428759,0.033868,-0.074413,-0.255845,-1.264128,-0.13215
théorie,0.6903,1.627349,1.179243,-0.799125,0.407999,0.072937,0.110199,1.02488,0.369653,0.567047,0.739601,-0.220149,0.098199,0.607899,-0.802909,0.066141,0.756388,0.848691,1.356072,-0.223054,0.831661,0.253142,0.475725,0.671901,-0.87876,1.484918,-0.192172,0.696513,-0.196088,0.773493,-0.511654,-0.558909,0.423259,0.553425,-1.298861,-1.022943
exemple,0.557312,0.253499,-0.066901,-0.491742,0.063023,-0.064381,-0.772202,0.188583,0.519523,-0.273848,0.137441,0.458683,0.416391,0.237709,0.208398,0.276814,1.22842,-0.173958,0.646317,0.047867,-0.037424,0.425958,1.152973,0.201712,-0.387117,0.198228,0.192253,0.256096,0.208375,0.518968,0.544105,-0.024906,0.290932,0.633842,-1.876452,-0.234532
espace,-0.634309,1.719754,-0.608567,-0.2476,1.008618,-0.081667,-0.198047,-0.419518,0.310181,-0.857617,0.334458,0.131414,0.656103,0.078387,-0.358326,-0.291451,0.736762,-1.041405,0.195596,-0.217758,0.182862,0.915679,0.378191,-0.167633,-0.212325,0.55322,0.728001,-0.062161,-0.475486,-0.049926,0.394918,-0.059073,-0.494797,-0.26041,-1.716092,-0.900855
théorème,0.061708,1.70783,1.578843,-1.245423,-0.400321,0.039139,0.916085,0.895701,0.792711,0.072789,1.229597,-0.532464,-0.279202,-0.135579,-0.749423,0.250919,-0.784142,0.708865,0.863768,-0.271276,0.027275,0.170079,1.174606,0.481263,0.123407,0.607584,1.14971,0.736871,1.898955,0.94161,0.22616,0.008087,0.329916,0.122342,-0.038907,-0.659383
problème,0.262554,0.479337,0.028927,-0.618087,-0.180992,0.538427,-0.064329,0.116815,-0.251217,0.181192,-0.049855,-0.090793,0.80713,0.334601,-0.180049,0.392934,0.959954,0.142542,1.371238,-0.581241,0.623513,0.33603,-0.051587,-0.225569,-0.836004,0.438464,-0.560447,-0.209403,0.305978,0.338668,-0.453952,-0.399395,-0.039754,0.93068,-1.778001,-0.303009
valeur,0.778787,1.398146,0.750549,-0.575452,0.436577,-0.245936,0.040288,-0.635828,0.876381,-0.488273,0.177039,0.580265,0.404995,0.473112,1.014798,0.452171,1.017454,0.211714,0.76185,-0.430406,-0.081368,0.385722,1.149685,0.288286,0.046634,0.376928,0.228696,0.177816,0.664193,-0.027358,0.566112,-0.986274,0.406361,0.229287,-1.784031,-0.070347
groupe,1.085685,0.355153,-1.342895,-0.03424,-0.088871,0.787553,-0.776928,0.100355,0.264971,0.113204,-0.250051,0.828051,-0.645072,0.098956,0.574304,0.021253,-0.407229,-0.408219,0.959581,0.355999,0.604174,0.565171,0.17747,-0.234513,-0.278103,-0.448047,-0.135877,0.060292,-1.545442,0.715761,0.411773,-0.252934,0.601083,-0.243722,-0.940377,0.226166
graphe,-0.430134,1.461983,0.538331,-0.738618,0.223112,0.387986,0.137514,0.389322,0.566228,-0.766703,0.581734,0.390253,0.111079,0.378133,0.335609,-0.253603,-0.018507,0.446677,0.053551,0.327694,0.111558,0.189691,0.977348,0.54198,0.41595,0.472148,0.919969,0.295171,1.351928,0.641874,0.316943,1.029584,-0.427455,0.125978,0.405398,-1.923744
forme,0.051301,-0.193938,-0.35381,-0.099361,0.539866,0.603303,-0.672667,0.204723,0.149915,0.215435,0.212479,0.337453,0.13966,-0.107023,0.078689,0.09575,0.990493,-0.338223,0.336018,0.315557,-0.059713,0.809442,1.297077,1.08445,-0.223511,0.100477,0.470667,0.421204,-0.288858,0.354957,0.068081,0.337753,0.551421,-0.081567,-2.258017,-0.529721
entier,0.607068,0.150405,-0.594822,-0.101688,0.233564,0.117716,-0.020896,-0.611764,0.041519,-0.456568,0.303946,0.791497,-0.301128,0.195505,0.615193,-0.121418,0.969674,-0.006142,0.243616,0.149641,-0.253278,0.604898,0.659504,0.252439,-0.203183,0.104118,0.280862,0.363482,-0.30376,0.29188,-0.019443,-0.01725,-0.377,0.10653,-1.560546,-0.010207
système,0.058012,0.569156,-0.730147,-0.439186,0.436286,0.723159,-0.311877,0.649631,0.442149,0.074415,0.229767,0.146887,0.733546,1.608919,-0.105679,-0.031697,0.507843,-0.113046,1.66707,-0.711729,-0.084975,1.213947,0.771127,0.325442,-0.208934,0.919558,0.446891,-0.381106,0.345841,-0.035317,0.486626,0.486779,0.810724,1.149495,-1.619779,-1.080601
équation,-0.399959,2.037013,1.553907,-1.866915,-0.659461,0.549749,0.548268,0.714611,1.011775,1.101517,1.489705,-0.442004,-0.408065,0.403063,-0.612821,0.527076,-0.268292,0.484454,1.555866,0.066728,-0.723042,0.60596,0.919208,0.85011,0.062809,1.09047,0.895026,0.74617,1.888112,0.744627,0.494526,0.362542,0.515078,0.283875,-0.966416,-0.585954
