word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
un,-0.921643,-1.206342,0.122838,0.35069,-0.035704,0.342791,-0.016826,0.134934,0.249174,0.071758,-0.111008,-0.286331,-0.436284,-0.217404,-0.542946,-0.163582,-0.155578,-0.113063,-0.435796,0.093314,-0.726966,-0.481688,-0.076808,1.039101,0.222672,-0.69138,1.622592,0.260303,-0.963239,0.315403,-0.072965,0.132099,0.269263,0.48737,0.22757,-0.244955,0.232069
nombre,-0.626457,-0.757417,0.557594,0.272911,0.162422,-0.199822,-0.50804,0.581532,0.723398,-0.371226,-0.49527,-0.398883,-0.467285,-0.765069,-0.33448,0.98176,0.562921,-0.160496,-0.174611,-0.103011,0.525527,-0.625692,-0.336432,1.703109,-0.047908,-0.765694,0.684466,0.662041,-1.872391,0.669374,-0.100442,0.422852,-0.190074,0.603757,-0.326493,0.198838,0.687748
$\mathbb{N}$,-0.819459,-0.710724,0.688385,0.241997,-0.060512,0.116495,-0.874635,-0.068543,0.382996,-0.010629,-0.655286,-0.15896,-0.446383,-0.425421,-0.700015,-0.076081,0.089966,0.240417,-0.124099,-0.232518,-0.33968,0.066167,-0.200912,0.984213,0.021279,-0.383893,1.238681,0.271395,-0.845808,0.767053,-0.778991,0.389278,0.092468,0.299358,0.226405,0.286063,0.625278
deux,-0.74687,-1.53725,-0.016064,0.37459,-0.37075,-0.160538,-0.203973,-0.231854,-0.172353,0.066909,0.146982,-0.242682,-0.288457,-0.648906,-0.194107,-0.278615,0.066801,0.071731,0.189813,-0.507443,-0.171976,-0.123775,-0.405056,0.848157,0.256618,-0.335658,1.701117,0.133129,-1.169876,0.253579,0.134316,-0.12256,0.041328,0.184389,0.139186,0.235291,0.248023
fonction,-1.409202,-1.129951,0.745285,0.691228,0.495347,0.205008,0.402295,0.446909,0.758845,-0.324394,-0.69101,0.483826,0.185396,-0.322922,-0.331407,-0.149149,-0.241641,0.527204,-0.092153,0.192575,0.379979,0.888792,-0.374053,1.511435,-0.115466,-1.550076,0.759791,0.693789,-0.714833,0.973188,-0.143777,-0.831681,0.175321,0.068297,-0.06791,-0.108009,0.041155
premier,-0.937399,-1.007425,0.152017,0.402894,-0.190239,-0.249021,0.010822,-0.231241,0.094942,0.306231,0.408693,0.137364,-0.492979,-0.074604,-0.216863,-0.411251,-0.225559,0.117738,0.874963,-0.202364,0.160952,-0.496566,-0.429265,0.627363,0.113196,-0.106303,1.257655,0.510579,-1.020724,-0.59591,-0.187765,0.013728,0.111811,0.609061,0.486122,0.78849,0.507677
ensemble,-0.410729,-1.182065,0.451576,-0.149986,0.133807,-0.171585,0.361047,0.249427,0.220381,-0.514644,-0.476013,-0.611792,-0.09066,-0.204957,-0.449257,-0.39056,-0.309381,0.259099,-0.386763,0.220753,-0.206799,0.101587,-0.189085,0.54246,0.416519,-1.270694,1.12874,0.162715,-1.222799,-0.12053,0.362517,-0.270339,-0.611081,-0.311676,-0.09545,-0.326592,0.834355
point,-0.995984,-1.158219,0.591887,0.487401,0.129417,-0.558719,-0.771357,-0.194545,0.155487,-0.575499,-0.260512,-1.669365,-1.14265,-1.019352,0.324964,0.581541,0.601357,0.132621,-0.023708,0.02058,0.044205,-0.09425,-0.1835,1.127891,-0.452226,0.357078,0.779032,0.427534,-0.844329,0.171372,-0.311841,0.112886,-0.162254,-0.550482,0.338623,0.242488,-0.005116
théorie,0.077324,-0.819803,2.067237,0.347799,1.787152,0.424706,0.57192,0.064438,2.102333,-0.480257,-0.847686,-0.941056,-0.772163,0.565619,-0.079144,0.514308,-0.030527,0.974414,0.268827,0.717553,-0.106007,0.745715,-0.049836,0.206157,-0.05553,-1.163556,0.747668,0.80389,0.20184,0.550827,-0.254994,0.619913,0.020376,0.308327,0.096053,-0.144241,-0.523115
exemple,-0.631352,-0.513104,0.487622,0.291423,0.558962,0.164609,-0.292811,0.460184,0.094805,-0.008727,-0.455686,-0.730167,-0.409846,-0.039956,-0.994324,-0.113293,0.017751,0.595099,-0.723505,-0.034654,-0.302165,0.219832,0.149339,1.068901,0.069995,-1.546137,0.730681,0.189389,-0.854144,0.658574,-0.687708,0.359259,0.671435,0.112096,-0.166614,-0.305621,0.211178
