word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
un,0.572263,-0.129084,-0.271061,-0.398618,-0.466498,-0.739827,-0.161389,-0.024098,1.447689,0.281695,-0.031967,0.754968,-0.79465,-0.325123,-0.889113,0.704249,0.124598,0.195058,0.27186,-0.141262,0.535671,0.646233,-0.06179,-0.148062,0.306725,-0.240166,-0.685175,0.017648,0.161985,0.42571,0.135373,-0.128949,-1.000625,-0.048504,-0.502046,-0.179234,0.578298
nombre,0.836317,-0.415074,-0.814275,-0.351442,-0.504196,-0.885676,-0.585046,-0.256806,1.504125,0.024897,-0.445329,1.066379,-1.482468,-0.085966,0.191924,-0.022847,0.447856,0.55493,0.655728,0.131465,0.091838,-0.454884,0.288152,-0.293479,-0.0119,-0.063487,-0.921983,-0.08686,-0.149719,-0.139844,-0.38041,0.426047,-1.125444,0.220579,-0.713705,-0.307321,0.128618
$\mathbb{N}$,0.276353,-0.531635,-0.346785,-0.381181,-0.146301,-0.799084,-0.271298,-0.038298,1.192342,0.193543,0.104306,0.942904,-1.387005,0.024974,-0.363312,-0.341214,-0.002574,0.280764,0.773219,0.553139,0.684993,0.13745,-0.061309,0.046251,0.153244,-0.219015,-0.118325,0.097286,0.340945,0.19203,0.024796,-0.514946,-1.142099,-0.249751,-0.209801,0.139071,0.504508
deux,0.657231,-0.133383,-0.754072,-0.439443,-0.294103,-0.692186,-0.270866,0.142791,1.314865,-0.273628,-0.12966,0.487588,-0.942036,-0.3486,-0.579488,0.587574,0.187967,0.073218,-0.086747,0.380232,0.489935,0.654899,-0.065793,-0.280844,0.390662,0.374872,-0.972334,-0.108253,0.380774,0.50802,0.270125,-0.938414,-0.799234,0.11075,0.082529,-0.638155,0.241832
fonction,-0.417765,-0.30887,0.442406,0.275923,-0.168399,-1.131907,-0.193324,-0.332268,1.516065,-0.873696,-0.073143,0.804604,-0.976021,0.109091,0.176583,1.114311,0.434189,-0.590586,0.763323,0.296035,1.056251,0.484703,-0.584102,-0.326146,-0.159668,-0.127127,-0.894502,-0.000992,-0.808642,-0.332675,-0.252128,0.365144,-1.062945,0.054657,-0.002684,-0.36086,0.492132
premier,0.166558,-0.337223,-0.436557,0.012798,-0.224334,-0.99784,-0.162315,-0.005767,0.810248,-0.137099,-0.210401,0.18543,-1.785558,-0.56708,-0.295963,0.811934,0.596744,0.343194,-0.255514,0.434487,0.119395,0.585001,0.196545,0.209982,0.28222,0.033328,-0.452129,-0.157566,0.389404,0.853545,0.628446,-0.696161,0.092681,0.189069,-0.130963,-0.3081,0.092822
ensemble,0.47297,-0.79916,0.180107,-0.117514,-0.306799,-0.405898,-0.22772,0.162543,1.378802,-0.135712,-0.045756,0.471934,-0.283462,-0.007919,-0.687007,0.896547,-0.320601,0.378027,-0.191991,0.915772,0.546535,0.303388,0.09681,-0.149468,0.145473,0.417307,-1.153062,-0.478647,-0.220135,0.110275,-0.065629,0.174072,-0.472776,0.197889,-0.154447,-0.156964,0.794319
point,0.132395,-0.935422,-1.240591,-0.242127,-1.331348,-0.280739,0.036721,-0.490958,0.63134,0.540244,-0.403372,1.27575,-0.942272,-0.256709,-0.282777,-0.211468,-0.041727,0.551003,0.33728,0.471938,0.310147,-0.207564,0.527707,-0.979084,0.434417,0.440341,-0.546491,0.297788,0.468212,-0.384444,0.311304,-0.634571,-0.640916,-0.153831,0.335961,-0.442364,-0.396857
théorie,-1.076646,-1.073428,1.074918,-0.351754,-0.565864,-0.799675,0.159633,-1.046026,-0.083313,1.056188,-1.595731,1.162121,-0.235497,-0.385366,-0.158336,0.070576,0.678087,0.816674,0.395284,0.386128,1.329,-0.092973,-0.478279,0.288871,0.635768,-0.618094,0.186404,0.006339,-1.340043,0.035179,-0.249714,0.242298,-0.866611,-0.747196,0.470002,0.069084,1.264158
exemple,0.31323,-0.575138,-0.01411,-0.346652,-0.532983,-0.777984,-0.367828,-0.393691,1.35198,0.401654,0.430629,0.511584,-0.22424,0.134785,-0.506583,0.083875,0.622225,0.386528,0.754959,0.172657,1.102439,-0.140867,-0.457603,0.088012,0.305465,-0.526481,-0.380507,0.02411,0.004411,0.150211,0.288949,0.663083,-1.332701,0.081112,-0.101284,0.232737,0.661431
espace,0.392527,-0.758658,0.358058,0.276565,-0.570266,-0.111175,0.013457,0.412886,0.946088,0.232553,-0.619431,1.22853,0.812947,0.244739,-0.805949,0.54348,0.031625,0.66517,-0.099661,0.486716,1.019133,0.75095,0.615498,-0.817997,0.137978,-0.111404,-1.366298,0.411184,-0.111208,-0.327527,0.387374,0.316752,-0.580764,0.537883,-0.463088,-0.178425,0.772778
théorème,-1.82515,-0.828276,1.185581,-0.620869,-0.700558,-0.24368,-0.475955,-1.809147,-0.05002,0.523377,-0.674772,0.771039,1.409301,-0.15849,0.231826,-0.977773,1.209233,-0.400565,0.50598,0.657454,1.425303,-0.025665,-0.985148,-0.056223,0.214789,0.958181,0.238658,-0.646934,-0.93153,-1.056096,-0.165086,-0.18588,-0.425936,0.116631,0.329723,0.688186,-0.779023
problème,0.052598,-0.36088,-0.018721,0.126462,-0.721439,-0.751811,0.058067,-0.766431,0.404874,-0.045866,-0.342761,1.689311,-0.893179,-0.122099,-0.349497,0.313963,0.271727,0.734094,0.351214,0.381431,0.7154,0.134995,-0.394146,-0.127728,-0.071993,-1.464876,0.497241,0.36655,-0.462418,-0.148065,-0.058636,-0.018429,-1.040737,-0.573641,0.089986,0.449326,0.418453
valeur,-0.59749,-0.431076,-0.164495,-0.211226,-0.906334,-1.256932,-0.574615,-0.684263,2.124531,0.842325,-0.382645,0.770078,-0.327297,0.206571,-0.186855,-0.275585,0.014193,0.229276,1.023575,0.41246,0.827065,-0.397726,0.584044,-0.413597,-0.254728,-0.200173,-0.24547,-0.345315,-0.492032,-0.67949,-0.165849,1.008381,-0.936879,0.043606,-0.432496,-0.203511,0.385874
groupe,-0.024437,-0.474637,0.568493,-0.20123,-1.214772,0.577348,-0.509914,0.545108,0.749671,-0.310185,0.390766,-0.095661,-2.078689,0.308414,-0.251667,0.682545,-0.253143,0.943141,-0.431956,0.577835,0.501398,-0.105331,0.228271,0.630989,0.070416,-0.19466,-0.842281,-0.190655,0.279484,1.126023,0.26924,0.164809,-0.407949,-0.034351,-0.083008,-0.318975,0.162814
graphe,0.206538,-0.279184,0.956566,0.259437,-0.9191,0.913065,-0.601883,-0.57871,0.319747,0.247681,-1.009504,1.268521,1.82394,-0.271212,0.812872,-0.37432,0.293559,-0.725648,0.459994,0.315123,1.399409,-0.581299,-0.502962,0.857906,0.331636,0.749763,-0.899112,-0.027232,-0.489536,-1.639311,-0.155906,0.456729,-0.713562,0.697336,0.142258,0.284912,-0.232782
forme,0.739577,-0.202115,-0.363359,-0.607545,-0.308408,-0.403129,-0.141213,-0.00235,1.53811,0.159098,-0.256223,0.471441,0.295162,0.291069,-0.526594,0.862498,0.658209,0.159445,0.180939,0.230135,1.178383,0.124283,-0.24843,0.42482,1.024968,-0.073451,-0.780187,-0.661316,0.034735,0.418997,0.426996,0.407245,-1.339612,-0.329972,0.467631,-0.228933,0.937891
entier,0.521988,-0.430994,-0.243899,-0.397961,-0.37025,-0.277385,-0.495627,0.07384,1.316516,-0.371091,-0.205689,0.285429,-0.382592,-0.159972,-0.320977,0.018035,0.326828,0.061153,0.521652,0.350871,0.350995,-0.049395,0.489239,0.381324,0.437207,-0.361914,-0.597769,-0.307011,0.14601,0.174513,-0.081434,0.196987,-0.78939,0.259845,-0.712843,-0.160996,0.866861
système,0.26488,-0.32818,1.071158,0.073359,-0.800404,-0.77632,-0.044657,-0.581238,1.236393,-0.502403,-0.489702,1.774373,-0.837194,-0.342269,-0.219553,0.718252,0.496773,0.146008,-0.149784,-0.122937,1.644128,0.284094,-0.470205,0.172577,0.868652,-0.605039,-0.365884,0.552766,-0.531119,-0.646446,1.049074,1.247342,-1.491454,0.486673,0.35858,-0.309605,-0.188671
équation,-1.685525,-0.738977,1.036337,-1.551911,-0.603902,-0.444091,-0.29122,-1.741064,0.61345,-0.338848,-1.551178,0.888076,0.998178,-0.272854,0.491234,-0.463278,1.275653,-0.219313,0.866151,0.699103,2.057546,-0.023473,-0.895496,-0.197168,0.395428,0.902222,0.223865,-0.059354,-1.321499,-0.581658,-0.121756,-0.268433,-1.132007,-0.306466,0.257539,0.719288,-1.059648
