word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
un,0.568077,0.817682,-0.308052,-0.560029,0.206867,0.939111,-0.985301,0.262093,-1.445345,0.487442,0.069245,0.07852,1.309212,-1.181691,-0.444562,-1.216363,0.605149,1.831173,0.036765,-0.747402,0.172142,0.088253,0.084084,-1.194968,-0.646406,-0.957665,0.162034,-2.13136,1.570834,1.042451,-0.037734,1.299999,-0.144655,1.288436,0.053285,-1.659978,0.358783,1.311032
nombre,1.164902,0.023779,-0.155572,0.279204,0.41134,1.933539,-1.179773,1.452622,-1.809252,2.030786,-0.033949,0.077657,0.597201,-0.915463,-0.269226,-0.87356,-0.516279,1.945657,0.159066,0.364004,-1.013921,-1.539715,-0.202949,-1.057154,0.602123,-0.112929,0.820963,-2.522364,-0.26591,0.546803,1.122551,-0.028788,0.931854,1.696854,-0.170935,-1.529014,-0.332445,1.281414
$\mathbb{N}$,0.853832,0.20999,-1.160017,0.185766,0.574957,0.369552,-1.21769,0.443477,-0.71019,1.513641,-0.39666,-0.141288,0.698612,-0.664254,-0.321035,-0.373898,-0.109665,2.016602,-0.435136,-0.795033,0.008173,-0.530929,0.318806,-0.243527,0.36643,-0.422927,1.316714,-2.484623,0.678214,0.447029,-0.391298,0.703127,0.693992,1.34573,-0.885576,-0.975655,0.688573,-0.291319
deux,0.078125,0.286204,-0.601264,0.868191,0.071437,1.100903,-1.727689,-0.436198,-0.378444,0.492078,0.209863,0.235127,1.211594,-0.81199,-0.237419,-1.675298,0.392113,1.152684,-0.075216,-0.67056,0.218692,-0.07293,0.335947,-0.712496,-0.965969,-0.62828,0.31658,-2.286762,0.858932,0.529228,0.034975,0.630915,0.195276,1.802107,-0.650021,-1.511065,0.160037,1.227594
fonction,0.010622,-0.318359,-0.688497,0.814852,-0.359637,0.02121,-1.193103,0.997722,-1.783983,0.859647,0.518569,-0.134417,1.141306,-1.667235,-0.271086,-0.163235,1.151559,2.164585,0.844543,-0.925189,-0.030821,-0.857894,-1.107,0.449484,-0.671267,-0.446658,-0.724669,-2.10785,1.053495,0.459693,-1.122941,0.010994,0.459177,1.730946,1.219971,-1.341258,0.893946,-0.821919
premier,-0.31583,0.54003,0.387986,0.277143,0.288406,1.17825,-0.491444,0.277087,-1.62139,0.978956,-0.064256,0.003703,0.717711,-0.951524,0.144688,-0.799281,0.013277,2.244459,0.419205,0.036167,-0.949688,-1.291195,0.490292,-0.575229,0.216323,-0.635548,0.417269,-2.568552,-0.049181,0.477293,0.266081,0.744928,0.253524,1.485195,-0.569919,-1.244803,-0.56495,0.766567
ensemble,1.990381,1.111131,-0.416398,0.163986,0.479685,0.476841,-1.387757,0.379612,0.067321,0.93586,0.472835,-0.379866,1.01393,-0.647237,0.044194,-1.326531,0.167574,2.145254,-0.729899,-1.603412,1.268239,-1.165423,-0.495936,-0.61129,-0.310683,-0.250212,-0.328836,-2.074157,0.941516,0.162706,-0.342473,1.08974,-0.196385,1.060242,-0.039509,-1.156111,0.281038,0.038428
point,0.427764,0.349476,-1.270078,1.954049,0.726989,-0.068211,-1.12402,0.135873,-0.366587,-0.25426,0.217004,0.132952,1.487765,-0.8865,-0.903833,-0.21963,0.297162,1.431963,0.173311,-1.295653,1.879384,-0.409175,0.835708,-0.099083,-1.538038,0.577062,0.656191,-2.393572,0.441723,0.562444,0.143779,0.3361,-0.132474,2.007446,0.0864,-0.422499,0.221085,0.932915
théorie,0.014814,-0.32525,0.818869,-0.769857,-0.015652,1.483795,0.064945,0.193969,-1.009158,0.481954,0.490321,-0.191582,0.465685,-0.473098,-0.770284,-1.606027,-0.607645,2.906474,-0.242302,-0.592583,0.737091,0.022512,-0.957645,0.368784,-0.362895,0.570104,0.391884,-2.176387,0.821462,1.751679,-0.454911,1.027686,-0.021891,0.252479,1.049654,-0.288395,-0.037106,0.119065
exemple,0.56599,-0.306163,-0.403763,-0.453784,0.244116,0.827955,-1.144267,0.787354,-0.474155,0.710814,-0.150696,-0.383558,0.871341,-0.519836,-0.086348,-0.801314,-0.251807,1.599655,0.399057,-0.865015,0.346064,-0.177381,0.378193,-0.551589,-0.270839,-0.201762,0.283409,-2.206145,1.526632,0.58612,-0.212734,0.556184,0.499944,1.630496,-0.288326,-0.790118,0.614831,0.3048
