word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
un,0.136738,-0.013282,0.458657,0.464571,-0.034048,-0.147797,0.028356,-0.808015,0.966161,0.621983,-0.169433,-0.612451,0.233008,-0.629906,0.49409,-0.513575,-0.221593,-0.278885,0.03953,-0.160919,0.196333,0.082047,0.034784,-0.078415,0.992109,-0.396883,-0.421888,-0.305244,-0.924545,-1.440418,-0.364073,-0.543781,0.095421,0.061383,0.270559,0.168312,-0.581469,0.351879
nombre,0.00569,-0.123926,1.028055,0.878423,-0.004006,-0.242401,0.881621,-0.676311,0.81566,0.737107,0.104574,-0.774757,0.470059,-0.948236,0.256649,0.007693,-0.559514,-0.167207,0.970571,-0.078388,-0.360894,-0.544588,0.199284,0.14522,0.173879,0.065995,-0.425505,0.13942,-0.179881,-1.763683,-0.69355,-0.662273,-0.449244,-0.376857,-0.059075,0.023932,-0.949917,-0.034491
$\mathbb{N}$,-0.016263,0.074381,0.656648,0.479758,0.200365,-0.382702,0.46706,-0.15529,0.870371,0.274668,-0.059995,-0.463501,0.456622,-0.676476,-0.146558,-0.200586,0.015431,0.227776,0.639165,-0.381912,0.761865,-0.221744,0.184635,0.220753,0.080549,-0.397121,-0.024361,-0.143419,-0.76411,-1.369379,-0.592757,-0.614046,0.491861,-0.048508,0.339661,0.286977,-0.595793,0.911679
deux,0.248418,0.121305,0.296713,0.105893,-0.294872,-0.205795,0.513879,-1.008095,0.050262,0.404435,-0.408529,-0.484824,-0.026178,-0.54345,0.449465,-0.476602,-0.169575,-0.38752,0.232423,-0.308596,0.202361,0.023033,0.008184,0.409535,1.225861,-0.183631,-0.365518,-0.002101,-0.74148,-1.776645,-0.676546,-0.768587,0.712492,-0.201131,-0.209173,0.386973,-0.283344,0.2858
fonction,0.972168,0.906381,0.248616,1.586306,-0.197897,-0.309397,1.011798,-0.622021,1.023472,0.336392,0.87935,0.009601,-0.194422,-1.003965,-0.087739,0.49891,0.026145,-0.232663,0.331725,0.83873,0.229813,0.015041,0.44128,-0.049577,0.658792,-0.452369,-0.330097,-0.290863,-0.812132,-1.063378,-0.029691,-0.558667,0.323878,0.991304,-0.077014,0.370375,-0.54099,-0.227737
premier,0.616331,-0.052925,0.330051,0.198907,-0.167749,-0.038362,0.118764,-0.797188,-0.581819,0.105973,-0.944529,-0.580426,0.159967,-0.613911,-0.224088,-0.0612,-0.032671,0.087044,0.117616,-0.138077,0.014014,0.172717,-0.106761,0.954111,0.937392,-0.090649,-0.222961,0.158398,-0.637507,-1.394178,-0.460565,-0.612708,0.263025,0.397642,0.217309,-0.103381,-0.76051,0.213469
ensemble,0.338128,0.523551,-0.611489,0.214015,-0.107732,-0.406269,0.50314,-0.657703,0.80907,0.590719,-0.437661,-0.449514,0.771647,-1.314324,0.170863,-0.735701,-0.184241,-0.562869,0.113847,0.05572,-0.356382,0.027587,0.242246,0.127672,0.811636,-0.205406,0.224153,-0.230322,-0.574922,-1.171854,-0.162898,-0.281394,-0.097815,0.176597,-0.075327,0.218965,0.073206,-0.046782
point,-0.174658,0.324282,0.445887,-0.49593,0.110217,-0.284843,1.172508,-1.0781,0.113278,0.550091,0.099945,-0.794734,1.124542,-0.710031,0.678979,-0.081489,-0.060972,0.212785,0.627718,0.131885,0.819049,-0.29287,-0.217407,0.661116,-0.110161,0.118494,-0.700875,0.223718,-0.360025,-0.625003,-1.299612,-0.454292,0.085236,-0.650852,-0.510058,-0.22095,-0.953921,0.661525
théorie,-0.021754,0.824962,0.141693,0.517977,-0.87881,-0.264537,-0.098229,0.355548,1.312892,-0.179536,-0.276345,-0.27468,1.973192,-0.645161,0.290004,-0.519825,0.006595,1.151777,0.20783,1.225797,0.509462,-1.399728,-0.238311,-0.68731,-0.4859,-0.68097,-0.837933,0.329812,-0.915769,0.134622,0.200525,0.039472,0.44429,1.616028,0.535947,0.309065,-1.072101,-0.268776
exemple,-0.127147,0.254353,0.442124,0.680967,-0.290066,-0.377274,0.237154,-0.51322,1.505108,0.557216,0.454738,-0.747714,0.260774,-0.951359,0.211139,-0.458364,0.23952,-0.149823,0.127941,0.123403,0.104363,-0.381704,-0.457711,-0.0823,-0.20043,-1.007738,0.354617,-0.431203,-0.791746,-0.78167,0.011189,-0.547274,-0.091728,0.195848,0.171856,0.564767,-0.723465,0.309757
espace,-0.479159,0.829791,-0.725051,0.307663,0.236682,0.110049,0.175544,-0.721529,0.793966,1.230327,0.369045,0.033487,1.492758,-0.64035,0.609468,-1.256063,0.130642,-0.126961,-0.383789,0.731086,0.378091,-0.109977,-0.149792,-0.004133,0.756942,-0.137932,-0.047179,-0.530542,-0.829109,-1.131307,-0.38646,0.460097,-0.733866,-0.177431,-0.142149,0.59896,0.062208,-0.190617
