word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
un,-0.185463,-1.682236,-0.154105,-0.658529,-0.650702,-0.381281,-1.365439,-0.227928,-0.018292,-0.340995,0.004833,0.144788,0.091142,-0.268741,0.28412,0.538486,-0.204782,0.458193,0.357892,0.371897,-0.343774,-0.141234,-0.882045,-0.509212,-0.143269,-0.062975,0.477626,0.118641,0.633842,0.021805,-0.151873,-0.200294,0.104646,0.204943,0.598996,0.059835,-0.980354,0.021886,-0.46577
nombre,-0.734023,-1.276805,0.404894,-0.45749,-0.434228,-1.067275,-0.303982,0.331426,-0.509055,0.124487,1.054667,-0.349076,0.790011,0.099836,1.164203,0.293298,0.287781,0.190061,0.292638,-0.250406,0.203657,-0.21499,-1.363724,-0.733298,0.067579,-0.023635,0.522952,-0.080953,0.167265,-0.446346,-0.581541,0.243044,-0.272629,0.62399,1.021416,0.403504,-1.042425,0.091244,-1.273491
$\mathbb{N}$,-0.6755,-1.147276,-0.201317,-0.885899,0.057429,-0.639885,-0.99608,-0.462411,-0.331483,-0.012158,0.177903,-0.263653,0.951284,-0.217137,0.700018,0.03546,0.001604,-0.11879,0.582239,-0.153093,-0.198523,-0.036605,-0.764208,-0.650355,-0.576718,-0.305876,0.367537,0.244182,0.329505,0.133395,0.246543,-0.43326,0.500197,0.528681,0.568037,0.049744,-0.474159,0.085408,-0.694386
deux,-0.616148,-1.617576,-0.287604,-0.493117,-0.355936,-0.180823,-1.793129,-0.053225,-0.101495,-0.403442,0.578705,-0.233975,0.193803,-0.043807,0.709904,0.257958,0.292325,0.171736,0.311348,0.504471,0.025466,0.082985,-0.419649,-0.387395,-0.320728,-0.176609,0.178024,-0.043765,1.145936,0.067304,-0.258958,0.167582,0.036723,0.135793,0.16807,0.371096,-0.475508,-0.057521,-0.268995
fonction,0.412235,-1.812635,0.000642,0.422541,0.124968,-0.569738,-0.686065,0.204868,0.374311,-0.001586,-0.120153,0.143848,1.486334,-0.243295,0.730106,0.9077,0.317292,-0.675488,0.479361,0.749442,-0.19285,0.084382,-1.32407,-1.223658,-0.408847,-0.484467,0.391536,1.087452,-0.370763,-0.143305,-0.868651,0.569897,0.156943,0.133199,-0.129516,-0.026472,-0.256681,0.276078,-0.751922
premier,-1.251661,-1.156062,0.101372,-0.079462,0.051959,0.03405,-0.954056,-0.334115,-0.304082,-0.235834,0.395637,-0.40639,0.274511,0.391346,0.551672,0.701407,-0.57249,0.319726,-0.011821,0.085701,-0.227788,0.084424,-0.680826,-0.006546,-0.346359,-0.381994,0.183563,-0.010263,1.482771,-0.242125,-0.062837,0.219483,0.291456,0.038856,-0.291657,0.480466,-0.426337,0.190978,-0.252923
ensemble,-0.056797,-1.328998,0.29833,-0.404945,0.001,0.165517,-1.222604,-0.038277,0.064754,-0.249501,0.009303,0.120425,1.065146,-0.821206,0.715589,0.334426,0.496867,0.162643,0.290514,0.080384,-0.428416,0.437808,-0.872574,-0.165467,0.231238,-0.161785,0.172077,-0.034152,0.044953,0.033726,-0.02115,0.650933,-0.348103,-0.352832,0.017275,0.21246,-1.21541,-0.645138,-0.17592
point,-1.052322,-0.944368,0.608856,-0.294478,-0.247136,-1.387352,-0.927588,0.119476,-0.268147,-0.038951,0.002653,-0.607709,0.851985,0.331744,0.281503,-1.062095,0.332614,0.022583,0.335272,-0.455998,0.101732,0.203106,-0.777357,-1.040505,-0.357801,-0.251341,-0.066409,-0.346003,1.227533,0.031915,-0.592523,0.284941,-0.441772,0.524661,0.9606,-0.035294,-0.271906,-0.71472,-0.124683
théorie,0.471885,-1.245554,1.491626,0.003035,0.053063,-0.208771,-0.27233,-0.676998,-0.732507,-1.179021,-0.351017,-0.405444,1.992629,0.241253,-0.259445,0.444082,-0.833175,-0.185251,0.040241,-0.073751,-0.763393,0.235487,-1.22852,-0.786651,-0.684382,0.230852,-0.588229,0.025891,-1.656007,-0.539036,-1.124146,-0.169925,0.510624,0.903699,0.54643,-1.207612,-0.382831,-0.580913,0.1223
exemple,0.451887,-1.299707,-0.160957,-0.503789,-0.190829,-0.3932,-0.681793,-0.631913,-0.164975,-0.183429,-0.379148,-0.190642,1.293059,-0.652408,0.418907,0.133074,0.28992,0.253574,0.359952,-0.290243,-0.176525,-0.223379,-0.844671,-0.941669,-0.13064,-0.381141,-0.010076,0.338463,-0.332192,-0.003742,-0.237614,-0.365577,0.088029,-0.034223,0.800844,-0.57738,-1.177563,0.531999,-0.696416
espace,0.705178,-1.501783,0.514036,-0.201098,-0.790596,-0.80225,-0.798657,-0.053716,-0.007604,-0.230229,-0.388419,0.106313,1.176248,-1.609793,0.256127,-0.02593,0.425814,0.599536,0.055592,-0.034756,0.08874,0.943937,-0.728081,-0.197737,-0.311248,-0.18826,0.026325,0.854984,0.064361,-0.321061,0.136343,0.336407,-1.037065,0.569514,-0.051933,-0.183375,-1.232058,-1.188411,0.136695
théorème,0.550379,-0.172993,0.844358,0.629701,0.538808,-0.386245,0.073092,0.563574,-1.45038,-1.652767,-0.213311,-0.985922,2.656765,-0.969569,0.967138,-0.360344,-0.048309,0.259431,0.509693,-0.249649,0.087584,0.185895,0.20345,-1.328099,-0.665151,-0.326022,-0.141586,0.912702,-1.699883,-0.010364,-2.623915,1.085632,0.679099,0.42522,0.538774,-0.553282,0.345081,-1.13267,0.309672
problème,-0.101847,-1.052368,0.522724,0.07637,-0.395562,-1.154229,-0.720842,-0.279315,-0.76602,0.231631,-0.56602,0.072446,0.845643,-0.261705,-0.138131,-0.006376,-0.416867,-0.443993,0.385703,-0.126388,-0.400286,-0.005838,-1.497163,-0.576562,-0.734431,-0.298582,0.186041,0.13476,-0.541157,0.252942,-0.704754,-0.508549,0.494925,0.946248,0.312649,-0.801879,-0.584771,0.281593,-0.119571
valeur,-0.074435,-1.302647,0.292967,-0.151295,0.048464,-1.2405,-0.284842,0.337661,-0.294592,-0.58381,-0.366848,0.158362,1.746606,-0.393086,0.767822,0.166468,0.155957,-0.342258,0.1285,-0.348237,0.094759,-0.118956,-1.359017,-1.126685,0.442984,-0.447406,0.025308,0.354222,-0.4876,-0.801462,-0.241874,-0.126736,-0.176049,-0.074381,1.540681,0.280396,-1.100939,-0.332335,-1.075894
groupe,-0.587337,-0.649541,0.400633,0.146907,-0.329802,0.258169,-0.398709,-1.008373,0.68167,-0.22536,0.667062,-0.45264,1.373575,-0.423275,0.654525,0.146508,-0.795689,-0.064284,0.473539,0.280311,-0.163868,-0.146798,-0.56841,0.380745,-0.28091,-0.011605,0.804578,-0.868205,1.37174,0.18918,0.515909,0.368509,0.200699,-0.477981,-0.088636,-0.487009,-1.211219,-0.227808,-0.955275
graphe,1.804259,-0.179222,1.273183,-0.208453,-0.599986,-0.609505,-0.138666,0.489585,-0.357754,-0.748702,-0.110822,-1.163311,0.723468,-0.645335,1.374746,-0.907273,0.878313,0.494718,-0.070498,0.554462,0.865466,0.637628,0.48852,-1.590103,-0.874628,0.247416,0.34805,-0.801568,-1.93174,0.230235,-2.15009,2.209064,0.052109,0.877518,0.753971,0.129983,-0.2717,-0.485428,-0.441679
forme,0.73832,-1.564396,-0.106033,-0.799187,-0.242823,-0.224203,-1.334574,-0.726569,-0.35643,-0.612903,0.252593,0.397163,1.05766,0.064281,0.671679,0.077695,0.325296,0.589356,0.387206,0.361043,-0.347532,-0.309124,-0.377239,-0.709838,0.04163,-0.104782,0.113549,-0.05894,0.097753,0.070144,-0.271665,-0.677768,-0.129753,-0.445509,0.074169,-0.314062,-1.486357,0.292776,0.074364
entier,0.113894,-1.065201,-0.169794,-0.445916,-0.337923,-0.986025,-0.25621,-0.441135,-0.399145,-0.318187,0.608068,-0.78222,1.199684,-0.53608,1.028677,0.491322,0.624274,-0.070757,0.516584,-0.308014,-0.0993,0.161746,-0.573057,-0.662981,-0.084095,-0.287236,0.477848,0.058061,-0.135085,-0.376327,-0.339265,0.061514,-0.306625,-0.030562,0.211534,0.202073,-0.960715,-0.190341,-0.91525
