word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
un,-1.3424,0.189833,-0.932306,-0.378097,0.214703,0.903433,0.509389,-0.499654,0.11124,-0.304669,-0.690595,-0.247085,-0.65026,-2.900615,0.701132,-0.298471,0.387987,-0.406661,-0.247774,-0.399196,1.04216,-1.945604,2.225012,-0.630603,0.185615,0.326453,1.563235,-0.317388,-0.797541,0.852284,0.086408,-0.371141,-0.602319,-0.534996,0.653971,2.144726,-0.352337,-0.382236,-0.508146
nombre,-1.6604,1.001258,0.719767,-0.884351,1.837343,0.924387,1.651301,-1.600308,0.548423,0.230706,-2.044007,-1.40997,0.975281,-1.991222,-0.0382,-0.752018,0.895484,-0.667984,0.148436,0.382999,1.314123,-1.276794,0.783607,-0.053217,-1.158645,-0.551138,1.202696,-1.59515,-0.330414,0.262738,-0.345062,-1.778515,-0.967354,0.053877,0.848379,1.001776,0.043428,0.110214,-0.060401
$\mathbb{N}$,-1.156059,0.544344,0.594747,-0.409453,0.983681,0.68288,0.115477,0.130623,0.98952,-0.063142,-0.262905,-0.283143,-0.694654,-2.017764,0.173682,-0.026082,0.063012,-0.330463,-0.580224,1.066932,2.166245,-0.814727,1.261093,-0.038118,-0.30701,-0.52522,1.546998,-1.434897,-0.738511,-0.085644,0.531376,-1.600996,-0.76469,-0.619976,0.718549,0.562954,-0.272588,0.336617,-0.69398
deux,-1.561978,0.003669,-0.087701,-0.748964,0.606227,0.596361,-0.028886,-0.487442,0.203299,-0.073742,-1.157807,-0.034016,0.332765,-1.984398,0.555554,-0.617209,0.963388,-0.205356,-0.643806,0.021766,1.239455,-2.297274,1.610295,-0.997841,0.919757,-0.612542,0.836223,-0.269763,-1.118667,0.08735,-0.039229,-0.778332,-0.318402,0.190359,0.497422,1.453962,-0.901076,0.023626,-0.736564
fonction,-1.303456,0.702923,-0.003148,-0.055622,0.676277,1.009666,1.664072,-0.376335,0.719981,0.076153,1.066125,0.309629,0.791983,-1.577838,-0.071415,-0.381731,-0.914439,-0.289133,-1.779614,1.409131,2.278563,-1.666832,0.893618,-1.109547,0.059149,-0.056012,-0.166403,-0.935031,-1.288007,0.978927,-0.99024,-0.483481,-0.605817,-0.760938,0.685444,1.752718,-0.51564,-1.079878,0.076586
premier,-1.598211,0.94063,0.118573,-0.236671,0.638457,0.989062,1.387334,-1.00019,0.214957,0.281891,-1.389163,-1.121266,0.238718,-2.352789,0.041184,-0.300167,0.883361,-0.216413,-0.078494,0.439052,0.355153,-1.271226,1.461238,-0.39701,-0.601811,-1.475774,0.842505,-0.952879,0.17928,-0.194746,-0.235026,-1.182101,-0.221848,0.179719,0.348081,1.457071,-0.390071,-0.104095,-0.267699
ensemble,-1.130902,-0.496335,-0.360624,-0.140754,-0.299203,0.712735,0.792321,-0.627502,1.616192,-1.058747,-0.69222,0.471258,-0.498075,-1.37124,-0.264721,-0.754496,0.055732,0.212858,-0.661863,0.23707,2.369949,-1.806463,0.59271,-0.766074,-0.277064,-0.856515,1.809072,-0.393507,-1.134494,0.874017,0.308098,-0.678031,-0.667065,-0.678656,1.604493,0.782635,0.176907,0.318438,-0.930656
point,-0.254036,0.62399,0.506971,-0.801285,0.291218,-0.269071,-0.037895,1.252971,0.637529,0.229702,-0.661198,-0.075491,0.881527,-2.183845,0.862349,-0.28227,-0.180993,0.561317,-0.712434,0.340074,1.671297,-2.654559,1.731195,0.273669,0.855101,-1.27945,0.965572,0.524735,-1.12942,0.399449,0.072473,-0.847996,-0.888387,0.235617,1.554903,0.558581,-0.569921,0.115007,-0.422451
théorie,-0.884454,0.174303,-0.98096,0.410771,-0.301988,1.590684,2.15075,-0.24186,0.423189,-0.609908,0.274443,-0.328323,0.270392,-1.954033,0.689317,-1.818432,-0.143687,0.281173,0.875291,-0.591097,1.652537,-0.438163,1.696328,-0.167794,-0.516442,-0.214755,0.159433,-0.801059,-0.981873,1.4686,-0.032237,-0.780864,-0.048282,-0.08921,0.246245,1.13282,0.98256,0.316967,-0.995278
exemple,-1.796698,0.565243,0.223607,-0.402666,0.971485,0.694571,0.683611,0.153979,0.53123,-0.346716,-0.298078,-0.211712,-0.414982,-2.005867,0.68484,-0.449416,-0.297956,-0.637138,-0.483708,0.023434,1.540987,-1.13053,1.217747,-0.463164,0.188718,0.16819,1.058918,-0.453891,-0.385031,0.331564,-0.297171,-0.750074,0.037371,-0.186928,1.070071,0.718764,0.090705,-0.161412,-0.394695
espace,-1.291852,-0.716744,0.878725,0.066065,-0.82362,0.259509,0.777461,-0.235772,2.004084,-0.764274,0.195275,0.146066,-0.01951,-1.281067,1.366814,-0.230799,-0.070063,0.215109,-0.832105,0.471691,2.081171,-1.305579,1.820111,-0.809652,1.299054,0.848113,0.439166,-0.071232,-0.896563,1.287142,-0.818355,-0.697133,-0.855062,-1.103529,1.323793,0.634148,0.213132,1.779991,-1.017394
théorème,-1.097845,-0.066326,-1.030853,-1.088671,-0.06163,0.889168,2.284643,0.481346,0.752976,-0.144596,0.040487,-0.155844,0.071666,-1.641342,1.000883,-0.109968,0.366001,-0.597891,0.525347,0.789607,1.677241,-1.376327,1.884479,-0.65246,-0.707431,-0.459858,-0.747322,-1.543844,-0.521681,1.596546,-1.116749,-0.788268,-0.240489,0.930775,1.138431,0.040346,0.186077,0.594425,-0.364302
