word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
un,0.069411,-0.581605,0.033805,0.173572,-0.816508,0.422257,0.331353,-0.195272,0.414267,0.364123,-0.566853,0.099378,-0.244626,0.641954,0.630963,-0.063727,0.134511,-0.538163,-0.057894,0.372711,-0.88914,-0.515495,-0.118101,0.243578,0.936062,-0.253577,-0.255164,0.212513,0.287583,1.011051,-0.276004,-0.433911,-0.498846,-0.252197,-0.144851,-0.098493,-0.155605,-1.386106,-0.83168
nombre,-0.604468,-0.989641,-0.304332,-0.426252,-0.637444,-0.33843,0.151885,0.351537,0.655958,-0.284029,-0.549836,0.40369,-0.363325,0.085832,0.345398,-0.4815,0.419776,-0.210279,-0.654553,0.207447,-0.709269,-1.007708,-0.989017,0.748643,0.827492,-0.210901,-0.122466,0.767016,0.11409,1.275551,0.530522,0.000705,-0.869991,-0.005838,-0.531657,-0.174238,-0.119772,-1.274286,-0.872283
$\mathbb{N}$,-0.119039,-0.804763,-0.39687,-0.567946,-0.634052,0.124853,0.479074,0.151554,0.66292,0.3305,-0.293405,0.532206,-0.25037,0.935897,0.462661,-0.065678,-0.040934,-0.103223,-0.384014,0.078502,-0.621746,-0.663835,-0.443623,0.225837,0.34544,-0.218297,-0.091357,0.279902,0.091986,0.674782,-0.429553,-0.734114,-0.733577,-0.23506,-0.493318,0.006782,-0.902516,-0.764504,-0.453577
deux,0.04996,-0.880875,-0.287571,0.177548,-0.679134,0.281826,0.750526,-0.603023,-0.060873,-0.088395,-0.468982,0.223485,-0.550932,0.535914,1.283636,-0.401619,0.544043,-0.700621,0.150168,0.482133,-0.452428,-0.598367,-0.041377,0.079724,0.532794,-0.395593,-0.038548,0.063836,0.472292,0.600192,-0.091816,-0.045223,-0.904645,-0.548652,-0.15615,-0.127373,-0.422499,-0.955205,-0.671986
fonction,0.174456,-0.666102,-0.266672,-0.014986,-0.572364,0.505369,0.035203,-1.026779,0.844942,0.493697,0.347607,-0.3212,0.430361,0.478965,-0.166262,-0.235902,0.194684,0.471854,-0.422794,0.08047,-0.609867,-0.627731,-0.421153,1.12907,0.029334,0.04497,0.017587,-0.003745,0.371125,0.564702,-0.620181,0.032441,-1.570881,-0.298488,-0.441685,-0.435682,0.142727,-1.360279,-1.393261
premier,0.028198,-0.613734,-0.084421,-0.162389,-0.667766,0.123658,0.324462,-0.538607,-0.138155,-0.386118,0.125765,0.332541,0.131156,0.776401,1.258817,-0.472753,1.013808,-0.435763,0.288714,0.210554,-0.422079,-0.96545,0.180769,0.451925,0.34856,-0.367377,-0.095361,0.327709,-0.13236,0.090295,0.081311,-0.568474,-0.132118,-0.978833,-0.3965,-0.108323,-0.064743,-0.856136,-0.376975
ensemble,0.566517,-0.289401,-0.479543,0.398989,-0.410309,-0.168006,-0.216758,-0.171714,0.14863,0.241131,-0.844494,-0.07158,0.332677,-0.037665,0.658289,-0.741264,0.267833,-0.291128,-0.190154,0.137676,-0.720974,-0.190104,0.100886,0.178618,0.172817,-0.200257,0.061245,0.213486,-0.055434,0.633943,-0.249023,0.032633,-0.756399,-0.462969,0.121477,0.415633,-0.40254,-1.059975,-1.574112
point,-0.351001,-1.010102,-0.521886,-0.459047,-0.00918,-0.997025,0.774633,0.422565,-0.068292,0.008211,-0.789134,0.013813,-0.087032,0.216551,0.471003,-0.701751,0.503377,0.016608,0.100334,-0.153906,-0.193335,-0.983296,-0.170631,-0.703787,1.220019,-0.652062,1.050482,0.594742,0.280991,0.892732,-0.070064,-0.388266,-1.126183,0.115362,-0.672709,-0.155181,-0.254071,-0.732645,0.074261
théorie,0.198889,-1.082056,-0.529455,-0.878941,-0.083541,0.742266,-0.707692,0.641602,1.044104,0.028701,-0.559449,-0.787338,0.951463,0.499701,-0.061341,0.021904,-1.061236,1.101401,0.62543,0.344075,0.142587,0.587076,-0.200371,0.53726,0.786538,-0.761667,0.35611,0.185643,0.250069,-0.424456,-0.451372,-1.544372,-0.39338,0.429471,-1.210187,0.377154,0.796337,-1.145414,-1.132272
exemple,0.182548,-0.438798,0.083411,-0.122994,-1.071638,0.187453,0.227374,0.467781,1.011179,0.310999,-0.452052,0.070995,0.44746,0.2126,-0.294551,0.359034,-0.010066,0.062131,-0.43178,0.369725,-1.210417,0.572595,-0.369813,0.460329,0.869783,-0.195903,0.009323,0.066301,0.312938,0.950037,-0.518698,-0.734952,-1.016257,-0.097616,-0.241447,0.088544,-0.300164,-0.859531,-0.681877
espace,0.887387,0.18041,-0.778902,0.07545,-0.011375,-0.545408,-0.369991,0.203955,-0.419482,0.184377,-1.349431,-0.764799,-0.171701,-0.17875,0.240658,0.104078,-0.142702,0.238995,0.196718,0.352948,-0.477874,0.323404,0.640439,0.313602,0.557838,-0.360994,0.242435,-0.045313,0.543747,1.443171,-0.595763,-0.283907,-0.672337,0.123185,0.078911,-0.239203,-0.52096,-1.552191,-1.366186
théorème,0.706235,-1.831761,-0.939656,-1.309777,0.401925,0.537416,-0.673328,0.154998,0.462107,-0.67603,0.14737,-0.629954,0.586462,-0.980527,-0.659855,0.110656,-1.126759,1.165207,-0.355536,-0.701422,-0.303098,1.149568,-0.00796,-0.140333,0.288984,-0.335523,0.976183,-1.327362,0.182048,-0.907414,-0.158307,-0.646928,-1.433069,0.584122,-0.964527,-0.39075,0.56409,-0.207603,0.047372
problème,-0.305579,-0.580305,0.245239,-0.838162,-0.414565,-0.161563,0.049732,0.659037,1.188498,0.79138,0.328681,-0.061843,-0.042455,0.737876,-0.049163,0.401245,-0.321752,0.700678,0.158065,0.527155,-0.15824,-0.478797,0.547752,-0.001723,0.415347,-0.269873,0.486483,0.523083,0.090285,0.161939,-0.56716,-0.835017,-0.499536,0.331856,-0.54663,0.031387,-0.325735,-1.894535,-0.449383
valeur,-0.237692,-1.1669,-0.176694,-0.535968,-0.013643,-0.239348,0.379714,0.431959,0.808905,0.206116,-0.457367,-0.302949,0.290705,-0.155022,-0.204954,0.141742,-0.429513,0.690065,-0.818376,-0.491212,-1.30925,-0.081566,-1.008182,0.399914,0.65679,-0.658241,0.494813,-0.109762,-0.418129,1.566105,0.469121,-0.397658,-1.16986,-0.048356,-0.680102,0.263798,0.253312,-1.261058,-1.218842
groupe,-0.330393,-0.644738,-0.610088,0.507785,-0.561134,-0.701815,-0.260672,0.33061,-0.021088,0.362835,0.3836,-0.552676,0.315812,0.71894,1.192649,-0.318374,1.303422,-0.954437,-0.196873,0.611942,-0.784035,-0.194851,-0.531565,1.12521,0.841369,-0.960185,-0.028391,-0.153874,-0.497332,-0.20776,-0.511538,-0.680169,-0.023507,-0.307617,0.305554,0.498819,-0.47495,-0.14557,-0.726473
