word,1,2,3
un,-0.822071,2.16216,3.021781
nombre,-0.075034,2.167758,1.285996
$\mathbb{N}$,-0.608777,1.844725,2.089929
deux,-0.859032,1.435278,2.583266
fonction,0.396276,2.030216,1.264132
premier,-1.342505,0.78533,2.603646
ensemble,-0.459349,1.684557,1.491275
point,-1.060963,1.683969,1.080873
théorie,0.463944,1.568913,0.082293
exemple,-0.235553,2.436641,1.098775
espace,0.075151,2.092283,0.772142
théorème,1.496941,1.061013,-1.177068
problème,-0.251676,2.425734,0.908012
valeur,0.120352,2.81288,0.875201
groupe,-1.852316,1.174814,1.341355
graphe,1.568701,1.407766,-1.450663
forme,0.190185,2.276615,1.353088
entier,-0.140525,1.936629,0.933226
système,-0.568255,3.040056,0.647864
équation,0.978338,2.044531,-1.114754
suite,-0.958695,1.037914,2.029426
algorithme,0.566604,2.075961,-1.472133
calcul,0.285677,2.643108,-0.324966
application,-0.601699,2.702038,-0.052184
élément,0.1738,2.543386,1.093621
grand,-0.622198,0.974292,2.777618
propriété,0.559752,1.514074,1.175669
ordre,0.290205,0.613853,2.358905
variable,-0.114457,3.001606,-0.301187
base,-0.273479,2.137588,1.007205
géométrie,1.073738,1.476851,-0.794155
analyse,-0.148591,1.835833,0.293415
loi,0.15151,1.337539,1.652352
définition,0.367627,2.544974,0.164494
réel,-0.529451,2.61469,0.776624
dimension,-0.242886,2.40253,0.110925
statistique,-0.961619,0.710169,0.362619
sommet,0.388405,1.380791,1.001103
logique,0.757586,1.880355,-0.293152
terme,-0.001564,2.088381,1.472223
trois,-0.861987,1.1306,2.454389
plan,-0.088603,1.632757,1.674002
formule,-0.583491,1.508336,-0.038546
droite,0.808771,1.180012,1.540609
$\mathbb{C}$,-0.79056,1.224938,0.985448
solution,-0.329984,2.939426,0.010822
modèle,-0.548392,1.974907,0.498959
linéaire,0.357031,2.919083,-0.89393
probabilité,0.580292,2.506065,-0.784594
série,-3.038673,0.478743,0.883712
somme,0.537431,1.316232,1.266362
mesure,-0.142932,2.261472,1.122134
carré,0.744447,1.377318,0.706589
vecteur,0.584943,3.058924,-1.06738
connexe,-0.577687,0.414454,1.220402
classe,-0.684228,0.988665,0.951782
produit,-1.005033,2.793457,0.566927
égal,0.064298,2.372512,0.162896
cercle,0.398996,0.747434,1.070269
partie,-0.407528,1.197579,2.474117
relation,-0.293239,1.282,1.308228
courbe,1.131842,2.132473,-0.476242
