word,1,2,3
un,-5.729256,-1.095195,1.917297
nombre,-4.57355,0.071938,-0.541699
$\mathbb{N}$,-4.889186,-1.04533,0.207595
deux,-4.926675,-0.623007,0.337138
fonction,-4.466641,-1.701041,-0.021011
premier,-4.355042,0.691584,0.909674
ensemble,-4.604571,-1.273673,-0.136805
point,-4.542507,-0.870815,-0.719458
théorie,-3.590425,-0.032294,1.562783
exemple,-4.413692,-1.015007,0.423015
espace,-4.170483,-1.759578,-0.892258
théorème,-2.761595,-1.015651,0.863577
problème,-3.637057,-0.858222,1.259631
valeur,-4.318553,-1.579738,0.16004
groupe,-3.630565,-0.553221,-0.404986
graphe,-2.693034,-0.607337,-1.011128
forme,-4.143454,-1.364051,-0.046355
entier,-4.573406,-0.412855,-0.851787
système,-3.202654,-1.230063,1.324288
équation,-3.496238,-0.987685,0.49521
suite,-3.861196,-0.833668,-0.28578
algorithme,-2.62275,-1.168514,1.335341
calcul,-3.562298,-0.821038,1.462199
application,-3.963178,0.280868,-0.297202
élément,-4.198919,-0.555448,-0.440334
grand,-3.502631,-0.184305,1.670493
propriété,-3.953158,-1.41828,0.025262
ordre,-3.727208,-0.32637,0.417096
variable,-3.639349,-1.353247,-0.049811
base,-3.893915,-0.604439,-0.123072
géométrie,-3.143186,-0.032091,1.070769
analyse,-3.053468,-0.156984,1.560141
loi,-2.883354,-1.517277,0.277559
définition,-3.842542,-1.322197,0.434459
réel,-4.312525,-1.65508,-0.394162
dimension,-3.974609,-0.632627,-0.684534
statistique,-2.296727,0.315541,2.494356
sommet,-3.868772,-0.003469,-1.442617
logique,-2.540304,-0.58858,1.505693
terme,-3.697897,-1.238874,0.438278
trois,-3.849155,0.168012,0.402653
plan,-3.617037,-0.972057,-0.800539
formule,-3.253604,-1.530341,0.249846
droite,-3.6926,-0.443329,-1.106182
$\mathbb{C}$,-3.846284,-0.303664,-1.071351
solution,-3.642013,-0.787594,0.174666
modèle,-2.817328,-1.202897,1.366963
linéaire,-3.477585,-1.393461,0.094359
probabilité,-3.221001,-0.983483,0.939561
série,-3.168467,-0.000886,0.256092
somme,-4.028557,-0.576315,-1.074486
mesure,-3.344105,-1.327343,0.555488
carré,-3.502813,-0.653416,-1.014858
vecteur,-3.657463,-1.670429,-0.989387
connexe,-3.251109,0.192389,0.447378
classe,-3.210401,-0.277902,0.128471
produit,-3.666181,-1.296357,-0.628884
égal,-4.235799,-0.646531,-1.328541
cercle,-3.292817,-0.266164,-0.983123
partie,-3.73658,-0.134083,0.34883
relation,-3.583852,-0.965207,-0.002675
courbe,-3.049418,-1.236117,-0.405761
différent,-3.755065,-1.041276,1.07272
complexe,-3.664118,-1.018258,-0.008592
matrice,-3.388589,-1.204903,-0.904062
domaine,-3.376133,-0.347511,1.837184
fois,-3.650741,0.008756,0.515323
type,-3.327387,-0.703249,0.118535
mot,-3.128304,-1.228252,-0.125228
algébrique,-3.329627,-0.570139,0.569356
degré,-3.368192,0.172018,-0.887197
langage,-2.543779,-1.15094,0.853509
nul,-4.082841,-1.791004,-0.885875
moins,-3.57503,-0.927231,0.720013
objet,-3.366887,-1.227097,0.58198
triangle,-2.961984,-0.352877,-1.395524
structure,-3.1809,-0.256545,-0.09602
corps,-3.310223,-0.792783,-0.102402
rapport,-3.391051,-0.604118,-0.005277
longueur,-3.629636,-0.740896,-1.061773
