word,1,2,3
un,1.857361,2.987424,-1.208315
nombre,1.963843,1.640524,-0.778034
$\mathbb{N}$,1.582388,2.206064,-1.002146
deux,1.097176,2.564907,-1.0932
fonction,1.986181,1.520735,-0.228174
premier,0.298269,2.664204,-1.328538
ensemble,1.34875,1.745259,-0.848835
point,1.167647,1.200809,-1.352108
théorie,1.659893,0.176274,0.105675
exemple,2.175057,1.134493,-0.942494
espace,1.823404,1.067287,-0.725247
théorème,1.388694,-1.756965,0.961492
problème,2.155611,1.191964,-1.106887
valeur,2.62798,1.011047,-0.7077
groupe,0.431748,1.442092,-2.029688
graphe,1.987393,-1.73249,0.72878
forme,2.231172,1.289792,-0.518835
entier,1.709378,1.247163,-0.697279
système,2.618693,0.670365,-1.380206
équation,2.080855,-1.374001,0.244142
suite,0.589094,2.31459,-1.070069
algorithme,2.226699,-1.580462,-0.599378
calcul,2.688529,-0.345228,-0.611777
application,2.442179,0.228735,-1.379741
élément,2.387609,1.173125,-0.459809
grand,0.734051,2.787421,-0.638741
propriété,1.594647,1.348284,0.184177
ordre,0.612146,2.426752,0.332251
variable,2.902182,-0.23632,-1.097182
base,1.923827,1.085619,-0.879113
géométrie,1.966651,-1.064791,0.532262
analyse,1.703907,0.381629,-0.716077
loi,1.356874,1.62735,-0.134208
définition,2.44197,0.408376,-0.515108
réel,2.051712,0.930997,-1.282126
dimension,1.959087,0.389501,-1.088183
statistique,0.165923,0.518117,-1.169285
sommet,1.308153,1.206435,0.075341
logique,2.081174,-0.190781,0.163527
terme,1.842009,1.463204,-0.464913
trois,0.849061,2.433663,-0.975883
plan,1.453826,1.761044,-0.612189
formule,1.052538,0.206953,-1.217471
droite,1.255333,1.67273,0.477757
$\mathbb{C}$,0.905117,1.07925,-0.953364
solution,2.623465,0.176122,-1.27639
modèle,1.70809,0.463574,-1.157114
linéaire,2.898541,-0.810038,-0.525796
probabilité,2.790222,-0.725516,-0.276556
série,-0.535908,1.007813,-3.031956
somme,1.247145,1.484322,0.196056
mesure,2.073196,1.105057,-0.722249
carré,1.384757,0.911272,0.3497
vecteur,2.759312,-0.935763,-0.349719
connexe,0.132465,1.173428,-0.565931
classe,0.529935,1.075107,-0.857469
produit,2.181398,0.662694,-1.724487
égal,2.110457,0.417528,-0.641929
cercle,0.587536,1.236421,0.327147
partie,1.077916,2.369612,-0.565254
relation,1.039903,1.505971,-0.599967
courbe,2.450975,-0.301359,0.375258
différent,2.29921,1.847455,-1.107184
complexe,2.217852,0.836642,-0.586204
matrice,2.221928,-1.154866,-0.182304
domaine,1.362313,1.946077,0.042889
fois,0.775615,2.156989,-1.250193
type,2.165751,0.491033,-1.184906
