word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
un,0.066594,-0.370635,0.366402,0.088738,0.071449,-0.033969,0.063973,-0.129279,0.040001,0.019041,0.068985,-0.433407,1.057433,0.568972,-0.522677,-0.401503,-0.276306,0.029372,0.031563,-0.010935,-0.010967,0.144893,0.26445,0.328479,0.555386,0.386516,-0.327426,0.128135,0.04755,-0.16676,-0.759061,0.433547,-0.06079,0.427568,0.798283,-0.71691,-0.016598,0.553082,-2.088815,-0.165874
nombre,-0.599543,0.314725,0.44178,0.739344,0.100331,0.125172,0.252806,-0.528606,-1.282699,-0.054894,0.751272,-0.133623,1.659241,0.630864,-0.327899,0.413137,0.4215,0.149926,-0.031675,0.439272,1.059496,0.910333,0.737142,0.614154,1.257892,-0.187225,0.330632,0.345712,-0.03799,-0.160795,-0.703164,0.540529,0.039142,0.722713,0.285807,-0.558012,0.113832,0.459473,-1.370456,0.017531
$\mathbb{N}$,-0.46165,0.60871,0.402884,-0.008938,0.229408,-0.385798,0.323147,-0.779813,-0.590884,-0.039128,-0.092806,-0.047904,0.881435,0.497016,-0.440048,-0.040052,-0.043013,0.35338,-0.169212,-0.03057,-0.387801,0.781637,0.460196,0.371611,0.268398,-0.125463,-0.314934,0.230666,0.067982,0.027879,-0.507104,0.66534,-0.363676,0.403397,0.341496,-0.423323,-0.283274,0.05938,-1.973573,-0.262108
deux,-0.80323,-0.205755,0.687678,-0.166697,-0.148167,0.027582,0.397322,-0.74613,-0.145446,0.005197,0.283204,-0.331235,0.623668,0.460415,0.021698,-0.542688,-0.135049,0.332773,0.265844,-0.574157,-0.050984,-0.045953,0.455248,0.31606,0.835151,0.811664,-0.048267,0.195303,0.203241,0.040024,-0.910037,0.27568,0.325211,0.083681,0.724826,-0.518631,-0.36124,0.590904,-1.826147,0.083242
fonction,0.398342,0.257858,0.735756,0.257314,-0.747205,0.47034,-0.149859,-0.576624,-0.847892,-0.517558,0.406864,0.895193,1.91714,0.842996,-0.062111,0.234648,-0.356793,0.24404,0.365252,0.41157,-0.089399,0.096423,0.847614,-0.742663,0.510604,-0.703964,0.262159,-0.300429,0.767468,0.589117,0.165476,0.65472,0.284372,0.318528,0.920277,-1.348397,-0.421507,0.481303,-1.570694,-0.249054
premier,-0.557113,-0.26707,-0.133859,-0.56729,-0.233858,0.112492,0.310259,-0.831954,-0.392854,0.077845,-0.025391,-0.111805,0.424352,0.851305,0.045748,0.051692,0.045413,0.489144,0.393592,-0.48285,0.450078,-0.203115,-0.003004,0.543902,0.379261,0.53282,-0.323972,0.152527,0.084025,0.39982,-0.621421,-0.376049,0.886849,0.562887,0.376602,0.150014,-0.184047,0.139095,-1.909868,0.137227
ensemble,-0.044634,-0.308806,0.539005,0.1635,-0.198414,0.970036,1.100724,-0.364397,-0.290613,-0.537285,0.305121,0.106489,0.481895,0.315076,-0.325714,-0.5007,-0.415828,-0.094719,0.109186,0.038111,-0.149703,0.292691,0.722825,-0.394153,0.738217,0.27037,0.289169,0.468499,0.030996,0.212901,-0.118676,0.847437,0.104039,0.888461,0.666293,-0.278214,0.072579,0.913347,-1.477256,0.247283
point,-1.255503,-0.097354,0.155303,1.080411,0.617331,0.257877,0.28047,-1.187433,-0.330464,-0.328799,-0.414153,0.062084,0.854726,-0.280187,0.435968,-0.079923,0.942899,0.390565,-0.137484,0.24781,-0.329845,0.271538,0.482845,0.96056,1.32748,-0.140142,-0.022082,0.674827,0.450176,-0.412612,-0.538262,0.33696,0.09949,0.58213,0.475222,-0.0773,-0.643884,0.23582,-1.278271,-0.311755
théorie,-0.136727,-0.614477,-0.695667,0.870762,-0.382095,0.221618,0.257801,-0.071084,-0.432827,-0.540499,-0.982301,1.347695,2.197743,-0.168423,-0.704586,1.438895,0.80395,-0.273108,0.037445,0.230917,-0.559895,0.945192,1.475243,-1.006806,-0.753409,0.119232,-0.411438,0.126999,0.075704,-0.449491,0.257132,0.01384,-0.283982,1.04593,1.461747,0.19377,-0.141838,0.81479,-0.828679,-0.3621
exemple,-0.047859,0.160006,0.14631,0.386935,-0.041583,-0.046663,0.047183,-0.164053,-0.179164,-0.477455,0.313804,0.247353,1.769186,-0.064576,-0.895822,-0.246466,-0.222338,-0.210239,-0.302788,0.173166,-0.279971,0.387502,0.520764,-0.105714,-0.178229,-0.573345,0.035422,0.382521,0.114116,-0.180395,-0.48848,0.827858,-0.347203,0.83901,0.260071,-0.513512,0.412394,0.481439,-1.72664,0.119017
