word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
un,-0.286047,-0.400838,0.435623,0.012463,-0.113683,-0.554244,-0.046304,0.29274,0.142739,0.577379,-0.190567,-0.339363,0.632089,0.917492,0.113835,0.257685,-0.17688,-2.035352,-0.11282,-0.208242,-0.041417,-0.448703,-0.126159,0.113563,0.252067,-0.446511,0.131682,-0.700981,-0.200568,-0.128257,0.240698,-0.27402,0.205093,0.629021,-0.355024,-0.258825,-0.075567,0.795017,0.067582,0.703189
nombre,-0.69131,-0.271666,0.700442,0.47343,0.147556,-0.599558,-0.41506,0.335385,-0.449301,0.467202,-0.729794,0.192744,-0.164278,0.216481,0.235596,0.760029,-0.563534,-2.376484,0.427639,-0.607515,0.736121,-0.531724,-0.699255,0.105191,-0.006173,-0.561181,-0.308279,-0.471821,-0.167192,0.62048,-0.088236,-0.61993,0.584421,0.216888,0.103457,0.180765,-0.286211,-0.072422,-0.398972,0.455946
$\mathbb{N}$,-0.540652,-0.030513,0.144359,0.434957,-0.217887,-0.60671,-0.519694,0.87101,-0.215571,0.686675,-0.121646,-0.112632,0.443625,0.092467,-0.396822,0.303161,-0.477418,-1.421886,0.214423,0.115633,0.189511,-0.584314,-0.242292,0.04228,0.074205,-0.215385,-0.081632,0.011028,-0.363636,0.338578,0.32596,-0.66288,0.379662,1.116796,0.109893,0.217864,-0.262252,0.839746,0.060216,0.729507
deux,-0.865592,-0.383516,0.647156,-0.181953,0.126765,-0.676137,-0.463245,0.485352,0.353851,1.105791,-0.850157,0.115195,0.920655,0.511101,-0.107205,0.027103,-0.29951,-1.407573,-9.9e-05,-0.075781,0.162668,-0.609031,-0.437903,-0.042578,0.479038,-0.282765,0.065429,-0.14642,0.066247,-0.623232,0.014374,-0.173088,0.281724,0.359108,-0.633426,-0.38464,-0.006397,0.389734,0.263752,0.840649
fonction,-0.074255,0.100347,-0.237293,0.426422,0.321162,0.081426,-0.483929,-0.25396,0.190387,0.684068,-0.021706,-0.726908,0.092629,-0.149296,-0.277821,0.135854,-0.268296,-2.307282,-0.535469,-0.592549,1.133439,-0.80231,-0.771754,-0.784249,0.303559,0.093887,0.507055,-0.569496,0.498535,0.143049,0.828043,-0.175678,0.719113,-0.309031,0.031315,0.366691,-0.36952,0.997971,-0.010444,0.652043
premier,-0.637681,-0.402658,0.168038,-0.46583,0.442324,-0.583743,-0.209046,0.534307,0.207458,1.152155,-1.415447,-0.152201,0.254759,1.14221,-0.300267,0.126117,-0.446986,-0.616619,-0.02932,-0.286759,-0.152789,-0.223831,-0.603501,-0.127606,0.110886,0.251682,0.159348,-0.248706,-0.399859,0.001216,0.46029,-0.092084,0.318401,0.254663,-0.873252,0.122806,-0.14407,0.552782,0.078363,0.479963
ensemble,-0.144453,-0.179194,0.210937,-0.265428,0.137859,-0.647489,-0.392157,-0.109321,0.451846,0.14909,-0.155722,0.39926,-0.060417,0.771645,0.088154,-0.38163,0.265691,-1.697244,0.282766,-0.359659,0.582853,-0.531298,-0.379093,-0.136781,0.390896,-0.79419,-0.140226,-0.32109,0.333175,-0.045857,0.053429,0.020422,0.354096,0.223343,-0.46448,-0.286533,-0.192149,1.145615,0.699645,0.335357
point,-0.131352,0.113957,0.490968,0.140226,0.13563,-1.043298,-0.432099,0.419303,-0.48754,1.284255,-0.573907,0.6084,0.102707,0.225311,0.182624,0.779243,-0.82137,-1.49714,-0.536641,-0.199886,-0.087591,-1.184332,-0.011495,0.636735,-0.677421,-0.003762,-1.067326,0.663621,-0.289825,-0.356185,-0.343482,-0.027728,0.707886,0.369202,0.017389,-0.092202,-0.103726,-0.090041,0.467763,0.08026
théorie,0.507556,-0.237356,-0.298256,0.301661,-0.529528,-0.245939,0.635073,-0.215802,0.316573,0.069427,0.398507,-0.109541,0.622707,-0.39828,1.08168,0.769055,0.337613,-1.360153,-1.347748,-0.46255,0.382368,-1.178805,-0.857845,0.163305,-0.86616,0.589508,-0.298652,0.299394,-0.532094,1.339924,0.449162,-1.004925,-0.389307,0.106934,-0.436152,1.781786,0.325714,1.160619,1.051418,-0.162219
exemple,0.606293,0.205504,0.003612,0.050518,-0.208483,-0.771956,-0.198894,0.683579,0.337699,-0.052461,0.445914,-0.117895,0.741107,0.00281,0.02027,0.442412,-0.396746,-2.20589,-0.154582,-0.086497,0.07027,-0.227639,-0.582739,0.121117,0.043946,-0.451133,0.076531,-0.479947,0.080828,0.749502,0.598566,-0.503663,0.335184,0.507433,0.250513,0.04889,-0.233907,0.745502,0.318226,0.555406
