word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
un,1.195205,-0.716794,-0.533818,-0.594058,0.057234,-0.113955,-0.369643,-0.103401,0.231428,0.22415,-0.094445,-0.492955,-0.05555,-1.066104,0.548265,-0.138153,-0.288554,0.576475,-0.415404,0.112787,0.65294,-0.262229,-0.200749,-0.45276,-0.311311,0.474333,0.034711,-0.333434,-1.39025,-0.83708,-0.365511,0.692791,-0.404832,0.362268,0.022477,-0.202071,-0.165239,0.484716,-0.340558,-0.209198,-0.069308
nombre,0.919471,-0.310982,-0.454526,-1.065265,0.337389,0.057694,-0.53219,0.666961,-0.118719,0.113169,-0.007846,0.123731,-0.533583,-0.626607,0.274683,0.183344,0.03623,0.396205,-0.153191,-0.049009,1.716987,0.297555,0.760772,-1.212096,-0.034741,1.572391,-0.528523,-0.855721,-0.845713,-0.690284,0.180764,0.589726,-0.239418,-0.172157,-0.511843,0.880998,0.23489,0.45133,-0.450862,0.004624,0.590139
$\mathbb{N}$,0.741338,-0.573686,-0.236212,-0.844115,0.284558,0.288328,-0.686368,0.547843,0.138252,-0.572427,-0.126587,-0.276733,0.46045,-0.794298,0.299056,0.199946,-0.056095,0.661431,-0.49364,-0.131917,1.297821,-0.275468,-0.018882,-0.622633,0.334471,0.448506,0.08848,-0.553423,-1.113615,-0.519346,0.275692,0.272617,-0.540456,-0.17177,-0.067392,-0.300422,0.056728,0.111119,0.060641,-0.30112,-0.46253
deux,1.012234,-0.066691,-0.294382,-1.050893,0.075054,0.511875,-0.109992,0.141447,0.048235,-0.057181,-0.005538,-0.555005,-0.25586,-0.776635,0.354402,0.454007,-0.329072,0.103034,-0.371227,-0.028669,0.906137,-0.451583,-0.527414,-0.069901,-0.482803,0.235445,-0.407076,-0.711326,-1.720093,-0.972818,-0.131319,0.45759,-0.096341,-0.030335,0.006,0.039471,0.148566,0.896278,-0.030733,-0.0393,-0.075688
fonction,1.487503,-0.587867,0.050619,-0.600059,0.590211,0.645492,-0.80036,0.71717,0.749899,0.108862,-0.093149,-0.333654,0.618947,-1.038678,0.565706,-0.262742,0.08485,-0.186012,0.686564,-1.209679,0.529365,-0.84642,0.153741,-1.451624,-0.198013,0.930531,0.22965,-1.238696,-0.474764,-0.503228,-0.763885,0.250875,-0.221836,-0.58413,-0.57856,-0.499761,0.575348,-0.174215,-0.564415,0.73816,0.318041
premier,1.374389,0.300015,-0.108981,-0.771599,-0.131914,0.471045,-0.17984,-0.219233,-0.451833,-0.260676,-0.384478,-0.235484,-0.004851,-0.147813,-0.041798,0.157341,-0.371261,0.207071,0.142628,0.31606,0.857017,0.248423,-0.057057,-0.053238,0.345153,0.385492,-0.079194,-0.381695,-1.719728,-0.244306,-0.697013,0.230085,0.010651,0.049902,0.083721,-0.039911,0.395305,0.807029,0.421423,-0.008213,-0.025137
ensemble,1.15408,-0.118095,-0.170371,-0.456387,0.350449,-0.301861,-0.292015,0.050437,0.783728,0.474935,0.030888,-0.252117,-0.483702,-1.00214,-0.200998,0.353015,0.399687,-0.634702,0.027998,-0.580776,0.74625,-0.497204,-0.351916,-0.733317,0.388392,0.24932,-0.140254,-0.557023,-1.140894,-0.999088,0.012077,0.519432,-0.268369,-0.016602,0.090207,-0.102659,-0.05447,0.183069,-0.237681,0.151108,0.000403
point,1.352388,-0.101244,0.210759,-0.626993,-0.33,0.136418,0.248143,1.037925,0.00952,-0.500062,-0.331007,0.330604,-0.625772,-0.076464,0.748266,1.140772,0.238585,0.599275,-0.722123,0.225732,1.369911,-0.046282,-0.498161,-0.628504,-0.074045,0.712207,0.063534,-1.127016,-0.858901,-0.211535,0.929722,-0.045331,0.2266,-0.541223,-0.565543,0.173031,-0.558413,0.850149,-0.672064,-0.045332,-0.008984
théorie,1.027929,-1.095025,-0.326811,-1.002765,0.032989,-0.814779,0.119916,1.057707,0.537013,-0.246759,-0.250892,-0.819051,-0.159966,-1.852725,-0.667618,0.442412,0.75485,0.444857,0.472203,0.201006,1.013562,0.187181,0.309367,-0.688135,0.950081,0.457174,1.496845,-1.172573,0.349087,0.750706,-0.88101,-0.327784,0.876444,0.140629,-0.285228,-0.483434,-0.715695,-1.00887,-0.497879,0.830135,-0.258329
exemple,1.16507,-1.198176,-0.211321,-0.415195,0.575567,-0.128413,-0.253964,0.080251,0.261546,0.176136,0.182502,-0.551747,-0.162734,-1.043381,0.647854,-0.187239,0.082614,0.249903,-0.189496,0.088157,1.206935,-0.457351,0.143895,-0.868184,0.616729,0.580703,0.265388,-0.384252,-0.234786,-0.487638,-0.011559,0.263694,-0.493136,-0.400058,0.262947,-0.310772,0.050708,-0.419229,-0.64086,-0.293725,-0.328659
