word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
un,0.381074,1.261076,-0.231688,-0.070649,-0.685581,-0.012562,-0.306786,-0.900395,0.327503,-1.225731,-1.071342,0.518281,0.99363,0.730117,-1.241427,0.177894,0.803559,2.444489,-0.08015,-0.536544,1.827053,-0.695725,-0.886422,0.258344,0.082234,-0.046475,-1.995163,0.359113,-0.821936,0.92143,-0.347578,-1.579275,0.38959,0.513831,-0.751901,-2.116055,-0.528988,0.329689,-0.349777,-0.124846,0.247795
nombre,1.117188,1.326077,1.234807,-0.30604,0.740784,1.611243,-0.224703,-0.811515,0.341277,-0.778438,-1.561786,0.326176,2.185199,0.921599,-1.844932,0.730382,0.924645,0.428922,-0.377708,-0.074575,1.372366,-0.874532,-1.116805,-1.418024,-0.868003,-0.962242,-2.589996,-1.105493,0.572735,0.237864,-0.562021,-0.872994,0.275019,-1.194742,-0.334418,-0.898806,-1.142912,0.684118,-0.226282,-1.297614,0.818157
$\mathbb{N}$,0.618049,1.164096,0.866034,-0.743552,-0.527068,1.066001,0.735597,-0.179117,0.755179,-0.967166,-0.995602,-0.309018,0.152267,0.394912,-1.669244,0.498176,0.310403,1.181363,-0.284448,0.135019,0.385738,0.102864,-0.789459,0.087715,-1.250897,-0.251596,-2.41218,-0.316386,0.292557,0.514527,-1.457148,-0.474085,0.108296,-0.173592,-1.134544,-1.597708,-0.700441,0.060854,-0.139219,-0.006022,-0.115837
deux,0.217453,0.022778,-0.922668,0.07666,-0.590306,0.511474,0.281177,-0.542745,0.153033,-0.728485,-0.912587,0.80688,0.398583,0.515213,-1.917232,-0.224031,1.360971,1.591508,0.154367,-0.194241,1.817982,-0.467435,-1.302708,-0.562085,-0.441881,-0.803393,-1.70449,0.528503,0.445068,1.089082,-0.27674,-0.988789,-0.254242,-0.349828,-0.958981,-1.937913,-0.945872,0.077736,-0.179178,0.052677,0.096779
fonction,1.717439,1.094865,-0.197318,-0.550926,0.50148,1.52362,1.155321,0.579366,0.424841,0.314637,0.025329,-1.106557,0.485796,0.064766,-1.419404,-0.524765,1.00597,1.425568,-0.091723,0.655955,1.371075,-0.780932,-0.219195,-0.423025,-0.382885,-0.730485,-2.624351,0.654357,-1.407102,-0.051812,-0.141882,-1.30185,0.371228,0.542203,-0.280012,-1.856373,0.971268,0.204528,-0.136659,-0.383009,0.188315
premier,0.39009,1.528074,0.642281,-0.520718,0.400062,0.799846,0.010828,-0.144028,-0.216078,-0.652011,-1.009991,0.27856,1.764274,0.704555,-0.937286,0.493039,1.028243,0.993647,-0.704847,0.156397,1.649922,-0.803498,-0.92439,-0.585979,-0.685036,-0.569472,-1.923631,-0.541327,-0.13472,0.517885,0.114482,-0.70044,0.234086,-1.293871,-1.761336,-1.183506,-1.430097,0.652583,-0.212089,-0.448562,0.03161
ensemble,0.114043,1.185876,-0.450565,-0.218565,-0.451504,0.752224,0.483425,-0.335231,1.173641,-1.05671,-0.726326,-0.727208,-0.854142,-0.28695,-1.210024,0.23345,1.531717,0.63334,0.464291,-0.804314,1.889823,-0.11738,-0.732875,-0.895916,-0.039707,-0.481378,-2.485541,-0.029069,-0.540483,0.258846,-1.955129,-0.988825,0.250767,0.149361,-0.337636,-1.420567,-0.795092,0.944278,0.469338,0.531731,0.048929
point,1.030274,-0.61331,0.006853,-0.281613,-0.921181,1.141877,0.654173,0.026412,0.125976,-0.848357,-0.840109,0.345994,-0.212809,0.375805,-2.492422,-0.333191,1.244028,1.048873,-0.395164,0.910286,1.423777,-0.399969,-1.640864,-0.179282,0.405689,0.470101,-1.782171,0.501187,-0.22368,0.919793,-1.506456,-1.641805,-1.150603,0.094371,-0.802042,-0.580518,-0.519776,-0.517432,0.509982,0.359376,-0.682065
théorie,-0.065307,0.980164,0.806073,-0.681849,-1.120244,0.763055,0.46065,-1.674364,0.722097,-1.990447,-1.397332,-1.062295,1.222421,0.174956,0.450769,0.115791,1.672447,0.727635,0.11135,0.062335,1.525239,-0.935323,-0.529906,-0.585506,0.110796,-0.589609,-1.815619,-0.387424,-1.336791,-0.244623,0.034201,-0.81479,0.701776,0.444571,-0.856098,-0.553099,0.427593,0.342047,0.673347,0.997457,0.612538
exemple,0.489824,1.073819,0.698919,-0.41313,-0.982824,0.283968,0.445089,-0.257362,-0.025222,-0.558283,-1.020927,-0.046019,0.780283,0.553181,-1.264845,-0.074571,0.206323,1.370344,-0.052352,0.043356,1.026199,-0.089059,-1.020183,-0.5515,-0.157559,-0.55959,-2.139702,0.141862,-0.172782,0.597238,-0.752799,-0.910756,-0.010458,0.395973,-0.278941,-1.764843,0.050542,0.288817,-0.039034,0.020212,0.002819
espace,0.611799,1.481365,-1.163896,-0.06021,-0.268697,0.092403,1.153942,0.013957,1.488158,-1.022783,-0.262862,-0.289174,0.048697,-0.598986,-1.235349,-0.289221,0.35002,1.436164,-0.313904,0.522486,1.041414,-0.431249,-1.800345,-1.016936,0.300266,-1.277819,-1.511321,-0.331706,-0.481483,0.440819,-2.001374,-1.442325,0.307307,1.963171,-0.795785,-1.324831,0.191785,-0.549368,0.608802,1.109488,0.458696
théorème,1.152226,0.19081,1.589016,0.333224,-0.575757,0.908081,0.151492,-0.98292,0.369369,-0.867588,0.419192,-0.72574,0.96664,-0.28236,-0.581847,0.302527,1.467716,1.416941,-0.73553,-0.71675,0.342917,-1.048026,-1.620446,-1.509886,0.778,-0.891393,-1.806591,-0.231574,-1.180747,-0.878487,-0.09331,-0.886693,0.285572,-0.084817,-1.223088,-1.908658,0.375696,-0.337657,1.43547,0.933831,0.149798
problème,-0.514891,-0.09901,0.764538,-0.432413,-1.038412,0.307398,-0.401677,-0.60967,0.584735,-1.289582,-1.289407,0.11349,1.246338,-0.422809,-1.057343,0.202831,1.125157,1.378731,-0.201908,0.29704,0.750568,-1.450409,-0.971176,-0.989548,-0.039161,0.67943,-2.170053,-0.774147,-0.821744,-0.025411,-0.077512,-0.649966,0.722335,0.171525,1.441253,-1.921369,0.012654,0.555506,0.516132,0.740016,-1.109045
valeur,1.244618,0.759371,0.259292,-1.266341,-0.342147,0.899555,0.666641,0.083095,0.414579,-0.197815,-0.774778,-0.272177,-0.074218,0.843707,-2.55732,0.442728,0.380389,1.771897,0.483051,0.631536,1.431912,-0.264476,-0.232303,-0.188965,0.352926,-0.524816,-2.233364,0.559737,0.519321,0.12952,-0.660262,-0.634376,-0.396479,-0.206683,0.215151,-1.247472,0.29928,0.652709,-0.288999,0.067723,0.342367
groupe,0.550136,1.180677,-0.619399,-0.279995,-0.2526,0.355681,0.608873,-2.165162,1.456865,-1.295077,-0.246329,-0.094268,1.209469,-0.345091,0.485336,-0.186911,-0.173129,0.826474,0.330136,-0.101833,1.605944,0.523675,-1.065617,-1.115473,-0.356101,-0.381337,-1.669923,-0.018343,0.211906,0.703368,-0.647465,-1.038083,-0.640487,1.230355,-1.708481,-1.496704,0.063525,-0.470469,1.299903,-1.031864,-0.726411
graphe,-1.784291,-0.444708,0.657423,-0.551431,-0.542231,0.791881,-0.969746,-1.355392,2.049814,-1.807578,-0.349306,-0.342516,1.179798,-0.602505,-1.102189,-0.174597,1.407278,-0.24802,-0.063137,-1.232619,0.08866,0.347267,-1.954484,-0.708427,-0.30471,-0.427947,-1.81535,0.55919,-0.119846,-0.598509,-0.530343,-1.470299,-1.360395,0.503539,0.362995,-2.613725,0.249446,0.060739,0.042634,-0.783408,1.414226
forme,0.747567,0.892392,0.215367,0.035395,-0.799193,-0.083028,0.552651,-0.091555,-0.162978,-0.541481,-0.474694,-0.004359,1.080341,0.154341,-1.166617,0.476046,0.414307,1.311707,0.30995,0.368116,1.037006,-0.729574,-0.760506,0.149193,-0.461659,-1.678151,-1.43357,-0.317623,-0.567764,0.772103,-0.761622,-1.787673,0.320156,0.60257,-0.200703,-1.826571,0.498896,-0.118561,-0.221182,-0.35847,-0.600016
entier,0.896903,1.596162,0.780268,0.267848,0.365863,1.797048,0.182641,-0.150606,0.624238,0.11921,-0.943956,-0.398747,0.850464,0.794189,-1.893935,0.559644,0.548224,0.2734,0.304213,-0.041108,1.352759,-0.544407,-0.529586,-1.218502,-0.515665,-1.07922,-2.304812,-0.482377,0.422219,0.343203,-1.238085,-0.720234,0.1491,-0.920612,-0.666035,-0.977715,-0.780955,0.268197,0.05487,-0.750875,-0.86687
système,0.155851,0.803633,1.058693,-0.329888,-1.27396,-0.051623,1.082515,-0.633163,1.218391,0.037897,-2.145105,0.220771,0.529281,1.204936,-0.067132,0.577845,0.659237,0.842045,-0.148847,0.134424,0.577536,-0.247829,-0.347867,-0.73807,-1.043277,0.149433,-1.372595,0.647688,-1.221798,0.726124,-0.344725,-1.207823,-0.556791,1.085166,-0.191108,-1.405594,0.087342,1.08324,0.101567,0.542876,-0.521681
équation,0.690734,0.078839,0.821481,-0.299485,-0.537818,0.488589,0.884022,0.548652,0.531023,-0.355537,-0.602149,0.764044,1.431775,-0.663144,-0.76642,0.742685,1.418446,1.092643,0.757943,1.610821,0.946319,-1.422967,-1.164232,0.287122,-0.884741,-0.118937,-2.337933,-0.005132,-1.120728,0.759806,0.315553,-0.975182,-0.096156,0.454974,-0.493011,-1.256421,0.726245,-0.501841,0.10898,0.476063,-1.664754
suite,1.471487,1.88178,0.46336,-0.010469,0.090615,0.796011,0.100206,0.459783,0.759725,-0.722813,-0.022364,-1.050511,1.169239,0.277529,-1.338051,0.065464,0.281631,0.12568,0.167337,-0.690633,0.864933,-0.923945,-0.589283,-0.066754,-0.241908,-0.827598,-2.039124,1.249573,0.050736,-0.047296,-1.016255,-0.416394,-0.052039,-0.523911,-0.40564,-1.657558,-0.931355,0.6554,-0.452652,0.066947,-0.035163
algorithme,-0.243461,1.008283,0.729873,-0.96601,-0.620035,0.06016,-0.112287,-0.221323,-0.429807,-0.819991,-0.273765,-0.754047,0.96414,1.294751,-1.55041,0.126152,0.750732,0.112174,-0.429812,-0.27885,0.769385,-0.105613,-0.407806,-1.558778,-0.421736,1.146429,-3.069271,-0.026359,-0.997118,-0.077555,0.055538,-0.734432,0.189321,0.284694,2.276693,-1.097799,-0.854876,-1.073251,-0.521778,0.805478,-0.237184
calcul,0.178796,1.238589,0.539112,-0.959812,-1.035643,0.01653,0.282215,0.511406,0.376397,-0.138189,-1.099729,-0.646617,1.553519,1.762455,-1.057876,0.472548,1.579021,1.065069,0.478284,0.379998,1.050443,-0.66602,0.152393,-0.406249,-0.467267,0.373174,-1.456555,-0.146708,-0.212024,0.10053,0.361229,-0.568628,0.172313,0.075261,-0.06249,-1.251709,0.604006,0.558639,0.406904,1.200164,-0.448115
application,0.759305,1.067226,-0.255963,0.441691,-0.349331,0.150472,0.526054,-0.103038,0.580465,-1.117586,-1.348662,-1.40836,0.752333,-0.269779,-0.848727,-1.191094,0.76771,1.342804,0.093845,0.68532,1.371654,-0.120909,-0.16591,-0.45636,-0.065609,-0.52098,-1.322472,0.552454,-0.823745,0.122945,-0.917961,-0.947286,-0.028366,1.608931,-0.197904,-0.893441,-0.157802,-0.451568,-0.10442,0.270753,-1.114872
élément,0.766121,1.423289,-0.647443,-0.709268,-0.441389,0.809398,0.588583,-0.018459,0.081315,-1.256051,-0.109205,-0.02299,0.315241,0.298975,-1.499312,0.957988,0.766656,0.615078,0.593938,-0.887784,1.261755,0.801087,-0.70325,-0.39716,-0.574408,-0.433649,-1.648738,-0.242263,0.657633,0.707539,-1.404102,-0.471518,-0.230899,0.50999,-0.512443,-0.931332,-0.841425,0.434246,0.850768,-0.157178,-0.803788
grand,0.402541,1.128944,0.16325,-0.563137,0.279751,0.562787,-0.471874,-0.72336,0.468727,-0.771777,-1.130476,0.206384,1.510511,0.317183,-1.736074,0.409101,0.29237,0.970879,-0.820887,-0.125661,0.365608,0.203615,-0.063566,0.732998,0.22634,0.378162,-1.676513,-0.22512,0.159444,1.081653,-0.693045,-0.859535,-0.137407,-0.80266,-0.550668,-1.192926,-0.828722,0.259695,0.546815,1.299328,0.398837
propriété,0.553229,0.565271,0.196022,0.329399,-0.357018,0.413047,0.241946,0.047178,0.720602,-1.191195,-0.586166,-0.330757,0.531618,0.037248,-1.078561,-0.383716,0.755152,1.012034,0.032163,-0.811785,0.352064,0.207229,-0.937556,-0.21676,0.236601,-0.621497,-2.370679,-0.689399,0.057568,-0.182494,-0.823713,-0.969748,-0.64198,0.537289,-1.120564,-1.810194,0.719052,0.35963,-0.032467,0.888103,-0.210265
ordre,0.880128,1.778385,0.809738,-0.390022,0.323792,0.814157,0.320603,-0.50137,0.764337,-0.375253,-0.411394,0.508036,0.978142,-0.642437,-0.713375,0.17885,1.57562,0.952829,0.509946,-0.408558,0.74945,0.948226,-0.864744,0.610833,-1.315852,-0.142808,-1.932585,-0.386848,0.778961,-0.550102,-1.059043,-1.589657,-0.681741,-0.069651,-0.373279,-1.649561,0.029167,0.589642,-0.231171,0.240206,0.076827
variable,1.653187,0.279095,-0.261856,-1.240816,-1.020912,-0.091441,1.737303,0.282188,0.281625,0.007095,-0.604345,-0.856329,-0.310188,-0.501971,-1.231377,0.128606,1.519124,1.524696,0.683246,0.285335,1.494509,-0.700704,-0.385946,-0.11866,-0.117917,-1.081946,-2.673835,0.3798,0.447942,0.717781,0.151414,-0.140691,-0.60212,0.155762,0.143339,-0.245619,0.145331,0.54451,-0.986926,-0.363433,0.137647
base,0.170034,1.131142,-0.069745,-0.44608,-0.191297,-0.842153,0.418005,0.233504,1.02522,-0.0788,-1.160557,-0.081828,0.711945,1.220806,-1.590115,0.343971,0.707964,0.878463,-0.446941,-0.097181,0.801995,0.071495,-0.335187,-1.885036,-0.509317,-1.019034,-1.228959,-0.151959,-0.456623,0.973178,-1.151549,-1.076029,-0.038454,0.629554,-1.045187,-1.018142,-0.071523,0.28119,0.35481,-0.207421,-0.008534
géométrie,0.219301,0.513676,-0.062917,-0.122686,-0.167146,0.442305,0.58817,-0.239641,0.058688,-1.823278,-0.878745,-0.362838,1.551986,0.151283,-0.374203,-0.868022,1.593737,0.634737,-0.844791,0.107307,0.727416,-1.545599,-1.378753,-0.28502,-0.404173,-0.993585,-0.261898,-0.792083,-0.559864,1.072184,-0.037807,-2.046078,0.278989,0.565928,-0.873371,-0.415143,0.652806,-0.839033,1.625466,1.342197,-0.143589
analyse,1.306182,1.412573,0.126336,-1.101859,-0.229609,0.166476,1.29139,-0.02064,0.03887,-1.616439,-0.983275,-1.02893,1.243728,0.359689,-0.15934,-0.761543,0.957094,1.231905,-0.597365,0.086389,1.531341,-0.668265,0.359499,-0.879451,0.31737,-0.557726,-1.300577,0.077321,-1.117913,0.638424,0.992093,-1.178731,-0.191642,0.617821,0.39917,-0.496357,0.706073,-0.346248,0.243553,0.989299,-0.321215
loi,1.801432,0.757611,0.638385,0.387672,-0.480085,-0.603397,1.50273,0.038902,0.218016,-0.185202,0.103082,-0.537248,0.883203,-0.380453,-0.896263,0.235575,1.003775,1.535194,0.372436,0.348388,0.133725,-0.130742,-0.538699,-0.63354,0.595176,0.001497,-2.335145,0.183385,-0.182291,1.736959,-0.246035,0.656934,-0.140055,-0.330376,-1.499329,-1.222488,0.397798,0.787148,-0.806042,0.343988,1.760867
définition,0.448853,0.947257,-0.076087,0.061052,-0.676242,0.363477,0.537073,-0.093881,0.365263,-0.723208,-0.471621,-0.785572,0.305092,0.076228,-1.097218,-0.16806,0.610305,0.494841,0.052458,0.136702,1.358271,-0.442667,-1.07532,-0.590108,0.266305,-0.786195,-1.885617,-0.28704,-0.173002,-0.17529,-0.831517,-1.062147,-0.453979,0.373808,-0.561381,-1.64154,0.576855,0.569079,0.117162,0.889807,0.141144
réel,1.813818,0.930008,-0.304588,-0.341446,-0.281146,1.675446,0.785525,-0.093714,1.111029,-0.111219,-0.419307,-1.014425,0.086112,0.241965,-1.523661,0.308138,0.939247,1.160036,0.085174,0.061091,0.944418,-0.788518,-0.472588,-0.373735,-0.238569,-1.016643,-1.714549,-0.274027,-0.065368,1.055891,-1.352429,-1.231735,0.021485,0.226155,-0.238468,-0.719613,0.582803,-0.229192,0.143687,0.261664,-0.354733
