word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
un,0.791114,0.14199,0.289441,0.035252,0.302208,-0.052833,-0.118595,-0.438121,-0.306183,-0.260767,-0.23357,0.448208,0.139184,-0.447052,0.010414,-0.795833,0.086226,0.128016,-0.298651,-0.34254,-0.107481,-0.531132,-0.203986,0.506499,-0.067781,-0.084616,-0.004859,0.307729,0.144788,0.207076,0.151367,0.172393,0.067862,-0.461603,-0.796247,-0.401723,-2.089113,-0.28262,-0.388291,-0.888593,0.312304
nombre,0.980519,-0.311013,0.243295,-0.391001,-0.518573,0.155867,-0.416162,-0.891315,-0.758197,-0.034486,-0.267679,-0.113422,-0.439836,-0.542227,0.198022,-0.035576,0.432436,-0.230749,-0.32644,-0.508602,-0.818994,0.247743,0.095341,0.408147,-0.460908,0.524947,0.083097,-0.457519,0.125766,0.541372,0.709585,0.21882,-0.120979,-0.480019,-0.984933,0.323192,-1.860646,-0.511844,-0.630673,-0.930321,0.544338
$\mathbb{N}$,1.096623,-0.162038,0.73493,-0.017721,0.024572,-0.163076,-0.462789,-0.456407,-0.052903,0.252396,-0.257062,0.486153,-0.049478,0.070578,0.544985,-0.199095,0.069611,-0.470494,-0.382738,0.045369,-0.217087,0.039207,-0.599609,0.452657,-0.061958,-0.220753,-0.159435,-0.073036,0.096499,0.472005,-0.09975,0.340032,0.118393,0.167446,-1.052535,0.123188,-1.496601,-0.686531,-0.628477,-0.921309,0.097409
deux,0.578582,0.248434,0.236563,-0.545312,0.293471,-0.436687,0.260296,-0.615637,-0.382677,0.376838,-0.023504,0.52579,-0.075832,-0.061911,0.283633,-0.369195,-0.49899,-0.22095,-0.453777,-0.59353,-0.116187,-0.973289,-0.05128,0.110895,-0.053853,0.353754,-0.012801,0.514141,0.266582,0.200893,0.14888,0.211533,0.176032,-0.194314,-0.800437,-0.237258,-1.913408,-0.511322,0.138155,-1.277579,0.200367
fonction,0.978398,-0.828288,0.389998,-0.145365,-0.22515,-0.164627,-0.276643,-0.762565,-0.204518,-0.357013,-0.342662,-0.355875,-0.562767,0.055356,-0.521281,0.443238,-0.036699,0.020989,-1.010399,-0.054542,-0.539845,0.162415,-0.59636,0.251717,0.574481,-0.056316,0.099676,0.403465,0.108327,0.600409,-0.847888,0.294016,-0.472357,-0.514786,0.39015,-0.569798,-2.566433,-0.139684,-0.402059,-0.340672,0.999125
premier,0.657187,-0.146046,0.366718,-0.485695,0.099546,-0.266231,0.181356,-0.160509,-0.219041,0.367926,0.495215,0.971595,0.22928,-0.253229,0.270096,-0.300421,0.042732,-0.323212,-0.60917,-0.843816,-0.671125,-0.73535,0.116221,0.240722,-0.202046,0.262555,0.186685,0.617106,0.353505,0.264438,-0.10841,0.26024,0.236686,-0.037839,-0.098053,-0.606765,-0.72256,-0.788443,-0.145481,-1.427825,0.419611
ensemble,0.743176,0.254529,0.49969,-0.448999,-0.043879,-0.013119,0.277977,-0.234361,-0.541946,0.265372,-0.633997,0.560775,-0.077416,-0.318438,0.03327,-0.440276,-0.255831,-0.358042,-0.0339,-0.557759,0.008458,0.163691,0.022316,0.626834,0.064377,0.525305,0.110092,0.486179,0.086048,0.123651,-0.17418,-0.099055,0.391347,-0.703708,-0.150954,-0.54839,-1.951469,0.268548,-0.074151,-0.094708,-0.157248
point,0.613478,-0.55502,0.839336,-0.00697,-0.583284,-0.378636,-0.175772,-0.856001,-0.711108,0.241922,0.823975,0.177012,0.297506,-0.289383,0.312622,0.137463,-0.190572,-0.681089,-0.054437,-0.673396,-0.653721,-0.37037,0.003236,0.019337,-0.332558,0.44779,-0.562393,-0.004927,0.572435,0.277869,0.851329,0.295437,-0.121555,0.949499,-1.577875,0.046719,-1.527036,0.11239,-0.06053,-0.10823,-0.554845
théorie,1.767084,-0.676928,0.982459,-0.431019,-1.020869,-0.262784,-0.442282,-0.102937,0.10519,-0.926943,1.060126,0.001627,1.37675,-0.169098,0.126039,-0.758832,-0.064667,0.75692,-0.39313,0.991555,0.05931,1.65343,-0.710994,0.053453,0.140612,-0.64645,-0.355366,0.68967,-0.536065,0.89813,-0.168726,-0.367698,0.347089,0.707829,-0.133405,-0.344825,-1.379986,0.402353,0.441443,0.096915,0.568528
exemple,0.804472,-0.102955,0.286638,-0.077849,-0.207722,-0.042299,-0.84354,0.221204,-0.101302,-0.083648,-0.598969,-0.05027,0.519587,-0.493152,-0.438937,-0.448912,0.067838,-0.086417,-0.377204,0.377893,-0.289783,0.330151,-0.270365,0.804432,-0.060955,-0.719126,-0.378844,0.222898,0.05945,0.720409,-0.141101,0.266988,0.124382,-0.411225,-0.908662,0.013758,-2.092614,0.141328,-0.634191,-0.278128,0.24952
espace,0.774087,0.404841,1.186395,-0.373947,0.65834,-0.36762,-0.240579,0.186187,0.020664,-0.489379,-0.368129,-0.020192,-0.319129,-0.222204,0.157842,-0.15809,0.061489,0.260042,0.244978,-0.237747,0.145425,0.422787,0.913195,0.252621,-0.170445,0.21094,-0.038784,0.260506,-0.088968,0.357721,0.447148,0.375052,0.119362,-0.0418,-0.242957,-1.39116,-2.652211,0.329305,-0.018309,0.873441,-0.679052
théorème,-0.985765,-0.464558,1.149966,-1.028106,-0.713506,-0.324322,-0.823311,-0.740808,-0.152353,-0.142222,0.748646,-0.576183,1.253392,-0.521118,-0.245649,0.06787,-0.69497,0.952258,-0.723513,1.694152,-0.347533,1.816021,-0.467011,-0.385701,0.60885,-0.478958,-0.163543,-0.143097,-0.295552,0.092663,-0.703392,0.301719,0.435334,1.127657,0.297438,1.129003,-1.35095,0.782766,1.185014,0.84032,0.32574
problème,1.426516,-0.535613,0.545816,0.373344,-0.70676,-0.060188,-0.173722,0.393784,0.036542,-0.573216,0.35502,-0.261259,0.391346,-0.255098,0.646902,-0.236047,0.336537,0.330438,-0.050357,0.631293,-0.110059,0.175987,-1.056419,0.333422,0.197772,-0.096547,-0.503996,-0.456269,0.710152,0.371889,-0.25371,0.020383,0.425596,0.526816,-0.508143,-0.614095,-1.643095,-0.544057,-0.60336,-0.231069,0.171383
