word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
un,0.344004,-0.876213,-0.277444,0.546989,2.004885,1.219772,-0.068114,-0.223248,0.2321,-1.799781,0.64856,0.047075,-1.442643,-1.452868,-1.253191,0.768558,-0.065918,-0.478182,0.093466,-0.099407,1.412557,2.117123,-0.664211,-0.037578,0.209873,0.71545,-1.268482,1.571879,0.664992,0.208142,1.009471,0.178946,-1.17722,-0.436755,0.957907,0.316502,0.515983,-0.397574,0.43517,-0.072502,0.586933,0.355232
nombre,0.878702,-0.755565,-0.097574,0.649008,1.986419,-0.479032,-0.178996,-0.238717,-1.524896,-0.969964,-0.478483,-0.026014,-0.933058,-1.049617,-1.271986,-0.567436,1.59934,0.158245,-0.16551,0.267679,2.117177,0.737418,-2.356089,0.108509,1.052847,0.940108,-0.063298,1.730171,0.883077,1.588676,0.675303,-0.578253,-1.730866,0.551167,0.390134,0.699747,0.372495,0.004056,-1.433877,-0.799596,0.429418,0.7649
$\mathbb{N}$,0.587556,-1.277441,-0.252374,0.666637,1.182818,0.876763,0.765708,-0.543878,-1.026097,-2.208176,0.481075,0.054386,-0.727979,-0.890932,-1.135465,0.222858,0.753885,0.540431,-0.782959,-0.261894,1.223212,0.60292,-1.332795,0.345844,0.636983,1.035303,-1.070498,0.737036,1.848377,0.704551,0.128478,-0.051696,-0.050716,0.197587,0.332049,0.178479,0.516976,0.284774,-0.367244,-0.76911,0.846787,-0.014018
deux,0.766681,-1.098771,0.074998,0.355952,1.802853,1.042385,0.132787,0.238981,-1.081583,-1.995775,0.535503,0.45245,-1.179321,-1.103492,-1.520883,0.660819,-0.335567,-0.270731,0.807098,0.369226,1.215312,1.403157,-0.597151,-0.743877,0.777075,0.81814,-0.71329,0.488587,0.212386,0.930925,0.499302,-0.033924,-0.869531,-0.313034,0.267866,-0.195312,0.833614,0.157262,-0.45356,0.162552,1.244491,0.62466
fonction,0.404933,-0.615485,-1.078182,0.254676,2.775634,-0.449951,0.665205,-0.691313,-0.625162,-2.384289,0.110197,0.117085,0.44809,0.460406,-0.647699,0.640862,-0.292489,0.345492,1.600603,0.66617,1.973362,0.555309,-1.590971,0.077763,1.296776,0.367126,-1.655117,1.542298,0.766212,0.052501,0.705006,0.810295,0.11296,-0.315602,0.04285,1.12361,-0.585582,0.391769,0.257504,0.237349,0.596425,-0.02509
premier,1.392197,-0.525057,-0.666181,0.698848,1.998309,0.458704,0.50036,-0.101133,-1.316679,-0.556858,-0.224602,-0.008258,-0.904871,-1.159046,-1.238797,-0.234741,1.281059,-0.262397,-0.292411,0.29409,1.861009,1.259643,-1.448624,-0.329057,0.510078,0.538277,-0.544934,1.29516,0.563067,0.330383,0.413184,-0.673443,-1.486227,-0.434535,0.34273,0.471023,0.784402,0.164088,-0.755325,-0.041126,0.274858,0.969139
ensemble,0.506062,-2.116864,-0.424123,-0.106939,1.902928,-0.153256,0.124329,-0.781488,-0.454145,-2.745423,1.313041,0.159964,-0.208463,-0.824664,-0.948074,0.271664,-0.241309,0.092478,0.122321,-0.627359,0.879432,0.222799,0.111932,-0.906259,0.710618,0.74854,-0.904917,1.439664,0.932838,0.689843,0.667242,-0.736732,-0.695308,0.033155,1.732886,-0.361367,-0.419094,-0.568908,-0.005316,-0.539074,0.863358,0.638897
point,0.267219,0.110112,-0.042389,0.757483,0.91655,1.003972,-0.028775,-0.088885,-1.162461,-2.38954,1.069059,1.506277,0.372477,-1.185865,-2.34696,1.60002,-1.045522,0.422714,1.18169,-0.209497,1.136265,0.750609,-0.948654,-0.535147,0.63432,-0.38321,-0.68262,0.601638,1.084681,0.973515,-0.248317,0.276754,-0.211554,0.127223,0.892144,-0.876245,0.441567,0.078971,0.127182,-0.017536,1.384122,-0.2823
théorie,1.297313,-0.675678,-0.460245,0.918725,1.989475,0.518843,0.185316,0.242559,-0.592864,-1.614761,-0.479772,0.077144,0.563326,0.416928,-0.597306,-0.018972,-0.718906,0.452162,-0.212778,-0.758085,0.944725,1.036848,-1.326758,-0.603635,-0.322883,0.134072,-0.955104,1.269098,0.271479,0.200039,1.805012,-0.869098,-0.509661,-0.235005,2.249024,0.411098,0.683438,-0.302717,0.730814,-1.14346,-0.611627,0.492164
exemple,0.513727,-0.926918,-0.319094,0.540426,1.150858,0.151916,-0.131909,-0.245969,-0.317235,-1.671171,0.547655,-0.007209,-0.301188,-0.875748,-1.242305,0.194754,-0.2516,-0.271124,-0.089949,-0.328167,1.859152,1.122077,-0.956495,0.216136,0.312515,1.220433,-1.28258,0.49761,0.949963,0.867365,0.606928,0.353098,-0.466524,0.104963,0.926912,0.442333,0.354997,0.357801,0.335437,-0.203771,0.777806,-0.095178
espace,0.034896,-1.770103,0.104233,-0.06142,2.170257,0.726907,-1.190708,0.233059,-0.100754,-2.436817,0.038118,1.817314,-0.187431,-1.129287,-0.641508,0.840121,-1.04384,0.967825,-0.316123,-0.824573,1.448119,0.458387,0.088606,-0.40513,0.387302,0.604107,-2.648604,0.544055,0.639316,0.091831,0.012058,0.237151,0.447291,0.576644,1.083011,0.502495,-0.830295,-0.052227,0.416994,-0.331476,0.848518,0.968016
théorème,1.822772,-0.814639,0.034863,1.553286,0.82169,-0.439701,0.089122,-0.191671,-0.299503,-1.637617,-1.654396,0.880405,0.187938,-0.382923,-1.354197,1.010798,-0.296618,0.382411,0.362224,0.208038,1.017332,0.02335,-2.388066,-1.046582,0.642217,0.88161,-1.616424,1.008603,0.445798,-0.650991,0.684567,-0.122221,-0.284989,0.180144,1.433781,-0.506321,0.053252,0.268941,1.840304,-0.159978,0.660206,0.271211
problème,1.134062,-0.386978,-0.184903,0.862737,1.072521,0.090538,0.904655,-0.457166,-0.502477,-1.085561,-0.104247,-1.072191,-0.848154,-1.133081,-1.570508,0.906926,-0.739701,1.059196,0.006273,-1.297507,1.952655,1.195774,-1.037974,-0.036076,-0.472511,-0.802806,-0.596371,0.244345,0.319176,0.048765,1.516461,-0.24301,-1.256168,0.09425,1.112685,-0.613765,-0.784154,0.52055,0.5674,-1.488588,0.749542,0.297488
valeur,-0.054616,-0.614919,-0.570233,0.132857,1.822681,-0.333173,0.299203,-0.3784,0.168484,-2.467116,0.743888,0.362228,-0.091069,-0.42672,-0.967699,0.745435,0.056162,0.279943,0.226673,-0.3554,1.890716,0.758511,-1.174321,0.99788,1.077967,0.607791,-0.351282,0.324211,1.260672,0.845433,0.524119,0.663367,-1.30132,-0.001044,0.262452,0.511858,0.354226,-0.558639,0.004047,0.229932,1.361356,-0.569535
groupe,0.294709,-1.350174,0.617031,-0.344539,1.250528,0.30556,-1.009479,1.125166,-0.804189,-2.104785,-0.704665,0.039693,-1.141177,-0.008716,-1.9082,0.260454,0.069986,-0.121103,-1.372794,-0.806133,0.37768,0.950948,-0.586754,-0.251315,0.620497,-0.552339,-2.603297,0.784533,0.623349,0.780232,0.47549,-0.424179,0.324299,-0.734799,1.531192,0.214816,0.629847,0.7933,-0.242759,0.108528,0.240344,0.256126
graphe,0.720507,-0.583747,0.955586,0.42545,0.93762,-1.259015,-0.481556,0.343164,-0.0094,-2.29137,-0.584587,-1.103449,-1.803757,-0.62938,-1.352086,-0.305375,-1.797483,-0.06153,-0.735221,0.275756,-0.510681,0.756389,-1.09028,-0.719964,-0.421384,0.787117,-2.081463,1.74221,0.858573,0.39667,1.856092,-0.651059,-1.4189,1.756703,-0.396005,-0.851242,0.431239,-0.020739,-0.218042,-1.685255,1.177762,0.100006
forme,0.549341,-0.395588,-0.418464,0.659455,2.005996,0.453311,0.205917,-0.317712,-0.172488,-1.686592,-0.042021,0.67662,-0.431897,-0.53294,-0.617416,0.669683,0.197593,-0.440282,-0.054411,0.00608,1.728831,1.079108,-0.532292,-0.342567,-0.153688,0.582921,-1.751883,0.457421,0.5236,0.508701,0.842688,0.265472,-0.692492,0.263769,0.518857,0.584813,0.056246,1.425323,-0.436248,-0.314513,0.633725,-0.375223
entier,0.395179,-0.953675,-0.202379,0.079132,1.48334,-0.71347,0.462361,-0.634141,-1.514261,-2.049867,0.009492,0.114061,-0.171352,-0.502431,-1.091128,0.325876,1.624081,0.06166,0.042529,0.267222,2.215861,0.329493,-1.345707,-0.252325,1.738997,0.549258,-0.806201,0.944733,1.067954,0.982189,0.019335,-0.493047,-0.925439,0.289227,0.688047,0.107153,-0.28288,0.407398,-0.822856,0.04353,0.310193,0.362539
système,1.155356,-0.454895,-1.425706,0.629362,1.027347,0.455076,-0.069189,-0.620188,-0.327672,-1.3437,0.879489,-0.861814,-0.645695,-1.013016,-1.3026,0.017933,-0.345872,-0.214344,0.175013,-1.044397,1.701814,1.222891,-0.252575,0.033667,-0.379358,-0.119064,-1.30145,0.955433,0.810497,1.520197,1.506419,0.848762,0.205497,-0.171272,0.396215,0.680258,0.214845,0.360048,0.960152,-0.234108,-0.647879,-0.483601
équation,0.876435,-0.113648,-1.580328,1.044924,1.51564,0.580084,0.242763,0.324604,-0.514687,-1.463108,0.222702,-0.063759,0.331223,-0.665481,-0.586028,0.9578,0.408405,1.154457,1.252193,-0.4739,1.697451,0.827104,-1.382891,-0.768117,-0.404596,-1.340559,-1.957277,-0.060166,0.100049,1.027991,1.116779,1.004003,-0.384617,-0.820709,0.298731,0.221082,-0.089402,1.744397,0.435923,-0.66828,0.697304,-0.830962
suite,0.502778,-1.679866,-0.497257,0.30518,1.759128,-0.253437,0.038769,-1.223524,-0.610001,-1.144682,-0.725483,-0.396215,0.664007,-0.478839,-1.076052,0.541075,0.490969,-0.541288,-0.478647,0.765495,1.563695,-0.161958,-0.778056,0.080821,1.213176,0.337513,-1.448932,1.352527,1.19059,0.948679,0.537626,-0.038643,-0.611366,-0.033394,0.043398,-0.206132,-0.46755,-0.845402,0.119996,0.592138,0.816039,-0.058697
algorithme,0.069482,0.021941,-0.854576,0.500967,1.183456,-0.725484,0.161721,-1.6609,-0.818585,-1.010021,-0.169198,-1.479754,0.086722,-0.603025,-2.012239,2.331298,0.203055,-0.161163,-0.960628,0.13032,1.072321,1.368438,-1.135101,0.837716,0.049165,0.289352,0.203093,0.466341,0.018257,-0.320939,1.633219,0.703325,-0.256464,1.0941,0.725211,-0.535873,-0.333998,-0.224868,0.212693,-1.809594,1.113883,0.789023
calcul,0.359395,-0.043326,-0.342982,1.265582,1.498037,0.41652,0.186633,-0.787712,-0.682365,-1.182204,0.086119,-0.505772,0.287593,-0.321227,-0.399815,1.229154,0.711956,-0.310727,0.318358,-0.113714,1.696484,1.781886,-1.259368,1.213423,0.008177,0.407647,-0.694569,-0.137516,0.441613,0.437172,1.966965,0.248247,-0.353458,-0.816923,0.336322,0.284762,-0.445312,0.157387,0.360371,-0.284038,-0.355023,0.342908
application,0.730043,0.205483,-0.534259,-0.071418,1.181568,0.741281,0.207191,-0.640429,-0.713153,-1.993023,-0.354045,0.736069,0.469525,-0.043002,-1.094125,0.217702,-0.572592,-0.117811,0.338803,-0.656372,1.025137,1.497036,0.258997,-0.260928,0.755772,-0.274156,-1.71585,0.617587,1.23211,0.055809,1.033203,0.847448,0.512112,-0.32175,1.19786,0.472156,-0.778516,0.159717,-0.056896,-0.310903,0.239283,0.760185
élément,0.268045,-1.429762,0.06223,0.043479,1.46115,0.633517,0.25192,-0.445184,-0.351492,-2.368274,-0.061857,0.472451,-0.089111,-0.952869,-0.864787,1.209028,0.609864,-0.758324,-0.83939,-0.913163,0.489079,0.211276,-0.277581,0.299903,0.753014,0.837591,-0.841226,0.555247,0.566439,0.940728,0.012177,-0.64619,-0.63156,-0.74685,0.946187,-0.173876,-0.109246,0.356069,-1.166888,-0.515424,0.91816,0.226274
grand,-0.529811,-1.100437,-0.450619,1.784721,0.6657,1.021319,0.963439,-0.104782,-0.338006,-0.96415,0.094162,0.037042,-0.623297,-1.032258,-0.252565,0.260214,0.42298,-0.334599,-0.032928,-0.643367,0.969384,1.012507,-1.605363,0.739241,-0.22709,-0.023872,-0.571346,1.374689,0.716804,0.20533,-0.079653,0.058084,-1.358423,0.218066,1.151043,-0.022369,0.503682,-0.945363,-0.625225,0.117421,0.633136,0.931867
propriété,0.736895,-1.113788,0.295282,1.06478,1.246296,0.050824,0.343768,-0.437529,0.163158,-1.965557,0.166393,0.455246,-0.360489,-0.276437,-0.938386,-0.239869,-0.610019,-0.428966,-0.123922,-0.315412,1.088188,-0.046703,-1.463057,-0.396279,0.599207,0.457472,-1.903598,-0.005381,0.868537,0.557708,0.769511,0.129658,-0.279665,-0.152871,1.048955,0.239535,-0.110094,0.509813,0.340056,-0.231208,0.956769,0.815765
ordre,-0.035291,-1.078049,-1.040053,0.55532,1.213745,-0.429682,0.797057,0.22052,-0.170149,-1.449961,0.547547,-0.059647,-0.605919,-0.735614,-1.048838,0.056611,0.108334,0.502886,-0.654317,-0.596593,0.055978,-0.596384,-1.065996,0.636078,0.430728,1.001763,-1.842046,1.187551,0.911959,1.055818,1.043173,0.144627,-1.254501,-0.886855,0.27447,0.344451,0.444311,0.891889,-0.257281,-0.165391,0.937384,1.212052
