word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
un,-0.601934,-0.417689,-0.22225,0.31535,0.091126,0.415935,-0.102369,0.264017,0.413402,1.37344,0.272242,0.322215,-0.17356,0.166705,-0.389854,0.014841,-0.385424,-0.229986,-0.284575,0.003819,-0.239073,0.019747,-0.311766,-0.182517,0.109758,-0.346352,-0.263535,0.543673,-0.55929,0.003319,0.138076,-1.947421,-0.139158,0.095463,-0.433895,0.177703,-0.300153,0.670231,-0.658081,0.117154,-0.018905,0.037829
nombre,-0.086495,0.195751,-0.396393,-0.080916,-1.228635,0.609761,-0.270217,0.122681,0.910913,1.084633,0.450559,0.79915,-0.286652,-0.163889,-0.006359,0.362829,-0.865458,0.123185,-0.334417,-0.199784,0.095366,-0.168284,0.15698,0.380152,0.69582,-0.440601,-0.387618,1.179248,0.754794,-0.086182,-0.348554,-1.784642,0.243637,-0.419828,-0.495677,0.099839,-0.172957,0.417777,-1.26956,0.240491,-0.088893,-0.329976
$\mathbb{N}$,-0.257154,-0.141371,-0.436985,0.27413,-0.965752,0.184973,-0.253083,0.101658,0.743303,1.254596,0.103134,0.194133,-0.253448,0.049649,-0.571614,0.556813,-0.407663,-0.142021,-0.214034,-0.164833,-0.564504,0.147296,-0.651254,-0.083022,0.074967,-0.055992,0.03186,0.599219,0.062203,0.29217,0.326491,-1.401603,0.141107,-0.54982,-0.836395,-0.321654,-0.626109,0.26496,-0.481726,-0.016989,-0.086573,0.330249
deux,-0.345498,-0.629859,-0.11838,0.124362,-0.576227,-0.461791,0.090241,-0.233916,0.370799,1.329744,0.531888,0.34886,-0.159823,0.169044,-0.739326,-0.41273,-0.412175,0.212072,0.011719,0.241579,-0.211226,0.311268,-0.272935,-0.215402,-0.284078,-0.037786,-0.271132,0.954272,-0.403526,-0.01647,-0.151631,-1.742173,0.08301,0.383238,-0.525279,0.06233,-0.027594,0.90259,-0.594561,0.00412,0.042042,0.062061
fonction,-0.68403,-0.397678,-0.040957,-0.046312,-0.319143,0.273823,-0.233729,0.334246,0.6153,0.388862,0.296095,-0.070111,-0.160258,0.298691,-0.324139,0.617261,-1.40248,-0.439166,-1.106191,-0.332984,-0.081418,0.297176,0.112797,0.561092,0.908558,-0.517858,0.357783,1.225073,-0.486381,-0.608815,0.260983,-1.742122,0.037488,0.299318,-0.690922,-0.361368,0.545367,-0.307109,-0.384064,-0.239667,1.064408,0.792374
premier,-0.563077,-0.105301,-0.475499,0.376671,-0.26611,-0.768794,0.303085,-0.294784,0.73067,0.891042,-0.075855,0.205329,-0.388556,-0.480749,-0.453046,-0.440411,-0.443797,0.256709,-0.103485,0.107248,-0.357011,0.357556,-0.344856,-0.091674,-0.31624,-0.071429,-0.754434,1.143988,-0.335263,0.377119,0.313096,-1.202491,0.32753,0.277252,0.046486,0.298304,-0.266371,0.309335,-0.108168,0.261777,0.568818,-0.489746
ensemble,-0.664313,-0.415781,0.421547,0.261948,-0.352273,0.4698,-0.47009,0.297062,0.399276,0.628547,-0.19844,0.472922,-0.495444,-0.080613,-0.109994,-0.312854,-0.391112,-0.063016,-0.158387,-0.022382,-0.166496,0.184493,0.332533,-0.200226,-0.097889,-0.303795,0.314553,0.628068,-0.799446,0.228473,-0.076712,-1.807867,0.404403,0.252152,-0.453816,-0.051343,0.600895,0.598378,-0.261157,-0.260722,-0.296879,-0.126858
point,0.26357,-0.12113,-0.07471,0.097506,-1.249341,0.583677,-0.312852,-0.947812,0.445186,1.759707,0.371647,-0.206352,0.505994,-0.0035,-0.452997,0.626285,-0.145446,-0.011806,0.772135,0.317017,-0.209636,-0.148729,0.346466,-0.087976,-0.129129,0.413402,-0.112986,1.273023,0.300128,0.028393,-0.385174,-1.194222,0.655909,-0.521262,-0.402822,0.01549,-0.138761,0.294062,-0.245612,0.115292,0.043579,-0.843196
théorie,-0.453602,0.385725,-0.26888,0.306837,-0.368992,1.569797,-0.390147,0.791071,0.775272,1.443005,0.007383,-0.363836,-0.138842,-1.230823,-0.913494,1.028471,0.134596,-0.590864,0.036015,1.100811,-0.103497,0.566176,0.032599,1.458636,0.617621,-0.799416,-0.075694,-0.30654,-0.935497,-0.411856,0.226544,-0.7291,0.160301,0.144647,0.613089,-1.606706,0.02993,-1.207637,-0.000836,-0.456287,0.317309,-0.080452
exemple,-0.392423,0.001179,-0.32492,0.292777,-0.567541,0.827786,-0.958939,0.440453,0.541946,1.282573,0.268566,-0.020939,-0.1542,0.22598,-0.185551,0.378123,-0.361128,-0.375705,-0.280612,-0.913361,-0.195963,0.254879,0.059658,-0.380984,0.597447,-0.548018,-0.079603,0.086203,-0.520556,-0.44963,0.120178,-1.426193,0.03853,0.081123,-0.225787,-0.584865,-0.109432,-0.194363,-0.548037,0.116689,-0.404191,0.476552
