word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
un,-0.031379,-0.057351,-0.212902,-1.054806,-0.211425,-0.059048,0.263989,0.163997,-0.466838,1.275167,0.315768,0.363604,-0.029674,0.062499,0.442509,0.690546,-0.318567,-0.25612,0.157058,-0.339607,-0.081797,-0.320967,0.033424,-0.311597,-0.076796,0.546024,1.11265,-0.853773,-0.141519,-0.544537,0.241229,0.382141,-0.131954,0.04925,0.373348,0.958392,1.134753,0.102175,0.176944,0.283207,-0.520216,0.138689,-0.14002
nombre,-0.063291,-0.310737,-0.125274,-1.106306,-0.925857,0.370608,0.12406,0.326112,0.133527,1.241786,-0.089087,0.187831,-0.525373,-0.49539,-0.793471,-0.036332,-0.413706,-0.042496,-0.394669,0.7147,0.27149,0.588591,-0.951038,-0.33434,-0.507164,0.488748,0.825826,-0.230331,-0.504051,-0.725689,0.346726,0.55715,0.622438,0.440748,1.1506,1.320794,1.573004,-0.021275,0.166532,0.338273,-0.752168,-0.457156,0.232397
$\mathbb{N}$,-0.06338,0.160943,-0.756158,-1.145639,-0.477957,0.348878,0.196988,0.199849,-0.413646,0.749547,0.103285,0.279769,0.114238,-0.09982,-0.082163,0.493482,-0.594518,0.009188,-0.019963,0.003805,-0.375842,0.235469,-0.587896,-0.687005,0.027127,0.612029,0.91314,-0.634697,-0.895658,-0.168828,0.669161,0.193357,0.13582,0.168806,0.579568,-0.161573,1.272419,0.416458,0.169332,0.041839,-0.553035,0.007106,-0.004546
deux,-0.019956,-0.40501,-1.040451,-0.931828,-0.689218,-0.000847,-0.08586,-0.363071,0.056242,1.467141,-0.072321,0.320438,-0.126996,0.047228,0.138598,0.498074,0.110312,-0.000122,0.415396,-0.841613,-0.457174,-0.327361,-0.494054,0.135462,-0.038012,0.712416,0.595911,-0.755174,0.006145,-0.43715,0.37858,0.122032,0.009049,0.074125,0.480842,0.692851,1.191968,-0.23709,0.205197,0.183789,-0.51843,0.042157,-0.185374
fonction,-0.2198,-0.118987,-0.519691,-1.316059,-0.36047,-0.294352,0.036352,0.757288,-0.323351,0.316291,-0.280095,0.227959,0.089503,-0.504408,-0.772441,1.557909,-0.669795,-0.880527,0.416473,0.183108,0.711727,0.554371,-0.92617,-0.642852,0.180682,1.258921,0.207749,0.267062,-0.301867,-0.592777,0.068926,-0.200459,-0.808856,1.166682,0.285449,1.213248,1.257967,0.115939,-0.544359,-0.520664,-0.440305,-0.03342,-0.128801
premier,-0.207858,-0.415257,-0.877854,-1.207964,-0.712728,-0.145257,-0.899518,-0.252683,0.021947,0.98003,0.379944,0.311961,0.176725,0.136478,0.174985,-0.110995,-0.22028,0.138929,-0.016834,-0.377255,-0.218139,-0.251852,-0.512856,0.569298,-0.426077,0.663664,0.648577,-0.315223,0.327064,-0.234976,0.661495,-0.414404,0.219526,0.042562,0.065125,0.615749,0.849085,0.17487,0.79556,0.164232,-0.170449,-0.130837,-0.456534
ensemble,0.336225,-0.237371,-0.214037,-0.48964,-0.364382,0.32147,0.176915,-0.166935,-0.566072,1.28879,-0.584185,0.590214,-0.287993,-0.235106,-0.505013,0.504889,-0.245079,-0.550952,0.336857,-0.391833,0.192197,-0.119482,-0.642351,-0.470242,-0.237364,0.803001,1.037697,-0.381367,-0.280045,-0.050176,0.611079,-0.310132,-0.56125,-0.22521,-0.049649,1.153516,0.753014,-0.417674,0.009499,-0.100406,-0.641648,-0.02991,0.567232
point,-0.5779,-0.14916,-1.352489,-0.068753,-1.130007,0.2951,0.457476,-0.829783,-0.175583,1.250926,0.472621,0.149117,-0.194967,-0.689316,-0.883776,0.449842,0.006811,-0.083112,-0.143775,0.474717,-0.269506,-0.427653,-0.236824,-0.088052,-0.635569,-0.469967,-0.072637,-0.632223,-0.861118,-0.004497,0.71946,0.634317,0.257074,0.609578,1.207676,0.517142,1.144989,0.53319,0.536299,-0.314942,-0.276666,0.093174,0.337511
théorie,-0.550181,-0.366703,0.984607,-0.288879,-0.637974,-0.130632,0.798703,0.17805,-0.129944,-0.271649,0.402736,0.295059,0.329492,-0.817824,-0.822173,1.394474,-0.287847,-0.786029,-0.226325,-0.399154,-0.324238,-0.108435,-0.996673,-1.452535,-0.465496,-0.722846,1.729764,0.824253,-0.557475,-0.663097,0.708528,-1.509928,-0.145318,0.18331,0.458789,0.862171,0.875994,1.434336,0.111931,-0.774955,0.444395,-0.582577,-0.067778
exemple,0.267831,0.235092,-0.143264,-0.339797,-0.297524,-0.141154,0.811955,0.561751,-0.87654,0.946199,-0.014659,-0.015347,-0.022419,-0.25605,-0.143851,0.377032,-1.194078,-0.366396,-0.079776,-0.121843,-0.116226,-0.052043,-0.325987,-1.368329,0.06797,0.463069,1.253407,-0.351399,-0.332949,-0.3207,0.109306,0.204462,-0.186815,0.47522,0.585039,0.758734,0.838079,0.377192,0.323782,-0.376285,-0.509123,-0.04565,0.058176
