word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
un,0.399879,1.739385,0.426198,1.837375,0.858175,0.361905,-0.27551,0.429529,0.269372,-0.631266,0.492616,-0.703322,2.658192,-0.847175,0.590183,0.375134,0.572826,-1.76283,-0.098967,0.93642,-0.205079,-0.972187,1.408903,-0.566899,-0.446778,-0.049902,-0.607592,-0.609319,0.573097,-0.474507,0.951045,1.288469,-0.139914,-1.384472,-0.06859,0.166049,0.587706,-0.449467,0.327904,0.019655,-0.320217,-1.747049,0.588287
nombre,0.567224,2.233359,1.389531,0.089964,-0.259472,-0.46338,0.153035,-0.933527,0.085621,-0.83623,-0.180967,-2.146284,3.170179,-0.16148,-0.159239,-0.178172,0.014183,-0.035268,0.192548,-0.689244,0.30008,-1.980812,1.464709,-0.420077,0.183334,-0.102573,-0.458498,-1.134774,-0.401495,0.969228,-0.510591,1.096775,0.394819,-0.313288,-1.778941,-0.632826,-0.027042,0.006725,0.015642,-0.289753,-0.888758,-2.09963,0.462686
$\mathbb{N}$,-0.10455,2.096062,0.178898,-0.002177,-0.443662,-0.252566,0.105108,0.688683,0.578674,0.639569,0.889829,-1.246833,2.50472,-0.147002,-0.267903,0.556231,0.507993,-0.113644,0.006895,-0.23667,0.482156,-1.228346,2.056263,-0.498367,-0.021934,0.027936,-0.136964,-0.026212,0.920168,0.154426,0.832592,0.42152,1.115057,-1.120654,-0.043175,0.32551,0.357814,-0.402969,0.4685,-0.252185,-0.286241,-1.269424,0.629678
deux,0.069178,1.073824,-0.029036,1.27337,0.642629,-0.193159,-0.521661,0.735686,0.075227,-0.277263,0.800454,-1.749313,2.408855,-0.541762,0.401717,0.500595,0.203744,-1.000684,-0.028555,0.020803,-0.431512,-0.804438,0.495006,-1.039348,-0.142063,-0.513991,-0.885166,0.254517,-0.535021,-0.294036,1.059679,1.165236,0.143761,-1.173503,-0.756719,-0.223144,0.496741,-0.286875,0.374293,0.002746,-1.145261,-2.036509,0.957384
fonction,0.595164,2.612521,1.939011,1.721388,0.538075,0.326557,0.306469,0.687728,1.00665,0.814588,0.140128,0.381787,1.637168,0.544569,-0.216511,0.180704,0.154654,-0.581177,0.068769,0.078272,-0.376074,0.156067,1.101262,-0.165642,0.430861,-1.386087,-0.219142,-0.043454,0.201844,1.236014,0.228582,1.220992,0.553318,-2.818722,-0.544983,-0.47954,0.394334,-0.589441,0.191163,0.442864,-0.740441,-1.478666,0.658803
premier,0.94823,2.313518,1.175858,-0.463846,0.868623,-0.070415,-0.489281,-0.59845,-0.501359,-0.500932,0.144,-1.561784,2.931166,-0.291477,0.425041,-0.280205,0.278424,-0.18861,-0.200732,-0.482087,0.310922,-1.416822,1.37501,-0.731721,-0.160312,0.336752,-0.636428,-0.211011,-0.276067,-0.441748,0.24834,0.74546,0.083882,-0.784119,-0.515919,-0.158632,-0.069975,-0.011594,-0.150419,0.023323,-0.977867,-1.718698,0.519516
ensemble,0.772169,1.200356,0.630682,1.484819,0.109098,-0.954169,-0.04929,1.114666,0.785929,-0.021187,0.056889,-1.460842,2.361943,0.138851,0.237754,0.888494,-0.956445,-0.983375,-0.157079,1.162047,-0.059717,-1.565531,0.731946,0.173383,-0.150932,-0.116752,-0.489812,0.61536,0.989788,1.209344,0.963472,0.854865,0.853503,-1.348299,-0.119985,-0.87407,1.539952,0.505998,0.328412,0.121496,-0.697872,-1.086952,0.347071
point,-0.200206,1.419148,0.468968,1.731347,-0.347778,-0.390524,-0.447999,0.160257,0.265925,0.269115,1.476536,-1.944825,1.397317,0.441967,0.979976,0.761987,0.648391,-0.47609,0.620413,0.323298,-1.196427,-0.775496,0.104347,-0.405437,0.52268,-0.89234,-0.53278,0.612211,0.48894,-0.301936,1.81753,1.692337,1.403683,-0.874605,-0.43553,-0.38578,0.031107,-1.314649,-0.190765,0.265538,-0.946818,-0.931789,0.275245
théorie,0.90174,1.543525,1.012099,1.854943,0.979541,-0.477381,0.696945,0.214213,-0.255779,0.570866,-0.777439,-0.700617,1.415434,0.041331,-0.105909,0.012871,-0.821999,0.597798,0.061648,0.826758,0.141643,-1.265065,1.062536,-0.682818,-1.591034,1.244979,-0.770267,0.446244,1.33463,0.408459,0.93018,1.423099,-0.419246,-0.867808,-0.202433,0.582795,0.27769,-0.413516,-1.047352,0.396951,-0.27587,-1.53036,-0.510895
exemple,0.334929,1.202481,0.58637,1.224038,0.160374,-0.680484,0.001011,0.899995,0.150836,-0.308093,0.246493,-1.173174,1.596159,-0.14198,0.19152,0.165926,0.231152,-0.378801,-0.322431,0.029824,-0.029116,-1.180282,1.535715,-0.333429,-0.208769,-0.805057,-0.429369,-0.601753,0.868003,-0.052849,0.517543,0.70762,-0.060073,-1.765708,-0.040377,0.272408,-0.046984,-0.630975,0.523656,-0.199584,-0.672731,-1.581197,0.144101
espace,-0.502096,0.468926,0.606086,1.997432,1.172447,0.008984,0.248847,1.229479,0.552722,1.049574,0.023453,-1.565901,0.83675,0.410303,1.086525,1.487969,-0.550677,-0.641067,0.71129,0.400293,0.920197,-0.7733,1.421341,0.558379,-0.214954,-0.819621,-0.453554,1.100801,0.767319,0.329067,1.424006,1.537819,0.246734,-1.888654,-0.149273,-0.934048,1.18207,-0.87014,0.820117,-0.979909,0.726222,-1.773211,-0.347214
théorème,0.738808,1.801926,0.899056,1.967763,0.562671,-0.849436,-0.916657,-0.453504,-0.125367,1.228454,0.115511,-0.587661,1.182939,0.423556,0.079699,0.019712,-1.114166,0.649196,-0.281743,-0.461794,0.34273,0.083712,1.814938,-0.82198,-1.538365,-0.087271,0.104867,0.254585,1.236098,-0.450045,0.726781,1.699899,0.508388,-1.091259,-1.768052,-0.49035,0.23305,-0.231227,-0.385671,-0.70182,-1.133722,-0.913125,-0.887337
problème,1.071589,0.225992,0.131927,1.170144,-0.149685,-0.62704,0.014948,-0.43396,0.880582,-0.227271,0.778734,-0.891832,1.125183,-0.006218,-0.029418,-0.334079,-0.679272,0.195811,-1.047283,0.764628,-0.558465,-1.17422,2.284178,-0.25043,-0.610908,1.010017,-1.313205,-0.226026,0.174861,-0.419982,0.617685,2.045966,-0.11445,-1.659969,-0.739974,0.194087,0.11867,-0.529542,-0.068355,0.77568,0.116407,-1.144841,0.336811
valeur,0.118413,1.643627,1.296554,0.992703,-0.606108,-0.136303,0.149816,1.062848,0.351441,0.145462,1.256271,-1.011349,1.362534,0.125096,0.342749,-0.071036,0.604559,-1.616137,-0.716096,0.459909,-0.114963,-0.491075,1.087279,-0.605336,-0.19244,-0.978784,0.58214,-1.149057,0.265055,0.894002,0.313943,1.114591,1.16617,-1.502284,-0.419214,0.127464,0.378418,-1.012443,0.336546,0.158258,-0.126158,-1.976105,0.734625
groupe,-0.742997,0.666609,1.125098,1.481756,1.487052,-0.358281,1.616433,1.039988,-0.564534,0.242225,0.212325,-1.323386,1.646643,-0.078005,1.589332,1.327766,-0.195174,0.446822,1.179728,-0.12768,0.721294,-0.573836,1.835616,-0.769936,-0.981106,0.627466,-0.991447,0.504691,0.696386,0.401684,1.081885,0.176765,-0.287653,-0.516148,-0.550909,0.1075,0.045537,0.640759,1.486482,0.176935,-0.693999,-1.126417,0.514826
graphe,0.648608,0.441131,0.065821,3.144675,-0.51991,-0.920877,1.39255,-1.300737,-0.26899,-0.773372,-0.428856,-0.857601,1.449465,0.164062,-0.698967,-0.089945,-1.34493,-0.657746,-0.172834,-0.731376,0.229343,-0.614338,2.188178,-1.221289,-0.224643,0.231577,-1.403202,-0.002411,0.335779,-0.490561,2.082535,0.239605,0.678202,-0.864173,-1.468291,0.173328,1.590792,1.067983,1.188284,-0.660387,0.331789,-0.735735,1.426255
forme,-0.497793,1.434753,0.751366,0.955958,0.134204,-0.403921,-0.445533,0.246913,0.372517,0.657682,-0.025828,-0.513309,1.205591,-0.877127,0.452983,0.821622,-0.059631,-0.827044,-0.043452,0.540061,0.206109,-0.891023,1.601484,-0.047778,0.478129,-0.391039,-0.986834,-0.42355,0.282248,-0.522895,0.574301,0.66874,0.040949,-2.065151,-0.471432,0.106529,-0.704221,-0.590398,0.122805,-0.088502,-0.334053,-1.956951,0.431761
