word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
un,-0.204671,0.472369,-1.385345,-0.516735,-0.254195,0.287087,-0.278456,0.677762,-1.118138,-0.200091,-0.882041,0.022383,-0.435987,0.280323,0.192881,-0.023782,-1.221267,0.137042,0.1556,-0.25753,0.3689,0.007084,0.094454,0.908112,0.142537,-0.352088,0.178413,0.09731,-0.386765,-0.27784,-0.423669,-0.16643,0.135185,-0.026849,-0.528594,0.610382,-0.154409,-0.31426,0.262207,-0.313332,0.293208,0.09855,-0.047961
nombre,-0.463836,0.270654,-1.640569,0.07958,-0.098601,-0.535237,0.166632,0.54685,-0.829539,0.092818,-0.804886,-0.152052,-0.53206,-0.290712,0.115036,0.296087,-0.743838,-0.411953,-0.195924,-0.654352,1.307883,-0.446214,0.747201,1.05809,-0.07208,-0.310361,-0.006412,-0.327357,-0.136043,0.196347,-0.933847,-0.842804,0.673065,-0.248228,0.131422,0.71967,-0.62322,0.03912,0.357595,0.143125,0.242053,0.189316,-0.388505
$\mathbb{N}$,-0.129734,0.329277,-1.512496,-0.621406,-0.1797,-0.073535,-0.233355,0.244079,-0.564495,0.179852,-0.160861,0.032728,-0.420945,0.006061,0.018422,-0.163093,-0.933675,-0.681021,0.159886,-0.500286,0.504882,-0.193817,0.560531,1.100065,0.473676,0.111741,0.061349,0.346386,0.288697,-0.101201,-0.153722,-0.505609,0.648839,0.326093,0.077414,0.934464,0.156429,0.042102,0.345618,-0.00232,0.311534,0.218606,0.1293
deux,-0.354763,0.675545,-1.490105,-0.317647,0.400864,0.454271,0.160693,0.87443,-0.759752,-0.535752,-0.934809,-0.099236,0.224707,0.197803,-0.153446,-0.085823,-0.910836,-0.295902,0.444047,-0.148601,0.418295,-0.278536,0.276867,0.728082,0.555145,-0.031252,0.60975,0.482125,-0.551674,-0.094614,-0.525665,-0.234441,0.416805,0.160684,-0.02616,0.520612,-0.112657,0.348835,0.599938,-0.48299,-0.197124,0.038266,0.196396
fonction,-0.065855,1.012214,-1.02271,-0.060689,-0.978942,-0.412578,-0.869321,1.08337,-0.379729,-0.132881,-0.585569,0.289991,-0.62096,-0.215125,0.41154,0.281553,-0.86069,-0.186606,0.434515,-0.164716,0.938022,-0.025921,1.015615,0.934234,0.308657,0.738537,-1.085429,-0.492224,0.063896,-0.594164,-0.815441,-0.101709,-0.717539,-0.155103,-0.411765,-0.000629,-0.105011,0.474199,0.875036,-0.770772,0.188746,-0.599846,-0.298203
premier,-0.825628,0.27613,-0.667245,-0.394686,0.614755,0.080788,0.014641,-0.036295,-0.481497,-0.282521,-0.845731,-0.022619,0.274171,0.558777,-0.173745,0.040215,-1.080634,-0.324507,0.384035,-0.060699,0.840641,-0.131789,0.224949,0.208882,0.437723,0.263819,0.304798,0.11205,-1.141675,-0.335579,-0.396314,0.023587,0.150471,0.505074,-0.07746,1.003994,-0.370238,0.511262,0.148017,-0.353128,0.118149,0.087709,0.078014
ensemble,-0.065499,0.325839,-1.511046,-0.182017,-0.003501,-0.633254,0.085103,0.620038,-0.859676,-0.375322,-0.519388,-0.25558,-0.107134,-0.495725,0.55612,-0.201561,-0.92997,0.463987,0.08099,-0.156712,0.078279,-0.544002,-0.142016,0.682651,0.153263,0.351544,-0.011813,-0.221797,-0.476284,0.312307,-0.633945,0.206866,0.284549,0.08754,-0.456402,0.307998,0.124747,0.039967,0.459756,-0.587812,0.025981,-0.39438,0.605711
point,0.045486,0.762399,-1.492022,-0.1189,0.00052,0.44722,0.234898,0.471989,-0.553803,0.265112,0.188637,-0.859354,-0.041279,0.199585,-0.465585,0.452263,0.091145,-0.239426,0.474427,0.174198,1.053016,-0.27458,-0.241056,1.024797,0.143537,0.384805,0.123876,0.045008,-0.106119,0.893098,-0.262408,-1.568106,0.477158,0.447755,0.040033,0.870311,-0.737598,0.373397,0.413924,0.389494,-0.268744,0.812529,0.471201
théorie,0.289829,0.536722,-0.741609,-0.591423,-0.099135,-0.838594,-0.920431,0.037809,-0.205542,0.070161,0.646236,0.103816,-1.066698,0.857843,0.16942,0.835424,-1.350695,0.083071,0.918987,0.939962,0.962576,-0.114772,0.367055,0.634309,-1.246354,0.241351,-1.371711,0.616939,0.689474,0.165216,0.227171,-1.134534,-0.280297,-0.813034,-0.787475,0.89254,0.427581,0.20114,-1.157113,0.71912,-0.009283,-0.971766,1.090707
exemple,0.331931,-0.065947,-1.56535,-0.991884,-0.718998,-0.275479,-0.535191,0.409466,-0.615831,-0.416267,-0.511945,0.117755,-0.78239,0.009525,0.351602,0.125163,-0.567372,-0.304942,-0.105492,-0.393444,0.567101,0.232263,0.181895,0.956186,0.2147,0.103614,-0.767256,0.211282,0.120238,0.196343,-0.378427,-0.333519,0.581661,-0.308667,-0.743434,0.314323,0.113739,-0.302218,-0.21346,-0.040374,0.145612,0.074446,0.099311
