word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
un,0.47278,-0.112032,0.596935,0.21528,0.433923,-0.302696,-0.651898,-0.22082,-0.301159,-0.445052,0.706935,-0.817893,0.18123,0.491048,-0.62987,0.053159,0.603353,0.123867,-0.002616,0.053911,0.976014,-0.835379,-0.224653,-0.372935,-0.098033,-0.070113,-0.056087,-0.220547,0.143779,-0.01156,-0.112937,0.167662,0.783936,0.491009,0.153286,-0.311489,1.304498,-0.24739,0.060789,0.375866,-0.11427,0.702616,-0.755268,-0.115022
nombre,0.448279,0.255065,0.423473,0.409305,0.43989,-0.869902,-1.222482,-0.11836,-0.662294,-0.255881,-0.006915,-0.00989,-0.716555,0.007246,0.205535,-0.053146,0.891799,0.406162,-0.876704,0.1525,0.468309,-1.601179,0.504182,-0.678818,-0.135855,-0.936338,-0.128343,0.074955,0.313098,-0.101213,0.447597,0.721344,0.879383,1.26317,0.861996,-0.440195,0.746831,-0.022457,0.051047,-0.058357,0.804941,-0.014763,-1.09715,-0.710522
$\mathbb{N}$,0.543713,0.194098,-0.04745,-0.19009,0.65981,-0.06209,-0.792209,0.028261,0.025733,-0.603783,0.835785,-0.737742,-0.442777,0.210515,0.115683,0.648465,0.061344,0.178507,-0.402939,0.005616,1.022017,-0.909113,0.241086,-0.579242,0.158239,-0.408435,-0.115532,-0.088913,0.746576,-0.227816,-0.094794,0.076739,0.387227,0.82896,0.926759,-0.345319,0.769084,0.192061,0.070395,0.207626,0.176603,0.538114,-0.230997,0.013558
deux,0.671383,-0.10647,0.174319,-0.20554,0.544706,-0.234486,-0.45327,-0.462112,-0.276886,-0.279237,0.508391,-0.190406,0.211867,0.315049,-0.985173,0.131963,0.303736,0.265647,0.255721,0.029898,1.158138,-1.119151,0.344783,-0.154585,0.17128,-0.063304,0.695542,-0.034162,0.288132,-0.094124,0.028396,0.103247,0.843587,0.745974,0.427981,0.024278,1.355389,0.387916,-0.001836,0.386163,-0.080972,0.155687,-0.768592,-0.735218
fonction,-0.092133,-0.185194,-0.114677,0.769098,0.269387,0.166175,-0.100497,0.2567,-0.20977,-0.145022,0.871761,-0.003833,0.303497,-0.319075,0.396171,0.854456,0.419427,0.492541,-0.313528,0.284675,-0.101075,-1.650767,0.504328,-0.445227,-0.000662,-0.293097,-0.255441,-0.339131,0.006309,0.406263,-0.172554,0.295805,1.31857,0.591161,0.722476,-1.286764,1.946902,0.195506,-1.512951,-0.941338,-0.281502,0.543142,-0.347024,-0.128196
premier,0.734248,-0.347642,0.013505,0.078311,0.661628,0.047027,-0.800841,-0.131039,-0.392678,-0.089637,0.423974,-0.035222,-0.34127,-0.267983,-1.021216,-0.129122,0.519121,0.088434,0.382998,0.310365,1.369989,-0.574366,0.002419,-0.123335,-0.347746,0.472078,-0.046317,-0.115652,0.420423,-0.490962,0.431043,-0.208863,0.647879,0.583919,0.213594,-0.058772,0.740296,1.050624,-0.250229,0.031038,-0.019099,-0.330145,-0.262002,-0.587897
ensemble,0.026703,-0.269106,0.600041,0.081743,0.234425,-0.196752,-0.123914,-0.327688,0.216135,-0.4533,0.655724,-0.043826,-0.160456,0.372127,-0.114082,0.13421,0.504654,0.261851,-0.055632,-0.221658,0.960893,-1.485992,0.546954,-0.033853,0.229541,-0.893955,-0.338135,-1.059086,-0.076344,0.155096,-0.408842,0.136272,0.64528,-0.121086,0.32178,-0.191324,1.364502,0.397832,0.102982,-0.009017,0.100457,0.061352,-0.536189,-0.700486
point,0.457591,0.279761,-0.156988,-0.797864,0.651816,0.462437,-0.880742,-0.092385,-0.37398,0.022449,0.43979,-0.314418,-0.929332,0.176487,0.025568,-0.036259,0.461485,0.492847,-0.073039,0.478194,-0.150533,-1.299918,0.369506,0.08691,-0.077036,-0.442402,0.302122,0.139115,0.469913,0.062071,-0.44985,-0.179726,0.258119,1.034796,0.692295,-0.060416,0.971446,0.36878,0.724177,0.47857,0.622521,-0.610947,-1.814467,0.161536
théorie,-0.644926,0.120016,-0.788485,0.906649,0.033555,0.442076,-0.9364,0.458389,-0.709906,-0.434905,1.363897,-0.379513,-0.111861,0.536339,1.244928,-0.060866,1.30372,-0.045499,-0.907866,0.233888,0.078118,-1.375203,0.781368,0.279783,0.17586,-0.3153,-0.832189,-1.093908,0.219016,-0.982421,0.259342,-1.046294,0.185606,0.465124,-0.437721,-1.638653,1.101931,-0.872437,0.030054,0.438729,-0.332585,-1.074164,0.225997,0.685163
exemple,0.506651,0.155853,0.29293,0.352976,0.380313,-0.282752,-0.793031,-0.504675,0.037145,-0.546472,0.873364,-0.676465,-0.18642,0.066941,0.366668,0.590975,0.903422,0.375912,-0.613441,0.272187,0.281947,-0.614915,0.324304,-0.188834,0.150238,-0.908042,-0.396125,-0.787457,0.2149,-0.111908,0.086046,0.409426,0.317768,0.081404,0.280779,-0.643008,1.407571,-0.392392,0.259119,-0.262332,0.062959,0.829261,-0.450069,0.474746
espace,-0.947167,0.054936,0.842503,-0.49349,0.331372,0.079565,0.252848,-0.49232,-0.201922,-0.0154,1.234452,-0.259619,-0.151754,0.365965,0.664656,-0.061127,0.625752,1.059575,-0.733722,-0.228907,0.57183,-1.214555,0.082509,-0.221231,0.547231,-0.534237,-0.152093,-1.175685,-0.973269,-0.345852,-1.000928,-0.238649,0.224812,-0.618557,0.623155,-0.659414,1.125415,-0.025128,0.21579,-0.06947,0.887271,0.151915,-1.337463,-0.662725
théorème,-0.11276,0.298595,-0.870919,0.444764,-0.346944,1.154933,0.840302,-0.369394,-0.231732,-0.331657,1.060702,0.527457,-0.474241,-0.689999,1.713339,0.458084,-0.039784,-0.00262,-0.888953,0.389393,0.253384,-1.875963,0.746796,2.020159,-0.510997,-1.71364,-0.19392,-0.166122,-0.370322,-0.346175,0.914983,-0.858786,0.824492,0.609447,0.181366,-1.731121,1.062647,-1.264857,1.284813,-0.271974,0.121059,-1.549489,-0.115302,1.088553
problème,0.031963,-0.155264,-0.33564,0.326901,0.981824,0.166307,-0.797912,0.599338,-0.226282,0.084423,0.710657,-1.262186,-0.108519,-0.116419,1.209619,0.419719,0.647311,0.214711,-0.358273,0.570431,0.371149,-1.388575,-0.225436,-0.516874,0.222944,0.267067,-0.461011,-0.555211,0.551704,-0.202437,0.227223,-0.328707,0.159062,0.355028,0.4161,-0.914119,0.741485,-0.320693,0.079802,0.230444,0.01888,0.105475,-0.594179,0.618975
valeur,-0.430782,-0.026936,0.306204,0.690922,-0.268224,-0.097651,-0.761172,-0.353782,-0.154134,-0.612419,1.299359,-0.213128,-0.972171,0.252289,0.765058,0.512537,0.938359,0.398799,-1.056331,0.288108,0.104898,-1.499026,0.803499,-0.291668,-0.194746,-0.921158,-0.944826,0.119923,0.730837,0.144384,0.041038,0.934866,0.202075,0.219234,0.729937,-0.506097,1.115835,-0.011562,-0.00479,0.343265,0.092425,0.343958,-1.167202,0.127189
groupe,0.944325,-0.190318,0.486664,0.212965,0.453724,-0.045345,-0.935767,-0.44504,-0.104301,-0.463694,0.261224,0.061504,-0.024176,0.367614,-1.181643,0.782393,0.902539,-0.401896,-0.140856,0.047471,0.628586,-1.583825,0.165171,-0.21537,-0.068599,0.226536,-0.376136,-0.772109,-0.596248,-0.390799,-0.676674,-0.00434,0.129896,0.090571,0.366918,0.381287,0.56982,1.244169,0.67522,-0.486367,0.367777,-0.472493,0.985939,-0.467967
graphe,-0.384546,0.777138,0.529252,-0.188289,-1.039583,-0.579058,0.760685,-0.378828,-0.266003,-0.203347,-0.117262,0.073962,-0.093777,-0.317974,2.169299,-0.323136,0.351255,-0.892211,-0.314756,0.374309,-0.734223,-1.94875,0.498598,0.921414,0.938233,-1.616531,0.873595,0.301582,-1.208235,-0.105979,1.046079,-0.50514,0.561086,1.371784,-0.338156,-0.95041,2.304178,-1.405213,0.713096,-0.090959,0.916878,-0.927675,-0.099377,0.282304
forme,0.18862,-0.230737,0.195726,0.524012,0.253263,-0.359814,-0.586161,-1.052197,0.443002,-0.259207,0.676564,-0.324105,0.547019,0.473315,-0.194815,0.213323,0.624702,-0.007893,-0.616792,0.437595,0.755873,-0.449443,0.452093,-0.225713,0.030397,-0.528868,0.330266,-1.164195,0.002154,-0.269686,0.138783,0.057313,0.499615,0.492754,0.609259,-0.739069,1.642287,-0.032114,0.764929,0.472109,-0.739763,0.601131,-0.415731,0.057214
entier,0.074585,-0.085819,0.400549,0.392593,0.166654,-0.412189,-0.201706,-0.70991,0.106252,-0.038426,0.550269,-0.321819,-0.449591,0.08075,-0.104227,0.58062,0.715239,0.464821,-0.73517,-0.350884,0.693265,-1.301165,0.534975,-0.267495,-0.476875,-1.13268,0.114072,-0.262795,-0.11487,-0.48962,0.41315,0.135941,0.301709,0.697104,0.845807,-0.32533,0.716981,-0.126159,0.289989,-0.111015,0.540646,0.239159,-0.339518,-0.335332
système,0.174352,-0.444676,0.320621,0.760892,0.618411,0.004297,-0.794258,0.525011,-0.055498,-1.093013,0.968959,-0.628352,0.536972,0.023408,1.072363,0.594773,1.422282,-0.260092,0.112925,1.408306,-0.321453,-0.771559,-0.341539,-0.847678,0.367817,-0.041656,-0.12148,-0.59747,-0.600981,-0.315233,0.043279,-0.328005,0.275486,0.448735,0.027052,-1.191225,1.686213,0.530582,-0.412315,0.207982,-0.254794,0.714832,-1.144444,-0.287227
équation,-0.031194,0.767133,-0.751178,0.685348,-0.173132,1.106139,0.113557,0.297577,-0.858506,-0.139688,1.385892,0.671996,-0.127444,-0.341134,1.257002,0.88007,0.502493,0.945777,-1.00809,1.084436,-0.885213,-1.641746,-0.559829,1.15899,0.192375,-1.315588,0.601104,-0.505988,-0.003457,-0.79376,0.897356,-0.88795,0.369612,0.247888,0.539565,-1.833259,2.010228,-1.220773,-0.00354,-0.467244,-0.546622,-1.109534,-0.214927,0.502413
suite,0.739795,-0.285478,-0.086492,0.383411,1.085935,0.273489,-0.132013,-0.142236,0.091356,0.299412,0.355785,-0.441118,-0.130144,-0.322754,-0.433846,0.073428,0.449126,0.16314,0.265871,0.021076,1.120916,-0.817716,-0.489312,-0.878956,0.128621,0.197366,-0.33861,-0.133151,0.551677,-0.331639,0.18037,-0.465556,0.854057,0.616639,0.635086,-0.436576,0.142243,0.675224,-0.213422,-0.402592,-0.078904,-0.069852,0.018739,-0.204813
algorithme,0.148457,0.677167,-0.755781,0.538879,0.574737,-0.320939,0.448259,0.205061,-0.013624,-0.144182,0.189098,-0.166355,-0.272985,-0.824623,1.997962,0.307564,1.090664,0.161815,0.199429,1.508975,-0.467352,-0.771093,-0.93217,0.767239,-0.960967,-1.431158,0.053762,-0.922784,-0.345479,0.548863,0.740408,-0.507196,0.232004,0.949651,0.161125,-1.686197,1.631279,-0.880434,0.54029,-0.134323,0.868712,-0.356191,-0.0986,0.365758
calcul,-0.49339,0.104084,-0.598616,0.850974,0.451541,0.022404,-0.380489,0.267013,-0.832736,-0.307065,0.516374,-0.059871,-0.646929,-0.456457,1.561503,0.601116,1.45817,1.207451,-0.455707,1.646775,-0.404376,-0.993565,-0.136955,0.215265,-0.594031,-0.989386,-0.361206,-0.310106,0.233477,-0.001661,0.776423,-0.124326,0.570996,0.550801,0.300988,-1.712353,1.601763,-0.423865,-0.215219,-0.044143,-0.006966,0.088651,-0.85598,-0.054792
application,0.706815,-0.479295,0.18562,1.161829,0.523312,-0.107913,0.354891,0.029058,-0.143105,-0.20675,0.991961,-0.940382,-0.248346,-0.823952,0.885137,1.368587,0.752912,0.022779,-0.78227,1.534909,-0.802242,-0.660026,0.244208,-0.60132,-0.03104,-0.289825,-0.52327,-1.122679,-0.414205,-0.483799,-0.369927,-0.409646,0.617143,-0.183212,-0.070917,-1.494672,1.262307,0.25662,-0.491837,-0.178967,0.605125,0.42,-0.629758,-0.270709
élément,0.024954,0.085216,0.123647,0.851386,0.790823,-0.300159,-0.522727,-0.688024,-0.390781,-0.508525,1.013193,-0.085414,0.271134,0.691059,0.316796,-0.078224,0.940196,0.213394,-1.081317,0.353017,0.57829,-0.420493,0.740033,-0.310389,0.534749,-1.108386,0.01344,-1.336461,0.31262,-0.378848,-0.418009,0.65814,0.643455,-0.030651,0.050076,-0.434906,1.405288,0.085693,0.610983,0.114596,-0.184886,0.477095,-0.542633,0.175626
