word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
un,0.410951,-0.873246,1.081715,1.336263,-0.595067,-0.614653,0.5228,0.78555,1.73084,-0.751302,-0.238772,-0.756674,0.16193,-1.635355,0.129025,-0.709788,-0.145063,0.22048,1.568868,0.307579,-0.262346,-0.597501,-1.075047,0.752264,0.64349,0.877703,0.182878,0.114863,-0.254719,0.406972,0.942785,-1.372145,0.232699,-1.303995,1.272243,-0.308531,0.248484,-0.400119,-0.338398,0.915909,0.027672,-1.00093,1.471742,-2.466323
nombre,1.003351,-2.454134,-1.126693,0.806253,-0.997636,0.242223,0.909969,0.827578,1.23546,0.029567,-0.224937,-0.059004,0.965972,-1.932326,0.295711,0.164212,-0.300113,-0.302733,2.093907,0.380512,0.485876,0.349139,-0.508265,0.614461,0.462941,-0.695746,-0.392932,-0.191261,-1.602282,0.787167,0.606011,-0.731594,-0.024944,-1.856631,1.005466,1.008223,1.029361,-0.106497,-1.360422,-1.026782,1.08331,-0.224732,0.722309,-1.971812
$\mathbb{N}$,0.231731,-1.643618,-0.347385,1.213982,-0.404682,-0.380406,-0.223751,0.190886,1.511926,-0.438134,-0.6259,-0.401408,0.802103,-0.972032,-0.239489,-0.951076,0.191397,0.233244,0.732645,0.581818,0.054135,-0.173523,-0.61028,0.918682,-0.555589,0.029809,-0.379432,-0.740283,-0.765883,0.564959,0.931472,-0.306561,-0.498167,-0.575332,0.43054,-0.701587,1.273538,-0.853759,-0.722903,-1.049933,0.155472,-0.349131,2.075468,-2.027732
deux,1.035763,-0.574772,0.209071,0.607601,-1.070379,-1.327592,0.788911,0.835122,1.466262,-0.369323,-0.717972,-0.523851,0.958964,-1.248072,0.344753,-0.141787,0.140232,0.304098,1.119053,0.359445,0.076741,0.582861,-1.871596,0.055358,0.256466,-0.011483,0.335961,-0.382238,-0.370456,0.456125,1.164455,-0.183726,-0.170296,-0.762021,1.047995,-0.001198,0.106304,-0.142248,0.178401,0.164187,0.626409,0.230513,2.414704,-1.773628
fonction,1.147624,-0.764584,1.02073,2.306778,-0.652917,-0.126716,0.081239,1.160199,1.656817,-0.784588,-1.245716,-0.18084,0.667704,-0.620683,-0.474817,-1.901768,0.81759,0.275276,1.29844,-0.093194,1.140267,0.026161,-0.680556,-0.652222,-0.051135,-0.88393,0.232407,0.120548,0.243689,-0.503458,1.273132,-1.176963,-0.13704,-1.353416,0.085849,-0.675678,0.939435,-0.811536,-0.571113,-0.904575,1.852882,-0.037924,0.561443,-1.311476
premier,0.748775,-1.2716,-0.354653,0.87278,-1.566927,-0.678734,0.119369,0.549151,1.60204,-0.314136,0.169839,0.16631,0.355854,-1.922719,-0.275723,-0.030056,-0.473386,-0.025186,1.571363,0.547197,0.062524,-0.218152,-0.662788,-0.073439,-0.034818,0.20208,-0.290357,-0.446766,-0.827939,0.173915,0.109194,-1.287905,-0.05453,-1.264273,0.827918,1.065149,0.423571,-0.338748,-1.465096,-0.224942,1.063545,-0.170745,1.437249,-1.381555
ensemble,0.254821,-0.238686,-0.258243,0.913205,-0.660685,-0.108648,0.43418,1.357112,1.644305,-0.841284,-0.796745,0.146555,0.07587,-0.418156,0.908194,-0.09888,0.111685,0.039657,1.184528,-0.846589,-0.004151,0.470812,-0.898265,1.131917,0.065026,0.54218,-0.171863,-0.475929,-0.554543,0.618016,1.515184,-0.592528,-0.083289,-1.546125,1.011094,-1.538203,0.426009,-1.86206,0.481713,-0.374021,0.944835,-0.496572,1.668112,-1.873193
point,0.493892,0.294383,0.120761,1.119454,-0.498177,-0.58384,-0.476588,0.653092,1.603787,0.695191,-1.073804,-1.100081,1.670746,-0.021106,1.263191,-0.841802,-0.01621,0.545497,0.507809,-0.146472,0.203966,-0.11921,-1.349633,0.32647,0.352999,0.818273,0.115329,0.050516,-0.493901,-0.477967,1.437391,0.258705,0.686283,-0.905389,0.85013,-0.638419,-0.035108,0.407943,-0.026975,-0.42528,1.037531,-0.170598,2.544067,-2.079873
théorie,-0.5578,-0.273405,0.990581,1.493452,-0.84018,1.669859,0.406751,0.551217,2.0656,-1.299699,-0.334099,-0.126277,-0.113412,-1.496895,0.006487,0.010714,1.544462,-0.741108,1.33241,-0.432238,-0.324623,0.748931,-0.186574,1.47847,-0.074386,1.158938,0.716697,0.427308,-0.569355,0.262462,0.202998,-0.174949,-0.380381,-0.985858,1.067421,0.163253,0.148885,-0.446869,-0.664591,-0.265914,0.884721,0.331081,1.08591,-1.051686
exemple,-0.321966,-0.780836,0.45437,0.699212,-0.461103,-0.419951,0.522161,0.496724,1.536727,-0.500134,-0.827182,-0.341455,0.670804,-0.741589,0.11055,-0.945903,0.077195,0.073163,0.902139,0.700957,-0.228013,0.217264,-0.712982,0.972298,-0.009603,-0.259352,-0.111686,0.063119,0.094653,0.425312,1.000436,-0.476432,0.226444,-0.815241,1.138705,-0.104287,1.07981,-0.402906,-0.115108,-0.256499,0.847877,-0.710076,1.26479,-1.739098
