word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
un,0.19528,-0.340001,-0.263127,1.142431,-0.055196,-1.423245,-0.350081,0.185,-0.130133,-0.06436,0.532571,0.46658,-0.256993,-0.489872,0.183553,-0.982166,-0.125758,-0.289077,0.286426,-0.077961,-0.300039,-0.115855,0.682173,0.461876,-0.500283,-0.195383,-0.806128,-0.092894,-0.126407,-0.239208,-0.094463,-0.522409,-0.145634,-0.593129,-0.040327,-0.142989,-0.268058,0.576907,-0.526107,0.031924,-0.317281,0.463859,-0.86368,-0.390534
nombre,0.479992,0.163326,0.070147,1.090761,-0.199187,-1.601091,-0.330949,0.092137,0.312045,-0.331042,0.442324,0.288638,-0.676616,-0.420849,0.03132,-1.405359,0.299832,-0.088804,-0.327049,-0.011212,-0.600605,0.00205,1.386963,0.047649,-0.431996,-0.218901,0.255974,0.482053,-0.428369,0.711393,0.241084,-0.876814,-0.348296,-0.481893,0.197146,0.391454,-0.863584,0.381728,-0.346025,-0.616216,0.368478,0.077944,-0.413088,0.393441
$\mathbb{N}$,0.457752,0.072427,0.195248,0.972176,-0.276502,-0.915363,-0.380551,0.191849,0.559819,-0.148163,0.212714,-0.001962,-0.357675,-0.669783,-0.24311,-0.994538,-0.04434,0.073451,0.422008,0.3754,-0.256936,0.069141,0.532471,0.270699,-0.185854,0.039509,-1.129562,-0.059131,-0.221501,0.229089,-0.256906,-0.733034,-0.086914,-0.190846,0.365285,0.125465,-0.019292,0.158911,-0.577723,-1.0816,0.149132,0.54934,-0.319899,0.00394
deux,0.40747,0.246403,-0.345194,1.267925,-0.298769,-1.322087,-0.004439,0.162032,-0.603697,-0.261343,0.555243,0.041652,-0.204822,-0.487274,0.502821,-0.752537,-0.424363,-0.241836,0.592458,-0.018993,-0.244944,-0.721762,0.573262,0.323041,-0.466351,0.236446,-1.072843,-0.156315,0.318435,0.156375,0.593147,-0.456172,0.022096,-0.42577,-0.163418,-0.461606,-0.325989,0.620659,-0.555212,-0.499722,0.006636,-0.30965,-0.58456,-0.067499
fonction,-0.659421,0.629149,0.196673,0.560939,0.223754,-1.782179,-0.609737,0.491297,-0.240816,0.165504,0.516584,0.181284,0.005193,-0.720961,-0.149377,-1.545342,0.619844,-0.657509,-0.425362,0.088714,0.142645,0.320251,0.751456,0.652698,-0.517591,0.468253,-0.094844,0.035344,0.713027,0.367351,0.10807,-0.395461,0.174396,-0.566194,0.767879,0.072233,0.79452,-0.282134,0.130311,-0.104947,0.814439,0.452192,-1.414234,0.186842
premier,0.526912,0.629802,-0.229871,0.898564,-0.344508,-1.129152,0.139929,0.166536,-0.082749,-1.130007,-0.40946,0.315877,-0.628354,-0.312107,0.86764,-0.795169,-0.136925,-0.212715,0.170799,-0.120461,0.078449,-0.474491,-0.000658,0.294008,-0.586959,-0.323354,-0.981748,-0.396348,-0.120731,-0.373092,0.281496,-0.444685,0.108628,-0.040728,-0.184479,-0.432927,0.086183,0.45337,-0.196829,-0.362401,0.051327,-0.155564,-0.520848,-0.044214
ensemble,-0.108905,0.252531,-0.584019,1.179156,0.120609,-1.275733,-0.362947,0.260421,-0.007458,0.243562,0.7163,-0.239168,-0.210642,-0.37183,0.000944,-1.196859,-0.090025,0.124997,-0.295093,-0.056067,-0.654251,-0.602681,-0.054417,-0.411863,-0.192452,-0.309946,-0.698678,0.407473,0.283618,-0.477282,0.146163,0.150466,0.199259,-0.371509,0.09802,-0.216167,-0.507155,0.024878,-0.325663,-0.023418,0.127605,0.011013,-0.786729,-0.071742
point,0.870143,-0.163214,0.541748,0.6761,-0.589932,-1.087977,0.711388,0.154679,-0.279986,-0.309604,0.086172,0.818581,-0.792475,-0.641015,-0.801976,-0.89195,0.051196,0.091172,-0.470521,0.274281,0.157557,-0.325433,1.094892,-0.410242,0.191304,-0.025129,-0.575353,-0.07033,0.594093,0.610167,-0.244811,-0.320489,-0.601961,0.142643,-0.287119,-0.658356,-0.840934,0.637764,-0.820808,-1.013698,0.123298,0.114537,0.16511,0.445834
théorie,0.488342,0.004281,0.733559,-0.28222,0.107724,-0.887536,-0.923874,0.285931,-0.354582,0.691361,-0.35468,-0.16478,-0.181423,-1.610783,-0.208396,-0.530236,0.375774,0.157919,-2.066894,0.782765,-0.444431,0.509472,0.450486,0.341465,-0.138334,0.25293,-1.074654,0.331889,-0.387513,-0.284611,-1.655894,0.181754,-0.233835,-0.043836,-0.855484,0.229414,1.119548,0.158775,-0.956262,0.231745,0.15571,0.479496,-0.959996,-0.081355
exemple,0.322596,0.254354,0.228464,0.613568,-0.393037,-1.696757,-0.457277,0.377442,0.237372,0.724545,0.820255,-0.346043,0.016825,-0.530121,-0.299327,-0.783515,0.162907,-0.128334,-0.169843,0.293297,0.008901,0.418534,0.799713,0.539642,-0.015245,-0.144075,-0.393504,0.026865,-0.076267,-0.406102,-0.658113,-0.490122,-0.04587,-0.683231,0.313047,0.300327,-0.372215,-0.01088,-0.361368,-0.173466,-0.161493,0.913543,-0.407627,-0.570436
