word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
un,-1.353706,-0.487258,1.144938,-0.074806,0.189438,-0.56224,-0.284913,0.050066,-0.159782,-0.311041,-0.285137,-0.110331,-0.085883,-0.279941,0.807946,-0.576585,0.768894,-0.267015,0.438065,-0.73567,-0.205132,-0.334251,0.256194,0.874721,-0.429254,0.120697,0.315917,0.170256,0.163186,0.609503,0.206831,0.051177,-0.197669,0.440742,0.23671,0.062427,-0.431544,0.187589,0.190645,-0.176067,0.042627,-0.329995,0.089592,0.298146,-1.000674
nombre,-0.664027,-0.480407,1.310559,-0.744428,-0.234479,-1.16455,0.05398,0.13897,0.427615,-0.610874,-0.27098,-0.592868,-0.101275,0.323334,0.253604,0.013712,-0.351791,0.59015,1.660328,-0.547161,-0.488521,-0.743046,0.590483,0.520005,0.321392,-0.242652,0.470866,0.138567,-0.105764,0.665345,-0.434215,0.338671,-0.515583,0.080337,1.066882,0.029537,-0.636178,0.501541,0.851744,0.114026,-0.192517,0.424654,-0.664522,-0.315814,-1.514195
$\mathbb{N}$,-0.459557,-0.782647,0.632015,-0.042144,0.34343,-0.96222,0.327888,-0.243664,0.190548,-0.422458,-0.299033,-0.581701,0.127144,-0.343299,0.384103,-0.495913,0.219174,-0.317362,0.53247,-0.955555,-0.26777,-0.278431,0.203504,0.326723,-0.296295,0.042187,0.515634,0.854062,-0.115065,0.934691,-0.132179,0.083393,0.087048,0.351478,0.47954,-0.09322,-0.664024,0.464857,0.191428,-0.37855,-0.355095,0.290803,0.224718,-0.352989,-0.840517
deux,-1.275705,-0.276943,0.833538,0.147524,0.223581,-0.964206,-0.146332,-0.432141,0.100033,-0.318072,-0.080451,-0.312561,-0.576071,-0.164843,1.235356,-0.423739,0.463202,-0.082631,0.288947,-0.131103,-0.286348,-0.298282,-0.043976,0.257817,-0.451107,-0.082992,-0.232977,0.136385,0.392563,0.769111,-0.317297,0.174421,-0.269177,0.455751,0.720681,-0.474304,-0.814408,0.455351,0.511577,-0.410939,-0.235454,-0.489752,0.376696,0.510971,-0.800223
fonction,-0.888264,0.571867,1.697449,-0.839333,-0.396509,-0.571066,0.359856,-0.680413,0.181069,-0.561484,0.039018,0.582862,-0.222304,-0.602802,0.630654,0.063708,-0.312681,0.726211,0.615341,-0.551845,0.000777,-0.21041,-0.222211,0.954814,-0.780949,0.419146,0.429171,1.385493,-0.231666,0.340085,-0.101516,0.415482,-0.202342,-0.256552,-0.596886,0.328202,-0.469925,0.148573,0.719849,0.220517,-0.738221,0.222588,0.280003,-0.37537,-1.507382
premier,-0.456508,-0.002057,0.629361,0.060784,-0.23704,-1.279032,-0.420103,0.210277,0.546847,0.17828,-0.050896,-0.108104,-0.89635,-0.046257,0.81426,-0.338094,0.226631,-0.419389,0.708516,-0.370209,-0.421574,-0.653668,-0.021536,0.043589,-0.287812,0.386932,-0.057271,0.331585,0.479655,0.942016,0.173738,-0.108129,-0.039814,0.49965,0.450748,0.017557,-0.565089,0.120634,0.540554,-0.430467,-0.048533,-0.772503,0.137068,0.459792,0.065404
ensemble,-1.556428,-0.047168,0.683429,-0.369736,-0.270758,-0.524476,0.105889,-0.097104,0.016007,-0.341193,0.161444,-0.111823,-0.293442,-0.461404,-0.028859,-0.474336,0.180122,0.390786,0.192828,0.340839,-0.323303,-0.549013,0.583859,0.626634,-0.117514,0.117262,0.276407,0.593248,-0.307792,0.20908,-0.188056,0.187488,0.042301,0.179338,0.659771,0.27551,-0.415472,0.009963,0.285461,-0.440127,-0.633477,-0.252842,0.937423,0.362402,-1.280874
point,-0.871886,-1.179236,0.237069,0.22131,0.195231,-1.227859,0.476697,0.379723,0.712791,-1.214494,-0.867004,-0.447056,-0.669609,0.38084,0.536139,-0.47182,-0.378761,0.686206,0.760905,0.031899,0.076344,-0.380828,-0.33355,0.157941,-0.21652,-0.413577,-0.154361,0.704208,-0.117984,0.21713,0.018504,0.008018,-0.06532,-0.066759,1.085549,-0.520213,-0.332743,1.069291,0.248679,-0.43618,0.373873,-0.413277,-0.551776,-0.05298,-1.134078
théorie,-1.299595,-1.839176,1.113528,-0.152217,-0.546652,-0.146138,0.83233,0.265228,-0.294578,0.416445,-0.0049,0.89372,0.978248,-0.598481,0.040517,-1.050168,-0.667037,1.166407,0.828275,-0.594756,0.250248,-0.709079,0.759723,-0.082518,-0.35573,1.174057,0.01183,1.716006,-0.242645,-0.021202,-0.559809,-0.364305,-0.822505,-0.700285,-0.564557,0.737165,0.704873,-0.066059,0.458086,-1.072568,0.128758,-0.022375,-0.555832,-0.785552,-0.210121
exemple,-0.894247,-0.79891,1.192259,-0.407686,0.221556,-0.533932,0.221331,0.160547,-0.143344,-0.207984,-0.182772,-0.309715,0.447986,-0.485168,0.635832,-0.771027,-0.220371,0.005041,0.037206,-0.460497,-0.051703,-0.349756,0.664827,0.702718,0.191867,0.437413,0.426151,0.938907,-0.199593,0.342879,0.096047,-0.060434,-0.301874,-0.130998,-0.018697,0.248888,-0.300008,-0.038537,0.134879,0.155574,0.237482,0.643219,0.426371,-0.028867,-1.665097
