word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
un,-0.577723,-0.364177,-1.447544,0.687831,0.195141,0.212583,1.65659,-0.011677,0.458571,1.185776,0.816842,0.737537,-1.471874,0.177598,-0.233813,-0.410036,1.013593,0.205439,-0.176616,-0.461303,-0.641298,1.617066,0.436,1.247109,-0.317238,1.158035,-1.509213,-0.43027,0.248069,-0.261524,-0.02402,0.629679,1.07099,0.251653,0.20798,1.219234,1.669755,0.58562,-0.353695,-2.209957,-0.034453,-0.093589,-0.242383,1.783671,0.259829
nombre,0.040921,0.283004,-1.218681,0.12118,0.616134,-1.551285,0.114832,0.134246,-0.140243,-0.022346,0.57905,1.993977,0.335809,1.092137,-0.045796,-0.349514,0.593925,0.722166,-0.030136,0.684018,0.311371,1.657649,-0.203435,1.816158,-0.565329,0.818714,-0.276593,0.532392,-1.366993,-0.656068,0.269808,1.451603,-0.393866,0.636346,1.88398,1.842273,1.000405,0.744033,-0.496095,-2.00762,-0.518481,1.274391,0.441216,2.264699,-0.544121
$\mathbb{N}$,0.202937,-0.600811,-0.383133,0.311787,1.130016,-1.234338,0.8512,-0.695524,0.10572,1.38981,0.446878,0.903066,-0.128674,1.428087,0.491104,-0.599006,0.656411,0.535376,0.015878,0.116879,-1.088415,1.084784,0.048119,0.340709,-0.295594,0.553326,-0.91973,-0.201896,-0.646338,0.143227,0.132929,0.014636,0.472099,0.66223,-0.155995,1.002212,0.96083,-0.379891,-0.262825,-2.215989,-0.235598,0.748788,0.396881,2.295833,-0.288648
deux,-0.586066,-0.002677,-0.641327,0.479108,-0.144859,0.039184,0.834429,0.179438,0.92698,0.464518,-0.100502,0.869347,-0.96498,0.24978,0.280218,-0.212844,1.012119,-0.182391,0.27513,-0.029848,-0.56495,1.725247,0.149291,0.479372,0.788401,1.217614,-0.191017,-0.098545,-0.556513,0.142747,-0.491361,0.418219,0.926973,0.686059,0.440086,1.32,2.004764,0.059759,-0.047783,-2.7449,-0.534314,0.390886,0.752776,1.666533,-0.512644
fonction,0.384752,0.503726,-1.574158,0.315137,0.875994,-1.249042,1.416444,0.134105,-0.818919,1.319121,0.104317,1.278362,-0.499433,-0.640347,-0.125892,-0.216558,1.552233,1.095053,0.699773,0.009887,-1.0789,0.121465,1.113879,-0.53009,0.199275,1.958158,0.058143,-0.783232,0.158468,0.387086,0.446674,0.74679,0.038038,-0.251018,0.652247,1.375532,1.392764,-1.791647,-0.516517,-1.488787,-1.109664,0.098488,0.6521,1.773463,0.408964
premier,-0.084408,-0.450699,-0.667626,0.220976,0.491943,-0.878329,0.427602,0.026838,0.196782,0.698476,1.023269,1.630592,-0.363223,0.600733,-0.105627,0.353764,0.318323,0.409848,-0.559314,0.015436,0.635867,2.081263,0.198727,1.224266,0.082456,1.047335,-0.095278,0.717291,-1.003,-0.097882,0.612504,1.038445,0.693963,-0.272643,0.910222,1.121258,1.732917,0.494946,-0.517315,-1.575531,-0.030332,1.337327,0.294405,1.857547,-0.209016
ensemble,0.100171,0.470587,-0.391508,0.371727,0.960965,0.179474,0.039054,0.952501,-0.257378,1.458736,0.60173,0.572385,-0.467047,1.129495,0.216731,-0.124674,2.179294,0.164626,0.158559,0.634151,-1.008937,0.259062,-0.145174,0.046762,0.515812,1.538669,-0.832304,-0.36107,-0.272346,0.56455,0.404503,0.47299,0.13468,1.029354,0.475292,1.420941,1.136474,0.217281,-1.06698,-3.112249,0.450098,-0.273833,-0.412526,1.489411,0.076634
point,-0.419554,0.23032,-0.496418,0.772161,0.034651,-0.18959,0.826479,-0.455172,1.167781,1.098533,-1.499705,0.14618,-0.58496,-0.20517,0.577165,0.103817,0.931596,-0.493203,-0.021426,-0.26517,-1.149767,0.545138,0.645612,0.198645,0.406689,1.409456,-0.412332,0.645721,-0.104356,-0.37101,-0.658372,0.85744,0.161812,1.444302,-0.717711,1.72322,1.228208,-0.494897,-1.644614,-1.749707,0.14299,0.317764,1.039506,2.443395,-0.46587
théorie,-0.439705,-0.970998,-0.758839,0.735569,0.623553,0.559525,-0.020149,0.85217,-0.00142,1.782389,0.635075,0.800618,0.421066,-0.110047,-0.111108,0.271246,1.207708,1.516905,0.227163,0.205529,-0.095977,0.335494,0.363341,1.479618,0.181482,1.951286,-1.607385,-0.037897,-0.211663,0.412394,1.491379,1.054436,0.823742,0.94984,0.22395,1.808456,1.011275,0.073201,0.658358,-0.384437,-0.763651,-0.316737,-0.830571,1.152737,0.122676
exemple,0.049494,-0.039152,-0.367773,0.520251,0.800939,-0.728155,0.70682,-0.467977,0.194512,0.865115,0.34103,1.019701,-0.901554,0.302552,0.310444,0.09961,0.700781,0.741997,0.376476,-0.073068,-0.812589,1.001179,0.111414,1.076123,0.321479,1.240876,-1.485406,-0.77194,-0.492647,-0.054904,-0.092397,0.359632,0.12061,0.453979,0.106943,1.547803,1.330997,-0.29227,-0.433273,-1.565766,0.023244,0.216549,0.297325,1.217245,-0.024578
