word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
un,0.128541,0.384879,0.07565,0.494649,-0.01254,0.127064,0.729944,0.08632,-0.011737,-0.202431,-0.309607,0.271903,-0.498107,0.02659,-0.304285,-0.08884,0.100928,-0.495141,-0.385408,0.098733,0.099427,-1.135633,-0.028183,-0.169925,0.292539,0.550968,0.393878,-0.538149,-0.367946,-0.048177,-0.363031,0.211122,-1.159286,0.003472,-0.881034,-0.583774,0.323361,-0.524417,0.652654,1.057563,0.168791,0.560328,0.347803,0.274446,-0.054484
nombre,0.392848,0.283124,-0.373772,0.05288,0.009615,0.166137,0.226949,0.156483,-0.138005,0.252714,-0.780642,0.465199,-0.888634,-0.108719,-0.530338,-0.783558,-0.057096,-0.316184,-0.346514,0.084385,-0.438142,-1.004546,0.086617,-0.660869,0.675085,0.114736,0.619887,-0.503358,-0.707932,0.627253,0.033506,0.066113,-1.573318,0.334597,-0.458591,0.393474,0.190666,-1.140622,0.079481,0.277834,0.458533,0.84845,0.358779,0.968194,0.195053
$\mathbb{N}$,-0.25689,-0.132937,-0.528473,0.795275,0.161745,0.145142,0.377561,0.117499,-0.569681,-0.046346,-0.312108,0.618389,-0.620659,-0.609231,-0.465154,-0.273162,0.078848,-0.659892,-0.175786,-0.29259,0.068972,-0.528583,-0.197325,-0.415803,0.14133,0.699724,0.305014,-0.387339,-0.185637,0.385487,-0.074074,-0.143785,-1.283157,0.13722,-0.399362,-0.441603,0.053092,-0.879893,-0.067978,0.817521,0.660185,0.128539,0.069831,0.209789,-0.291484
deux,-0.155202,0.617852,0.148391,0.349536,0.141998,0.447896,0.640741,-0.215702,-0.050086,0.066092,-0.502649,0.415192,-0.826028,-0.255067,0.152345,-0.738398,-0.143123,-1.010478,-0.461198,0.03202,0.273734,-0.474253,-0.088415,0.096726,0.212409,0.268086,0.322872,-0.860567,0.064629,-0.172667,0.024166,0.610104,-1.414077,0.484145,-0.589782,-0.608182,0.577317,-0.340374,0.358121,1.003681,-0.173339,0.861015,-0.12832,0.425955,-0.02128
fonction,-0.92836,0.140539,0.154568,0.255569,0.836101,0.534032,0.074263,0.303559,-0.070172,-0.138592,-0.601896,-0.038656,-1.217912,-0.327051,-1.08765,-0.263823,-0.051659,-0.559152,-0.226144,-0.235784,-0.637045,-1.150082,0.744967,-0.804004,-0.27368,0.59331,0.62152,0.200435,0.166666,-0.125894,-0.485278,0.672077,-0.517049,-0.346021,-1.420758,0.320172,0.270319,-0.725305,0.067561,0.448489,0.216819,-0.121901,0.755416,1.122855,-0.348691
premier,-0.248962,0.603875,0.160038,0.093401,0.024726,0.544895,0.352177,-0.442203,0.11155,0.23992,-0.423618,0.10374,-0.633984,0.129139,0.112685,-0.899666,-0.19935,-0.521792,-0.301572,0.017,0.328929,0.070798,0.145077,-0.145608,0.032927,1.262584,-0.282873,-0.518277,-0.043537,0.020063,-0.296658,0.007938,-1.441158,0.63912,-0.201827,-0.403293,0.591637,0.091728,0.517787,0.253259,0.111117,0.762837,0.387512,-0.080886,-0.599707
ensemble,0.07321,0.15031,0.001837,-0.02859,-0.171761,-0.013086,0.855368,-0.003698,0.196904,-0.174902,-0.583518,0.908694,-0.880339,-0.206353,-0.164388,-0.761273,-0.227377,-0.594283,-0.569796,-0.245722,0.161026,-1.241381,0.292129,0.682322,0.329188,0.085861,0.384323,-0.025973,-0.226249,-0.402662,-0.223571,0.4402,-0.66516,0.031736,-1.100887,0.006049,0.25297,-0.172404,0.286544,0.270379,0.121041,0.175681,0.299985,-0.159735,-0.360593
point,-0.174238,0.859299,-0.366556,0.663247,0.854868,0.456532,-0.018887,0.233202,-0.762333,0.181776,-1.173202,0.861972,0.187088,-0.133651,-0.185035,-0.362835,0.406958,-0.392039,-0.572335,0.060327,-0.292402,-0.420322,0.111658,0.346598,0.757944,-0.305649,-0.065697,-0.742891,-0.24063,0.711313,0.001356,-0.06119,-1.199376,0.928292,-0.030736,-0.316594,0.952209,-0.469782,-0.25384,0.049873,0.605987,0.344333,0.353787,0.741421,0.830435
théorie,-0.933057,-0.593709,-0.274904,-0.049152,0.475542,0.423592,1.04057,-0.102134,-0.432635,-0.250795,0.222297,0.932841,0.420484,0.708757,-0.571377,0.292921,-0.436225,-0.494214,-0.78174,-0.260775,-0.698588,-0.687713,0.378455,-0.549939,0.166179,-0.679877,-0.769938,0.228257,-0.490664,0.543242,0.169993,-0.751401,-0.346505,-1.235493,-0.479464,-0.579086,0.608088,-0.259769,-0.056282,0.615623,1.624943,-0.155864,1.886644,0.826622,-1.264524
exemple,0.134925,-0.180901,-0.324946,1.073575,0.396828,0.019383,0.555882,0.098428,-0.009856,-0.672679,-0.33386,0.456891,-0.438953,-0.057583,-0.363426,0.058418,-0.278352,-0.447034,-0.322925,-0.03433,-0.141577,-0.955187,-0.192706,-0.742264,0.35391,-0.141447,0.707357,-0.194753,-0.823871,0.149479,-0.391334,0.125921,-0.51274,0.084109,-1.253025,-0.425961,0.100394,-0.914227,0.27139,0.616709,0.828603,-0.003747,0.715435,0.081915,-0.326447
espace,-0.029008,0.353793,-0.06849,0.520503,-0.106446,-0.295297,0.198174,0.11527,-0.574326,0.121191,-1.276418,0.569535,-0.414394,-0.366736,-0.053354,0.02595,-0.212215,0.019409,-1.925425,-0.528137,0.326445,-1.700917,0.31778,0.994373,0.540573,-0.29995,0.630713,-0.339968,-0.33557,-0.331368,-0.817721,0.133853,0.337028,-0.644473,-0.606935,-0.110758,-0.194916,-0.442133,0.227828,0.380739,-0.010974,0.020653,0.739283,0.316396,-0.527345
