word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
un,-0.250961,1.577473,-1.976695,0.288876,-0.372932,-0.010648,-0.527783,-2.053798,0.024869,-1.462363,-0.988948,-0.466912,-0.245147,-0.90492,0.856784,-0.499499,0.181186,0.259686,-0.436724,0.772267,1.07,0.62682,-1.192084,-0.102563,0.651896,0.159399,-0.181015,0.636577,-0.163607,-1.592609,1.745954,-0.539399,0.31029,0.428614,-0.295572,-0.117886,-1.085069,0.311624,0.852489,-1.029976,-1.134197,-0.165526,1.94258,0.542111,0.21123,1.9571
nombre,0.662419,1.170878,-1.497565,0.912911,-0.892315,-0.667864,-0.969039,0.164323,0.225842,-1.590841,0.417192,0.452308,0.149174,-2.230402,1.681811,-0.193864,0.214499,0.942012,-0.644825,-0.021063,1.63471,0.705385,-1.534224,-0.493399,-0.291781,0.33924,-0.490294,0.016485,-0.940204,-1.907669,-0.140487,-0.948349,0.844504,0.103373,-0.80358,-0.963784,-1.70469,-0.36526,0.337383,-1.603066,-0.611123,1.301563,0.235173,-0.070766,1.63786,0.16703
$\mathbb{N}$,0.257064,1.457592,-1.294843,-0.048028,-0.643571,-0.361417,-0.568805,-0.080193,0.755706,-1.805186,-0.288583,-0.319395,-0.344708,-1.180007,0.649443,-0.098086,0.543339,-0.163377,-1.200225,-0.139652,0.559647,0.240124,-0.790239,-0.464021,-0.051752,0.92658,-0.121062,-0.028426,0.477992,-2.231878,0.91146,0.722421,-0.482047,0.434069,-0.148267,-0.676006,-1.044249,0.079434,0.378031,-1.174339,-1.787728,-0.274505,0.178715,-0.436825,0.63587,0.605171
deux,-0.1409,1.085888,-0.864387,0.04376,-0.331322,-0.388816,-0.835039,-1.430842,0.020743,-1.464766,0.330815,0.930754,0.282385,-1.154966,0.264237,-0.354124,0.318095,0.076892,-0.851173,0.165817,1.051822,0.885816,-1.124585,-0.746414,-0.278977,0.120792,-1.01378,0.059984,-0.316263,-0.938531,1.278954,0.454541,0.542589,0.572121,-0.583055,-1.264805,-1.517282,0.000136,0.905269,-0.780505,-1.045143,-0.466318,1.111121,-0.118426,0.096581,1.564034
fonction,0.854906,2.634632,-0.40282,-0.108463,-0.089645,-1.16806,-1.257762,0.185428,-0.700783,-0.788853,-0.079541,-0.05257,0.622789,-0.591554,1.544055,-0.402028,1.228067,0.137084,-1.529464,0.462856,0.250707,0.25172,-0.832697,0.589457,-0.155264,-0.180689,0.163348,0.265842,0.565089,-1.536536,1.713114,-0.215995,1.896752,0.554289,-0.351907,-0.78485,-0.747445,-0.522325,-0.016107,-0.522497,-0.997174,-1.591224,1.79331,0.457952,1.044173,-0.0138
premier,0.34802,0.442574,-1.587217,0.724243,-0.026572,-0.212011,-0.738538,-0.128105,-0.107251,-1.739745,-0.788036,0.103273,-0.116203,-1.117995,1.148375,-0.434184,1.333083,0.376503,-0.309958,0.057338,1.629096,0.998902,-1.403934,-0.109729,-0.112597,-0.07762,-0.38102,-0.161543,-0.649908,-1.227113,0.880724,-0.250509,0.526855,0.262874,-0.744893,-1.04222,-1.844375,-0.295397,0.111888,-1.556632,-0.309707,1.00931,0.282242,-0.307324,1.196258,0.897793
ensemble,-0.60306,1.440618,-0.886932,0.185756,-0.938153,-0.596622,-1.073922,-0.55436,-0.059611,-1.009589,-0.131938,-0.214197,-0.655871,-1.302102,-0.086574,-0.243533,-0.146226,0.098398,-0.848791,1.492881,0.972186,0.983442,-1.039415,-0.523716,0.760458,1.083758,0.461767,0.038285,-0.580249,-2.221123,0.94271,0.362273,1.083289,0.337307,-1.088326,-0.67007,-0.640826,-1.413909,0.399837,-0.460884,-1.799391,-1.649843,0.120736,-0.339406,-0.375556,0.530492
point,-0.598577,1.744968,-0.991376,0.17142,0.807343,0.252445,-1.619889,-1.460165,0.206777,-1.200428,0.750892,-0.032254,0.307235,-1.323439,0.540246,-0.509663,0.028041,0.833494,-1.409096,-0.207792,0.781735,-0.481971,-0.958838,-0.185964,-0.659339,0.909328,0.070811,-0.827678,0.233735,-0.556928,1.175072,1.755131,0.391788,0.521622,0.355474,-1.018768,-0.730334,-0.599241,0.794829,-0.686475,-1.287903,-1.463367,0.657089,-0.263339,0.262285,1.547775
théorie,0.160225,0.607337,-1.165494,0.366549,-0.138896,-0.59343,-0.033241,-0.699759,0.090893,-1.548083,-0.879273,-0.506577,0.338724,-1.701437,-0.29375,0.166154,0.199646,1.128513,-0.586778,-0.169864,0.24896,1.500331,-0.49486,0.602055,0.856597,0.140199,0.974079,0.214883,-0.335308,-2.342083,1.487868,0.012291,1.458558,1.575292,-0.130494,0.709938,-0.93109,-1.199688,-0.263019,1.138088,-0.730965,0.115733,-0.1026,-0.428313,0.600543,0.997513
exemple,0.466702,1.212603,-1.37433,-0.441491,-0.163843,-0.502105,-0.86634,-1.142984,0.709087,-0.900509,-0.550703,-0.058139,-0.562106,-1.232862,0.663996,-0.098378,-0.001366,0.053752,-0.960309,-0.427012,0.517815,0.428067,-0.74311,-0.145475,0.091378,0.001129,0.115895,0.44686,-0.233071,-1.740885,0.99675,0.215658,0.36079,0.203017,-0.290044,-0.481792,-1.487871,-0.192748,0.255846,-0.705333,-1.075327,-0.701079,0.798951,0.193166,0.547526,0.437214
espace,0.822357,0.648535,-1.205198,0.193808,-0.045888,-1.183951,-1.349525,-1.24294,0.610421,-1.398833,-0.167187,-0.127877,-0.125457,-1.227087,0.519926,-0.579966,-1.329746,0.053147,-1.141477,0.560789,0.03555,0.997635,-1.104407,-0.133314,-0.11867,0.639737,0.479975,-0.293635,-0.569527,-0.967717,1.972204,0.323843,-0.522859,0.256153,-1.080709,-0.358497,0.407904,-1.111182,0.112794,0.522123,-2.126914,-2.306055,1.124448,1.141274,0.100576,0.962182
théorème,0.910034,0.161328,-1.624455,-0.373215,-0.095882,-1.294136,-0.058012,-0.596811,-0.084244,-1.526761,-0.811663,0.745416,-0.331202,-2.175879,0.897003,-1.741863,0.110575,0.584712,-0.179241,-0.26526,-0.281008,0.986973,-1.038006,-0.222154,0.589585,0.680181,0.612086,-0.970634,-0.108548,-0.988822,1.523557,1.023754,1.458748,1.160476,0.357198,0.683287,-0.601416,-0.988662,-0.089613,-0.171553,-0.678031,-0.181552,0.829777,-0.693412,1.321448,0.19165
problème,-0.093715,0.05001,-2.25191,0.869211,-0.099212,-0.441085,-0.356213,-1.387584,0.364352,-1.743994,0.296502,0.634881,-1.019136,-0.506098,0.019841,0.032054,0.114139,0.190585,-0.712193,-1.218385,0.967413,0.57959,0.213086,-0.566257,0.76284,0.39182,1.332941,0.162169,0.093832,-1.613556,-0.105854,-0.36963,1.616822,1.428511,1.028966,-0.634544,-0.539291,-0.353247,0.638197,-0.244156,-1.159442,-0.816174,0.846049,0.340373,0.840302,0.627135
valeur,0.658277,2.15518,-0.742356,0.171191,-0.354304,0.267421,-1.37542,-0.522915,-0.374981,-0.897069,0.809705,0.031457,0.249255,-0.717605,1.200828,-0.042911,0.328008,0.653238,-1.565454,-0.022045,0.425623,0.757025,-0.731012,-0.506554,0.212184,0.729868,-0.097778,0.672699,0.258887,-1.419276,0.76879,0.606496,0.502516,-0.297894,0.304032,-0.096168,-1.819212,0.034582,0.336899,-1.411029,-1.453527,-0.841391,1.324037,0.723803,0.277027,0.064126
groupe,-0.082836,0.054695,-1.050385,0.565265,0.501502,-0.694219,0.213956,-0.443381,1.359523,-1.442236,-0.363515,0.497765,0.925752,-1.695073,-0.825944,0.218284,0.14273,0.636278,0.22434,0.15389,-0.467457,-0.277942,-0.561485,-0.503049,0.657131,-0.188332,-1.121184,0.572439,-0.827493,-2.187906,1.766494,0.465929,-0.08368,0.536829,-1.360667,-0.212714,-0.1971,-0.659152,-0.589497,-0.290295,-1.791954,-1.463143,0.034844,0.876834,1.327464,1.403074
graphe,0.665307,-0.317041,-1.386772,-0.063441,-2.895976,-0.390235,0.066277,-0.45478,1.105665,0.577577,0.368577,0.256536,0.054954,-2.677838,-1.065081,-0.285734,-1.233684,0.715549,-0.531138,0.858244,0.52283,0.556409,-0.103274,-0.750591,0.422153,-0.707978,-0.582115,0.087844,-0.635987,-1.904455,0.881611,-0.183745,1.968712,1.544249,1.31236,-0.163814,-0.450192,-0.127778,0.381703,-0.890965,-1.664827,-0.728928,0.863761,-0.652345,1.449388,1.144909
forme,0.794142,0.61208,-1.730344,0.134798,0.008831,-0.804199,-0.809324,-1.205893,0.219889,-1.161123,-0.284212,0.223621,0.324467,-0.947677,1.10649,0.097123,0.361323,-0.560815,-1.020266,-0.655534,-0.005391,0.398647,-0.490998,0.767767,0.10204,-0.279786,-0.06135,0.526741,0.035946,-1.207113,0.806198,-0.18049,0.448132,0.192463,-0.555196,-0.572548,-0.676227,-0.107774,1.354231,-0.408275,-1.472889,-0.802206,1.304175,0.501456,0.231039,0.848951
entier,0.860191,1.319549,-0.96407,0.612339,-0.083148,-1.266005,-0.82294,0.231667,0.122811,-1.221917,0.190522,0.204481,-0.20767,-1.329954,1.413613,0.361651,1.468137,0.012853,-0.47432,-0.019662,0.771136,0.440759,-1.428717,-0.793697,0.041181,0.575905,-0.207056,-0.098115,-0.814013,-1.986621,0.166686,-0.016455,1.113658,-0.061606,-0.767037,-1.019527,-0.716782,-0.614493,0.335697,-1.584987,-1.520324,-0.013469,0.154311,0.017027,0.523226,-0.005068
système,-0.199974,1.441019,-1.633327,0.265171,0.559055,0.207166,-0.466793,-0.82515,-0.106778,-0.799061,-0.120617,-0.71246,-1.193834,-0.876728,-0.189418,0.95729,0.004456,0.140894,-0.64616,-0.232503,0.80442,1.509516,-0.008095,1.659296,-0.506223,-0.498698,1.042022,-0.587851,-0.456438,-1.643074,1.151753,-0.089231,1.214158,-0.119464,-0.404599,-0.414407,-1.388007,0.256567,0.076914,0.092075,-1.575122,-0.36071,0.291716,0.272231,1.208852,0.907238
