word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
un,0.072204,-0.652828,0.518313,0.588633,0.440763,0.332903,0.031065,0.322025,0.270308,-0.127401,0.229278,0.006724,-0.150335,0.067377,0.410484,-0.250923,-0.343639,0.228035,0.227309,-0.221984,0.368213,-0.541212,-0.088688,0.085057,0.565192,-0.770196,0.572492,0.183391,-0.127898,0.016609,-0.357504,0.079047,-1.18399,-0.176526,1.094172,-0.662723,0.345597,0.051756,-0.037397,0.009437,1.326493,-0.305847,-0.166107,0.855974,0.148891,0.116584
nombre,-0.012666,-0.957815,0.423279,0.642042,0.002917,0.484296,0.12121,0.367357,0.147972,0.029554,0.184988,-0.004041,-0.128583,0.264152,0.346823,0.278636,-0.183399,-0.098167,0.143436,-0.766041,0.121601,0.31935,0.27794,0.088666,-0.107533,-1.753953,1.272057,-0.090732,-0.129988,-0.385328,-0.041634,-0.659849,-1.201711,-0.001485,0.940334,-0.41533,0.083739,-0.629051,0.376626,-0.543525,0.116183,-0.289274,0.095826,1.418098,0.327019,0.142464
$\mathbb{N}$,-0.216405,-0.288345,0.335712,0.365039,-0.3323,0.265359,0.32798,0.448279,-0.194773,0.320166,0.10119,0.026783,-0.50599,0.331732,-0.01235,-0.124437,-0.435481,-0.21895,0.216976,-0.642282,0.930467,-0.167239,0.39143,0.592703,0.495957,-0.735759,0.432114,-0.116708,-0.241851,-0.210634,-0.421829,-0.23166,-1.117169,-0.366383,0.881684,-0.043213,0.451495,-0.184958,0.004826,0.430221,0.311562,-0.126033,-0.360991,1.098363,0.63011,0.214279
deux,-0.288426,-0.819783,0.297679,0.472111,0.452333,0.514793,0.503797,0.427324,-0.209988,-0.211756,-0.06565,-0.326244,-0.097748,-0.03114,0.258069,-0.591268,-0.401008,0.334998,0.202415,-0.11286,0.245944,-0.477327,-0.013307,0.026252,-0.437158,-0.741982,0.400407,-0.130901,-0.102108,0.411655,-0.862756,-0.287007,-1.615495,-0.375749,0.582321,-0.316858,0.096436,0.203729,-0.06353,0.2212,0.989494,-0.491912,-0.159959,1.194903,-0.027351,-0.054817
fonction,-0.026779,-0.347712,0.488725,0.434112,0.703482,0.71483,-1.023922,0.675975,-0.17391,-0.289864,-0.255813,0.123037,-0.143964,0.191598,0.344971,-0.033672,-0.33656,0.033438,-0.13768,-0.956148,-0.055068,-0.085718,-0.064466,-0.878045,0.637589,-1.779235,0.435041,-0.042844,-0.66933,-0.574142,-0.763734,0.03823,-0.732957,-0.904668,0.750485,0.592212,0.758127,-0.498835,0.727229,0.13983,0.547883,-0.235252,-0.937381,0.209091,0.620468,-0.23271
premier,-0.280958,-0.441879,0.072853,0.349283,0.225036,0.277516,0.339867,-0.342344,-0.267186,0.407348,-0.594245,-0.143187,0.346671,-0.24049,0.153224,0.104477,-0.855843,0.443438,0.337866,-0.402173,0.198662,-0.360026,0.005963,-0.031674,-0.056975,-0.313392,0.406754,-0.084792,-0.266793,0.20065,-0.939161,-0.314969,-1.987776,-0.548972,0.346258,-0.402925,-0.202521,-0.147526,-0.223244,0.155041,0.400855,-0.127991,0.118202,0.485802,0.248882,-0.227341
ensemble,-0.138903,-0.413081,0.772914,0.027522,0.829138,0.53733,0.159556,-0.098601,0.172944,-0.952597,0.209102,0.171636,-0.280837,-0.482005,-0.002418,-0.423189,-0.093943,0.925748,-0.266656,-0.110411,0.199541,-0.529715,0.104089,0.082231,0.498925,-0.656194,0.481074,0.301098,-0.14688,-0.080589,-0.56968,-0.234132,-1.047439,-0.057725,0.808318,-0.263085,0.363008,0.109742,0.276443,-0.262149,0.049653,-0.497608,-0.598126,0.912434,0.353072,-0.069514
point,-0.517818,0.1333,0.42606,0.936434,-0.463996,-0.245047,0.167905,0.733692,-0.013344,-0.00694,0.134469,0.174043,-0.177068,-0.055177,0.210203,-0.48077,-0.339086,-0.911684,0.102133,0.203675,0.096011,0.587993,-0.336199,0.912794,-0.737949,-1.333777,0.594818,0.212937,-0.657815,0.437333,-0.122955,-0.460114,-1.653864,0.043327,-0.079638,-0.163611,-0.085835,-0.414005,0.119377,-0.580284,0.256223,-0.407396,0.264134,1.383161,0.621615,-0.30321
théorie,-0.044016,0.282796,0.718635,0.635118,0.632749,-0.339456,-0.662602,0.586264,-0.747024,0.435317,0.244465,0.857074,0.117795,-0.224229,0.840205,0.23305,0.031417,-0.175792,-0.13526,-0.601069,0.31383,-0.309631,0.427288,0.495086,1.258245,-0.596969,1.199635,0.582087,0.800454,-0.205598,0.032116,0.285512,-0.236995,0.632289,-1.202431,-0.027981,0.590758,0.136169,0.024267,-0.385833,0.969078,0.310808,-0.982181,0.583877,2.464171,-0.709999
exemple,0.057635,-0.303275,0.643895,0.78975,0.213099,-0.035978,0.227806,0.208294,0.014599,-0.160047,0.683327,-0.090515,-0.1356,0.06743,0.767216,-0.262377,0.093499,0.059054,-0.28423,-0.851298,0.606364,-0.108502,0.034855,0.475099,1.017667,-0.779581,0.91153,0.312428,-0.678991,-0.279202,-0.098896,0.232092,-0.108685,-0.07598,1.176308,0.217736,0.419382,0.043333,0.529061,-0.060459,0.83435,-0.245708,-0.379012,0.977387,0.7207,0.035733
espace,-0.377601,-0.162864,0.740156,-0.340833,1.512582,-0.315374,-0.223709,0.54979,0.091116,-0.921462,0.305303,0.550638,-0.141408,-0.330212,0.688377,-1.001558,-0.014975,0.563931,-0.253152,0.26909,0.491216,-0.491781,-0.693528,0.444051,0.424806,-1.013991,0.528708,-0.199012,-0.822058,-0.297261,0.434407,0.360576,-0.672445,0.796976,0.631697,-0.755275,0.540432,-0.126405,-0.029016,-0.014347,-0.105887,-0.414089,-0.869588,1.050853,0.293159,-0.25539
théorème,0.305651,0.758282,0.683622,-0.012666,-0.167676,-0.219759,0.280721,0.061487,-0.713052,0.485564,0.539835,0.446677,0.905377,-0.945551,0.782372,-0.81555,1.247063,-0.848858,0.494024,-0.20019,-0.786989,-0.155459,0.718405,0.204669,-0.217334,-0.411529,0.774935,0.333501,-0.460957,-0.290052,1.042231,-0.518176,0.716685,0.42444,-1.974205,1.58465,1.200259,-0.433501,0.437364,0.278538,0.951677,-0.156288,-0.719424,0.621216,2.004294,-0.058746
problème,0.107856,0.218956,0.206128,0.145505,-0.508244,-0.492337,-0.345983,0.556147,-0.23301,0.226468,0.339993,0.454688,-0.385745,0.254741,0.281784,0.284318,-0.668426,-0.137031,0.1586,-0.316899,0.804959,0.51366,0.734187,0.269028,1.151919,-1.440601,0.297202,-0.193945,-0.452329,-0.157501,-0.19509,0.527512,-0.493592,-0.149801,0.073385,-0.47487,0.055113,-0.005527,-0.217773,-0.037991,0.795126,-0.474616,-0.835756,0.521337,1.40408,-0.387214
valeur,-0.040408,-0.401269,0.937541,0.064921,0.002044,0.227818,0.161172,0.684336,0.105475,0.350356,-0.154353,0.756033,0.246525,0.279436,0.624347,-0.48048,0.438067,-0.072787,-0.423668,-0.467827,0.16755,0.658356,0.204737,0.145809,0.624144,-1.219997,1.134774,0.651372,-0.76022,-1.025188,0.293237,-0.370877,-0.551127,0.020801,0.66447,0.263865,0.677696,-0.996008,0.517644,-1.222838,0.679738,-0.007245,-0.625234,1.333325,1.050113,0.334831
