word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
un,-0.383784,0.742436,-0.080972,0.193985,0.69242,0.359045,-0.537746,0.389323,0.545091,-0.458385,0.268677,0.116501,-0.096355,-0.170522,-0.185888,-0.571994,-0.137655,0.158872,1.648609,0.222636,0.112,0.273691,1.029406,0.116822,0.305582,0.48634,0.743079,0.135879,0.141202,-0.021486,0.301468,0.313693,-0.029719,0.470306,0.210809,0.647913,-0.013047,-0.092905,-0.292972,-0.06463,-0.283348,-0.337586,1.325694,-0.042204,-0.224303,0.178797,-0.099878
nombre,-0.473805,0.416587,0.195451,0.510265,1.056836,-0.403925,-1.058528,0.591736,0.387879,-0.292783,0.439883,-0.664636,-0.399295,0.36675,0.501679,-0.507575,-0.395015,0.670046,2.382144,-0.553085,-0.807481,-0.146187,-0.150911,-0.56278,0.24494,0.414563,0.179282,0.421204,0.803916,-0.618241,0.378009,-0.117565,-0.134403,0.886596,0.242623,0.451959,-0.19295,-0.303057,-0.026167,-0.833193,-0.413355,0.39825,0.452471,-0.217197,0.223212,0.925794,0.370235
$\mathbb{N}$,0.193407,0.065906,0.061182,0.553495,0.389111,-0.269695,-0.633671,0.789194,0.068113,-0.211721,0.332529,0.297975,-0.201367,0.238168,0.231195,-0.846697,-0.201396,-0.308003,1.260095,0.080379,-0.525148,0.000787,0.319387,0.197567,0.206314,0.215001,0.866392,0.650415,-0.038473,-0.069529,0.875827,-0.211736,0.029784,0.87312,0.563628,0.681956,-0.125069,-0.097777,-0.113779,-0.613649,-0.463138,-0.362206,0.562007,-0.139714,-0.496297,0.617159,0.122707
deux,0.069491,0.726026,-0.018031,0.298026,0.375459,0.163933,-0.214571,0.335602,0.377397,-0.429701,0.258466,-0.285003,-0.164295,0.074187,-0.095695,-0.088767,-0.097054,0.19256,1.662667,0.002251,0.04467,0.624055,0.619532,-0.441292,0.544095,0.424747,0.152059,0.43223,0.159813,0.04239,0.80835,0.656459,0.260338,0.321223,0.065971,0.77222,-0.500943,0.143245,-0.177649,-0.329494,-0.12667,-1.103717,1.209164,-0.551631,-0.405279,0.417168,-0.36013
fonction,0.837036,0.541376,0.270478,0.492727,0.90582,-0.040332,-1.391918,0.524361,0.266508,0.513141,-0.097598,0.242431,0.465121,1.330218,-0.566391,-0.302811,-0.924177,1.04313,1.608004,-0.36804,0.323107,0.33112,1.166502,0.057378,0.007646,0.348668,0.91493,0.185544,0.204131,-0.999191,0.733228,0.136734,0.763244,0.69063,0.374399,0.599303,0.523378,-0.150884,-0.621738,-0.219753,-0.655733,0.256986,-0.498121,-0.163651,-0.33754,0.173273,0.106039
premier,0.354174,0.465184,0.340971,0.520617,0.472225,0.023325,-0.380898,0.032732,0.199521,-0.421578,0.054982,-0.096372,-0.558989,-0.135578,0.376691,-0.296569,0.366759,0.553179,1.359239,0.134174,0.247166,-0.027374,0.338209,0.066007,-0.032429,0.263848,-0.026479,0.391089,-0.02307,0.151492,0.792948,0.721253,0.240466,-0.633028,0.057834,0.190852,-0.300553,-0.263984,0.107757,-0.084955,-0.184456,-0.679508,0.94973,-0.45391,-0.360223,1.143033,-0.517154
ensemble,0.640886,0.47456,0.324157,-0.02675,0.869363,-0.017589,-0.132615,-0.194893,0.602244,-0.169088,0.428051,0.196135,-0.05149,0.756918,0.075255,-0.628434,-0.482482,-0.287414,2.037773,-0.074179,0.082356,-0.140544,0.698892,-0.569006,0.548856,-0.288275,0.308936,0.308436,-0.2611,-0.37958,0.383404,0.2653,-0.058938,0.180491,-0.093588,0.474332,-0.196376,-0.383264,-0.991618,-0.37486,-0.096345,-0.459713,0.497093,0.050037,0.006039,-0.243176,0.372908
point,-0.18494,-0.245824,-0.237469,0.292965,0.495482,-0.287756,-0.814867,0.366653,-0.172445,-0.151344,0.485773,-0.061586,-0.039743,-0.152692,-0.233327,0.319016,0.32227,-0.309194,2.161616,0.401716,-0.206819,0.443269,0.047225,0.317907,0.491926,0.121823,-0.415935,1.637749,0.957566,-0.051178,0.758793,-0.284887,-0.000198,0.834805,-0.014311,0.327296,0.100981,0.087411,-0.42265,-0.454547,0.553457,-0.101268,0.46208,-0.926412,0.032399,0.653998,0.070411
théorie,1.07314,-0.133261,1.180961,0.232377,0.808248,-1.259227,-0.501129,0.297669,-0.208463,0.138374,0.82364,0.46173,-0.831625,0.822315,-1.128155,-0.841275,0.05651,0.149881,0.922199,0.029528,0.146264,-0.681819,1.438671,0.854785,-0.091644,0.973182,1.462127,0.55512,0.756228,-0.723459,0.331423,-0.055626,-1.558724,0.195283,-0.061067,0.097813,-0.10474,0.026776,-0.636934,-0.942672,1.010568,1.475957,0.030659,-0.29789,0.689835,-0.363827,-0.182561
exemple,0.228601,0.628293,0.138973,0.380436,0.671419,-0.161383,-0.52617,0.470696,0.70344,-0.17494,0.716934,0.397227,-0.342331,0.345708,-0.154347,-0.480791,-0.139272,-0.422176,1.36039,-0.440938,-0.231197,-0.123312,0.802381,0.454122,0.017757,0.538629,0.795528,0.518944,0.355731,-0.594604,-0.035916,-0.26358,-0.298156,1.033934,0.247398,0.636773,0.400149,-0.450626,-0.301823,0.020453,-0.730244,0.210579,0.483519,0.19154,-0.242373,-0.338025,0.335201
espace,0.589895,-0.529387,0.661825,-0.289226,0.414806,0.651192,-0.765725,0.02212,1.007541,0.299666,0.402589,-0.359862,-0.440477,0.225133,-0.799322,-0.336151,-0.527502,-0.105089,2.132684,0.303164,0.244136,-0.275848,1.351346,0.140664,1.236326,-0.420522,-0.261594,0.167267,-0.134891,-0.656858,0.094083,-0.448777,-0.394612,0.998452,-0.061857,-0.03089,-0.29626,0.047405,-1.30707,-0.651732,-0.061322,0.091688,0.218228,0.343206,0.080635,-0.639606,0.935376
théorème,1.228654,-0.503854,0.979455,0.80087,0.97662,-2.136891,-0.387121,2.032186,0.692618,-0.10318,1.937427,0.626825,0.5533,1.335931,-0.760578,-0.214607,-0.5501,0.629934,0.149474,-0.202149,-0.255458,0.052514,0.730071,0.569559,1.217497,0.085324,-0.389086,1.431155,0.461486,-1.104126,-0.344531,0.512324,-1.202927,0.285964,-1.434955,-0.101646,-0.536017,-0.064688,-0.422176,-0.818997,0.661936,1.390118,-0.649512,-0.363573,0.6781,-1.115664,0.059446
problème,0.53572,-0.392291,-0.322182,0.712657,1.005986,-0.478673,-0.633883,0.121622,-0.339716,0.20418,0.229169,0.283306,-0.449831,0.521658,-0.326571,-0.931921,0.008075,-0.016382,1.332864,0.121953,-0.198855,-0.023531,0.481293,1.296393,0.441716,0.759901,0.987743,0.635091,0.267555,0.00089,0.907328,0.153305,-0.366726,0.82341,0.521161,-0.23691,-0.136434,0.212879,-0.106907,-0.03162,-0.339291,0.682346,0.194022,0.26958,0.583099,-0.1007,-0.037884
valeur,0.050427,0.394172,0.692576,0.709277,1.675132,-0.32622,-1.543736,0.61151,0.041919,-0.216112,0.419553,-0.057287,0.371311,0.424853,-0.675268,-0.335566,-0.968421,-0.757543,1.886678,-0.920311,-0.589721,0.051135,0.255596,0.15267,-0.594119,-0.047747,0.660417,0.797654,0.504601,-0.882132,-0.000235,-0.494054,0.122402,0.957003,0.237376,0.160985,0.681517,0.102562,-0.47091,-0.674679,-0.062209,0.577357,0.516246,0.379654,-0.165909,0.069101,0.398958
groupe,0.432809,0.641676,-0.273001,0.936702,0.612183,0.0611,-0.064058,0.476113,0.261859,-0.960327,0.303232,-0.657341,-0.662756,0.613693,0.878684,0.050177,0.042476,0.183199,1.519193,0.310999,0.02345,-0.944935,0.349478,0.033363,-0.225743,0.601054,0.29447,-0.107344,-0.420245,-0.2679,0.554895,-0.291921,-0.816386,-0.910855,0.224595,0.089856,-0.668296,-0.560524,-1.377324,0.074111,-0.254581,-1.600896,0.266265,-0.17266,0.189505,0.27718,0.304623
graphe,0.327849,-0.055804,0.743478,-0.031742,0.642462,-1.698679,0.681101,1.852921,0.698995,0.84324,1.106724,-0.464517,0.528355,1.321597,-0.057536,0.171979,-0.490511,0.870352,1.068052,0.596458,-0.740493,0.902136,-0.02458,-0.52652,1.519283,0.297603,0.015553,-0.667335,1.902444,-1.093454,-0.609078,-0.031092,-1.315107,1.503967,-1.660146,0.377376,0.105417,0.255304,-0.757197,-1.080128,0.624435,0.665616,-0.421309,0.002617,0.367516,-1.557358,-0.302912
forme,0.288612,0.954489,0.229393,-0.295055,0.288687,-0.205951,-0.6748,0.218,0.941912,-0.445125,0.728934,0.216752,-0.280787,0.129219,-0.359474,-0.088213,0.157523,-0.475034,1.440173,-0.590532,0.483305,-0.410118,0.761573,0.248519,-0.389252,0.233808,0.746948,0.070845,0.164915,-0.016711,0.267474,0.556137,-0.377177,1.077808,-0.061283,1.036043,-0.647398,-0.189537,-0.504544,-0.270024,-0.626929,-0.333703,0.939603,-0.032333,-0.432124,-0.889579,-0.44774
entier,0.353443,0.157606,-0.030989,0.545414,0.557423,-0.433824,-0.603388,0.532887,1.046389,-0.429256,0.68043,-0.253153,-0.477189,0.819856,0.33632,-0.339757,-0.871937,0.091592,1.245129,-0.282751,-0.343448,-0.457893,0.265204,-0.097423,0.12958,-0.122463,0.014081,0.091014,0.343292,-0.655266,0.096309,-0.215029,-0.220377,0.841102,-0.030946,0.597521,-0.350719,-0.239351,-0.391066,-1.103589,-0.547796,0.103743,0.871538,-0.04218,-0.064541,0.298721,0.442958
système,0.496225,1.169082,-0.066099,0.520276,1.758841,0.157012,-0.796338,-0.003359,0.007857,0.523161,0.182974,0.256382,-0.675156,0.547864,-0.649147,-0.590115,0.360379,0.683391,1.917683,0.476219,0.461787,-0.427764,1.500191,0.442592,-0.084529,0.63772,0.787966,-0.034628,0.407212,0.106127,0.078967,-0.526049,-0.034807,1.365053,0.020505,0.080593,0.571918,0.270918,0.229372,0.096605,-0.593242,-0.01053,-0.129332,-0.140053,0.090678,-0.694408,-0.714844
équation,1.858934,-0.498474,0.746949,0.784016,0.682149,-1.996331,-0.49362,1.452219,-0.232068,0.366433,0.860056,0.912235,0.359299,1.550519,-1.281945,1.028096,-0.599529,1.145453,1.051982,-0.522664,-0.2383,-0.507018,1.182559,0.91262,0.672238,0.393023,0.098549,0.816265,1.405233,-0.890619,-0.156451,0.480945,-0.422884,1.056869,0.410815,0.208561,0.729603,-0.184981,0.398356,-0.66664,0.555023,0.734811,0.02948,-0.823796,0.693892,-1.382387,0.26409
suite,0.541811,0.023235,-0.29582,0.491977,0.514518,0.131548,-0.418721,0.676166,0.117172,-0.78902,-0.174401,0.061339,-0.592653,0.518627,0.109531,-0.796063,0.050226,0.551575,0.936478,-0.02261,0.047254,-0.219116,0.434528,0.254019,0.302968,0.046417,0.391091,-0.060281,-0.19607,0.50123,0.87441,0.835298,0.243339,0.220164,0.299269,0.059832,-0.549963,-0.422445,-0.100264,0.226944,-0.255827,-0.247965,0.311814,-0.148983,-0.08532,1.235751,-0.311517
