word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
un,0.169118,-1.869462,-0.057622,-0.426123,-0.149882,0.191727,1.193964,0.001086,0.118167,0.505209,0.077074,0.373932,0.528506,-0.0598,-0.29714,0.156423,-0.580319,-0.875424,-0.184448,0.724197,-1.096666,-0.280152,-0.567951,-1.037849,0.600432,-0.284014,-1.404041,1.217395,0.617663,0.539942,0.896688,-1.138526,0.041427,0.33598,-0.058862,0.435945,-0.430843,1.890553,-0.00918,-0.701934,0.423658,3.744547,0.531012,0.8379,-0.354301,0.035048,-0.366162
nombre,-1.374109,-2.008698,0.800677,-0.992736,-0.569721,-0.44819,1.110096,-0.360847,0.530445,-0.001354,0.385734,1.890805,1.741835,0.486583,0.189168,1.439169,0.461752,-0.662694,0.409283,0.309816,1.053278,-0.083393,-0.758293,-1.080075,-0.147503,-0.410577,0.007655,0.454313,-0.574386,-1.552951,0.167134,0.298836,0.133878,-0.068582,-0.444536,0.341147,-0.64831,1.972933,0.507479,-0.352819,0.759676,3.638995,0.084233,-0.56026,-0.092983,-0.224227,0.382774
$\mathbb{N}$,0.049482,-1.896731,0.519252,-0.676347,0.091218,-0.247326,1.242727,0.58943,0.281913,0.817363,0.446019,0.433864,0.326339,0.151298,1.051882,0.623783,-0.808534,0.114484,-0.039641,0.578869,0.509953,-0.853569,-0.845992,-1.272732,0.516904,-0.790626,-0.987339,-0.599108,-0.279859,-0.534302,0.169759,-0.949861,0.096755,0.057735,-0.190573,0.672211,-0.414248,1.584235,0.157952,0.398198,0.133381,2.808278,0.312725,-0.07783,0.816215,0.625778,0.627011
deux,0.905769,-2.172864,0.203629,-0.058236,0.049576,0.277281,1.002649,1.187588,0.222973,0.368185,0.537425,0.250254,0.800413,0.063019,-0.687472,0.088038,-0.480905,-0.247908,-0.357055,0.635913,-0.352789,-0.389083,0.079745,-1.118517,0.202688,-0.149685,-0.255902,0.962145,-0.278858,0.048647,0.788178,0.01711,0.537181,0.125944,0.389976,-0.288901,0.085988,2.040962,0.465095,-0.344103,0.718071,3.520631,0.66616,-0.531147,0.267685,-0.126182,-0.008127
fonction,0.613357,-1.841178,-0.526741,0.063735,-0.213967,-0.079739,1.55619,-0.386867,0.734623,0.103045,0.496282,0.324197,0.998981,0.79771,0.532911,-0.463182,-0.242272,0.006265,-0.699417,-1.053664,-0.087113,-0.31102,-0.87458,-0.126855,0.166985,0.650067,0.006278,0.569876,-0.679557,-0.117767,-0.207214,-2.192549,-1.043982,-0.731195,-0.011668,0.445109,-0.682099,2.589136,-0.222201,1.570239,-0.165842,3.264775,-0.291716,0.420853,-0.554917,-0.363908,0.126355
premier,-0.249053,-2.092332,1.030391,-1.089911,-0.551203,-0.643546,1.342299,-0.958251,0.279452,0.387553,-0.058135,1.642022,0.918652,0.184283,-0.363959,0.177171,0.006086,-1.309884,0.377333,-0.165743,0.179999,-0.116227,-0.448402,-0.967839,0.673475,-0.629646,-0.2814,0.144083,-0.017551,-0.338649,0.249355,0.402609,0.346252,0.271903,-0.732055,0.569191,-0.162053,1.800976,0.206375,-0.593942,0.60074,3.082079,1.017148,-0.335427,0.058056,-0.092451,0.606521
ensemble,0.510068,-2.06521,0.471701,-0.650163,-0.771072,0.023675,1.432387,0.836397,0.431241,0.062667,0.785354,-0.761397,1.232902,0.598587,0.670824,0.730784,0.030922,-0.317656,-0.020552,0.782035,-0.73911,-0.361623,-0.068202,-1.297786,-0.425543,-0.058074,-0.78557,0.942503,-0.318012,-0.55369,0.765337,-0.93006,-0.266405,-0.716955,-0.358675,-0.92916,0.896249,1.399206,-0.134935,0.190469,-0.851391,2.866171,0.045869,0.481976,0.456517,0.653612,0.88614
point,0.491641,-2.637848,-0.625495,0.092602,0.427068,-0.817078,1.14621,1.575765,0.372817,0.975589,0.08223,-0.364362,0.107611,-0.25215,-0.590234,0.108322,-0.988148,0.623373,0.392528,-0.534997,0.226507,-1.179119,0.567621,-0.615253,-0.051606,0.700754,-0.31688,0.21144,0.267695,-0.430833,0.327403,-0.147672,0.122097,-0.436272,-0.348391,-0.783269,-0.01476,2.218944,0.885899,-0.589063,0.231584,2.859681,-0.365068,0.962006,0.037078,0.858306,-0.38087
théorie,-0.091222,-0.965069,-0.521508,-0.150272,-1.20949,-0.923297,2.600328,-0.33579,-1.032393,0.022085,-0.385238,0.257903,0.42382,0.799102,0.722125,1.379951,0.069786,-0.05664,-0.486583,0.399429,-0.54174,0.31131,-0.064087,-0.087315,0.238129,0.671889,-1.815421,-0.009287,-0.131865,0.460236,-0.179323,-0.658684,-0.921551,0.52438,-0.670478,-0.630128,0.287277,1.259497,-1.027187,-1.097212,-0.534167,2.748007,0.533312,-0.19267,-0.579845,-0.435746,1.148033
exemple,-0.102752,-1.69321,-0.465902,-0.14171,-0.243022,0.326914,0.707879,0.251693,0.232056,0.62678,0.76213,0.654729,0.648587,0.232332,0.178944,0.495853,-0.658114,0.015622,0.112234,0.051887,-0.459114,-0.160277,-0.539012,-0.848724,-0.027636,-0.740369,-0.662021,-0.036105,-0.228912,0.022574,-0.2399,-0.820495,-0.463124,-0.014978,0.074695,0.230627,0.099838,1.861362,-0.584619,-0.326406,0.243934,3.030272,0.203004,0.12452,0.032306,0.596541,0.245137
