word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
un,-0.328806,0.109391,0.031658,-0.13292,-0.156362,-0.335257,-0.996512,0.462182,-0.854186,-0.085391,-0.170258,-0.309044,-0.868334,-0.303452,-0.31564,0.761003,0.181352,-0.325265,0.571417,-0.226308,0.068746,-0.319554,-0.525964,0.3333,-0.152377,0.735106,-0.072158,0.128049,-0.048291,-0.058884,-0.400752,0.139413,0.267006,-0.339528,-0.352238,0.230788,0.321167,0.236862,-0.009969,-1.635801,1.003453,0.289117,-0.561231,0.373336,0.040154,-0.187958,0.07666
nombre,-0.078394,0.166898,0.413759,-0.498619,-0.32848,-0.138534,-0.153554,0.223812,-0.453384,-0.188571,-0.046476,-0.124353,-0.642205,-0.189245,-0.02749,0.970178,0.406509,0.227879,-0.051686,-0.557911,0.216265,-0.072027,-0.07158,-0.246148,-0.364002,0.670743,-0.420201,0.523967,-0.164276,-1.069417,-0.097661,0.57011,0.930799,0.070513,0.212533,0.098324,0.829285,1.049317,0.125998,-1.87741,1.145933,0.240679,-0.409733,-0.523482,-0.16821,-0.536736,0.408483
$\mathbb{N}$,-0.198982,-0.229376,-0.04492,0.172352,0.20089,-0.276393,-0.54231,1.083333,-0.27879,3.4e-05,-0.295405,-0.300238,-0.094897,-0.414356,-0.174448,0.254641,0.257573,0.578389,0.191665,-0.112288,-0.270492,0.040755,-0.5005,0.046737,-0.161854,0.588971,0.109252,0.02723,-0.020033,-0.642407,-0.375604,0.56751,0.371771,0.220652,0.05378,0.324426,0.468266,0.210262,-0.146284,-1.689992,1.064262,0.043731,-0.298577,0.101093,-0.217476,-0.284287,-0.395802
deux,-0.500701,-0.239633,-0.075313,0.019768,0.001591,0.135514,-0.594444,0.380132,-1.22969,-0.176717,-0.149832,0.020463,-0.536261,0.205304,-0.253537,0.789845,0.522607,-0.069417,0.717618,-0.012471,-0.182986,-0.202325,-0.482005,0.023767,0.033161,0.454086,-0.020111,0.072559,-0.644202,0.108834,-0.368368,0.21246,0.499684,-0.112644,0.462903,0.035606,0.018109,0.093134,0.091063,-1.523196,0.958142,1.188323,-0.394301,0.415281,-0.18021,-0.078623,-0.126961
fonction,-0.753436,-0.412866,0.684805,-0.036096,-0.035217,-0.660471,0.273603,0.283396,-0.265317,0.553272,-0.275577,-0.472288,-0.705623,-1.136118,-0.295947,0.877816,-0.373209,0.252866,-0.167864,-0.539048,-0.622619,0.342814,-0.235122,-0.342087,-0.320237,1.003152,0.092289,-0.060112,0.29112,-0.160545,0.041289,0.302595,0.615797,-1.206935,0.302875,-0.789703,0.220646,0.392516,1.019946,-1.277309,1.506585,-0.075756,0.04781,1.036312,0.129993,-0.192678,0.036199
premier,-0.353457,-0.341303,-0.019949,-0.313517,-0.048351,0.345182,-0.416687,-0.184517,-0.997602,-0.15922,0.039899,0.417096,0.302811,-0.095775,-0.595737,0.240061,0.710771,-0.014249,0.322938,-0.550275,0.153445,-0.188224,-0.406074,-0.252443,0.057415,0.65328,-0.029033,-0.030722,-0.297483,0.011883,-0.863078,0.166091,-0.014174,0.19869,0.490079,-0.099824,-0.113665,-0.462766,-0.138347,-1.836518,0.697449,0.715946,0.108962,0.474952,-0.000494,-0.040774,-0.111018
ensemble,-0.133011,0.537614,-0.290468,-0.556396,-0.20374,-0.842884,-0.047781,0.074308,-1.057079,-0.060182,-0.231319,-0.041745,-0.434113,-0.210416,-0.495702,0.632117,0.380602,0.022761,0.551466,-0.224515,-0.456058,-0.246989,-0.686472,0.383877,0.289329,0.094425,0.255213,-0.285786,-0.144055,-0.289836,0.277985,-0.33023,0.125933,-0.39791,-0.051166,-0.593323,-0.021561,0.783868,0.459425,-1.031034,1.010738,0.358898,-0.621931,0.290799,-0.187762,-0.302684,0.04496
point,0.641478,-0.398958,0.564828,-0.222676,0.090364,0.055275,-0.366908,0.548677,-0.965489,-0.326483,-0.093924,-0.213559,-0.653001,-0.37241,0.447884,0.852079,0.505665,0.568792,0.32936,0.649743,-0.069536,-0.13235,-0.069209,-0.83227,-0.461341,0.542137,0.867821,-0.115634,-0.128085,-0.36908,0.48332,1.05906,0.426267,0.47027,0.327533,0.48729,0.228518,0.408777,-0.107076,-1.778477,0.048515,0.842906,-0.418308,-0.413319,-0.157122,-0.510609,0.535066
théorie,-0.257856,0.07662,0.245213,0.01814,0.078947,0.376471,-0.12712,-0.186263,-0.896589,-0.689535,-0.740839,-0.860089,0.222321,-1.437006,-0.01862,0.467843,-0.715521,1.975312,-0.363132,-0.007422,-0.752102,-0.965319,-0.295335,-0.070838,-0.610752,0.395082,0.730545,0.576871,0.853849,0.192028,-0.122944,0.746571,-0.906429,-0.336233,-1.606173,0.509324,0.676988,0.425901,0.656116,-0.700143,1.038145,-0.41043,0.232534,-0.130174,1.08058,0.127315,0.42504
exemple,-0.342134,0.502098,-0.284232,-0.276764,-0.076162,-0.913975,-0.473156,0.268355,-0.428685,0.212175,-0.290134,-0.715545,-0.824561,-0.414496,0.124659,0.534911,-0.278816,0.265383,-0.205698,-0.310155,-0.085987,-0.352771,-0.311136,0.344843,-0.449833,0.387587,0.366686,-0.198365,0.266983,-0.25895,-0.08714,0.41763,0.346516,-0.063901,-0.548127,0.732322,0.284602,0.841664,0.12554,-1.516126,1.175655,-0.460441,-0.154875,0.64688,0.158524,-0.339753,-0.449755
espace,0.070668,0.630384,0.055692,-0.298853,0.420051,-0.890867,-0.313065,0.064093,-1.175283,0.508853,0.359952,0.47708,-1.289099,-0.61738,-0.210975,0.941799,-0.072908,0.423537,0.437909,-0.16278,0.266447,0.365971,-0.254165,0.389152,-0.248551,0.309235,1.38284,-0.485799,-0.025037,-0.5238,0.290316,0.04096,-0.37584,-0.929099,-1.188138,-0.2967,-0.276595,0.932922,0.42276,-0.325252,1.218645,0.708867,-0.643815,-0.549614,-0.278743,-0.264348,0.37624
théorème,-0.620892,-0.779491,0.207672,-0.228053,-0.970194,-0.734843,0.34859,-0.535851,-0.382878,0.000988,-0.7235,0.082113,0.102475,-1.215888,0.766612,-0.463304,-0.713008,2.192173,-0.137463,0.436444,-1.269484,-0.541602,0.226754,-0.11046,-0.374783,-0.230334,0.631209,0.110805,0.662886,0.896497,0.451318,1.122325,-0.124089,0.042239,-0.252538,1.44355,1.361981,1.423144,0.589273,1.119609,-0.004265,0.902235,0.54398,-0.10496,1.128276,-0.12076,-0.204792
problème,0.11593,-0.568546,-0.392921,0.292332,0.317476,0.019962,-0.10316,0.444459,-0.13215,0.097505,-0.592928,-0.652313,-0.091288,-0.914202,-0.293671,0.387358,-0.305664,0.455121,-0.131608,0.186618,-0.127969,-0.763313,-0.822839,-0.550932,-0.164842,1.399032,0.462865,0.423187,0.429826,-0.646707,0.173782,0.461478,-0.238007,-0.209498,-0.85637,0.216891,0.588904,0.418991,-0.535748,-1.31005,0.769137,-0.302369,0.016176,0.190346,-0.1032,-0.164698,0.014062
