word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
un,0.350059,1.233662,0.518435,0.667598,1.419296,0.774602,-0.03012,-0.074042,0.698336,-0.532392,-1.123988,0.65757,-1.346367,-0.245122,0.438329,-0.598367,1.81901,-0.599628,-0.039259,-0.058689,-0.684534,-1.821321,0.275533,-0.307387,-0.477901,-0.943972,-0.725909,0.128248,0.566374,1.911258,-0.486019,-0.154821,-1.444339,-0.577677,0.404486,0.852406,0.448169,-0.530907,-0.675693,0.29012,0.308609,1.46884,0.136227,0.060038,1.984943,-0.533928,-1.327366,-0.409453
nombre,0.070759,0.389211,0.204549,0.798211,1.777488,1.0337,-1.310606,0.039692,0.642176,0.60979,-0.738625,1.513582,-1.695622,0.736731,-0.717469,-0.55446,1.478804,0.677324,-0.890873,0.315683,-0.970383,-1.357892,0.348592,0.710208,-1.311154,-0.299247,-0.647059,-0.834112,-2.287622,1.219527,0.375748,-0.459144,-0.025277,0.661278,-0.34383,1.067213,0.141655,-0.436399,0.483226,-0.341233,0.969118,1.756355,0.547692,0.89376,0.526982,0.942876,-1.978568,-0.455995
$\mathbb{N}$,0.349632,0.661111,0.22382,0.189647,1.255368,0.24457,0.002767,-0.373039,0.482563,0.889818,-1.392736,0.960151,-2.244961,0.69061,0.371868,-0.644011,0.136323,0.082959,-1.426204,-0.371204,-0.419687,-1.351613,0.739551,-0.408216,-0.294987,-0.700535,-0.61788,-0.208556,-0.708461,1.86469,-0.156559,-1.292799,-0.29142,0.704734,-0.046266,0.193886,1.077674,0.143477,-0.332378,0.313372,-0.252951,0.864529,0.370456,-0.479345,1.047892,0.264183,-1.038761,-0.97897
deux,0.318654,1.033706,-0.056475,0.95184,1.325003,0.53232,-0.24496,-0.511866,0.833258,0.42346,-0.841754,0.306602,-1.040073,-0.103152,0.158813,-0.318255,1.187979,0.522516,-0.298719,0.720318,-0.903614,-1.552692,0.565324,-0.790253,-0.912052,-0.016311,-0.975287,-0.159654,0.86886,1.853409,-0.584715,0.11615,-0.337553,-0.17068,-0.58232,1.209425,0.269779,-0.355138,-0.209679,0.399566,0.554751,1.640317,-0.481389,-0.657161,0.917442,0.366503,-1.654563,-0.950168
fonction,-0.107861,1.096359,-0.529901,0.79438,0.561841,-0.06276,-0.896613,1.588296,-0.051103,-0.016467,-0.830536,1.138831,-0.400566,0.742169,-0.288215,-1.387758,0.549582,-0.367473,-0.577016,0.284124,-1.648522,-1.256116,-0.463662,-0.285657,-0.934167,0.675687,-1.35857,0.299512,-0.279789,1.864873,0.58114,-0.871666,-1.451324,0.405799,1.001822,0.24596,1.082129,0.853397,-0.009059,0.996607,-0.289516,1.166702,0.066181,-1.203369,1.460745,0.415337,-1.987222,-0.038026
premier,-0.164695,1.100193,-0.563039,0.455435,1.288271,0.788507,-0.38766,0.041846,1.013139,0.30711,-0.967636,0.887305,-1.746749,0.835286,-0.453528,-0.560711,1.512183,1.134081,0.205806,0.25599,-0.447589,-1.899637,0.749397,0.071801,-0.727521,-0.856632,-0.976747,-0.375524,-0.866645,0.836772,-0.251473,-1.077179,-0.063037,0.231837,-0.086333,1.037698,0.711993,-0.712692,0.198026,-0.434146,0.705548,1.3661,0.603819,0.250838,1.071528,0.9664,-0.575829,0.310886
ensemble,-0.491007,0.136498,0.722569,0.631745,1.513477,-0.141882,-0.958984,-0.394326,-0.068194,0.200807,-1.15887,1.261112,-1.248722,-0.024058,0.983528,-0.729762,-0.150019,0.320025,-0.251474,0.985413,-1.325654,-0.313079,0.059906,-0.643252,0.233256,-0.301699,-0.349056,-0.175184,0.366044,2.592348,-0.378351,-0.856873,-1.069748,0.527977,-0.173657,0.519478,1.041954,-1.02518,0.22232,0.764781,-0.935212,2.171125,0.155584,0.268849,0.685229,0.178804,-1.654982,-0.57669
point,-0.251481,0.857061,-0.464051,0.5853,0.906754,0.402447,0.001853,-0.257509,0.49598,0.739265,-0.560838,0.32608,-1.798053,-0.400001,-0.403064,-0.422051,0.094219,-0.449163,-0.335447,-0.074416,-0.911461,-0.877036,0.570039,-1.186415,-1.019316,0.426029,-0.155885,-0.768448,1.435474,2.348623,0.875075,-0.422025,-1.302711,0.473028,-1.610866,0.138934,0.767241,0.462452,0.304202,0.619751,0.515094,1.560361,-0.717714,0.161493,1.900787,0.253289,-0.372691,-1.376855
théorie,-0.387499,0.69436,-0.153527,0.906909,1.014299,-0.276727,0.099504,-0.261507,0.218313,0.331415,-1.072674,0.56482,-1.300165,0.485446,0.857851,-1.848617,-0.133036,-0.237188,0.22507,0.121814,-0.724728,-0.768318,0.277783,0.065744,-0.161516,-0.647717,-0.54743,-0.763614,-0.814623,2.276574,0.432184,-0.203753,-1.313451,-0.1091,0.02745,1.105554,-0.1733,-0.741408,0.49196,0.105469,0.235344,1.726943,0.614886,0.486593,0.634435,-0.851917,-0.391824,2.158859
exemple,0.109434,0.427239,0.753636,0.215024,0.875807,0.685455,-0.180652,-0.219128,-0.032785,0.585417,-0.991407,0.855439,-1.738923,0.251392,0.047658,-0.622103,0.737974,-0.57778,-0.101963,0.270648,-1.14624,-1.443539,-0.019242,-0.472347,-0.659383,-0.670662,-0.309542,0.010933,-0.162197,1.696543,-0.129936,-0.24668,-0.879019,0.206308,0.369221,0.597302,0.948565,0.157601,0.18714,0.3396,0.845956,1.113135,0.164296,-0.390073,0.575959,-0.320942,-1.169804,-0.414022
