word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
un,0.122855,-0.10252,-0.20709,-0.396251,0.239197,-0.047364,0.083236,-0.612052,-0.032904,0.127652,-0.075662,0.228024,0.549196,-0.507344,0.087706,-0.106927,0.609276,0.208351,-1.12996,0.20551,0.257378,0.119034,0.283289,-0.161447,-0.665174,0.173434,0.053438,-0.282189,-0.711532,-0.359708,0.303593,-0.439443,-0.098202,-0.288609,-0.47816,0.917342,-0.430956,0.187348,-0.011455,0.118417,-1.796849,0.351815,0.633076,-0.076445,-0.071348,0.444865,0.405168,-0.291604
nombre,0.244455,-0.455886,-0.607596,0.765378,0.504503,0.352558,0.229787,-0.153932,0.379675,0.683241,-0.185254,0.160478,0.215829,0.357711,-0.038735,-0.296558,0.328857,0.103697,-0.901548,0.086281,0.434199,-0.053301,0.401861,0.124195,0.439742,-0.019363,0.207592,-0.061626,-0.860067,-0.648426,0.31115,-0.870211,0.419496,0.212643,-0.881672,0.863201,-0.46019,0.172046,0.190068,-0.355353,-2.267556,-0.080832,0.443208,-0.311946,0.168582,0.108675,-0.51442,-0.484289
$\mathbb{N}$,0.118663,-0.386265,-0.230807,-0.046744,-0.145289,0.590842,0.089779,-0.96162,-0.108428,0.435592,-0.379049,-0.168899,-0.063546,-0.357181,0.585533,-0.118368,0.141132,0.008852,-0.981137,-0.092797,0.069723,-0.319271,0.183777,0.22919,-0.296509,0.462262,0.218521,0.280113,-0.732559,-1.128315,0.35449,-0.447638,0.099169,0.225776,-0.338456,0.658436,-0.208321,0.110023,-0.012013,-0.215345,-1.523398,-0.045961,0.22754,-0.004832,-0.025083,0.138718,0.063499,-0.062716
deux,0.317346,-0.085552,-0.111688,-0.435128,0.115167,0.364477,0.068249,-0.87051,0.37066,0.396805,-0.327549,-0.029923,0.949277,-0.314302,-0.010892,0.606481,0.542008,0.0864,-1.188274,-0.06137,0.044601,0.435651,0.553791,-0.116434,-0.507827,0.281262,0.275848,0.225703,-0.518951,-0.057795,-0.037934,-0.082039,0.204754,0.03329,0.268215,0.815409,-0.390641,0.292085,-0.014556,0.46292,-1.835767,0.078441,0.618437,0.21501,-0.581756,0.157504,-0.14426,-0.670804
fonction,-0.029079,-0.048693,-0.250746,0.816509,0.536869,-0.349668,0.31164,-0.856619,0.012186,0.123617,0.205431,-0.20061,1.001913,-0.588658,0.311834,-0.944552,0.697543,-0.260736,-0.377538,0.164453,-0.425227,0.372352,-0.02857,-0.407871,-0.73501,-0.456034,0.513066,0.489544,0.286751,-0.919297,0.376456,-1.401249,-0.710346,0.229628,-0.581956,0.410123,-0.735096,-0.152681,0.228931,0.547095,-1.755243,-0.978156,-0.282122,-0.455528,0.265236,0.005296,0.063339,0.047399
premier,0.080182,0.045874,0.391364,-0.767277,0.194333,0.481479,0.18526,-0.683126,0.40969,0.274673,-0.072645,0.584757,0.739547,-0.40748,0.30449,0.406863,0.215709,-0.467263,-0.696615,0.072648,0.247802,0.067486,0.348037,0.262239,-0.223699,0.060318,0.059257,-0.037258,-0.068989,0.087323,0.243296,-0.151596,0.046403,0.3034,0.090353,1.279997,-0.410374,0.53955,-0.085001,-0.054245,-1.149653,-0.637401,0.25337,0.513289,-0.320774,0.248818,-0.527931,-0.773314
ensemble,0.165981,-0.037265,-0.270711,0.092519,0.342823,0.290144,-0.27439,-0.810096,-0.153951,-0.102395,0.104366,0.190493,0.369489,-0.388206,0.321153,0.463982,0.189167,0.655099,-1.02229,0.654307,-0.200675,0.022153,0.333765,0.178498,-0.202806,-0.800695,0.0942,-0.124498,0.048848,-0.200835,-0.2284,-0.504778,-0.261474,-0.541963,0.063556,0.667891,-0.607399,0.134362,0.360959,0.411466,-1.527251,0.381492,0.327719,-0.393681,-0.327669,0.168166,-0.364819,0.074144
point,1.29945,-0.675952,-0.02875,0.384694,-0.072109,0.265777,0.387307,-0.101962,0.219375,0.701408,-0.445245,0.944543,-0.160595,-0.143007,-0.619707,0.089506,-0.014536,0.670571,-1.03251,-0.810062,-0.20997,-0.211391,0.526072,0.110781,-0.010942,0.578852,-0.200958,0.30811,-0.534633,-0.494712,-0.109338,-0.123776,0.341993,0.245947,0.30067,0.520907,-0.131723,-0.075582,0.401512,-0.344099,-2.044336,-0.488251,-0.150203,0.425705,0.121124,-0.425508,0.037369,-0.539058
théorie,0.787717,-0.283216,0.941418,0.239525,0.106381,-0.256042,0.506893,-0.646212,0.120354,0.706771,0.773476,0.523853,0.625596,-0.753916,0.10787,-0.870196,0.037738,0.804344,-0.136448,0.232577,0.245682,0.317012,-0.200594,1.100277,0.014671,0.550384,-0.100592,0.019851,0.430859,-1.916238,-0.192569,-0.245856,0.716363,-0.539076,0.06407,0.783011,-1.209914,-0.029341,0.125603,-0.57265,-0.426102,0.116489,-0.962635,-1.652504,0.368104,0.572921,1.231363,0.265141
exemple,0.087891,-0.154089,-0.167293,0.004793,-0.056565,0.043791,-0.023196,-0.631625,-0.457909,0.269154,-0.196951,0.248297,-0.040444,-0.730652,0.069437,-0.90057,0.263765,0.257614,-1.089439,0.225459,0.196819,0.090645,-0.129681,-0.263924,0.485213,0.123834,0.224513,-0.362124,-0.176375,-1.255999,0.367242,-0.580617,-0.218636,-0.282904,-0.540246,0.372634,-0.316907,-0.191876,0.223553,0.120579,-1.785059,0.21099,0.350435,-0.474143,-0.327954,0.553702,0.504772,0.447683
