word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
un,-1.30615,0.397678,-0.209702,0.262978,-0.039598,0.160773,0.229173,0.175088,0.169476,0.434127,-0.341165,-0.558881,0.384245,0.646704,-0.630314,0.003186,-0.112239,-0.115854,0.552399,0.294028,-0.295025,0.607897,0.578899,-0.256463,-0.234868,-0.15293,-0.366983,0.089834,-0.448481,-0.538841,-1.189559,0.58193,0.192139,-0.034547,-1.301733,-0.112953,0.51787,-0.534641,0.134102,-0.03661,0.518267,0.192327,-0.262246,0.163031,0.314925,0.081526,-0.397198,0.116613,-0.131341
nombre,-1.44461,-0.040621,0.590341,0.270275,0.060713,0.730968,0.164638,0.763556,-0.891531,0.656807,-0.174458,-0.786749,0.798696,0.497839,-0.394553,0.966268,-0.226823,-0.521466,0.731823,-0.489898,-0.406843,1.295239,-0.474542,-0.377653,-0.313579,0.331927,0.312819,0.553892,0.14915,-0.468866,-1.038056,0.230319,0.066455,-0.205731,-0.618529,0.095875,0.023958,-0.866199,-0.224942,-0.736651,0.191953,-0.018471,-0.099417,-0.254942,1.116642,1.24544,-0.314507,0.367875,-0.399684
$\mathbb{N}$,-0.956396,-0.491033,0.278126,-0.208829,0.027844,0.265688,-0.150933,0.552065,0.272585,0.506779,0.117549,-0.740899,0.062413,0.717536,-0.594883,0.234361,-0.054302,-0.027892,0.0609,-0.120838,0.290855,0.873312,0.094574,0.025291,-0.05159,0.323641,0.217468,-0.495505,-0.4183,0.085252,-1.26344,0.346272,0.145202,-0.335,-1.158755,-0.414847,0.110986,-0.413609,-0.374274,0.049751,0.202277,0.112779,-0.069939,-0.547473,0.642207,0.102754,-0.246409,0.207322,-0.454648
deux,-1.0495,0.306178,-0.031582,0.490376,0.414376,-0.008241,-0.221215,0.476419,-0.214475,-0.040477,-0.153543,-0.445574,0.394216,0.8561,-0.338702,0.085902,-0.360304,-0.105953,0.207031,0.229614,-0.166025,0.312286,0.356692,-0.372116,-0.559468,0.255148,-0.23988,0.222547,-1.138324,-0.611591,-1.40174,0.564553,0.112274,-0.063939,-1.081652,-0.322967,0.508405,-0.567713,-0.410336,-0.649927,0.212875,-0.502121,-0.394571,-0.297061,0.493186,-0.033245,-0.305664,-0.417344,-0.136501
fonction,-1.466688,0.04099,-0.044031,0.305946,-0.437049,0.207212,0.479342,0.048756,-0.480386,1.329512,-0.839476,0.452689,-0.375446,-0.341601,-0.173943,0.811826,-0.200791,-0.390974,-0.67695,-0.120887,-1.132529,0.967337,0.637826,-0.655547,-0.066423,0.569739,0.104301,-0.30299,-0.52718,0.024578,-1.52373,0.260826,-1.051169,-0.665411,-1.326769,0.053475,-0.165828,0.34212,0.034389,-0.252153,0.381329,0.460695,0.256014,-0.433903,0.965472,0.71829,-0.812953,0.286837,-0.0023
premier,-0.140748,0.016547,0.072855,0.469408,0.326144,0.142234,-0.145965,0.122023,-0.079817,-0.301838,-0.231603,-0.172392,0.096411,0.76496,-0.072549,0.465969,0.009474,-0.332551,0.043885,0.656281,0.131252,0.712343,0.119548,-0.274839,-0.483084,0.489051,-0.53439,0.386811,0.028179,-0.436291,-1.479452,0.881944,0.369376,-0.446638,-0.978474,-0.075387,0.701727,-0.473654,-0.470837,-0.42706,0.166784,-0.587437,-0.357029,-0.466956,0.299997,-0.063594,-0.04114,-0.677532,0.225372
ensemble,-1.834484,-0.222239,-0.338574,-0.047129,0.079354,-0.415335,0.111316,0.357648,-0.615992,0.387944,-0.145482,-0.487943,0.179481,0.312566,-0.073528,0.116345,-0.165561,0.219097,-0.433856,0.064485,-0.023787,0.455348,0.894306,0.013529,-0.191489,0.230016,0.17127,0.09367,-0.140503,-0.372987,-1.24596,0.097297,-0.182892,-0.338394,-0.638712,0.486739,0.437254,-0.636573,-0.371096,-0.761416,-0.282604,0.048874,-0.114885,0.260007,-0.074065,0.415767,-0.483927,0.004401,-0.286667
point,-0.948909,-0.061515,0.378129,-0.220188,-0.073752,0.274668,0.02572,0.553923,-0.555795,-0.095792,0.350495,-1.137323,0.126643,0.960951,-0.3485,0.962246,-0.091337,-0.049279,0.293003,-0.139422,-0.0697,0.914054,0.196131,-0.610223,-0.926607,0.225181,0.200195,-0.073206,-0.518365,0.028392,-1.148504,-0.406378,0.402981,0.606781,0.238093,-0.58149,-0.142139,-1.138656,-0.033644,0.412915,-0.019839,-0.843646,-0.340315,-0.325275,0.979437,0.265447,-0.992986,-0.068317,0.285051
théorie,-1.675645,-1.25047,0.085203,0.501622,-0.448599,-0.051013,1.017539,-0.142059,1.060278,0.79848,-1.194783,-0.497008,-0.462075,0.335333,1.059508,-0.02316,-0.442805,0.08664,0.056286,-0.104125,-0.195163,0.848585,0.317999,0.198699,-0.466784,0.759805,-0.111506,-0.758867,0.552497,0.423303,-0.645862,-0.335151,0.58871,-0.505614,0.36731,1.233653,-0.297653,-1.06965,0.46641,0.710702,0.301402,1.158911,-0.760459,-1.005219,1.219864,0.472178,-0.921512,0.291091,0.654938
exemple,-1.858198,-0.444299,0.160149,-0.41393,-0.487073,-0.039922,0.638501,0.339837,-0.003082,0.649372,-0.249262,-0.160112,0.573914,0.000546,-0.207581,-0.119959,-0.017332,-0.32085,-0.015014,-0.270011,-0.224565,1.192414,0.585283,-0.148949,-0.255729,-0.129497,0.15273,-0.322188,0.01866,0.030187,-0.874178,0.192724,0.571922,-0.216845,-1.269792,-0.086578,0.17061,-0.25405,0.316783,0.305363,0.12642,0.209532,-0.035966,-0.009273,0.465119,0.126889,-0.296817,0.678716,-0.258342
espace,-2.467289,-0.228348,-0.454787,0.078255,-0.095898,-0.449608,0.048603,-0.096597,-0.848878,0.632754,-0.256931,-0.191256,-0.410101,0.051453,-1.076342,0.442562,-0.149606,-0.224592,-0.224014,-0.936257,0.695036,0.539108,1.27016,0.336755,-0.049118,0.395706,0.643913,0.303232,-0.377985,0.119575,-1.234427,-0.194794,0.296931,-0.052353,0.354787,0.706626,0.05928,-0.51845,0.590999,-0.284614,0.107836,0.344377,-0.197324,-0.008969,-0.233444,0.567962,-1.277882,0.033244,0.257736
théorème,-0.970153,-0.607379,-0.502599,0.834678,-0.956173,-0.531731,1.648638,0.684177,-0.017704,0.703368,-0.738551,0.874946,0.454454,0.906138,0.545826,0.740539,-1.624253,-0.303801,-1.033362,-0.278852,-0.424861,0.195418,1.069821,-0.197236,-0.900411,1.687166,0.249303,-1.96188,0.212971,1.017766,-0.039748,-0.415793,1.082303,-0.35514,1.772017,0.337696,-0.240488,-0.966529,0.400286,-0.074655,0.549392,0.549119,-0.663979,-0.475947,1.295192,1.185133,-0.615916,1.452925,-0.258502
problème,-1.177956,-0.328931,0.386184,0.536432,0.045059,-0.130332,0.156749,-0.299518,0.246885,0.717255,-0.194543,-0.806376,-0.328351,0.406491,-0.469484,0.715146,0.438282,0.468978,0.17881,-0.204941,-0.413542,1.555216,0.256623,-0.151836,-0.746402,0.110442,0.072983,-0.81844,0.018816,0.633563,-0.337126,0.106473,0.356783,-0.729429,-0.620426,0.323492,-0.385184,-0.384122,0.198462,0.454919,0.464657,0.694735,-0.640584,-0.666519,0.852419,0.212838,-0.375779,0.371731,0.211392
valeur,-1.757226,-0.098102,-0.268797,-0.661506,-0.434623,0.950084,0.520736,-0.075059,-0.494505,0.888933,-0.533108,-0.357818,0.167168,0.005662,-0.03406,0.713707,-0.676607,-0.084887,-0.0392,-0.359565,-0.419657,1.725489,0.014374,0.11818,-0.50843,-0.022686,0.519666,-0.155103,0.099101,-0.151039,-0.831639,-0.080094,-0.352871,-0.035922,-0.58989,0.141426,0.353403,-0.806257,-0.368616,0.648413,0.494131,0.066063,-0.422785,-0.351382,1.023157,1.097432,-0.692399,1.177157,-0.718855
groupe,-0.299582,-0.639064,-0.63086,0.637122,-0.047378,-0.034809,0.153262,0.158545,-0.004769,-0.219151,0.11213,-0.680235,0.41502,0.950167,-0.153256,-0.292706,-0.010758,-0.572903,-0.483506,0.608831,0.342407,1.365934,0.606976,0.914628,0.005653,0.173899,-0.02406,0.419934,0.252985,-0.821882,-1.733092,0.251483,0.244053,0.114581,-0.763219,0.581899,-0.227317,-0.231329,-0.921582,-1.342261,-0.908772,-0.290083,-0.052489,0.14946,0.641387,-0.993004,-0.011759,0.330613,0.341071
graphe,-1.124776,0.085622,0.16044,1.564808,-0.018573,0.259578,1.897609,0.586871,-0.297389,0.936908,-0.381063,-0.386681,1.786794,0.820892,0.44679,0.28007,-1.680992,-0.579075,-0.752426,-1.517296,-0.401555,-0.615583,0.268652,-0.620905,0.152731,0.446154,0.680782,-1.704963,-0.826398,0.460995,0.129862,-0.756401,0.21116,-0.167356,0.841254,0.817167,-0.362788,-1.153833,1.287444,-0.609547,-0.218977,0.753267,-0.010074,0.47015,0.394813,1.918725,-0.811955,0.697598,0.749848
forme,-1.923559,-0.30796,-0.669711,-0.120891,0.103183,-0.154465,0.762479,0.191782,-0.098422,0.628031,-0.434179,-0.304374,0.635895,0.267084,0.114506,-0.584685,0.184563,-0.164419,0.028849,0.082002,0.112253,0.963692,0.552843,-0.067209,-0.461973,0.123699,-0.182841,-0.207531,-1.050356,-0.087095,-0.604845,0.572733,0.627164,0.32351,-1.145557,0.190477,1.059669,-0.030852,0.073961,-0.498142,0.406211,0.372045,-0.056427,0.168046,0.652962,0.066886,-0.06626,-0.004874,0.259397
entier,-1.670507,-0.042263,-0.595633,-0.048005,-0.046747,0.353211,0.387089,0.444236,-0.698532,0.610194,-0.061912,-0.166252,0.487687,0.452421,-0.567849,0.181675,-0.341562,-0.675669,-0.294101,-0.409008,0.065971,0.944834,-0.40111,0.233559,-0.289091,0.653419,0.176272,0.16502,-0.225583,0.083816,-0.627942,0.158271,0.673091,-0.505857,-0.635132,0.103353,0.063987,-0.56532,-0.570729,-0.753044,0.184051,0.186234,0.00895,-0.187853,0.563269,0.854245,-0.307527,0.761277,-0.192424
système,-1.020795,0.103302,0.841213,-0.165551,-0.344342,-0.316334,0.932282,-0.280058,-0.022524,0.712643,-0.148523,-0.363455,-0.27999,0.328357,-0.102147,-0.061027,0.420375,-0.147779,-0.265582,-0.871587,-0.660088,1.886943,1.486961,-0.206391,-0.058481,0.232884,-0.741338,-0.003343,-0.430523,-0.832987,-0.582265,0.214452,-0.195351,-0.238007,-1.445543,0.544929,0.055215,-0.380088,0.851122,0.66192,-0.019015,0.783369,-0.156133,-0.497748,1.03968,0.294618,-0.957385,-0.397474,0.608876
équation,-1.21765,-0.657114,0.231557,0.990504,-1.633419,-0.265368,1.343086,0.444704,-0.285471,0.637062,-1.36075,0.69968,0.331424,-0.050031,0.603382,0.8522,-0.294519,-0.937152,-1.104721,-0.986402,-0.768353,0.451523,0.969517,-0.50707,-1.418432,1.075799,0.538241,-1.578731,-0.594697,0.005989,0.524413,-0.048919,0.51402,-0.361083,0.489649,0.659733,-1.032766,-1.020836,-0.555732,0.425834,0.822194,0.760504,-0.343657,-1.513015,1.538667,-0.145624,-1.327715,0.537688,0.04766
suite,-0.191835,-0.482221,-0.012509,0.5037,0.530201,0.054089,-0.31483,0.198346,-0.031553,0.098373,-0.12604,0.37351,-0.114595,0.840078,-0.815023,-0.006287,0.755376,-0.032237,0.013572,0.704254,0.109878,0.816119,0.052608,-0.45034,-0.276737,0.277357,-0.331225,0.075842,0.090049,-0.156702,-1.102389,0.342897,0.142937,-0.918016,-0.995249,0.307656,-0.027973,-0.051141,-0.319233,-0.66905,0.38494,-0.114796,-0.315336,-0.438942,0.765356,-0.001009,-0.244466,-0.391805,0.09104
algorithme,-1.191698,-0.348691,0.867077,0.963825,-0.464604,0.08028,1.453913,0.452235,0.304117,0.433015,-0.163771,0.868528,0.973098,0.587332,-0.024797,1.067541,-0.042511,-0.526344,-1.151827,-0.641834,-1.54129,1.399245,1.176428,-0.30425,-0.917515,1.245893,0.668481,-1.267929,0.395232,0.506651,1.160829,0.153221,-0.000178,-0.378175,0.089157,-0.681345,-0.33896,-0.853025,0.638613,0.562606,0.311187,0.443004,-0.030908,0.467379,0.605006,1.43456,-0.060015,0.642257,1.280486
calcul,-1.540745,-0.304976,0.586086,0.390195,-0.695642,0.235411,1.290453,0.0713,-0.464605,0.98046,-0.562876,0.626367,-0.008488,-0.465334,0.451848,0.963489,-0.122483,-0.293427,-0.318795,-0.701661,-1.0996,2.067246,0.743166,-0.359464,-0.984006,0.747403,-0.003937,-0.721645,0.312712,-0.18282,0.504397,0.227316,0.044303,-0.306025,-0.273099,-0.587057,-0.33118,-0.735774,0.455541,0.653376,0.639856,0.477375,-0.614752,-0.731282,1.015654,1.186457,-1.11901,-0.158951,0.087119
application,-1.358259,-0.303128,0.02146,0.035301,-0.598483,-1.036852,0.439554,-0.13538,-0.746604,0.709291,0.507078,0.420969,-0.512939,-0.070777,-0.271425,0.250586,-0.206437,-1.004136,-0.740955,-0.499734,-0.625979,2.038444,1.203858,0.013352,0.616882,-0.104449,-0.43749,-0.756726,0.473547,0.102843,-0.45981,-0.376266,-0.098439,-0.445407,-1.033589,0.427772,-0.336549,-0.500759,0.740734,0.143609,0.14732,0.986557,0.478036,-0.995534,1.116407,0.669555,-0.612644,-0.012243,0.749254
élément,-2.177868,-0.579106,-0.102332,-0.408374,-0.189912,-0.133854,0.318953,0.801301,0.061385,0.561118,-0.746828,-0.148904,0.638734,0.002997,-0.028548,-0.452299,-0.247324,0.269129,-0.273851,-0.467379,-0.240702,1.253889,0.607097,0.215251,-0.567714,-0.485093,0.60142,0.215203,-0.206756,-0.248944,-0.756127,0.376956,0.449317,-0.17401,-0.500727,0.736429,0.859368,-0.728867,0.196187,-0.112932,0.382504,0.352869,0.021468,0.04582,0.922367,-0.226414,-0.096256,-0.347437,-0.237374
grand,-1.099016,0.63281,-0.289513,-0.202152,0.597835,0.158393,0.160546,-0.488061,0.053054,-0.066157,-0.094391,-0.488061,0.020603,0.545009,-0.36127,0.433826,-0.100384,0.094794,0.335925,0.677925,0.136628,-0.344019,0.138804,0.078736,-0.697578,-0.054953,-0.340484,0.398235,-0.190551,-0.729553,-1.391408,0.533544,0.07566,0.188426,-0.45207,0.082102,0.888642,-0.128264,-0.094648,0.317963,0.338432,0.010514,-0.271321,-0.107356,-0.101034,0.084055,-0.459451,-0.16381,-0.320993
propriété,-1.267789,-0.259617,-0.154594,0.023871,0.260693,-0.593361,0.965224,-0.209688,-0.465345,1.693482,-0.333279,0.817198,0.419145,0.622738,-0.193208,0.243736,-0.497676,0.081949,-0.249883,-0.83247,-0.307154,-0.040606,0.477527,0.230521,0.12974,-0.77438,0.249744,-0.344494,0.14448,0.034696,-1.610098,0.739933,0.019354,-0.229336,-0.063386,0.225804,0.225936,-0.294994,-0.40399,0.250757,0.787731,0.70709,0.247035,-0.569985,0.917118,0.455274,-0.561058,0.753856,-0.281785
