word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
un,0.29723,0.684164,0.343373,0.523687,-0.800788,-0.337849,-0.761108,1.31194,1.15057,-0.433107,1.094708,1.115389,0.021591,-0.257068,-0.004291,-0.756212,0.095119,1.491552,-2.425589,-0.111923,-0.23435,-0.276844,0.13887,-0.235282,-2.713575,0.105643,0.130621,-0.310075,0.929867,-0.057672,-0.303235,0.84028,-0.491065,-0.837962,-0.551982,-0.967919,0.264264,-0.332528,-0.58162,-1.501727,0.25246,0.365277,1.717145,0.050784,0.491561,0.969347,-0.290161,1.396452,-0.295033
nombre,0.076611,0.494186,-0.739537,0.808474,-0.137148,0.482659,-0.670462,0.050954,0.490894,-1.347341,1.558313,-0.195628,-1.339974,-0.834388,0.563793,-0.552648,-0.061703,1.414443,-1.570063,0.892255,-0.514568,-1.027756,0.211323,0.154857,-1.4051,-0.296919,-2.352435,0.663962,0.60513,-1.318176,0.764569,0.609764,-1.140798,-1.179122,0.037781,-0.534657,0.59759,-1.378936,-0.098791,-1.038776,0.809481,0.471771,1.272469,0.227773,2.309096,0.776804,1.621413,0.980008,-0.278553
$\mathbb{N}$,-0.176511,0.325328,-0.048966,1.414031,0.063334,0.196768,-1.546487,-0.220887,0.320823,-0.427698,0.843547,0.500655,-0.237461,-0.440516,0.079868,-0.011586,0.537782,0.613308,-1.28398,0.429084,-0.035031,-0.613164,0.374841,-1.255925,-1.714617,-0.421658,-0.747009,0.805246,1.380214,0.342667,0.285148,1.386731,-0.216066,-1.004108,-0.833015,0.239634,1.182797,0.03885,-0.313419,-0.784701,-0.364808,0.110223,1.378084,0.399535,1.107208,0.605692,0.745571,1.245332,-0.772352
deux,-0.126841,0.190899,0.399254,0.966577,-0.644954,-0.407551,-0.953009,0.743784,1.050886,-0.422053,1.111235,1.49139,-1.111569,0.15457,0.795387,-0.808402,0.568353,1.532722,-1.582114,-0.439871,-0.64725,0.636933,0.030731,0.480343,-0.718604,-0.220204,-0.465746,0.007379,1.138767,-0.080843,0.77489,1.022414,-0.128891,-0.917464,-0.682043,-0.360728,0.021278,-0.305319,-0.49823,-1.563204,0.608047,0.416749,1.429981,-0.340882,1.079531,0.572279,0.244449,1.505313,-0.010928
fonction,-0.15497,0.352723,-0.232326,0.35556,1.086292,1.145004,-1.649057,0.070705,0.119671,-0.871909,0.451566,-0.008518,-0.610322,-0.673092,-0.042766,-1.232877,0.134729,1.3166,-1.555374,-0.129313,0.347178,-0.781999,0.645054,-0.311687,-1.119801,-0.384474,-2.196437,-0.64612,1.29666,0.626639,0.166815,0.915406,0.62203,-1.480749,-0.41674,-1.286584,0.052096,-0.353322,0.403023,-2.044757,0.481802,-0.35929,1.404065,-0.376893,-0.65613,0.588126,-0.814545,2.025604,0.650969
premier,-0.045995,1.366223,-0.745595,0.806961,-0.880359,-0.023608,-0.779213,1.067584,0.311934,-0.878455,1.806516,0.694369,-0.865493,-0.752801,0.779726,-1.045193,0.09119,1.545595,-0.986464,0.080635,-0.161984,-0.277116,-0.014032,-0.337681,-1.781506,-0.426709,-1.606939,0.563488,0.525504,-0.446505,0.519225,0.656263,-1.134793,-0.723572,0.046894,-0.203277,0.372688,-0.890403,0.159078,-0.316798,0.503006,-0.396716,1.553983,-0.207483,1.652961,0.2322,0.565666,0.554429,-0.376418
ensemble,-0.173528,-0.462732,-0.302342,0.682931,-0.14003,0.230626,-1.48857,-0.298119,-0.243584,-0.135022,-0.191643,0.659947,-0.494538,0.077611,1.131935,-0.445523,0.73183,0.716043,-2.240976,-0.357312,-1.639575,-0.534043,0.160926,-0.485635,-2.343102,0.26542,-0.449772,-0.199962,1.245171,0.535944,0.647564,0.534025,-0.029408,-1.893279,-0.823249,0.104446,0.147411,-0.114223,-0.892911,-1.613562,0.402333,0.621529,1.076863,-0.266348,0.604431,1.118079,-0.095489,0.348777,-0.014909
point,0.486001,0.405471,0.728293,0.359662,-0.25166,-0.322368,-2.246504,1.031436,0.918821,0.372989,0.45217,0.647543,-0.194173,-0.769823,0.904189,0.595946,0.37386,1.698527,-0.817471,-0.798923,-1.065498,0.018815,0.157927,0.015503,-0.787371,-0.317817,-0.301466,0.753599,1.845511,0.053037,0.426061,0.610248,1.388586,-1.500898,-1.041082,-0.47021,0.510881,-0.164679,-0.068499,-1.429999,0.729083,0.285117,1.109145,-0.702896,0.3774,-0.041731,0.787577,1.498369,-0.938409
théorie,-0.3415,1.092817,-0.556354,0.672598,-0.985641,0.719276,-0.603448,0.297246,-0.363073,-0.132337,0.464798,-0.412397,0.336075,-1.582044,0.485472,-1.169912,1.256783,0.782133,-0.914617,-0.518629,-1.591355,-0.484083,-0.166094,0.315792,-1.702851,1.324655,-0.655597,-1.177668,1.503796,0.587999,-1.162639,0.679898,-0.33921,-1.175257,-0.010743,-0.716676,0.689873,-0.332773,-0.536816,-0.582814,0.312061,-0.307525,1.309186,1.017242,1.060754,0.764555,-0.078653,0.503638,0.535072
exemple,0.258277,0.044716,0.153446,0.704244,-0.298735,0.298682,-1.783972,0.056503,0.530081,-0.317238,0.411002,0.92284,-0.228687,-0.879569,0.060156,-0.490316,0.317668,0.554406,-1.723913,0.221319,0.01345,-0.458072,0.041938,0.180123,-1.611174,-0.253391,-0.444969,0.038182,1.3176,-0.299439,0.052598,0.804524,-0.599536,-0.340945,-0.227523,-0.897326,0.641049,-0.177252,-0.396999,-1.050237,0.093034,-0.148831,1.309274,-0.3277,0.80621,0.559455,-0.330384,1.402349,-0.224685
