word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
un,-0.588745,-0.013651,-0.031538,1.172946,0.044621,0.715817,-0.208918,-0.665671,0.061448,0.021011,-0.618237,-0.05788,-0.172813,0.060988,0.515138,-0.120352,0.650022,-1.210844,-0.132719,0.237254,-0.223797,-1.337489,0.223307,-0.806475,0.051062,0.042491,0.027294,0.015616,0.057607,-0.262962,0.010293,-0.274456,0.180327,-0.203411,-0.617584,0.293913,-0.367443,-0.034461,0.09722,-0.042466,-0.097454,-0.791209,0.087124,0.277643,-0.031351,0.112392,-0.259718,0.439419,-0.223397
nombre,0.083347,-0.963401,-0.243347,0.885395,-0.278898,0.903721,0.168828,-1.052446,-0.486898,-0.748442,-0.297504,0.632119,0.505201,0.566928,0.59927,-0.238582,0.778716,-0.644692,0.259597,-0.147485,-0.058079,-1.718429,0.875323,-0.50034,0.584901,0.127014,-0.339638,0.37191,-0.334641,0.171748,-0.243157,0.243048,-0.438407,-0.061379,-0.426194,0.57473,-0.054084,0.25764,0.418428,0.146763,-0.830147,-0.603661,-0.388813,-0.139872,0.027899,-0.023795,-0.487353,0.044048,-0.262665
$\mathbb{N}$,-0.210776,-0.446475,-0.341499,0.874434,0.438779,0.793406,-0.156066,-0.353155,-0.013222,-0.527336,-0.40865,-0.182749,-0.082156,0.77129,0.489251,0.401256,0.504852,-0.83254,0.025604,0.092193,-0.699606,-1.23386,0.76829,-0.346558,0.252224,-0.067469,-0.238937,0.228355,-0.116992,-0.481366,-0.319698,-0.157135,0.064879,0.205376,-0.327211,0.579409,-0.219993,0.343494,0.527091,0.178304,0.009951,-0.089494,0.4259,-0.288747,-0.29096,0.633485,-0.675616,0.191201,0.501822
deux,0.054509,-0.373901,0.006732,1.025626,-0.062936,0.552117,-0.343695,-0.71054,0.006525,-0.259564,0.176603,0.131886,-0.750629,-0.149322,0.585347,0.282919,0.673332,-1.296157,0.038151,0.141969,-0.546951,-1.227955,0.32336,-0.769268,-0.233135,-0.420315,0.212483,-0.591753,-0.048863,-0.009133,-0.102345,-0.365517,-0.236675,-0.042864,-0.680958,0.903579,-0.329052,-0.104463,0.031373,0.138787,0.332546,-0.357109,-0.204282,0.139462,0.368698,-0.220222,-0.75281,0.503158,0.006885
fonction,0.186691,-0.790435,0.06079,1.715693,-0.055099,0.002181,-0.476565,-0.088562,0.131371,-0.576411,-0.749782,-0.127453,-0.028486,0.001065,0.237145,-0.390754,0.798241,-1.10028,1.181706,-0.072729,-0.216292,-1.674069,0.731045,-0.410744,0.058993,0.104403,-0.135029,0.809716,-0.505682,-0.354128,0.353356,-0.910763,-0.139487,-0.07562,0.563649,0.165372,-0.759936,0.020883,0.290483,0.332081,0.227569,0.065062,-0.743595,-0.327909,-0.242326,0.503035,0.456877,-0.748731,-0.297642
premier,0.016367,-0.105987,-0.007384,0.573447,0.056735,0.169516,-0.592433,-0.236541,-0.33295,-0.183163,0.354747,0.036959,-0.319485,0.354915,0.151525,0.452848,0.783276,-0.812952,-0.166157,-0.074293,-0.741355,-1.897627,-0.318601,-0.357749,-0.196787,-0.355849,0.14972,0.004629,-0.121443,-0.013377,-0.133221,-0.201131,-0.32679,0.103171,-0.553665,0.698293,0.05352,-0.632675,0.169695,-0.38485,0.180369,-0.037885,0.139933,0.197421,0.288982,-0.726912,-0.269626,0.350339,0.481796
ensemble,-0.037062,-0.117386,0.813424,0.923783,-0.430364,0.626674,0.198896,0.088171,0.054509,-0.174712,-0.745913,0.081051,-0.393143,-0.344195,0.377088,-0.43991,0.327546,-1.024996,0.246583,-0.68446,-0.208671,-1.282241,0.631727,-0.04238,-0.206838,-0.065873,-0.139237,-0.381562,0.036981,-0.560935,0.295415,-0.072134,0.249186,-0.216799,-0.588071,0.50063,-0.681241,-0.093541,0.150215,-0.084942,-0.150246,0.124996,0.187078,-0.152054,0.287218,0.011323,-0.720683,0.148198,-0.412727
point,0.088507,-0.675447,-0.371526,0.191069,0.143426,0.465649,-0.167342,-1.056756,-0.058619,-0.812323,0.369156,1.052523,-0.399256,0.507242,0.349972,-0.062933,-0.251771,-0.599473,0.535668,0.688677,0.424731,-1.533745,0.642935,-0.61963,0.164266,-0.470348,-0.716226,-0.24826,-0.186503,-0.003547,-0.135256,0.302464,0.10794,0.37408,-0.306959,0.306197,0.275631,-0.237367,0.928213,0.145735,0.24755,-0.295751,-0.396145,-0.455456,-0.322598,-0.115777,-1.258919,0.994394,-0.171751
théorie,-0.23651,-0.234477,1.142245,0.525537,1.834336,-0.116616,-1.148591,-0.018098,-0.306489,-0.262788,-0.142357,-0.459009,0.051062,-0.420242,0.21038,-0.833166,0.307908,-0.196223,0.853991,0.618098,-0.499726,-1.070368,0.842427,-0.000757,0.984939,0.828121,-0.01294,0.91509,0.357569,-0.058521,0.790562,0.397656,1.391596,-0.379349,0.911461,0.079349,0.126735,-0.771859,1.061406,-0.548326,-0.195466,-0.694079,0.331615,-0.493098,-0.667451,0.645418,-1.218698,-0.254438,-0.082989
exemple,-0.742518,-0.087688,0.087849,0.572085,-0.0713,0.713368,-0.201891,-0.166368,0.3722,-0.231558,-0.636746,-0.260184,-0.08123,-0.00615,0.320643,-0.171447,0.508054,-0.898907,0.169007,0.329006,-0.203663,-1.178486,0.814554,-0.383385,0.031414,0.612446,-0.376168,0.776727,0.108532,-0.669059,-0.051644,-0.12893,0.262166,-0.080456,0.000692,0.19664,-0.89771,0.27374,0.479571,0.114258,-0.717661,-0.805995,0.118755,-0.153243,-0.685819,0.607504,-0.748054,-0.070613,-0.146798
