word,1,2,3,4
un,1.52087,2.677926,-1.632543,-1.411294
nombre,0.971323,0.758864,-1.761523,-1.419563
$\mathbb{N}$,0.785623,2.024386,-1.134611,-1.434899
deux,1.25693,2.23083,-1.489435,-0.656513
fonction,0.957295,0.726109,-0.946016,-1.865625
premier,0.933163,2.504557,-1.180887,0.079437
ensemble,0.716317,1.308094,-1.316585,-1.055188
point,0.399691,1.089495,-2.086914,-0.402565
théorie,-0.48088,0.617141,0.166458,-2.199131
exemple,0.384614,1.100226,-1.327888,-2.107312
espace,0.729096,0.540738,-1.560805,-1.396255
théorème,-0.70535,-0.916578,0.867368,-2.325847
problème,0.02132,1.233966,-1.160906,-2.24008
valeur,0.657659,0.669393,-1.487403,-2.228008
groupe,-0.216877,1.948444,-1.73061,-0.129372
graphe,-0.122139,-1.94356,-0.099647,-1.888033
forme,0.907975,1.025845,-1.239812,-1.941635
entier,0.479332,0.721593,-1.183388,-1.652731
système,0.389218,0.54369,-2.333387,-1.95655
équation,-0.93923,-0.680264,-0.073328,-2.544625
suite,0.658498,2.097768,-0.821028,-0.583468
algorithme,-1.129819,-0.705113,-0.591772,-2.366167
calcul,-0.304512,-0.268498,-1.091205,-2.493345
application,-0.35487,0.148365,-2.215898,-1.673125
élément,0.812248,0.87445,-1.298103,-2.146764
grand,1.573253,2.311899,-1.034882,-0.329021
propriété,1.172447,0.562256,-0.693027,-1.45524
ordre,1.680789,1.642709,-0.195168,-0.507318
variable,-0.253482,-0.27653,-1.990162,-2.418654
base,0.890324,0.631313,-1.925746,-1.143578
géométrie,-0.381159,-0.938189,0.024004,-2.145352
analyse,-0.308296,0.87892,-0.61532,-1.847477
loi,0.961054,1.302493,-0.64198,-1.195071
définition,0.048304,0.187495,-1.128286,-2.422458
réel,-0.437206,1.313171,-1.272654,-2.493464
dimension,-0.281019,0.323619,-1.405684,-1.830813
statistique,-0.012292,0.468461,-1.856497,0.383411
sommet,1.286773,0.011311,-1.49324,-0.627473
logique,-0.490304,0.072205,-0.023771,-2.320305
terme,0.779305,1.193748,-1.018446,-1.72471
trois,1.265626,2.122351,-1.30837,-0.393395
plan,1.186238,1.186508,-1.200852,-0.986626
formule,-0.448138,0.438674,-1.159683,-1.087074
droite,1.514108,0.576954,-0.509645,-1.067502
$\mathbb{C}$,0.394951,0.987101,-1.383344,-0.417372
solution,-0.404095,0.272128,-1.84417,-2.309684
modèle,0.036566,0.652794,-1.666826,-1.241792
linéaire,-0.454374,-0.791468,-1.593126,-2.561293
probabilité,-0.573992,-0.406277,-0.858429,-2.652977
série,-1.62042,2.435884,-1.448998,0.364408
