word,1,2,3,4
un,0.637067,-0.880518,4.815453,3.556638
nombre,-0.64096,1.151803,4.217676,1.999165
$\mathbb{N}$,-0.536181,-0.241931,4.451572,1.991835
deux,-0.369931,0.242586,4.321878,2.465528
fonction,0.883964,-0.952624,4.533141,0.987221
premier,0.255423,0.88403,3.383065,2.744077
ensemble,0.504596,-0.479328,4.621022,1.209115
point,-0.352336,0.238191,4.570701,1.013031
théorie,2.451071,-0.826608,2.870044,2.162503
exemple,0.116706,-0.382665,4.117662,1.970319
espace,1.263096,-0.799571,4.771304,-0.094568
théorème,1.607138,-1.217801,2.934318,1.039549
problème,0.787857,-0.901367,3.134811,2.030304
valeur,-0.775699,-0.628632,4.207901,1.548414
groupe,1.344472,0.081254,3.657624,0.569413
graphe,-0.114674,0.468652,3.098615,0.13169
forme,0.484566,-0.666931,4.208821,1.058672
entier,-0.494694,0.777965,4.312302,1.254078
système,0.766009,-1.332731,2.899444,1.841537
équation,1.294476,-0.890144,3.394029,1.055696
suite,0.062103,-0.113236,3.817454,1.083283
algorithme,0.88152,-1.617623,2.329714,1.369082
calcul,1.005517,-1.048544,2.903726,2.240213
application,2.138668,0.180478,3.730928,0.772508
élément,-0.142444,0.339003,4.02265,1.149653
grand,-0.146688,-0.139544,2.610562,3.063448
propriété,0.250231,-0.749562,4.009444,1.17923
ordre,0.285446,0.258324,3.345285,1.519465
variable,0.360194,-1.108037,3.668342,0.935743
base,0.235413,-0.007568,3.755772,1.143516
géométrie,2.171754,-0.317457,2.606928,1.501642
analyse,2.382886,-1.168195,2.456092,1.809651
loi,0.663839,-1.334111,3.060154,0.539041
définition,0.628684,-0.995908,3.804931,1.18564
réel,0.301876,-0.83696,4.421129,0.643915
dimension,0.706274,0.06608,4.01685,0.453837
statistique,2.232459,-0.964297,1.420447,2.562168
sommet,-1.66354,1.315269,3.656973,0.913213
logique,1.8987,-1.352514,2.265015,1.311065
terme,-0.186272,-0.713829,3.479249,1.656165
trois,-0.461,0.702862,3.157476,2.333164
plan,0.004326,-0.093205,3.786394,0.501685
formule,0.43638,-0.975402,3.340601,0.811798
droite,-1.012897,0.764978,3.711907,0.719309
$\mathbb{C}$,-0.324506,0.886687,3.739369,0.62762
solution,0.540821,-0.555578,3.431532,1.024737
modèle,1.073844,-1.681675,2.501858,1.543395
linéaire,1.602032,-1.307125,3.78189,0.494365
probabilité,0.289845,-1.000183,2.914789,1.7103
série,1.008644,0.068237,2.960521,0.98333
somme,-0.702051,0.537329,3.849627,0.797009
mesure,0.249661,-0.939748,3.178648,1.341574
carré,-1.167123,0.514771,3.602415,0.942566
vecteur,-0.186274,-0.537329,4.063404,-0.032462
connexe,1.562241,0.015145,2.90074,1.046265
classe,0.876243,0.001462,3.186627,0.952678
produit,0.105421,-0.338951,3.880317,0.48789
égal,-1.098002,0.707826,4.192275,0.699801
cercle,-0.886501,0.604601,3.123544,0.813549
partie,0.528487,0.35016,3.152728,1.641723
relation,0.599047,-0.501784,3.511693,0.832376
courbe,0.082699,-0.735788,3.200335,0.204681
différent,-0.113516,-0.855838,3.117109,2.290831
complexe,1.086523,-0.707881,3.835351,0.68546
matrice,0.373396,-0.442694,3.899134,-0.108851
domaine,1.108124,-0.743646,2.486406,2.413596
fois,-0.471192,0.493864,2.989747,2.288822
type,0.713363,-0.574358,3.212749,0.931611
mot,-0.366334,-0.695073,3.034457,1.012619
algébrique,1.784559,-0.711611,3.189839,1.072879
degré,-0.778244,1.210884,3.146449,0.959525
langage,1.312202,-1.557332,2.743099,0.754347
nul,-0.501431,-0.585656,4.376397,0.579691
moins,-1.131959,-0.236863,3.093047,2.377874
objet,0.074211,-0.970004,3.154767,1.536064
triangle,-1.056678,0.831541,2.931428,0.54671
structure,1.602629,-0.435582,3.107055,0.49004
corps,0.929073,-0.31957,3.149301,0.664227
rapport,-0.177649,-0.126799,3.107413,1.224019
longueur,-1.405124,0.375466,3.685229,0.890132
informatique,2.592512,-0.655298,1.172894,2.707926
infini,-0.122093,-0.446233,3.457197,1.028429
variété,1.779862,-0.852265,3.528335,-0.513378
ligne,0.372191,1.174539,2.47891,1.53832
positif,-0.409576,-0.412846,4.036656,0.276594
angle,-1.453936,0.497185,3.227837,0.541749
polynôme,0.309119,-0.226619,3.453926,0.132875
centre,0.108292,1.024296,2.224895,1.451825
démonstration,0.632985,-0.955274,2.544713,1.771666
vectoriel,1.389331,-0.582416,4.252345,-0.610615
limite,0.082345,-0.861069,3.453121,0.92739
représentation,0.784123,-0.816871,3.211149,0.736449
famille,0.163025,-0.083817,2.219721,1.608642
arête,-1.757469,1.175534,3.296257,0.921965
distance,-0.400667,-0.273819,3.273886,0.324964
surface,0.698508,-0.007944,3.135392,0.120689
aléatoire,0.081579,-1.548188,3.143178,0.845652
naturel,0.049878,0.114137,2.944277,1.492088
normal,0.981864,-0.04108,2.416882,1.091719
arbre,-0.365395,-0.732843,2.714866,0.450123
démontrer,0.734732,-0.499296,2.316968,1.731509
algèbre,1.913562,-0.65382,2.764554,0.638356
règle,-0.249879,-1.050218,2.721571,1.27242
volume,1.148134,2.24663,2.446958,0.975046
calculer,-0.548152,-0.832917,3.03995,1.617585
constant,0.183398,-0.404674,3.297763,0.457114
quatre,-0.854042,1.143351,2.636412,2.081406
différentiel,1.929472,-0.715459,2.940558,0.707096
hypothèse,0.010859,-1.721735,2.748552,1.387797
image,0.588565,-0.082439,2.926964,0.48474
régulier,-0.839186,0.528781,3.337745,0.145302
complet,0.903754,-0.391243,3.069908,0.3791
racine,-0.862375,0.190505,3.396026,0.940056
coefficient,0.018095,-0.475904,3.426121,0.235847
côté,-1.748235,1.070742,2.942848,1.320163
preuve,0.719858,-1.293425,2.310251,1.799657
axiome,0.057989,-1.134571,2.591029,0.643722
$\mathbb{R}$,-0.221898,1.099883,3.407735,-0.092693
continue,0.776474,-0.535654,3.492493,0.58292
résoudre,0.350974,-1.186954,2.451937,1.832908
arithmétique,1.147227,-0.730339,2.627795,1.192911
conjecture,1.289823,-0.241076,1.708039,0.697005
réseau,0.857076,-1.32736,2.148769,1.004166
opération,-0.251794,-0.766925,2.935086,1.232383
chiffre,-1.613127,0.779247,2.552871,1.781389
expression,0.282325,-0.837501,2.962201,1.152924
propre,0.210623,-0.651061,3.002642,1.154358
principal,1.033118,-0.439924,2.377255,1.817401
paramètre,-0.340329,-1.176002,3.348248,0.637233
coordonnée,-0.02799,-0.332419,3.341272,0.060194
opérateur,1.111856,-0.999644,3.199673,-0.128526
numérique,1.675792,-1.294409,1.957629,1.538048
unité,-0.259513,0.296043,2.703966,1.255382
liste,0.548527,0.414583,2.086809,1.901409
convexe,0.135259,-0.357741,3.463028,-0.394959
rationnel,0.243673,-0.637308,3.313988,0.490342
nœud,-1.187268,0.259707,2.382732,1.297471
$\mathbb{Q}$,-0.600042,1.081063,3.51648,-0.52563
topologie,1.501601,-0.686113,3.139563,0.291847
origine,0.167442,-0.226441,2.153618,2.143944
distribution,0.852824,-0.761333,2.694607,0.195352
intervalle,-0.578962,0.033771,3.526872,0.53873
compact,0.813329,-0.492545,3.943808,-0.920434
reste,-0.59714,0.204153,2.592265,1.997567
test,0.828119,-1.122417,1.762989,0.42938
proposition,-0.48924,-0.41048,2.485947,1.188423
catégorie,0.935147,-0.733889,2.769802,-0.151197
programme,1.001766,-0.73201,1.634718,1.960772
intégral,1.180428,-0.921527,2.732679,0.531407
complexité,0.837103,-1.276789,2.426018,0.734507
automate,0.7194,-1.793322,2.089274,0.110504
moyenne,-0.421482,-0.937705,2.820356,0.997081
symbole,-0.353632,-0.270404,2.60937,0.842038
axe,-0.99015,0.752319,2.967405,0.463699
euclidien,0.905659,-0.447948,3.52323,0.249062
inférieur,-1.218227,0.435341,3.295406,0.919506
dérivée,0.707455,-1.280601,3.346616,0.422967
transformation,1.095154,-0.704586,2.98986,0.107926
anneau,0.826715,-0.384717,3.193319,-0.653005
facteur,-0.256055,-0.108472,2.550488,1.141613
indice,-0.483471,-0.045069,2.576663,0.592528
zéro,-0.834107,0.056077,3.059386,0.961312
sphère,-0.255653,0.438056,2.777822,-0.028029
strictement,-1.017517,-0.265348,3.944796,0.207129
puissance,-0.93011,0.00777,3.072981,0.965712
Euler,0.896462,-0.010273,2.084763,0.945825
topologique,1.403115,-1.015753,3.852428,-0.48378
déduire,-0.268479,-0.762638,3.235251,1.024154
composer,-0.431529,0.423437,2.727535,1.087445
deuxième,0.09667,0.770148,2.128355,1.811833
rayon,-1.375165,0.784626,3.066781,0.15664
caractéristique,0.27541,-0.465023,3.066752,0.70111
vide,-0.668612,-0.129409,3.501577,0.397945
affine,1.00905,-0.666849,3.577296,-0.631533
supposer,-0.594256,-0.935361,3.248712,0.813958
ouvert,0.282048,0.298288,3.345956,-0.147434
partiel,1.212986,-0.568553,2.591761,0.952897
approximation,0.864913,-0.607304,2.550678,0.610134
convergence,0.391838,-1.193166,2.806478,0.199904
chemin,-1.012829,-0.106858,2.749398,0.799848
rotation,-0.68272,0.167321,3.039683,0.078061
différence,-0.40921,-0.668877,2.787497,1.41595
analytique,1.63553,-0.826149,2.317879,1.310284
formel,1.754742,-1.679688,2.336599,1.156569
intersection,-0.378998,0.727993,3.442031,0.040366
pourcent,-1.704004,1.967224,1.387571,1.644135
caractère,-0.141292,-0.472365,2.506787,0.82433
raison,-0.081314,-0.782975,1.954257,2.183417
aire,-1.182921,0.522234,2.379583,0.986833
section,0.936065,0.625003,2.346953,0.860995
cycle,0.043952,0.963527,2.222517,1.135468
source,1.511752,0.202136,1.574427,1.431722
discret,1.811922,-0.367262,2.819734,0.101226
combinatoire,2.045259,-0.829305,1.799833,1.315678
dynamique,1.853997,-1.758714,1.910645,1.055352
inverse,0.420862,-0.356265,3.132326,0.299202
minimal,-0.277701,0.079245,3.03571,0.329307
extension,1.029931,-0.418707,2.892787,0.102502
arc,-0.694831,0.069154,2.960139,0.058328
énoncé,0.163635,-1.398682,2.544458,1.130921
parallèle,-0.727907,-0.00027,2.832855,0.489863
négatif,-0.680821,-0.826443,2.930971,0.728935
niveau,-0.107418,-0.570783,1.796859,1.978479
fraction,-0.128416,-0.265478,2.967976,0.453263
segment,-1.291973,0.650922,2.957366,0.478001
norme,0.406384,-0.269743,3.356935,-0.410759
local,1.362399,-0.911254,2.52703,0.142026
métrique,1.146374,-1.072154,3.222728,-0.432289
symétrie,-0.36442,0.001124,2.68412,0.03261
inégalité,0.324157,-1.274048,2.14644,0.315631
chaîne,0.162213,-0.465619,2.612548,0.317959
prouver,0.357661,-0.707862,2.111872,1.438125
Gauss,1.364256,-0.563598,1.778443,0.811729
symétrique,0.343832,-0.224351,3.577646,-0.442574
Riemann,1.714529,-0.73224,2.347793,0.260538
$\mathbb{Z}$,-0.576727,1.126771,3.340328,-0.307267
polyèdre,-0.043061,0.482223,2.213283,-0.422716
binaire,-0.436719,-0.39943,2.857524,0.232444
demi,-0.415202,0.540111,2.908066,0.251616
multiplication,-0.111671,-0.047032,2.664698,0.348437
libre,0.732922,-0.24868,1.889369,0.834762
identité,0.518712,-0.419281,2.679181,0.595318
Hilbert,1.48516,-0.114927,1.661332,0.663879
scalaire,0.35428,-1.116555,3.70949,-0.437923
solide,-0.449845,0.746158,2.119496,0.106424
densité,-0.286848,-1.56805,2.744846,0.393016
lemme,0.712833,-1.19635,1.701871,0.455356
polynomial,1.081604,-0.690615,2.760558,-0.012507
cinq,-0.876796,1.237983,1.905219,2.152341
exponentielle,0.404298,-1.263855,2.987291,0.328013
élémentaire,0.805253,-0.647109,2.442563,1.042266
argument,0.523541,-0.917532,2.042014,0.890344
optimisation,1.948266,-1.418026,1.87459,0.505542
Fourier,1.675465,-0.375813,2.089724,0.094284
dériver,0.714938,-0.929883,2.830908,0.766404
module,0.962319,-0.147589,3.021234,-0.457728
