word,1,2,3,4
un,-2.58138,-1.767522,-1.346654,1.440941
nombre,-1.529649,-2.152781,-0.808869,0.603305
$\mathbb{N}$,-1.788,-1.221025,-1.354561,1.155297
deux,-2.197804,-1.44864,-0.514086,1.227421
fonction,-1.459345,-1.567867,-1.273861,0.15006
premier,-2.171773,-0.839079,-0.043098,1.80239
ensemble,-1.423894,-1.369367,-0.743636,0.870457
point,-0.93142,-1.8248,-0.01354,1.218934
théorie,-0.214536,-0.315165,-2.397348,0.177562
exemple,-0.821859,-1.707561,-1.728994,0.581457
espace,-0.912927,-1.854371,-0.782579,0.310445
théorème,1.561378,0.138827,-1.940998,-1.168592
problème,-0.782492,-1.49421,-2.082323,1.027728
valeur,-0.777568,-2.015842,-1.716287,0.194968
groupe,-0.792108,-1.056186,-0.180155,2.043267
graphe,1.346731,-1.398142,-1.006709,-1.638928
forme,-1.159407,-1.731186,-1.517731,0.212544
entier,-1.105676,-1.463787,-1.09335,0.513601
système,-0.378416,-2.771455,-1.268181,0.586969
équation,1.427261,-0.754014,-2.379028,-0.665591
suite,-1.803939,-0.638263,-0.622891,1.426667
algorithme,1.669641,-1.363762,-1.743474,-0.34849
calcul,0.527984,-2.00738,-1.880249,-0.05044
application,0.210367,-2.437824,-1.161245,0.598417
élément,-0.992304,-1.712852,-1.770941,0.221143
grand,-2.558931,-0.914783,-0.313093,1.147088
propriété,-1.413065,-1.157548,-1.000099,-0.213739
ordre,-2.399837,-0.27638,-0.455629,0.224838
variable,0.441779,-2.673017,-1.335671,0.209994
base,-0.90489,-2.254068,-0.528395,0.440077
géométrie,1.043881,-1.087597,-1.663142,-1.055149
analyse,-0.282002,-0.963734,-1.758358,0.648518
loi,-1.493377,-0.868547,-1.090275,0.499058
définition,-0.179873,-1.688059,-1.93817,0.127706
réel,-0.547306,-1.36027,-2.258595,1.208455
dimension,-0.121892,-1.698419,-1.398845,0.552054
statistique,-0.152337,-1.382188,1.041117,1.085851
sommet,-1.218045,-1.62955,0.083555,-0.16251
logique,0.22751,-0.782475,-2.223795,-0.177586
terme,-1.195316,-1.39564,-1.490498,0.464572
trois,-2.114134,-1.179364,-0.307257,1.233106
plan,-1.540157,-1.42138,-0.709642,0.543991
formule,0.059124,-1.217734,-0.686179,0.763628
droite,-1.755851,-0.867159,-0.850186,-0.263569
$\mathbb{C}$,-0.801884,-1.240411,-0.186681,0.808561
solution,0.192628,-2.250361,-1.890136,0.61931
modèle,-0.232759,-1.722893,-0.882949,0.652917
linéaire,0.914115,-2.301146,-1.667514,-0.506476
probabilité,0.732522,-1.775129,-2.130614,-0.30662
série,-0.086349,-0.313782,-0.043095,3.26698
somme,-1.535465,-1.189578,-0.270882,-0.263498
mesure,-0.912911,-2.049949,-0.866023,0.32259
carré,-1.079834,-1.290242,-0.228405,-0.462921
vecteur,1.105607,-2.164097,-1.923025,-0.494474
connexe,-1.152707,-0.98368,0.906785,0.593516
classe,-0.896252,-1.120215,0.029052,0.93692
produit,-0.239529,-2.331208,-1.133221,1.131724
égal,-0.270698,-2.023727,-0.964477,0.065586
cercle,-1.241025,-0.514643,-0.31328,-0.012146
partie,-2.267079,-1.448703,-0.177473,0.72952
relation,-1.247597,-0.391721,-1.258518,0.821458
courbe,0.074076,-1.848757,-1.230137,-1.020178
différent,-1.428214,-2.076083,-1.468689,0.887681
complexe,-0.718629,-1.937004,-1.315252,0.048612
matrice,1.145861,-1.771421,-1.461294,-0.751018
domaine,-1.829313,-1.085594,-0.833053,0.037331
fois,-1.805333,-0.952372,-0.666208,1.610865
type,-0.283632,-2.643849,-0.620869,0.538561
mot,-0.546026,-0.645904,-1.720868,0.514467
algébrique,1.743801,-1.135058,-1.894303,-1.509857
degré,-1.14747,0.131357,1.001157,0.226986
langage,0.571436,-0.952975,-2.130363,0.335667
nul,-0.327119,-1.652296,-0.25143,0.569225
moins,-1.757837,-2.217904,-1.275286,0.730007
objet,-1.235942,-1.460852,-1.474232,0.615058
triangle,0.575705,-1.017851,-0.343166,-0.135445
structure,-0.636167,-2.2563,-1.13745,0.163676
corps,-1.332045,-1.074226,-1.302003,0.43508
rapport,-1.202314,-1.91684,-1.161765,0.609403
longueur,-0.443899,-2.914762,0.19634,-0.15583
informatique,0.578157,-1.8582,-0.995984,0.252057
infini,0.702691,-0.572737,-1.969663,0.223039
variété,-0.114269,-0.666415,-0.784411,0.151076
ligne,-1.524731,-1.633602,1.128242,0.504948
positif,-0.012861,-1.449051,-1.55657,0.950887
angle,-0.469437,-1.644037,-0.714297,-0.608242
polynôme,1.980568,-0.814932,-1.169975,-1.580039
centre,-1.958697,-1.501641,0.845513,0.567675
