word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
un,1.307463,0.897727,-0.26508,-0.599549,-0.113258,0.635246,-0.619416,0.612296,0.444036,-0.672897,-0.387774,-0.5646,1.9309,-0.258257,0.873326,-2.043352,0.904311,-0.096664,0.219773,-1.372122,0.212324,-0.054738,-0.043428,-0.887741,1.368025,-0.272485,0.080042,-0.787807,0.314067,0.290025,0.483926,-0.206894,0.249935,-1.423663,0.382709,-0.4002,1.019129,0.815383,-0.873397,-0.679653,0.415139,0.295152,1.102269,-1.256285,0.516401,-0.736509,1.321876,0.630636,0.21466,-2.574419
nombre,0.622048,1.655721,-0.457819,-0.163232,-0.735819,0.528128,-0.808248,0.48922,-0.09635,-0.79799,-0.023953,-0.573545,1.764253,-1.051895,0.875316,-2.516749,-1.139386,-0.358432,-0.680861,-0.396934,-0.892769,-0.132449,0.80083,-0.090823,0.829564,0.545203,1.05566,-1.72207,-0.68893,-0.346744,0.427418,0.159884,0.113819,0.338644,-0.207858,-1.026267,0.456938,-0.318797,-0.171844,-1.099836,0.329644,-0.29145,0.183852,-1.194338,0.413959,-1.387323,-1.240612,-0.956058,-0.54705,-3.236634
$\mathbb{N}$,0.974589,0.712141,-0.023583,0.037356,0.21918,0.661113,-0.584745,0.443464,-0.589165,0.491306,-0.895428,-0.391391,1.61881,-0.714362,0.494307,-1.821969,0.351932,0.757211,-0.547594,-1.720939,-1.072232,0.132706,0.029961,-0.730078,1.044664,-0.346918,0.284101,-0.704462,0.011693,0.200181,0.017425,0.565747,-0.420787,0.153866,-0.227393,-0.045762,0.341441,-0.204056,-0.262605,-0.559515,0.002052,-0.485993,0.089381,-1.076069,0.217251,-1.38148,0.14937,0.210164,-1.728845,-2.013296
deux,-0.063458,0.33779,-0.040502,-0.807523,0.585084,0.757681,-0.770469,0.22305,0.45017,0.18776,-0.22868,0.231584,2.379815,-0.047202,1.031873,-1.900878,0.515068,-0.24148,-0.113044,-0.662212,0.369431,-0.069425,0.744912,-1.593262,1.31102,-0.547862,0.127356,-0.84369,-0.087836,0.249393,0.680688,0.202757,-0.367254,-0.820542,0.731606,0.220478,0.23626,-0.503803,-0.377487,0.330339,0.323195,0.422751,0.196006,-1.249565,0.628068,-0.964519,-0.005321,-0.025113,0.102274,-2.663972
fonction,0.926484,1.459351,-0.469137,-0.606631,-0.075947,0.443247,-0.329751,0.947107,-0.212644,-0.527155,-0.399464,1.486769,0.991998,-0.935227,1.558879,-2.230809,-0.422035,0.896281,0.048796,-1.598423,0.078379,0.780972,0.078287,-0.243887,-0.959709,-0.302541,-1.024286,-0.740222,-1.032071,1.004379,0.507742,0.879622,-0.246071,-1.417568,-0.68094,-0.916668,0.707744,0.084363,-0.353579,0.992141,0.527507,0.067528,0.21286,-0.701584,-0.130072,-1.591039,1.03415,-0.457885,-0.970804,-1.932685
premier,1.323338,0.877681,-0.443068,0.706447,-0.262021,0.619715,-0.915501,0.014221,-0.00044,-0.476977,0.008601,-0.297959,1.761689,-1.175932,1.341158,-1.961821,-0.329103,-0.253798,-0.223207,-0.416596,-0.427772,0.092107,0.354974,-1.087401,1.199257,-0.318732,0.650435,-1.193667,-0.053868,0.434242,0.767126,-0.094288,0.679808,-0.411329,0.326633,-0.794306,0.360411,-0.683409,0.600857,-0.907629,-0.501112,0.052152,0.546901,-0.749481,0.086716,-0.719095,-0.851638,0.140654,-0.362649,-2.53998
ensemble,0.4036,0.07546,0.200152,-0.307924,0.635359,1.229888,-0.402336,1.502644,-0.461363,0.702911,-0.741459,-0.330516,1.729736,-0.333627,0.115406,-2.338401,-0.507679,0.922391,0.743632,-1.766416,0.28733,-0.945065,1.086612,-0.981574,0.94046,-0.362303,-0.566081,-0.788053,-0.188257,0.972281,-0.346247,0.16523,-0.221304,-0.112112,-0.286205,-1.086258,0.380166,-0.536658,-0.547079,-0.343053,0.462292,-0.306889,0.122484,-0.495711,1.438291,-1.113238,0.938882,0.027457,0.020763,-1.637701
point,-0.586078,0.711904,-0.776968,-0.501594,1.306128,0.326783,-0.819672,0.767446,-0.13478,-0.223949,-0.952316,0.672102,1.625886,-0.756968,1.204149,-1.609615,1.248486,-0.038503,0.111748,-0.816294,0.215684,-0.322989,0.967786,-0.901341,1.409551,-1.104508,-0.609716,-0.858624,-0.444919,0.343966,0.666889,1.287126,-0.626394,-0.035808,0.65083,0.601205,1.671379,-0.886062,-0.589234,-0.276597,-0.163107,-0.786893,-0.3472,-0.626193,0.780651,-1.255411,0.628463,-0.148609,-0.997596,-1.22718
théorie,1.122558,-0.244732,-0.186192,1.512009,0.044996,1.370191,-0.962248,1.26736,0.000495,-0.17005,-0.855864,-0.02823,0.864518,-0.333963,-0.386532,-1.386945,-0.394139,-0.006401,-0.317968,-1.098463,1.038259,0.84644,-0.018097,0.977159,1.03443,0.450789,-1.378847,-0.67099,-0.464476,0.999409,0.63218,0.004528,0.061768,-0.476661,0.040763,-1.528944,0.689432,-0.854708,-0.613778,-0.542794,0.047683,-0.899011,1.10358,-0.999886,0.274298,-0.781607,0.618125,0.408799,0.306763,-2.076734
exemple,0.483484,0.778365,0.088338,-0.333713,0.455773,0.487494,-0.135852,0.378807,0.206309,-0.198153,-0.853451,-0.054232,1.108909,-0.399335,0.571186,-1.621963,0.257626,-0.40547,0.168626,-1.434655,-0.145755,-0.098902,-0.156675,-0.156227,0.731556,-0.081511,-0.359816,-0.446418,-0.362444,0.114348,0.389867,-0.235196,0.27088,-0.07208,0.426846,-0.661201,0.532403,0.156051,-0.958542,0.003097,0.161616,-0.27109,0.46485,-0.983418,0.646016,-1.220541,0.661697,0.220477,-1.118494,-2.503025
