word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
un,0.445024,0.387522,0.441816,-0.18697,-0.415083,-1.596817,-0.266288,0.014542,-0.32682,-0.000141,-0.076777,0.097861,0.540949,-0.275621,-0.136026,0.591172,0.250196,-0.36237,0.066869,-0.139439,0.09877,0.39719,-1.257954,0.447515,0.11299,1.068336,0.230602,-0.182135,0.073628,-0.300147,-0.252528,-0.197871,0.162934,-0.18186,0.50235,-0.825994,0.245454,0.723644,0.208648,-0.082632,-0.378639,0.314758,0.208896,0.00511,0.14379,0.012628,-0.467406,0.028201,0.073241,-0.238665
nombre,-0.099509,-0.269675,-0.20472,0.378678,-0.61403,-1.614702,-0.190506,-0.384171,0.520888,0.133335,-0.625716,0.139369,0.067414,-0.985702,-0.328738,0.903553,0.373365,0.021975,0.412051,-0.040684,-0.216508,0.881206,-1.296264,0.177588,-0.328412,0.216851,-0.30313,-0.901266,-0.151905,-0.056278,-0.273786,-0.207446,0.816726,-0.086801,1.017262,-0.947817,-0.358273,0.712793,-0.294196,-0.056739,-0.062973,-0.304271,-0.028202,-0.58067,0.410813,0.054462,-0.188838,-0.438882,-0.18189,-0.344691
$\mathbb{N}$,0.530216,0.025713,0.166655,-0.306426,-0.06645,-1.562795,-0.155521,-0.104428,0.039397,0.220549,-0.561507,-0.101286,0.153391,-0.705776,0.380587,0.024108,0.133415,0.347637,0.547632,-0.084824,-0.236306,0.607706,-0.616617,0.477723,-0.053352,0.558426,0.576608,-0.639396,-0.230906,-0.294196,0.389813,-0.164659,-0.019133,-0.117663,0.334166,-0.468833,-0.18633,0.664001,-0.183241,0.045473,-0.458604,0.048512,-0.639121,-0.011374,0.773273,0.124725,-0.487321,0.398545,-0.218919,-0.425245
deux,0.468148,0.028487,0.47196,0.443496,-0.089087,-1.218643,-0.139218,-0.483603,-0.034525,0.010397,-0.055291,-0.449439,0.647599,-0.931717,-0.129784,0.356837,0.422308,-0.964251,0.278328,-0.096645,0.059833,0.297477,-1.055081,0.661481,0.364436,1.087561,-0.148138,-0.487536,0.020042,-0.37531,0.124057,-0.428665,0.628533,0.191533,0.103377,-0.847842,0.275592,0.379686,-0.114232,-0.032786,-0.344173,0.766949,0.065433,0.163678,-0.024604,0.373371,-0.415084,0.511066,-0.01305,-0.382515
fonction,-0.443135,-0.397002,0.541471,0.070972,0.466153,-1.342724,-1.030337,-0.466543,-0.271691,0.758748,0.140312,0.991939,0.312581,0.086988,-0.356977,0.962202,0.015355,-0.198641,0.099876,0.07384,0.041457,0.094853,-0.906726,0.420021,0.753746,0.39033,-0.098164,-1.021638,-0.296655,0.412157,0.356537,-0.382992,-0.206152,0.431406,1.103554,-0.443156,-0.303903,0.757663,0.025347,-0.716493,-1.127699,-0.122418,-0.118785,-0.614152,1.179872,-0.336526,-0.160449,-0.292568,-0.892306,0.113811
premier,0.665386,-0.062888,-0.029973,0.824401,-0.355819,-1.140428,-0.021691,-0.337945,-0.143548,-0.056799,0.118111,-0.225869,0.248614,-0.580578,0.042261,0.111815,-0.541403,-0.720709,0.191645,0.149535,0.266051,0.428976,-0.236293,0.282757,0.119774,0.752937,-0.125418,-0.469395,0.183993,-0.178947,0.2765,-0.351153,0.740979,-0.126061,-0.152684,-0.559778,0.177526,0.608169,-0.16528,0.070109,-0.376692,1.146638,0.294891,0.30728,0.500787,0.038952,-0.697654,-0.269001,-0.255781,-0.519085
ensemble,0.2166,0.309045,0.571387,-0.039082,-0.081189,-0.854135,-0.630253,-0.529822,0.265782,0.433833,-0.029241,-0.140099,0.181022,-0.684203,-0.188876,0.272651,0.942469,-0.747691,-0.065596,0.030002,0.446151,-0.294469,-1.244821,-0.136733,0.427908,0.241252,0.363166,-0.874486,-0.058673,-0.052241,-0.343894,-0.100782,-0.042178,-0.105213,0.163656,-0.68668,-0.619486,0.858154,0.291316,0.285669,-0.080436,0.485633,0.551507,0.320942,0.130187,-0.125011,-0.244737,-0.237301,-0.405355,-0.045487
point,-0.297648,-0.056472,-0.128573,0.970124,0.047792,-0.957611,0.153387,-0.507952,1.039434,-0.208865,-0.159999,-0.1774,0.087174,-0.935766,0.568281,0.414867,0.558946,0.04511,0.94325,0.064042,-0.202587,0.864513,-0.760722,0.93455,-0.009103,0.617967,-0.341728,0.427394,-0.145334,0.190405,0.171228,-0.676019,0.227615,-0.34224,0.34084,-0.978562,-0.820508,0.884181,-0.370853,-0.02955,0.012905,-0.279326,-0.371287,-0.225102,-0.398939,-0.173952,-1.045051,0.110167,0.045968,-0.741628
théorie,-0.404575,-0.094533,1.257202,0.307695,-0.381185,-1.253391,-0.149165,0.247312,0.089305,-0.061489,-0.312035,-0.224355,0.053566,-0.833177,1.186726,0.498345,-0.522216,0.825715,-0.330747,0.216792,1.691336,0.619031,-0.4755,-0.254525,-0.017571,-0.301445,-0.059979,0.146338,0.155469,0.04551,-0.264171,0.295018,-2.204675,0.066028,0.730885,-0.274699,-0.674279,0.627953,0.397992,-1.268183,-0.547723,-0.660227,0.429231,0.221257,0.837777,-0.396326,-0.818179,-0.640129,-0.218739,-0.404468
exemple,0.720199,0.000135,0.307094,-0.469801,-0.311652,-1.331123,-0.365941,0.151353,-0.395282,0.13792,-0.257975,0.067872,0.056824,-0.46288,-0.122945,0.305362,0.573555,0.506864,0.064094,-0.015756,0.03569,-0.05864,-1.325648,0.496617,-0.4156,0.84598,0.404558,-0.649026,0.016476,0.257037,-0.136256,0.109767,-0.330296,-0.395026,0.777279,-0.279629,-0.309167,0.535523,0.486648,-0.531172,-0.566408,-0.642221,-0.142724,0.195589,0.313886,-0.374344,-0.686973,-0.252235,-0.262588,-0.209482
espace,-0.212997,0.678994,0.312187,0.492466,0.216069,-1.283286,-0.136566,-0.544641,0.363361,0.957549,0.125434,-0.080295,-0.181654,-0.022982,0.302694,0.507303,0.861829,-0.410905,-0.162935,-0.236385,-0.474334,-0.724663,-1.610563,-0.803238,0.789517,0.784383,0.90893,0.337339,-0.24681,0.282911,-0.334994,0.48109,-0.682671,0.262298,0.569035,-0.820184,-0.793537,0.689518,0.360594,-0.597675,0.601471,0.165904,0.296732,0.039134,0.015713,-0.388154,-0.298758,-0.346764,-0.136934,-0.300018
théorème,0.872904,-0.28194,0.654792,0.730599,0.92337,0.73475,-0.303898,0.298629,0.531863,-0.317666,0.317524,-0.918381,0.386219,-1.163337,0.73429,0.243921,0.103802,0.457162,-0.85858,0.221063,1.331687,0.538406,-0.245706,0.880906,0.297152,-1.001185,0.24222,0.342274,-0.048546,1.040305,-0.360749,0.117444,-1.756766,0.74391,0.693818,0.072069,-0.761724,-1.45291,0.570218,-0.986234,0.503313,-1.893934,-0.513413,-0.730091,1.019761,-0.400665,-1.063457,-0.426699,-0.493667,-0.880418
problème,-0.025074,-0.23345,0.470014,-0.255274,-0.974069,-1.488727,0.02992,0.051416,0.132386,-0.343958,-0.337267,0.096302,0.213674,0.175207,1.138622,0.416985,-0.33719,0.0218,0.135426,0.314905,0.127012,0.73226,-0.414619,-0.041174,0.171504,0.483926,0.569769,-0.477173,0.359136,0.139649,0.629059,-0.435645,-0.848845,0.264292,0.338701,-0.423561,-0.43547,1.323342,0.42172,-0.281625,-0.203872,-0.862776,-0.180803,-0.39781,0.646925,-0.526637,-0.381486,-0.035419,-0.047156,-0.043119
valeur,0.051294,0.020864,0.481943,-0.310031,-0.478005,-1.387752,-0.680339,0.455169,0.467085,0.786542,-0.38134,0.505134,-0.592544,-0.699684,0.005972,0.517874,0.762049,0.279294,0.5044,-0.397972,-0.076126,1.138982,-1.368147,0.833744,-0.361728,-0.009037,0.721732,0.018722,-0.201157,0.55631,-0.654095,-0.435339,-0.019192,0.355549,0.748575,-0.42838,-1.03526,0.408292,-0.627981,-0.730353,-0.218543,-0.77585,-0.108158,-0.502175,0.560899,-0.207415,-0.708018,-1.363467,-0.458513,0.081286
groupe,0.552011,1.088036,0.016006,0.585923,-1.027176,-1.3236,0.988159,-1.060263,0.485897,0.322502,-0.635825,-0.332773,0.521719,-0.305671,-0.071742,-0.005409,0.250215,-0.393547,-0.144077,-0.627222,0.716894,-0.415167,-0.157818,0.528315,0.103379,-0.056947,0.194278,-1.660836,-0.451439,0.03929,0.251437,-0.445922,0.377542,-0.366128,-0.10465,-0.136597,-0.050056,0.433598,0.514099,0.037628,-0.544746,0.603504,0.070582,1.065855,0.244281,0.729477,-0.520349,-0.774382,-0.346997,-0.238129
graphe,-0.516259,0.243976,1.25173,1.195225,0.563302,-0.103489,-1.31256,0.081702,0.831828,-0.7843,-0.343762,0.308595,0.104644,0.105505,0.172326,0.39044,1.431821,-0.274622,-0.21024,0.4374,0.486042,-0.511897,-0.50846,-0.345945,-0.380636,-0.423808,0.173196,0.029177,-0.037211,1.243309,-0.191193,0.53544,-0.521468,-0.514402,0.832144,-0.711216,-0.485601,-1.513252,0.033293,-0.644466,-0.164901,-2.065515,0.260777,-0.293852,-0.290013,0.063627,0.055688,0.033847,-0.452234,0.04109
